Date,Open_EW,High_EW,Low_EW,Close_EW,Volume_EW,AdjClose_EW
2015-06-08,132.600006,134.029999,132.240005,132.910004,2373600,66.455002
2015-06-09,134.229996,134.740005,132.529999,133.300003,1319400,66.650002
2015-06-10,133.75,135.070007,132.949997,134.699997,1141600,67.349998
2015-06-11,134.850006,136.410004,134.360001,135.169998,1232400,67.584999
2015-06-12,134.539993,135.169998,133.350006,133.580002,1519600,66.790001
2015-06-15,132.729996,133.899994,132.0,133.600006,1205400,66.800003
2015-06-16,133.460007,138.270004,133.160004,137.910004,3995600,68.955002
2015-06-17,137.990005,144.399994,136.0,141.600006,5637800,70.800003
2015-06-18,141.649994,146.869995,141.070007,145.100006,4615800,72.550003
2015-06-19,145.240005,146.589996,144.380005,146.169998,2519000,73.084999
2015-06-22,147.179993,147.300003,143.820007,144.320007,2857400,72.160004
2015-06-23,145.119995,147.240005,143.880005,144.630005,1838400,72.315002
2015-06-24,144.039993,145.110001,142.789993,142.860001,1914200,71.43
2015-06-25,143.619995,146.080002,142.919998,144.610001,1918800,72.305
2015-06-26,145.309998,146.649994,144.440002,146.080002,2044400,73.040001
2015-06-29,144.449997,146.110001,142.169998,142.350006,1565200,71.175003
2015-06-30,143.710007,144.050003,141.649994,142.429993,1315800,71.214996
2015-07-01,143.509995,143.789993,142.190002,143.600006,1588000,71.800003
2015-07-02,144.139999,144.550003,141.119995,142.449997,1714600,71.224998
2015-07-06,143.949997,146.429993,143.389999,145.119995,3291600,72.559998
2015-07-07,145.199997,147.639999,143.720001,147.479996,2680600,73.739998
2015-07-08,146.460007,147.410004,142.559998,143.020004,2228800,71.510002
2015-07-09,145.0,145.990005,144.0,145.070007,1804200,72.535004
2015-07-10,147.5,148.449997,145.639999,147.160004,1746200,73.580002
2015-07-13,151.699997,152.899994,149.820007,152.110001,3199800,76.055
2015-07-14,152.330002,153.25,151.229996,152.300003,2112200,76.150002
2015-07-15,152.529999,153.690002,151.050003,152.610001,2133200,76.305
2015-07-16,153.229996,155.029999,153.169998,154.470001,1991800,77.235001
2015-07-17,154.350006,154.960007,152.630005,154.300003,1542600,77.150002
2015-07-20,154.729996,154.729996,153.679993,154.009995,1104800,77.004997
2015-07-21,154.050003,156.490005,153.820007,156.059998,1983200,78.029999
2015-07-22,156.399994,157.610001,155.279999,156.720001,1529200,78.360001
2015-07-23,157.25,157.550003,155.490005,156.25,1414600,78.125
2015-07-24,156.110001,157.419998,154.699997,155.100006,1382000,77.550003
2015-07-27,154.5,154.75,151.899994,152.720001,2717200,76.360001
2015-07-28,153.960007,155.800003,152.009995,155.800003,3625800,77.900002
2015-07-29,154.850006,159.0,150.600006,153.759995,3893000,76.879997
2015-07-30,153.589996,155.0,152.520004,153.100006,2378800,76.550003
2015-07-31,154.320007,154.649994,152.029999,152.160004,1532800,76.080002
2015-08-03,152.25,153.399994,149.509995,151.089996,2176600,75.544998
2015-08-04,151.320007,151.800003,149.210007,149.369995,1804400,74.684998
2015-08-05,149.5,150.809998,149.210007,150.119995,1950200,75.059998
2015-08-06,150.029999,151.910004,143.619995,144.279999,2918000,72.139999
2015-08-07,144.389999,145.179993,142.009995,143.919998,1907200,71.959999
2015-08-10,144.970001,146.889999,144.139999,144.5,1271800,72.25
2015-08-11,143.580002,144.889999,142.910004,143.809998,1461200,71.904999
