Date,Open_PM,High_PM,Low_PM,Close_PM,Volume_PM,AdjClose_PM
2013-06-14,92.32,93.169998,91.970001,92.120003,3811100,80.320316
2013-06-17,92.43,93.0,91.82,92.470001,4584500,80.625483
2013-06-18,92.510002,92.879997,91.940002,92.650002,2888100,80.782427
2013-06-19,92.730003,93.129997,90.260002,90.260002,4843400,78.698564
2013-06-20,89.860001,89.860001,86.330002,86.629997,9511400,75.533528
2013-06-21,87.480003,88.440002,86.650002,87.459999,11088400,76.257214
2013-06-24,86.610001,88.029999,86.050003,86.849998,6824800,75.725349
2013-06-25,86.57,86.940002,86.050003,86.5,6387200,76.165613
2013-06-26,87.120003,88.410004,86.940002,87.540001,6448100,77.081362
2013-06-27,88.370003,88.959999,87.690002,87.779999,5276500,77.292687
2013-06-28,87.5,88.32,86.559998,86.620003,11121000,76.271279
2013-07-01,87.110001,87.959999,87.110001,87.529999,5338100,77.072555
2013-07-02,87.389999,88.379997,87.050003,87.559998,4775900,77.09897
2013-07-03,87.080002,88.18,86.800003,87.75,2070400,77.266272
2013-07-05,88.120003,88.25,86.580002,87.510002,3039500,77.054947
2013-07-08,88.010002,89.120003,87.779999,88.57,4373500,77.988304
2013-07-09,89.279999,89.900002,88.93,89.18,4290500,78.525426
2013-07-10,89.220001,89.910004,88.220001,88.43,5005700,77.865031
2013-07-11,89.839996,91.080002,89.660004,90.339996,5808600,79.546835
2013-07-12,90.989998,91.400002,89.040001,89.699997,4957000,78.983298
2013-07-15,89.68,90.18,89.209999,89.610001,3612400,78.904053
2013-07-16,89.519997,90.75,89.309998,89.949997,4933700,79.20343
2013-07-17,90.260002,90.650002,89.709999,89.709999,4354200,78.992105
2013-07-18,88.279999,90.199997,87.650002,89.25,6148200,78.587063
2013-07-19,89.309998,89.489998,88.449997,88.610001,5242400,78.023526
2013-07-22,89.0,90.099998,88.57,89.230003,4326700,78.569455
2013-07-23,89.199997,89.68,88.580002,88.779999,4164800,78.173214
2013-07-24,88.839996,88.93,87.889999,88.540001,5171600,77.961889
2013-07-25,88.089996,89.669998,88.089996,89.220001,3956400,78.560648
2013-07-26,88.68,88.989998,87.720001,88.879997,3825700,78.261266
2013-07-29,88.599998,89.139999,88.349998,88.669998,3250200,78.076356
2013-07-30,89.099998,89.440002,88.669998,89.169998,3672200,78.516619
