Date,Open_UHS,High_UHS,Low_UHS,Close_UHS,Volume_UHS,AdjClose_UHS
2013-06-14,70.699997,71.540001,70.269997,70.339996,375200,69.6971
2013-06-17,70.830002,71.059998,69.470001,69.910004,479400,69.271038
2013-06-18,70.0,70.589996,69.699997,70.07,301700,69.429571
2013-06-19,70.209999,70.57,68.139999,68.370003,723500,67.745112
2013-06-20,68.120003,68.269997,66.18,66.379997,655900,65.773295
2013-06-21,66.699997,66.93,65.150002,65.82,627300,65.218416
2013-06-24,65.18,66.400002,64.849998,65.379997,705700,64.782435
2013-06-25,65.860001,65.980003,65.019997,65.529999,435200,64.931065
2013-06-26,66.019997,66.599998,65.379997,65.75,407500,65.149056
2013-06-27,66.190002,67.110001,66.040001,66.940002,411100,66.328182
2013-06-28,66.669998,67.68,66.610001,66.959999,1047600,66.347996
2013-07-01,67.0,68.150002,66.879997,68.089996,651000,67.467665
2013-07-02,68.089996,68.379997,67.889999,68.209999,766300,67.586571
2013-07-03,67.470001,67.550003,65.519997,65.82,1263000,65.218416
2013-07-05,66.0,66.529999,63.509998,63.830002,1402200,63.246606
2013-07-08,64.089996,64.989998,63.740002,64.639999,728000,64.0492
2013-07-09,64.900002,66.120003,64.809998,65.970001,1164700,65.367046
2013-07-10,66.110001,67.300003,65.919998,67.260002,541200,66.645257
2013-07-11,67.699997,67.900002,66.459999,67.080002,569300,66.466902
2013-07-12,67.160004,68.120003,66.660004,67.82,718800,67.200136
2013-07-15,68.120003,68.550003,67.730003,68.110001,627400,67.487486
2013-07-16,68.440002,69.690002,67.910004,68.080002,770100,67.457762
2013-07-17,68.269997,68.330002,66.910004,66.980003,677800,66.367817
2013-07-18,67.290001,68.550003,67.290001,68.480003,472400,67.854107
2013-07-19,66.93,68.0,66.019997,67.449997,559400,66.833515
2013-07-22,67.379997,68.360001,67.150002,68.110001,425800,67.487486
2013-07-23,68.220001,68.489998,67.620003,67.779999,801200,67.160501
2013-07-24,68.029999,68.139999,67.169998,67.440002,575300,66.823612
2013-07-25,67.150002,67.489998,65.959999,67.169998,831400,66.556075
2013-07-26,68.699997,69.919998,67.93,69.690002,1331900,69.053047
2013-07-29,70.080002,70.93,69.440002,69.849998,737800,69.211581
