Date,Open_DE,High_DE,Low_DE,Close_DE,Volume_DE,AdjClose_DE
2013-06-14,85.440002,85.529999,84.489998,84.879997,1991900,78.304885
2013-06-17,85.169998,85.330002,84.230003,84.809998,2674100,78.240308
2013-06-18,84.589996,85.279999,84.519997,85.0,2295200,78.415592
2013-06-19,85.239998,86.199997,85.0,85.080002,2881600,78.489396
2013-06-20,84.279999,84.360001,82.629997,82.889999,4365200,76.469039
2013-06-21,83.480003,83.699997,81.730003,82.470001,4798300,76.081576
2013-06-24,80.830002,81.400002,79.5,81.0,5733800,74.725446
2013-06-25,82.0,82.610001,81.550003,82.449997,4159100,76.063121
2013-06-26,82.57,82.639999,81.849998,82.150002,2822200,76.258066
2013-06-27,82.68,83.150002,82.220001,82.949997,2564400,77.000684
2013-06-28,82.639999,83.5,81.239998,81.25,5233000,75.422614
2013-07-01,81.879997,82.160004,81.029999,81.309998,2984100,75.478309
2013-07-02,81.349998,81.970001,80.510002,80.900002,2209200,75.097718
2013-07-03,80.690002,81.5,80.559998,80.989998,1195300,75.18126
2013-07-05,81.709999,81.839996,80.57,81.440002,1338200,75.598989
2013-07-08,81.449997,82.029999,81.25,81.349998,2091700,75.51544
2013-07-09,81.940002,84.360001,81.410004,83.910004,5978500,77.891838
2013-07-10,83.949997,84.0,82.519997,82.870003,3156100,76.926428
2013-07-11,83.940002,84.559998,83.099998,84.25,2945600,78.207449
2013-07-12,84.230003,84.25,83.32,83.940002,3067500,77.919685
2013-07-15,84.209999,84.559998,83.830002,84.419998,1623700,78.365255
2013-07-16,84.57,85.190002,83.919998,83.959999,3051400,77.938247
2013-07-17,84.379997,84.75,82.400002,83.599998,3825800,77.604067
2013-07-18,83.699997,84.279999,83.470001,83.660004,1897200,77.659768
2013-07-19,83.629997,84.25,83.300003,84.050003,2487600,78.021796
2013-07-22,84.279999,85.190002,84.279999,84.779999,2772600,78.699435
2013-07-23,85.0,85.5,83.870003,83.900002,2838000,77.882553
2013-07-24,83.989998,84.059998,82.400002,82.589996,3685700,76.666504
2013-07-25,82.209999,83.040001,81.660004,82.900002,4132600,76.954275
2013-07-26,82.550003,82.919998,82.269997,82.809998,1960900,76.870726
2013-07-29,82.760002,83.43,82.650002,83.019997,1815500,77.065664
2013-07-30,82.029999,83.099998,81.360001,82.980003,4000900,77.028539
2013-07-31,83.620003,84.839996,83.010002,83.07,3795600,77.11208
2013-08-01,83.739998,83.849998,82.510002,83.050003,3486500,77.093518
2013-08-02,83.029999,83.699997,82.93,83.400002,2411200,77.418414
2013-08-05,83.400002,83.480003,82.669998,82.800003,3038600,76.861448
2013-08-06,82.480003,82.510002,81.089996,81.199997,4814100,75.376197
2013-08-07,81.0,81.519997,80.650002,80.989998,3178200,75.18126
2013-08-08,81.389999,82.650002,81.309998,82.32,3413300,76.415872
2013-08-09,81.059998,82.099998,80.5,81.739998,4649900,75.877468
2013-08-12,81.529999,83.629997,81.349998,83.379997,5020300,77.399844
2013-08-13,83.879997,84.589996,83.68,83.910004,4346300,77.891838
2013-08-14,84.059998,84.190002,81.5,82.339996,8433400,76.434434
2013-08-15,81.230003,84.650002,81.0,84.360001,7705500,78.30956
2013-08-16,84.050003,84.5,83.769997,84.110001,4293900,78.077491
2013-08-19,83.93,85.07,83.93,84.519997,4178800,78.458081
2013-08-20,84.5,84.519997,83.199997,83.25,3408500,77.279171
2013-08-21,83.089996,83.199997,82.410004,82.510002,2766700,76.592247
2013-08-22,82.900002,83.900002,82.769997,83.25,3214700,77.279171
2013-08-23,83.480003,83.599998,82.699997,83.5,2467700,77.51124
2013-08-26,83.919998,85.68,83.870003,84.769997,3970600,78.690151
2013-08-27,83.970001,84.910004,83.410004,83.480003,2933200,77.492678
2013-08-28,83.489998,84.599998,83.360001,84.120003,2708200,78.086775
2013-08-29,84.160004,84.629997,83.580002,83.800003,1889300,77.789727
2013-08-30,83.720001,84.010002,83.370003,83.639999,2055700,77.641199
2013-09-03,84.309998,84.75,83.440002,84.059998,2473700,78.031074
2013-09-04,84.059998,84.93,84.0,84.480003,2243700,78.420956
2013-09-05,83.879997,84.019997,82.480003,82.550003,4033400,76.629379
2013-09-06,82.650002,83.389999,82.150002,82.610001,2743000,76.685073
2013-09-09,83.0,84.5,83.0,83.879997,2546200,77.863984
2013-09-10,84.459999,84.919998,84.110001,84.18,2276400,78.14247
2013-09-11,84.129997,84.68,83.669998,84.309998,2080200,78.263143
2013-09-12,84.239998,84.32,82.980003,83.190002,3904100,77.223476
2013-09-13,83.459999,83.519997,82.449997,82.489998,3948400,76.573677
2013-09-16,83.379997,83.760002,83.019997,83.540001,3664400,77.548372
2013-09-17,83.730003,83.93,83.480003,83.709999,1556500,77.706178
2013-09-18,83.389999,84.779999,83.120003,84.510002,2913200,78.448803
2013-09-19,84.739998,85.339996,84.669998,85.099998,2082900,78.996484
2013-09-20,85.099998,85.18,83.629997,83.82,3797400,77.808289
2013-09-23,83.830002,84.18,83.389999,84.010002,2274000,77.984664
2013-09-24,84.139999,84.870003,83.839996,84.260002,2197100,78.216734
2013-09-25,84.419998,85.230003,84.269997,84.639999,2575600,78.569477
2013-09-26,84.510002,84.720001,82.68,83.080002,3392800,77.588879
2013-09-27,82.580002,83.110001,81.919998,82.370003,3267600,76.925807
2013-09-30,81.730003,82.489998,81.190002,81.389999,3863100,76.010576
2013-10-01,81.25,82.379997,81.190002,82.220001,2952500,76.78572
2013-10-02,81.82,82.709999,81.699997,82.300003,2505600,76.860434
2013-10-03,82.07,82.669998,81.900002,82.089996,3410400,76.664307
2013-10-04,82.220001,82.690002,81.900002,82.550003,3081700,77.09391
2013-10-07,81.940002,82.860001,81.940002,82.459999,1833100,77.009855
2013-10-08,82.629997,83.389999,82.18,82.209999,2396500,76.776379
2013-10-09,82.18,83.360001,82.080002,82.599998,2980200,77.140601
2013-10-10,83.419998,83.449997,82.330002,82.919998,3613500,77.439451
2013-10-11,82.620003,82.790001,81.900002,82.309998,3833000,76.869768
2013-10-14,81.849998,83.239998,81.739998,83.099998,3603100,77.607554
2013-10-15,82.940002,83.709999,82.160004,82.360001,3040100,76.916466
2013-10-16,83.129997,83.129997,82.419998,82.970001,2739300,77.486149
2013-10-17,82.839996,83.970001,82.779999,83.650002,2234100,78.121205
2013-10-18,83.769997,84.529999,83.449997,84.190002,2804100,78.625515
2013-10-21,84.339996,84.57,83.800003,84.169998,2027700,78.606833
2013-10-22,84.550003,84.75,84.160004,84.540001,2388800,78.95238
2013-10-23,83.410004,84.5,83.360001,84.080002,2568600,78.522785
2013-10-24,84.43,84.550003,83.830002,84.279999,1613500,78.709563
2013-10-25,83.870003,84.0,82.889999,83.550003,2768800,78.027816
2013-10-28,83.480003,84.010002,83.300003,83.470001,1883100,77.953102
