Date,Open_MLM,High_MLM,Low_MLM,Close_MLM,Volume_MLM,AdjClose_MLM
2013-06-14,109.610001,110.220001,108.830002,109.43,197400,105.534696
2013-06-17,110.620003,110.849998,109.150002,109.790001,188000,105.881882
2013-06-18,110.029999,110.040001,108.809998,109.730003,139300,105.82402
2013-06-19,109.699997,110.349998,108.089996,108.089996,323600,104.242391
2013-06-20,106.449997,106.790001,104.370003,105.029999,392500,101.291318
2013-06-21,105.830002,105.830002,101.07,101.169998,599100,97.568719
2013-06-24,99.620003,99.620003,97.139999,98.050003,623900,94.559785
2013-06-25,99.269997,100.129997,98.300003,99.690002,366600,96.141406
2013-06-26,100.830002,101.080002,99.029999,99.379997,336700,95.842436
2013-06-27,100.279999,100.919998,99.510002,100.620003,262500,97.038302
2013-06-28,100.540001,101.019997,98.300003,98.419998,435800,94.916609
2013-07-01,99.300003,101.660004,99.150002,100.160004,464400,96.594677
2013-07-02,100.029999,101.459999,97.650002,97.980003,220000,94.492277
2013-07-03,96.589996,97.769997,96.370003,96.629997,354900,93.190326
2013-07-05,97.879997,98.010002,96.43,97.199997,430900,93.740036
2013-07-08,98.389999,99.050003,97.339996,97.940002,480700,94.4537
2013-07-09,98.459999,101.699997,97.919998,101.18,487700,97.578366
2013-07-10,101.040001,104.089996,100.809998,103.660004,614100,99.97009
2013-07-11,105.639999,105.910004,104.040001,105.010002,390700,101.272033
2013-07-12,105.43,105.910004,104.160004,105.489998,290600,101.734943
2013-07-15,105.43,106.980003,104.629997,104.989998,225500,101.252741
2013-07-16,104.949997,105.75,103.410004,103.760002,195300,100.066529
2013-07-17,103.980003,105.389999,103.580002,104.800003,313200,101.06951
2013-07-18,104.5,106.43,104.5,106.019997,195300,102.246076
2013-07-19,105.790001,106.839996,105.709999,106.43,148200,102.641485
2013-07-22,106.339996,106.900002,105.599998,105.800003,192000,102.033913
2013-07-23,106.150002,106.610001,105.43,105.540001,241500,101.783166
2013-07-24,105.910004,105.910004,103.93,104.760002,239200,101.030933
2013-07-25,104.620003,104.809998,102.010002,102.489998,283900,98.841732
2013-07-26,101.849998,103.650002,101.849998,103.279999,173000,99.603612
2013-07-29,102.739998,103.0,101.220001,101.410004,238800,97.800182
2013-07-30,98.220001,103.0,95.639999,100.620003,1041200,97.038302
2013-07-31,100.830002,101.730003,99.279999,99.599998,564300,96.054606
2013-08-01,101.690002,103.75,99.599998,101.800003,672700,98.176298
2013-08-02,101.580002,102.339996,100.68,101.199997,237500,97.59765
2013-08-05,101.129997,101.129997,99.809998,100.910004,309800,97.31798
2013-08-06,100.199997,100.199997,98.949997,99.339996,214200,95.803859
2013-08-07,99.0,99.629997,98.239998,98.839996,348500,95.321657
2013-08-08,99.699997,100.290001,98.059998,98.739998,508700,95.225218
2013-08-09,98.669998,99.769997,97.449997,99.18,279700,95.649558
2013-08-12,98.730003,100.550003,98.209999,98.900002,314800,95.379526
2013-08-13,98.900002,99.059998,97.959999,98.339996,285000,94.839455
2013-08-14,98.5,98.690002,97.650002,98.029999,227900,94.540492
2013-08-15,96.809998,96.870003,95.309998,95.650002,410000,92.245214
2013-08-16,95.739998,96.540001,95.300003,96.260002,236800,92.833501
2013-08-19,96.040001,97.160004,95.620003,96.669998,284300,93.228903
2013-08-20,96.510002,99.760002,96.190002,98.75,338800,95.234864
2013-08-21,98.410004,98.879997,96.230003,97.339996,401700,93.875052
2013-08-22,97.75,99.080002,97.550003,98.470001,135500,94.964832
2013-08-23,98.849998,99.779999,96.410004,97.279999,153800,93.81719
2013-08-26,97.25,97.260002,96.220001,96.779999,232000,93.334988
2013-08-27,95.580002,96.860001,95.360001,96.169998,244400,92.746701
2013-08-28,96.129997,97.629997,95.68,96.290001,149900,92.862432
2013-08-29,95.889999,97.019997,95.019997,95.290001,242000,92.281376
2013-08-30,95.239998,96.220001,94.440002,96.050003,529100,93.017382
2013-09-03,96.779999,97.82,94.260002,95.089996,588300,92.087686
2013-09-04,94.730003,95.639999,94.669998,94.910004,385300,91.913376
2013-09-05,95.150002,95.330002,94.25,94.919998,424900,91.923055
2013-09-06,95.669998,96.400002,94.529999,94.910004,579000,91.913376
2013-09-09,95.0,96.889999,94.970001,96.739998,436500,93.685592
2013-09-10,97.730003,99.589996,96.940002,99.32,376700,96.184134
2013-09-11,99.510002,100.5,99.360001,99.830002,243000,96.678034
2013-09-12,99.629997,100.080002,99.260002,99.919998,319400,96.765189
2013-09-13,99.660004,99.879997,97.639999,99.400002,236600,96.26161
2013-09-16,100.230003,100.389999,98.489998,98.800003,386700,95.680555
2013-09-17,98.68,99.0,98.050003,98.370003,303900,95.264132
2013-09-18,98.480003,99.019997,97.760002,98.879997,613300,95.758024
2013-09-19,99.110001,99.910004,97.769997,98.150002,420600,95.051077
2013-09-20,98.860001,98.970001,96.190002,96.230003,590200,93.191699
2013-09-23,95.080002,96.400002,95.080002,96.269997,284100,93.23043
2013-09-24,96.300003,97.75,95.489998,96.139999,235300,93.104537
2013-09-25,96.150002,98.0,95.470001,97.110001,166000,94.043912
2013-09-26,97.389999,98.440002,96.510002,97.269997,177500,94.198856
2013-09-27,96.970001,97.260002,96.190002,96.940002,177900,93.879281
2013-09-30,96.120003,98.389999,96.019997,98.169998,486900,95.070442
2013-10-01,98.400002,100.080002,98.040001,99.669998,610200,96.523082
2013-10-02,98.589996,99.43,98.230003,99.410004,221200,96.271296
2013-10-03,99.400002,99.540001,96.5,97.949997,520500,94.857387
2013-10-04,97.809998,98.419998,97.190002,97.830002,222100,94.74118
2013-10-07,96.910004,98.330002,96.449997,97.860001,225500,94.770232
2013-10-08,97.93,97.93,95.25,95.25,350000,92.242638
2013-10-09,95.099998,96.080002,94.010002,94.790001,402900,91.797163
2013-10-10,96.139999,97.290001,95.620003,96.669998,319300,93.617802
2013-10-11,96.889999,98.660004,95.860001,97.830002,192400,94.74118
2013-10-14,97.449997,98.129997,96.349998,98.110001,209400,95.012339
2013-10-15,97.730003,97.730003,95.610001,96.059998,216600,93.027061
2013-10-16,96.160004,97.129997,95.980003,96.410004,208600,93.366016
2013-10-17,96.040001,97.879997,95.809998,97.389999,267300,94.31507
2013-10-18,97.830002,97.989998,97.32,97.510002,172100,94.431284
2013-10-21,97.82,97.940002,96.910004,97.459999,158300,94.38286
2013-10-22,98.190002,100.169998,98.190002,99.75,379500,96.600558
2013-10-23,99.720001,100.290001,97.910004,97.989998,265900,94.896125
2013-10-24,97.839996,98.860001,97.800003,98.5,404600,95.390025
2013-10-25,99.160004,99.760002,98.650002,99.75,379200,96.600558
2013-10-28,99.75,100.57,98.93,99.629997,377200,96.484344
2013-10-29,99.959999,100.410004,99.050003,99.389999,304000,96.251924
2013-10-30,99.589996,99.589996,98.019997,98.989998,333300,95.864552
2013-10-31,98.989998,99.480003,97.769997,98.089996,285600,94.992966
2013-11-01,99.849998,99.849998,96.900002,98.610001,347000,95.496552
2013-11-04,99.0,104.559998,99.0,102.75,1315300,99.505838
2013-11-05,102.279999,102.57,100.059998,100.18,444100,97.016982
2013-11-06,100.82,100.82,98.989998,99.529999,384300,96.387503
2013-11-07,103.889999,106.0,100.519997,100.940002,911800,97.752988
2013-11-08,100.800003,101.029999,98.900002,100.699997,683800,97.52056
2013-11-11,100.629997,101.099998,99.889999,100.459999,251700,97.28814
2013-11-12,100.019997,100.550003,98.760002,99.410004,387200,96.271296
2013-11-13,99.18,101.209999,98.82,100.529999,498300,97.355929
2013-11-14,100.849998,102.559998,99.050003,102.290001,441900,99.060362
2013-11-15,97.730003,106.480003,96.82,102.830002,270300,99.583314
2013-11-18,103.360001,103.440002,101.0,101.400002,285400,98.198463
2013-11-19,100.809998,102.25,100.599998,101.099998,207900,97.907932
2013-11-20,101.720001,101.830002,100.0,100.489998,153000,97.317191
2013-11-21,100.260002,101.019997,100.099998,100.400002,239300,97.230037
2013-11-22,100.010002,100.489998,98.389999,99.239998,534100,96.106658
2013-11-25,99.129997,99.879997,97.940002,98.089996,643900,94.992966
2013-11-26,97.699997,99.040001,97.580002,98.190002,392700,95.089815
2013-11-27,102.660004,102.660004,96.730003,97.339996,1839200,94.652236
2013-11-29,97.349998,97.349998,96.239998,96.559998,285700,93.893774
2013-12-02,96.360001,98.410004,96.010002,97.849998,500400,95.148155
2013-12-03,97.449997,97.919998,96.050003,97.25,433500,94.564724
2013-12-04,96.550003,97.32,95.5,96.410004,333000,93.747922
2013-12-05,95.900002,97.199997,95.389999,95.620003,429800,92.979735
2013-12-06,96.769997,98.199997,96.769997,97.239998,457100,94.554998
2013-12-09,97.900002,98.870003,97.410004,98.410004,539800,95.692698
2013-12-10,98.18,98.68,97.050003,97.07,350900,94.389694
2013-12-11,96.779999,97.160004,95.720001,96.330002,520900,93.670129
2013-12-12,96.0,97.07,95.5,96.540001,453900,93.87433
2013-12-13,97.0,97.68,96.510002,97.0,566700,94.321627
2013-12-16,97.230003,97.349998,95.529999,95.650002,543700,93.008905
2013-12-17,95.260002,95.93,94.739998,95.050003,646800,92.425474
2013-12-18,95.080002,96.910004,94.690002,96.599998,1074900,93.932671
2013-12-19,96.5,96.809998,95.940002,95.980003,954100,93.329795
2013-12-20,96.599998,96.650002,95.949997,96.169998,799900,93.514544
2013-12-23,96.989998,97.25,95.879997,96.690002,567200,94.020189
2013-12-24,96.699997,97.370003,96.489998,97.230003,211300,94.54528
2013-12-26,97.440002,98.379997,97.419998,98.010002,141300,95.303741
2013-12-27,98.150002,99.160004,97.970001,99.059998,228300,96.324744
2013-12-30,99.339996,100.82,98.809998,100.169998,384500,97.404095
2013-12-31,100.699997,101.290001,99.809998,99.940002,297900,97.18045
2014-01-02,99.540001,100.18,98.739998,99.540001,393200,96.791493
2014-01-03,99.449997,100.57,99.120003,99.379997,156200,96.635908
2014-01-06,100.220001,100.220001,98.629997,98.699997,285400,95.974684
2014-01-07,99.339996,100.790001,98.93,100.790001,461100,98.006978
2014-01-08,100.949997,103.519997,100.300003,103.43,936500,100.574082
2014-01-09,103.379997,105.169998,102.080002,105.010002,721800,102.110456
2014-01-10,105.150002,105.860001,104.980003,105.839996,503600,102.917533
2014-01-13,106.0,106.82,104.75,105.25,779000,102.343828
2014-01-14,105.5,107.239998,104.389999,106.879997,550400,103.928817
2014-01-15,107.110001,109.059998,106.75,108.059998,635300,105.076235
2014-01-16,107.919998,109.239998,107.919998,108.589996,417800,105.5916
2014-01-17,108.75,108.940002,107.800003,108.150002,456000,105.163754
2014-01-21,108.669998,109.57,108.199997,109.470001,486800,106.447306
2014-01-22,109.660004,109.739998,108.389999,108.419998,399300,105.426295
