Date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL,AdjClose_AAPL
2013-06-14,435.400005,436.290012,428.500008,430.050003,67966500,57.765186
2013-06-17,431.439995,435.700012,430.359997,432.000008,64853600,58.027114
2013-06-18,431.559998,434.899994,430.210007,431.769989,48756400,57.996218
2013-06-19,431.399994,431.66,422.999989,422.999989,77735000,56.818214
2013-06-20,419.300011,425.980003,415.17001,416.840008,89327700,55.990793
2013-06-21,418.490005,420.0,408.099995,413.500011,120279600,55.542158
2013-06-24,407.400005,408.660007,398.049992,402.540001,120186500,54.069987
2013-06-25,405.699993,407.790001,398.830009,402.62999,78540700,54.082074
2013-06-26,403.900005,404.790012,395.660004,398.069992,91931000,53.469566
2013-06-27,399.249992,401.389988,393.540009,393.779987,84311500,52.893324
2013-06-28,391.360012,400.269989,388.869995,396.53001,144629100,53.262713
2013-07-01,402.689991,412.269997,401.219997,409.219994,97763400,54.967257
2013-07-02,409.960011,421.629997,409.470013,418.490005,117466300,56.212424
2013-07-03,420.859993,422.979988,417.450008,420.799992,60232200,56.522706
2013-07-05,420.389996,423.290009,415.349987,417.419994,68506200,56.068698
2013-07-08,420.109989,420.999996,410.650013,415.050007,74534600,55.750356
2013-07-09,413.599987,423.5,410.379993,422.349987,88146100,56.730904
2013-07-10,419.599991,424.800003,418.25,420.730003,70351400,56.513305
2013-07-11,422.950001,428.249989,421.169987,427.289993,81573100,57.394456
2013-07-12,427.650002,429.789997,423.410011,426.510002,69890800,57.289686
2013-07-15,425.009995,431.459995,424.800003,427.44001,60479300,57.414606
2013-07-16,426.519989,430.709991,424.170002,430.199993,54134500,57.785333
2013-07-17,429.700008,432.220013,428.220001,430.310009,49747600,57.80011
2013-07-18,433.380013,434.870007,430.609989,431.760002,54719700,57.994876
2013-07-19,433.100006,433.98,424.350006,424.949993,67180400,57.080142
2013-07-22,429.460003,429.749996,425.470005,426.309998,51949100,57.262821
2013-07-23,426.000004,426.959999,418.710011,418.98999,92348900,56.279583
2013-07-24,438.929993,444.589989,435.260002,440.510002,147984200,59.170194
2013-07-25,440.699993,441.400009,435.810001,438.499996,57373400,58.900206
2013-07-26,435.300003,441.040001,434.340008,440.990013,50038100,59.23467
2013-07-29,440.799995,449.990005,440.200008,447.790009,62014400,60.148059
2013-07-30,449.959991,457.150009,449.229988,453.320015,77355600,60.890861
2013-07-31,454.990013,457.339973,449.429993,452.529984,80739400,60.784742
2013-08-01,455.749977,456.799988,453.259987,456.679985,51562700,61.342179
2013-08-02,458.010002,462.850006,456.660011,462.539986,68695900,62.129306
2013-08-05,464.689995,470.669998,462.150017,469.449997,79713900,63.057473
2013-08-06,468.020004,471.889999,462.169991,465.250008,83714400,62.493322
2013-08-07,463.799988,467.000008,461.769981,464.979988,74714500,62.457052
2013-08-08,463.860016,464.100021,457.949974,461.010017,63944300,62.33266
2013-08-09,458.639977,460.459991,453.650009,454.449974,66716300,61.445683
2013-08-12,456.860016,468.649979,456.629997,467.360016,91108500,63.191236
2013-08-13,470.940018,494.660027,468.050018,489.569977,220485300,66.19422
2013-08-14,497.88002,504.249992,493.400024,498.500008,189093100,67.40164
2013-08-15,496.420013,502.400017,489.079979,497.909981,122573500,67.321863
2013-08-16,500.149979,502.940002,498.860016,502.330002,90576500,67.919489
2013-08-19,504.339981,513.739983,504.0,507.740005,127629600,68.65097
2013-08-20,509.709984,510.569977,500.820007,501.07,89672100,67.749126
2013-08-21,503.590004,507.149979,501.199989,502.360016,83969900,67.923548
2013-08-22,504.979996,505.589996,498.199974,502.959976,61051900,68.004668
2013-08-23,503.269997,503.349998,499.350014,501.020012,55682900,67.742367
2013-08-26,500.749992,510.199982,500.5,502.970016,82741400,68.006025
2013-08-27,498.000023,502.509979,486.299995,488.589981,106047200,66.061716
2013-08-28,486.000015,495.800026,486.000015,490.899994,76902000,66.374051
2013-08-29,491.650024,496.500015,491.130013,491.700012,59914400,66.48222
2013-08-30,491.999992,492.949974,486.5,487.220016,68074300,65.876485
2013-09-03,493.099991,500.599976,487.350006,488.579994,82982200,66.060366
2013-09-04,499.560005,502.240013,496.279984,498.690025,86258200,67.427332
2013-09-05,500.250008,500.679977,493.639977,495.269974,59091900,66.964911
2013-09-06,498.43998,499.379974,489.950012,498.220001,89881400,67.363781
2013-09-09,505.000023,507.919983,503.479988,506.169983,85171800,68.438689
2013-09-10,506.199997,507.450012,489.500015,494.639999,185798900,66.879733
2013-09-11,467.009995,473.689987,464.809998,467.709984,224674100,63.238555
2013-09-12,468.500015,475.399986,466.010025,472.690018,101012800,63.9119
2013-09-13,469.339981,471.830025,464.699982,464.899986,74708900,62.858618
2013-09-16,460.999977,461.609978,447.220009,450.119995,135926700,60.860232
2013-09-17,447.959999,459.710014,447.499989,455.320007,99845200,61.563319
2013-09-18,463.18,466.350006,460.659996,464.680008,114215500,62.828875
2013-09-19,470.700012,475.830009,469.249992,472.299995,101135300,63.859165
2013-09-20,477.999992,478.550018,465.999985,467.410004,174825700,63.197995
2013-09-23,496.100006,496.910011,482.599991,490.640015,190526700,66.338899
2013-09-24,494.880005,495.469978,487.819977,489.100006,91086100,66.130676
2013-09-25,489.199982,489.639992,481.429977,481.530006,79239300,65.107145
2013-09-26,486.000015,488.56002,483.899994,486.219994,59305400,65.741273
2013-09-27,483.779991,484.669998,480.720001,482.750008,57010100,65.2721
2013-09-30,477.250015,481.659996,474.410004,476.749977,65039100,64.460842
2013-10-01,478.449989,489.140007,478.379974,487.960007,88470900,65.976538
2013-10-02,485.63002,491.799988,483.749977,489.55999,72296000,66.19287
2013-10-03,490.510025,492.350014,480.739975,483.409996,80688300,65.361336
2013-10-04,483.859993,484.599983,478.600006,483.030014,64717100,65.309959
2013-10-07,486.559975,492.649994,485.350014,487.750015,78073100,65.948145
2013-10-08,489.940025,490.640015,480.540024,480.93998,72729300,65.027368
2013-10-09,484.639984,487.790016,478.279999,486.589989,75431300,65.791299
2013-10-10,491.319977,492.379974,487.039986,489.639992,69650700,66.203687
2013-10-11,486.989998,493.839981,485.159996,492.809998,66934700,66.6323
2013-10-14,489.830009,497.579987,489.349998,496.039978,65474500,67.069022
2013-10-15,497.510025,502.000008,495.52002,498.679985,80018400,67.425975
2013-10-16,500.789993,502.530006,499.230011,501.110001,62775300,67.754534
2013-10-17,499.979988,504.779991,499.680008,504.499985,63398300,68.21289
2013-10-18,505.990005,509.259987,505.709999,508.889992,72635500,68.806458
2013-10-21,511.770004,524.300011,511.520012,521.360023,99526700,70.492518
2013-10-22,526.410019,528.450012,508.029999,519.870003,133515900,70.291054
2013-10-23,519.000023,525.669975,519.000023,524.959999,78430800,70.979267
2013-10-24,525.0,532.470024,522.449982,531.910011,96191200,71.91897
2013-10-25,531.319984,533.229988,525.110016,525.960022,84448000,71.114479
2013-10-28,529.039986,530.999977,523.209999,529.880005,137610200,71.644495
2013-10-29,536.270004,539.249992,514.540001,516.680023,158951800,69.85974
2013-10-30,519.610023,527.520004,517.020004,524.900024,88540900,70.971157
2013-10-31,525.0,527.48999,521.269981,522.699974,68924100,70.673691
2013-11-01,524.020004,524.799995,515.840004,520.030006,68722500,70.312688
2013-11-04,521.099991,526.820015,518.810005,526.75,61156900,71.221291
2013-11-05,524.580017,528.890022,523.000008,525.449997,66303300,71.045519
2013-11-06,524.149994,524.860023,518.200005,520.920013,55843900,70.844241
2013-11-07,519.580009,523.190025,512.380005,512.490021,65655100,69.697776
2013-11-08,514.580002,521.130005,512.589996,520.560005,69829200,70.79528
2013-11-11,519.990005,521.669991,514.410011,519.050011,56863100,70.589924
2013-11-12,517.670006,523.919975,516.999977,520.009979,51069200,70.720478
2013-11-13,518.0,522.249977,516.959976,520.63002,49305200,70.804802
2013-11-14,522.80999,529.279991,521.869995,528.160019,70604800,71.828869
2013-11-15,526.580009,529.089973,524.489975,524.990013,79480100,71.397754
2013-11-18,524.990013,527.19001,518.200005,518.629974,61236000,70.532799
2013-11-19,519.029984,523.37999,517.969986,519.549995,52234700,70.657921
2013-11-20,519.229988,520.419975,514.330009,514.999985,48479200,70.039127
2013-11-21,517.599991,521.210007,513.670021,521.139992,65506700,70.874157
2013-11-22,519.519981,522.159988,518.529999,519.799988,55931400,70.691919
2013-11-25,521.019989,525.86998,521.000015,523.739998,57327900,71.227754
2013-11-26,524.11998,536.140015,523.999977,533.399979,100345700,72.541495
2013-11-27,536.310005,546.0,533.399979,545.959999,90862100,74.249636
2013-11-29,549.480026,558.330002,547.809975,556.069977,79531900,75.624576
2013-12-02,558.000008,564.329979,550.819977,551.230026,118136200,74.966351
2013-12-03,558.299988,566.380013,557.68,566.319984,112742000,77.01856
2013-12-04,565.499992,569.19001,560.819992,565.000008,94452400,76.839045
2013-12-05,572.650009,575.139999,566.410027,567.899994,111895000,77.233439
2013-12-06,565.789986,566.750008,559.569977,560.019974,86088100,76.161769
2013-12-09,560.899994,569.579979,560.899994,566.43,80123400,77.033522
2013-12-10,563.580002,567.88002,561.199974,565.54998,69567400,76.913841
2013-12-11,567.0,570.970024,559.68998,561.359978,89929700,76.344008
2013-12-12,562.140022,565.339989,560.030014,560.539986,65572500,76.23249
2013-12-13,562.849998,562.880013,553.669975,554.429993,83205500,75.401541
2013-12-16,555.02002,562.640007,555.009979,557.500023,70648200,75.81906
2013-12-17,555.809998,559.439987,553.379982,554.990005,57475600,75.477702
2013-12-18,549.700005,551.450005,538.799995,550.769989,141465800,74.903787
2013-12-19,549.5,549.999985,543.729988,544.459991,80077200,74.045638
2013-12-20,545.43,551.610008,544.82,549.019989,109103400,74.66579
2013-12-23,568.000023,570.719978,562.76001,570.090004,125326600,77.531276
2013-12-24,569.889999,571.880005,566.029991,567.669975,41888700,77.202157
2013-12-26,568.099998,569.499977,563.379997,563.900009,51002000,76.689447
2013-12-27,563.820007,564.409981,559.500015,560.089989,56471100,76.171291
2013-12-30,557.460022,560.089989,552.319984,554.519981,63407400,75.41378
2013-12-31,554.170013,561.279976,554.000023,561.019997,55771100,76.297771
2014-01-02,555.680008,557.029999,552.020004,553.12999,58671200,75.224743
2014-01-03,552.860023,553.699989,540.429993,540.980019,98116900,73.572368
2014-01-06,537.450005,546.800018,533.599983,543.929993,103152700,73.973559
2014-01-07,544.320015,545.959999,537.919975,540.040024,79302300,73.44453
2014-01-08,538.809982,545.55999,538.68998,543.460022,64632400,73.909644
2014-01-09,546.800018,546.859993,535.349983,536.519997,69787200,72.965812
2014-01-10,539.829979,540.799988,531.109993,532.939995,76244000,72.478938
