Date,Open_TSCO,High_TSCO,Low_TSCO,Close_TSCO,Volume_TSCO,AdjClose_TSCO
2013-06-14,114.610001,114.889999,113.989998,114.68,1136000,55.831629
2013-06-17,115.080002,115.900002,114.489998,115.529999,543400,56.245449
2013-06-18,115.82,117.75,115.540001,117.610001,756400,57.258092
2013-06-19,117.480003,117.949997,115.949997,116.010002,805400,56.479137
2013-06-20,114.540001,115.639999,112.300003,112.540001,1076800,54.789777
2013-06-21,112.669998,113.75,108.449997,110.209999,2570800,53.655422
2013-06-24,109.620003,112.68,108.239998,111.190002,1551800,54.132534
2013-06-25,111.910004,113.239998,110.989998,111.970001,657000,54.512274
2013-06-26,114.190002,114.190002,111.239998,112.879997,552200,54.955303
2013-06-27,114.309998,117.050003,114.080002,116.489998,1473000,56.712821
2013-06-28,116.18,118.230003,115.82,117.550003,2004600,57.228882
2013-07-01,118.75,118.779999,115.800003,116.379997,1391400,56.659268
2013-07-02,114.900002,117.309998,114.0,115.900002,938600,56.425583
2013-07-03,115.580002,116.779999,115.120003,116.290001,404400,56.615453
2013-07-05,118.059998,118.860001,116.0,118.809998,582200,57.842307
2013-07-08,119.419998,120.5,118.339996,119.139999,747400,58.002967
2013-07-09,119.709999,120.440002,119.150002,120.160004,585200,58.499553
2013-07-10,120.559998,122.199997,120.5,122.169998,709400,59.478113
2013-07-11,123.0,123.760002,122.330002,122.900002,920200,59.833513
2013-07-12,122.550003,123.190002,121.839996,123.010002,501800,59.887067
2013-07-15,123.620003,124.449997,122.269997,122.57,699400,59.672853
2013-07-16,122.919998,123.309998,120.029999,120.68,871400,58.752712
2013-07-17,120.629997,120.940002,117.879997,119.099998,1595800,57.983493
2013-07-18,119.639999,121.470001,119.639999,120.75,1234800,58.786791
2013-07-19,121.129997,122.739998,120.25,122.489998,532200,59.633904
2013-07-22,122.089996,123.839996,122.0,122.07,743000,59.429429
2013-07-23,122.660004,122.910004,121.400002,122.080002,862800,59.434299
2013-07-24,121.93,122.68,119.790001,121.269997,1038400,59.03995
2013-07-25,118.510002,119.449997,116.050003,118.330002,2322200,57.608622
2013-07-26,118.589996,119.290001,117.129997,119.18,1291400,58.022441
2013-07-29,119.510002,120.379997,119.010002,119.370003,794800,58.114944
2013-07-30,120.529999,121.839996,119.800003,120.139999,833000,58.489814
2013-07-31,120.800003,122.269997,120.25,121.150002,798600,58.981531
2013-08-01,122.330002,123.57,120.699997,122.970001,1320200,59.867592
2013-08-02,123.0,123.379997,121.389999,123.309998,672600,60.033119
2013-08-05,122.839996,123.120003,122.050003,122.639999,478800,59.706932
2013-08-06,122.120003,123.099998,120.519997,122.120003,835800,59.453773
2013-08-07,122.029999,122.040001,119.370003,119.809998,669800,58.329154
2013-08-08,120.400002,121.660004,119.75,121.510002,802000,59.156796
2013-08-09,121.489998,122.559998,120.75,122.370003,727400,59.575485
2013-08-12,121.860001,122.400002,120.019997,120.230003,867600,58.533632
2013-08-13,120.5,121.980003,118.919998,121.93,612400,59.361271
2013-08-14,121.540001,121.599998,119.68,120.330002,393800,58.582316
2013-08-15,119.139999,120.970001,116.559998,116.800003,609200,56.98688
2013-08-16,116.650002,118.589996,116.339996,116.760002,553200,56.967364
2013-08-19,116.290001,118.279999,116.290001,117.730003,641400,57.440629
2013-08-20,117.720001,120.419998,117.529999,120.360001,660600,58.723808
2013-08-21,119.980003,120.410004,117.779999,118.190002,850800,57.665063
2013-08-22,118.230003,121.480003,117.690002,121.290001,596400,59.177556
2013-08-23,121.110001,122.230003,120.449997,121.0,614000,59.036065
2013-08-26,121.360001,122.230003,120.510002,121.550003,389600,59.304412
2013-08-27,120.040001,121.32,119.529999,120.349998,641200,58.718928
2013-08-28,120.07,121.110001,119.769997,119.800003,339600,58.450584
2013-08-29,120.5,124.629997,120.300003,123.779999,1208800,60.39243
2013-08-30,124.120003,124.120003,121.5,122.370003,889600,59.704491
2013-09-03,124.160004,124.489998,120.5,121.470001,1278600,59.265379
2013-09-04,121.970001,123.970001,121.160004,123.720001,675600,60.363157
2013-09-05,123.5,124.949997,123.260002,124.709999,894600,60.846178
2013-09-06,125.0,125.089996,121.849998,123.660004,867800,60.333884
2013-09-09,124.239998,127.620003,124.239998,126.839996,1039000,61.885407
2013-09-10,127.419998,129.339996,126.639999,129.300003,864800,63.085647
2013-09-11,129.479996,131.479996,129.029999,130.880005,824600,63.856532
2013-09-12,131.220001,131.229996,130.179993,130.679993,965000,63.758946
2013-09-13,130.779999,131.419998,129.979996,130.5,623800,63.671127
2013-09-16,132.690002,132.690002,129.990005,130.520004,886600,63.680888
2013-09-17,130.389999,131.679993,130.389999,130.75,748400,63.793103
2013-09-18,130.800003,131.389999,128.619995,131.149994,885600,63.98826
2013-09-19,131.869995,132.75,130.850006,131.600006,512200,64.207822
2013-09-20,131.970001,132.360001,130.130005,130.479996,1528000,63.661367
2013-09-23,130.759995,130.839996,129.080002,129.850006,715200,63.353995
2013-09-24,130.259995,131.580002,129.529999,130.0,613000,63.427177
2013-09-25,130.289993,131.279999,129.110001,130.059998,486200,63.45645
2013-09-26,130.259995,132.509995,129.830002,132.330002,679800,64.563988
2013-09-27,66.080002,67.129997,65.360001,66.400002,811400,64.793302
2013-09-30,66.029999,67.290001,65.830002,67.169998,868400,65.544667
2013-10-01,68.040001,68.889999,67.410004,68.269997,1394200,66.618048
2013-10-02,67.959999,69.0,67.75,68.730003,881600,67.066924
2013-10-03,68.860001,69.25,67.449997,68.199997,614500,66.549742
2013-10-04,68.330002,68.790001,67.940002,68.529999,468400,66.871759
