Date,Open_EMN,High_EMN,Low_EMN,Close_EMN,Volume_EMN,AdjClose_EMN
2013-06-14,71.010002,71.629997,70.860001,71.019997,1170100,66.7505
2013-06-17,72.989998,72.989998,71.809998,72.260002,1543400,67.91596
2013-06-18,72.470001,73.849998,72.279999,73.25,1529700,68.846442
2013-06-19,73.150002,73.480003,72.309998,72.330002,904200,67.981752
2013-06-20,71.410004,71.970001,70.099998,70.459999,1541700,66.224167
2013-06-21,71.0,71.169998,69.449997,70.790001,1594500,66.534331
2013-06-24,69.169998,70.410004,68.029999,70.0,1849100,65.791822
2013-06-25,70.82,71.18,69.809998,70.330002,1043000,66.101985
2013-06-26,70.730003,72.339996,70.629997,72.080002,1515100,67.746781
2013-06-27,72.580002,72.830002,71.919998,72.019997,853300,67.690383
2013-06-28,71.809998,72.330002,69.959999,70.010002,2440200,65.801223
2013-07-01,70.360001,72.139999,69.75,71.379997,1627300,67.088858
2013-07-02,71.360001,72.269997,69.980003,70.709999,1407300,66.459138
2013-07-03,70.529999,71.190002,70.160004,71.029999,566700,66.759901
2013-07-05,71.839996,72.400002,71.089996,72.010002,722800,67.680989
2013-07-08,72.419998,72.830002,71.93,72.709999,1160400,68.338905
2013-07-09,73.040001,74.099998,73.040001,73.43,1518600,69.015622
2013-07-10,73.419998,73.769997,72.379997,73.0,1125500,68.611472
2013-07-11,74.32,74.550003,73.519997,73.970001,1075600,69.523159
2013-07-12,73.889999,73.970001,73.239998,73.959999,749900,69.513759
2013-07-15,73.839996,74.739998,73.82,74.199997,940800,69.739329
2013-07-16,74.510002,74.68,73.260002,73.589996,1038400,69.165999
2013-07-17,74.0,75.489998,74.0,75.279999,1545500,70.754404
2013-07-18,75.339996,76.199997,74.730003,74.870003,1232100,70.369056
2013-07-19,74.970001,75.870003,74.419998,75.709999,970300,71.158554
2013-07-22,75.699997,76.360001,75.400002,75.610001,778400,71.064567
2013-07-23,75.879997,76.139999,75.25,75.809998,738900,71.252541
2013-07-24,75.839996,76.0,74.199997,75.040001,852100,70.528834
2013-07-25,74.739998,75.949997,74.709999,75.470001,1062800,70.932984
2013-07-26,75.129997,75.160004,73.510002,74.160004,883500,69.70174
2013-07-29,74.290001,75.360001,74.199997,75.029999,1188500,70.519433
2013-07-30,79.57,81.300003,77.5,79.75,3514200,74.955683
2013-07-31,79.660004,81.43,79.150002,80.43,1791200,75.594804
2013-08-01,80.769997,82.75,80.769997,82.300003,1541200,77.352388
2013-08-02,82.160004,82.459999,80.919998,82.410004,1560200,77.455776
2013-08-05,82.830002,82.910004,81.989998,82.489998,1061800,77.530961
2013-08-06,82.480003,82.669998,80.589996,80.919998,1564800,76.055345
2013-08-07,80.730003,81.169998,79.949997,80.940002,1249300,76.074146
2013-08-08,81.339996,82.0,80.419998,80.470001,1379300,75.6324
2013-08-09,80.699997,81.940002,79.949997,80.07,1344100,75.256445
2013-08-12,79.519997,80.07,79.129997,79.290001,1146700,74.523338
2013-08-13,79.5,80.879997,79.190002,80.629997,1260000,75.782778
2013-08-14,80.419998,80.919998,79.870003,80.059998,863300,75.247044
2013-08-15,79.529999,79.540001,77.129997,78.309998,1542500,73.602249
2013-08-16,77.669998,78.480003,76.860001,77.849998,1635200,73.169904
2013-08-19,77.870003,79.330002,77.610001,77.980003,1104900,73.292093
2013-08-20,78.040001,79.089996,77.790001,78.480003,602600,73.762035
2013-08-21,78.239998,79.300003,78.089996,78.339996,826000,73.630444
2013-08-22,78.5,79.720001,78.339996,79.449997,500200,74.673715
2013-08-23,79.540001,79.800003,78.75,79.669998,479100,74.880491
2013-08-26,79.709999,80.089996,78.239998,78.269997,1438800,73.564653
2013-08-27,77.010002,77.43,75.769997,75.879997,1860500,71.318333
2013-08-28,75.980003,76.080002,74.900002,75.25,2298100,70.726209
2013-08-29,75.18,77.050003,74.75,76.449997,1309200,71.854066
2013-08-30,76.540001,76.779999,75.769997,76.0,1183000,71.431121
2013-09-03,77.199997,78.349998,76.029999,76.849998,1555700,72.23002
2013-09-04,76.75,77.150002,75.739998,76.879997,1160800,72.258216
2013-09-05,77.0,77.129997,76.650002,76.790001,623300,72.17363
2013-09-06,76.970001,77.370003,75.760002,76.879997,1376500,72.258216
2013-09-09,77.190002,77.889999,76.75,77.290001,1118900,72.643571
2013-09-10,78.050003,78.400002,77.110001,77.75,1591500,73.075917
2013-09-11,77.699997,78.550003,77.57,78.419998,1365900,73.991132
2013-09-12,78.529999,78.629997,77.120003,77.660004,1030400,73.274059
2013-09-13,77.779999,77.870003,76.260002,76.5,1606100,72.179568
2013-09-16,77.82,77.980003,76.0,76.300003,4698400,71.990866
2013-09-17,76.360001,77.389999,76.199997,77.370003,1970400,73.000436
2013-09-18,77.18,79.029999,76.639999,78.779999,1519000,74.330801
2013-09-19,79.209999,80.080002,78.93,79.199997,1342800,74.727079
2013-09-20,79.190002,79.769997,78.5,78.529999,1560600,74.09492
2013-09-23,78.5,78.540001,77.309998,77.550003,1125500,73.170271
2013-09-24,77.349998,77.870003,76.410004,77.160004,1239900,72.802297
2013-09-25,77.059998,77.470001,76.019997,76.739998,992500,72.406012
2013-09-26,76.75,78.419998,76.68,78.220001,1286600,73.80243
2013-09-27,78.010002,78.290001,77.580002,77.699997,1110900,73.311794
2013-09-30,76.790001,78.279999,76.620003,77.900002,984300,73.500503
2013-10-01,77.849998,79.449997,77.800003,79.43,1846800,74.944093
2013-10-02,78.650002,78.849998,77.25,78.830002,1937100,74.37798
2013-10-03,78.459999,78.669998,76.540001,78.040001,1323600,73.632595
2013-10-04,77.949997,80.099998,77.489998,80.010002,1504800,75.491338
2013-10-07,79.050003,79.230003,77.690002,77.75,1484700,73.358973
2013-10-08,77.57,77.57,75.870003,75.970001,2175500,71.679502
2013-10-09,76.209999,77.269997,75.160004,76.400002,1789500,72.085217
2013-10-10,77.349998,78.25,76.730003,77.879997,1048600,73.481628
2013-10-11,77.660004,78.019997,77.410004,77.980003,1039800,73.575986
2013-10-14,77.269997,78.360001,76.889999,78.309998,896700,73.887344
2013-10-15,78.120003,80.150002,78.040001,79.330002,3033600,74.849742
2013-10-16,79.879997,80.809998,79.529999,80.279999,1448000,75.746087
2013-10-17,80.199997,81.550003,80.160004,81.459999,828800,76.859445
2013-10-18,81.669998,82.010002,80.870003,81.610001,1011300,77.000975
2013-10-21,81.93,82.470001,80.779999,81.220001,1033700,76.633001
2013-10-22,81.599998,82.769997,81.190002,82.550003,1223100,77.88789
2013-10-23,81.949997,82.959999,81.760002,82.599998,1272200,77.935062
2013-10-24,82.5,82.599998,81.57,82.18,1644300,77.538783
2013-10-25,77.309998,79.040001,76.120003,77.940002,7580000,73.538245
2013-10-28,77.879997,77.889999,75.709999,76.260002,3926700,71.953124
2013-10-29,76.760002,78.519997,76.400002,78.440002,2570000,74.010006
2013-10-30,78.669998,79.57,77.730003,78.389999,1548300,73.962827
2013-10-31,78.279999,79.400002,78.110001,78.790001,1609900,74.340238
2013-11-01,79.0,79.080002,77.5,78.220001,1112800,73.80243
2013-11-04,78.360001,78.510002,77.129997,77.690002,1147700,73.302364
2013-11-05,77.540001,78.110001,77.190002,77.730003,754700,73.340105
2013-11-06,77.959999,78.860001,77.449997,77.919998,1169000,73.51937
2013-11-07,78.290001,78.690002,76.709999,76.809998,1936800,72.472058
2013-11-08,77.230003,79.150002,77.110001,79.110001,2174200,74.642166
2013-11-11,78.940002,79.190002,78.470001,79.010002,744100,74.547815
2013-11-12,78.779999,79.68,78.540001,79.07,885200,74.604424
2013-11-13,78.760002,79.93,78.68,79.720001,901000,75.217716
2013-11-14,79.860001,80.099998,78.879997,79.239998,1590900,74.764821
2013-11-15,79.169998,79.760002,78.529999,78.709999,1251900,74.264755
2013-11-18,78.760002,78.980003,77.639999,77.860001,1328000,73.462761
2013-11-19,77.82,77.949997,76.220001,76.669998,1766700,72.339965
2013-11-20,76.860001,76.870003,75.699997,75.870003,1270100,71.585151
2013-11-21,76.190002,76.699997,75.709999,76.449997,909000,72.132389
2013-11-22,76.650002,76.870003,76.230003,76.43,1269300,72.113522
2013-11-25,76.510002,76.650002,75.760002,75.889999,1056100,71.604018
2013-11-26,75.480003,76.470001,75.370003,75.449997,1278500,71.188865
2013-11-27,75.830002,76.839996,75.57,76.639999,891600,72.311661
2013-11-29,76.839996,77.510002,76.830002,77.029999,471900,72.679634
2013-12-02,77.209999,77.830002,76.370003,76.459999,1228500,72.141826
2013-12-03,76.040001,76.650002,75.050003,75.43,1103400,71.169998
2013-12-04,74.790001,75.410004,74.129997,74.580002,1384600,70.368004
2013-12-05,74.300003,75.18,74.129997,74.309998,1351000,70.113249
2013-12-06,75.5,76.559998,75.110001,76.209999,1321100,71.905945
2013-12-09,76.220001,76.239998,75.139999,75.360001,1455300,71.103951
2013-12-10,75.239998,75.760002,75.019997,75.309998,1476400,71.056772
2013-12-11,75.5,75.5,74.440002,74.550003,1659800,70.3397
2013-12-12,74.099998,74.540001,73.800003,73.860001,1930900,70.017389
2013-12-13,74.540001,74.540001,72.620003,72.669998,2751300,68.889297
2013-12-16,73.260002,74.019997,73.209999,73.43,1784300,69.609759
2013-12-17,73.75,74.269997,73.300003,74.029999,3408600,70.178542
2013-12-18,74.07,74.830002,73.25,74.639999,2012100,70.756807
2013-12-19,74.57,75.43,74.370003,75.010002,2837400,71.107561
2013-12-20,75.400002,76.629997,75.239998,75.93,3920200,71.979695
2013-12-23,76.5,77.150002,76.110001,77.050003,1611800,73.041429
2013-12-24,77.010002,78.239998,77.010002,78.220001,1063600,74.150557
2013-12-26,78.300003,79.029999,78.300003,78.970001,1650100,74.861538
2013-12-27,79.0,79.440002,78.870003,79.059998,839200,74.946852
2013-12-30,78.989998,79.93,78.879997,79.900002,1547900,75.743155
2013-12-31,79.879997,80.839996,79.839996,80.699997,2192500,76.50153
2014-01-02,80.309998,80.529999,79.879997,80.279999,1612900,76.103382
2014-01-03,80.459999,80.940002,80.120003,80.169998,941700,75.999105
2014-01-06,80.760002,80.940002,79.220001,79.760002,1291200,75.610439
2014-01-07,79.739998,79.970001,79.220001,79.449997,1442700,75.316562
2014-01-08,79.129997,79.480003,78.160004,79.199997,1776600,75.079568
2014-01-09,79.489998,79.989998,78.949997,79.300003,1045300,75.174372
2014-01-10,79.910004,80.43,79.269997,79.43,973100,75.297606
2014-01-13,79.110001,79.57,77.989998,78.169998,1070500,74.103156
2014-01-14,78.32,79.529999,78.32,79.290001,1080800,75.16489
2014-01-15,79.360001,80.18,79.32,79.809998,1381900,75.657833
2014-01-16,79.730003,80.290001,79.459999,79.830002,813800,75.676797
2014-01-17,79.650002,80.389999,79.199997,79.879997,1024000,75.724191
2014-01-21,80.650002,81.25,79.480003,79.639999,2314800,75.496679
2014-01-22,79.650002,79.75,77.18,77.849998,3149400,73.799804
2014-01-23,77.019997,77.019997,74.830002,76.199997,3160100,72.235645
2014-01-24,75.339996,75.82,74.519997,74.629997,2957500,70.747326
2014-01-27,74.699997,75.169998,73.0,74.379997,2386800,70.510332
2014-01-28,74.5,75.629997,74.300003,75.220001,1986500,71.306634
2014-01-29,74.910004,76.07,74.489998,74.690002,1933300,70.804209
2014-01-30,75.07,76.220001,74.620003,75.970001,2259200,72.017615
2014-01-31,77.199997,79.760002,76.25,77.959999,3489200,73.904082
2014-02-03,78.110001,78.550003,76.029999,76.110001,2073400,72.150331
2014-02-04,76.580002,77.370003,75.629997,77.0,1762900,72.994028
2014-02-05,76.809998,78.089996,76.040001,77.82,2165200,73.771366
2014-02-06,77.860001,78.690002,77.580002,78.120003,1609200,74.055761
2014-02-07,78.550003,79.300003,78.209999,79.160004,1470300,75.041656
2014-02-10,79.07,80.330002,78.959999,80.160004,1599300,75.98963
2014-02-11,80.0,80.489998,79.510002,79.809998,1718700,75.657833
2014-02-12,79.900002,81.870003,79.849998,81.650002,1730600,77.40211
2014-02-13,81.32,83.099998,81.0,82.480003,1845900,78.18893
2014-02-14,82.239998,83.0,81.489998,82.839996,859300,78.530194
2014-02-18,83.150002,83.160004,82.309998,82.82,1170300,78.511238
2014-02-19,82.830002,83.379997,81.949997,82.050003,1583800,77.781301
2014-02-20,82.089996,82.860001,81.0,82.809998,1280300,78.501756
2014-02-21,83.900002,84.690002,83.379997,84.339996,1984800,79.952156
2014-02-24,84.220001,85.110001,83.860001,84.089996,1708200,79.715162
2014-02-25,84.029999,86.139999,83.970001,85.779999,2156600,81.317241
2014-02-26,85.760002,86.5,85.309998,85.900002,1775400,81.431001
2014-02-27,85.599998,86.830002,85.599998,86.809998,1816500,82.293654
2014-02-28,87.050003,88.139999,86.68,87.43,1746600,82.881401
2014-03-03,86.540001,87.879997,86.370003,87.160004,1676100,82.625451
2014-03-04,88.220001,88.279999,87.489998,87.540001,1499300,82.985678
2014-03-05,87.589996,87.790001,86.900002,87.330002,1276800,82.786605
