Date,Open_BXLT,High_BXLT,Low_BXLT,Close_BXLT,Volume_BXLT,AdjClose_BXLT
2015-06-15,34.0,34.950001,33.5,33.5,938800,33.255371
2015-06-16,33.75,34.0,32.75,32.939999,4433200,32.699459
2015-06-17,33.049999,34.09,31.950001,32.049999,797400,31.815959
2015-06-18,31.99,32.849998,31.5,32.490002,2010300,32.252749
2015-06-19,32.75,32.75,31.780001,31.889999,1409300,31.657128
2015-06-22,32.720001,32.720001,31.52,31.950001,1956900,31.716691
2015-06-23,32.389999,32.389999,31.790001,32.25,1359200,32.014499
2015-06-24,33.540001,33.580002,32.360001,32.75,1874200,32.510848
2015-06-25,32.75,33.75,32.75,32.900002,1446300,32.659754
2015-06-26,32.599998,33.900002,32.470001,33.150002,638800,32.907929
2015-06-29,33.0,33.75,33.0,33.09,3321300,32.848366
2015-06-30,33.650002,33.75,31.75,31.940001,6304800,31.706764
2015-07-01,32.880001,34.5,30.58,31.5,14868300,31.269976
2015-07-02,31.59,32.400002,30.879999,31.030001,11614700,30.803409
2015-07-06,30.799999,31.75,30.33,31.709999,5942200,31.478442
2015-07-07,31.700001,32.02,31.25,31.940001,6524000,31.706764
2015-07-08,31.5,32.200001,31.09,31.15,5131600,30.922532
2015-07-09,31.309999,31.549999,30.01,30.059999,6773300,29.840491
2015-07-10,30.530001,30.950001,30.129999,30.85,5027800,30.624723
2015-07-13,30.68,31.08,30.120001,30.23,5388600,30.00925
2015-07-14,29.91,30.540001,29.83,30.469999,6237100,30.247497
2015-07-15,30.25,31.049999,30.15,30.969999,6800100,30.743846
2015-07-16,31.120001,32.07,30.969999,31.459999,8446500,31.230267
2015-07-17,31.459999,32.990002,31.200001,32.689999,5829800,32.451285
2015-07-20,32.5,32.720001,32.279999,32.380001,2204400,32.143551
2015-07-21,32.279999,32.52,31.84,32.209999,2319800,31.974791
2015-07-22,31.870001,32.18,31.5,31.84,2855800,31.607494
2015-07-23,32.150002,32.25,30.74,31.290001,4578100,31.061511
2015-07-24,30.959999,32.25,30.59,30.889999,4566500,30.66443
2015-07-27,30.799999,31.110001,30.1,30.6,5341100,30.376549
2015-07-28,30.559999,30.74,30.02,30.440001,5111300,30.217717
2015-07-29,30.809999,32.380001,30.6,30.92,8018100,30.694212
2015-07-30,30.51,32.150002,30.450001,31.91,5621700,31.676982
2015-07-31,32.16,33.0,31.91,32.830002,6420900,32.590266
2015-08-03,32.580002,33.59,32.5,33.150002,5183400,32.907929
2015-08-04,36.860001,39.75,36.139999,37.099998,41139400,36.829082
2015-08-05,37.200001,38.25,36.209999,37.299999,7187500,37.027622
2015-08-06,37.380001,38.439999,37.360001,37.389999,5781100,37.116965
2015-08-07,37.459999,37.939999,36.972,37.599998,4557400,37.32543
2015-08-10,37.959999,40.240002,37.869999,39.790001,7011600,39.499441
2015-08-11,38.950001,39.080002,38.0,38.720001,5567400,38.437254
2015-08-12,38.130001,38.560001,37.900002,38.110001,4018200,37.831708
2015-08-13,38.060001,38.869999,37.75,38.25,5792900,37.970685
2015-08-14,38.25,39.52,38.112,39.439999,4071300,39.151994
2015-08-17,39.549999,40.549999,39.09,40.349998,5575700,40.055349
2015-08-18,40.060001,40.900002,39.794998,39.919998,4181800,39.628489
2015-08-19,39.540001,40.75,39.470001,40.290001,2645900,39.995789
2015-08-20,40.119999,40.41,39.650002,39.669998,4592900,39.380314
2015-08-21,38.360001,39.200001,36.220001,36.459999,6894300,36.193756
2015-08-24,30.92,34.439999,29.83,34.34,7502100,34.089238
2015-08-25,37.32,37.32,34.73,34.73,3019400,34.476389
2015-08-26,35.529999,36.0,34.75,35.450001,3528700,35.191133
2015-08-27,35.610001,36.990002,35.119999,36.43,2802900,36.163976
2015-08-28,36.240002,37.959999,34.5,35.25,4794800,34.992592
2015-08-31,35.119999,35.790001,34.77,35.150002,4492200,34.893324
2015-09-01,34.0,35.330002,34.0,34.68,2771900,34.426755
2015-09-02,34.599998,35.060001,34.27,35.029999,3138300,34.84453
2015-09-03,35.73,37.16,35.439999,36.139999,3892400,35.948654
2015-09-04,35.549999,36.5,35.380001,36.080002,2018900,35.888974
2015-09-08,36.549999,36.57,34.959999,35.220001,3646100,35.033527
2015-09-09,34.549999,35.830002,34.095001,34.220001,3395800,34.038821
2015-09-10,34.310001,36.200001,34.169998,35.009998,3794900,34.824636
2015-09-11,34.689999,35.82,34.549999,35.810001,1874000,35.620403
2015-09-14,36.57,37.75,36.369999,37.349998,3970000,37.152247
2015-09-15,37.349998,37.599998,36.07,37.060001,3052600,36.863785
2015-09-16,37.119999,37.630001,36.650002,37.07,1694800,36.87373
2015-09-17,36.259998,37.349998,36.099998,36.860001,2267900,36.664843
2015-09-18,36.549999,37.889999,36.099998,36.900002,6001100,36.704632
2015-09-21,36.720001,37.040001,35.110001,36.07,2544900,35.879025
2015-09-22,35.330002,36.0,34.900002,35.200001,2323200,35.013632
2015-09-23,35.41,35.470001,34.34,34.59,1720900,34.406861
2015-09-24,34.549999,34.678001,33.740002,34.110001,3150000,33.929403
2015-09-25,34.209999,34.400002,32.790001,32.959999,3186800,32.78549
