Date,Open_WYNN,High_WYNN,Low_WYNN,Close_WYNN,Volume_WYNN,AdjClose_WYNN
2013-06-14,135.970001,137.110001,134.429993,135.139999,1028000,122.106516
2013-06-17,137.0,140.25,136.110001,138.389999,2189600,125.043072
2013-06-18,138.869995,140.399994,138.580002,139.300003,955100,125.865311
2013-06-19,140.25,140.25,137.679993,137.860001,830900,124.564188
2013-06-20,136.479996,136.509995,130.619995,132.169998,2678100,119.422954
2013-06-21,132.979996,133.610001,127.370003,129.690002,3216600,117.18214
2013-06-24,126.629997,127.0,121.839996,124.120003,3326000,112.149335
2013-06-25,126.419998,127.449997,125.550003,125.599998,2084600,113.486593
2013-06-26,127.510002,129.449997,126.620003,127.230003,1697100,114.959394
2013-06-27,128.070007,129.699997,127.550003,128.600006,1011900,116.197267
2013-06-28,128.399994,129.259995,127.889999,127.970001,1154400,115.628023
2013-07-01,129.279999,130.550003,128.270004,128.460007,1082600,116.07077
2013-07-02,128.380005,129.149994,124.910004,126.18,1674400,114.010657
2013-07-03,125.190002,127.0,124.57,126.139999,599500,113.974514
2013-07-05,127.410004,127.949997,125.550003,127.080002,623100,114.823859
2013-07-08,127.32,129.089996,126.779999,126.980003,1457100,114.733505
2013-07-09,127.209999,127.889999,125.419998,126.589996,1412000,114.381112
2013-07-10,126.440002,127.550003,125.970001,127.269997,993800,114.99553
2013-07-11,129.5,132.460007,128.100006,131.630005,2463300,118.93504
2013-07-12,131.410004,131.839996,129.770004,130.779999,1389400,118.167012
2013-07-15,130.779999,132.830002,130.559998,131.990005,1262500,119.260321
2013-07-16,132.509995,133.440002,131.179993,132.470001,1097500,119.694024
2013-07-17,133.139999,133.429993,130.910004,131.509995,859400,118.826604
2013-07-18,131.619995,133.990005,131.619995,133.100006,953800,120.263268
2013-07-19,133.300003,133.300003,132.020004,133.089996,935700,120.254224
2013-07-22,132.360001,133.649994,131.190002,133.380005,1431100,120.516263
2013-07-23,133.179993,133.589996,131.429993,131.520004,1272000,118.835648
2013-07-24,132.679993,132.779999,130.380005,131.130005,1276400,118.483262
2013-07-25,131.119995,131.669998,128.410004,130.160004,1445000,117.606812
2013-07-26,128.509995,131.220001,128.509995,130.979996,1140700,118.347721
2013-07-29,128.899994,133.0,128.800003,131.270004,1427500,118.609759
2013-07-30,132.5,134.339996,131.899994,133.070007,1205900,120.236162
2013-07-31,134.059998,134.75,132.610001,133.130005,923600,120.290374
2013-08-01,135.259995,138.070007,134.350006,137.440002,1513600,124.184696
2013-08-02,137.449997,140.179993,136.419998,139.850006,1412700,126.362269
