Date,Open_AIZ,High_AIZ,Low_AIZ,Close_AIZ,Volume_AIZ,AdjClose_AIZ
2015-06-08,65.839996,66.139999,65.5,65.550003,355700,64.077337
2015-06-09,65.370003,66.269997,65.220001,65.82,911900,64.341268
2015-06-10,66.089996,67.660004,65.970001,67.550003,683100,66.032404
2015-06-11,67.610001,67.809998,66.919998,67.040001,914000,65.53386
2015-06-12,66.870003,67.089996,66.5,66.82,595000,65.318801
2015-06-15,66.230003,66.779999,65.940002,66.599998,624100,65.103743
2015-06-16,66.489998,68.07,66.360001,67.709999,610500,66.188806
2015-06-17,67.889999,68.050003,67.349998,67.57,546000,66.051952
2015-06-18,67.790001,68.910004,67.660004,68.610001,656600,67.068588
2015-06-19,68.470001,69.389999,68.269997,68.559998,1260500,67.019708
2015-06-22,68.830002,69.139999,68.190002,68.489998,768800,66.951281
2015-06-23,68.739998,69.239998,68.239998,68.870003,522700,67.322748
2015-06-24,68.760002,68.849998,68.349998,68.400002,580600,66.863306
2015-06-25,68.400002,68.620003,67.540001,68.029999,836600,66.501616
2015-06-26,68.300003,68.580002,67.839996,68.370003,860500,66.833982
2015-06-29,67.739998,68.07,66.519997,66.610001,531100,65.11352
2015-06-30,67.480003,67.480003,66.599998,67.0,669800,65.494758
2015-07-01,67.879997,68.699997,67.879997,68.550003,768600,67.009938
2015-07-02,68.870003,69.269997,68.32,68.610001,550000,67.068588
2015-07-06,67.940002,68.669998,67.82,68.389999,591500,66.853529
2015-07-07,68.529999,69.639999,67.860001,69.540001,838500,67.977694
2015-07-08,68.959999,69.300003,68.099998,68.139999,933800,66.609146
2015-07-09,68.870003,69.239998,68.699997,69.0,438200,67.449825
2015-07-10,69.82,70.389999,69.330002,70.199997,533400,68.622863
2015-07-13,70.580002,71.779999,70.360001,71.269997,825200,69.668823
2015-07-14,71.199997,71.989998,70.870003,71.940002,575400,70.323777
2015-07-15,72.120003,73.279999,71.639999,73.110001,691100,71.467489
2015-07-16,73.269997,73.690002,73.120003,73.540001,442500,71.887829
2015-07-17,73.32,73.360001,72.360001,72.720001,565000,71.086252
2015-07-20,72.779999,72.980003,72.290001,72.389999,583500,70.763664
2015-07-21,72.57,73.300003,72.440002,72.699997,531600,71.066697
2015-07-22,72.870003,73.459999,72.720001,73.150002,461900,71.506592
2015-07-23,73.360001,73.43,72.489998,72.699997,408000,71.066697
2015-07-24,72.889999,73.900002,72.75,73.059998,435600,71.41861
2015-07-27,72.660004,72.720001,72.169998,72.629997,479600,70.99827
2015-07-28,73.080002,73.080002,71.940002,72.889999,756900,71.252431
2015-07-29,75.0,76.25,74.080002,74.099998,1142900,72.435246
2015-07-30,74.330002,75.279999,73.720001,75.150002,1074400,73.461659
2015-07-31,75.379997,75.379997,74.330002,74.599998,802400,72.924012
2015-08-03,75.809998,76.379997,75.029999,76.330002,750800,74.615149
2015-08-04,76.389999,76.620003,75.690002,76.059998,473800,74.351211
2015-08-05,76.25,77.029999,75.839996,76.669998,740800,74.947507
2015-08-06,76.959999,76.989998,76.18,76.690002,496100,74.967062
2015-08-07,76.519997,77.110001,76.440002,77.059998,508100,75.328744
2015-08-10,77.510002,78.309998,77.330002,78.010002,349000,76.257406
2015-08-11,77.699997,79.739998,77.370003,79.129997,915000,77.352239
2015-08-12,78.540001,79.0,77.790001,78.849998,696900,77.078531
2015-08-13,78.839996,79.989998,78.839996,79.559998,492800,77.772579
2015-08-14,79.849998,79.980003,79.459999,79.599998,628700,77.811681
2015-08-17,79.470001,79.519997,78.510002,79.480003,508700,77.694382
2015-08-18,79.540001,80.080002,79.160004,79.379997,433400,77.596622
2015-08-19,79.110001,79.529999,78.589996,78.940002,476500,77.166513
2015-08-20,78.620003,79.260002,77.089996,77.110001,434600,75.377624
2015-08-21,76.309998,76.660004,74.599998,74.849998,1851600,73.168396
2015-08-24,72.0,76.830002,70.360001,71.589996,981200,69.981634
2015-08-25,73.690002,74.050003,71.940002,72.029999,1233400,70.411751
2015-08-26,73.849998,74.559998,72.410004,74.339996,768200,72.669852
2015-08-27,74.989998,75.459999,73.760002,75.099998,590200,73.710234
2015-08-28,74.510002,75.059998,74.349998,74.790001,473100,73.405974
2015-08-31,74.419998,74.879997,74.010002,74.349998,463300,72.974114
2015-09-01,73.059998,73.879997,71.790001,72.190002,770400,70.854089
2015-09-02,72.720001,73.099998,72.239998,73.089996,374900,71.737428
2015-09-03,73.169998,73.68,72.849998,73.129997,468600,71.776689
2015-09-04,72.410004,72.790001,71.949997,72.440002,466300,71.099463
2015-09-08,73.57,73.970001,72.870003,73.779999,468500,72.414662
2015-09-09,74.269997,74.800003,73.080002,73.32,703900,71.963175
2015-09-10,75.07,76.260002,74.150002,75.459999,743700,74.063573
2015-09-11,75.849998,77.0,75.849998,76.82,1008800,75.398406
2015-09-14,76.860001,76.93,76.260002,76.639999,528900,75.221737
2015-09-15,76.93,78.190002,76.040001,77.800003,676000,76.360274
2015-09-16,77.5,77.889999,76.470001,76.919998,881100,75.496554
2015-09-17,76.970001,77.839996,76.480003,76.650002,535100,75.231554
2015-09-18,75.790001,75.849998,75.129997,75.5,900500,74.102834
2015-09-21,75.940002,76.75,75.68,76.32,437900,74.907659
2015-09-22,75.480003,75.949997,75.169998,75.599998,523400,74.200982
2015-09-23,75.5,76.599998,75.5,76.400002,510000,74.98618
2015-09-24,75.809998,77.139999,75.75,76.980003,494000,75.555449
2015-09-25,77.800003,78.339996,77.440002,78.089996,578100,76.644901
2015-09-28,77.589996,77.940002,76.389999,76.620003,686700,75.20211
2015-09-29,76.860001,77.57,76.309998,77.449997,521100,76.016745
2015-09-30,78.330002,79.18,77.660004,79.010002,793500,77.547881
2015-10-01,79.040001,79.529999,77.830002,78.489998,581300,77.0375
2015-10-02,77.220001,78.25,76.809998,78.25,556400,76.801944
2015-10-05,78.589996,79.919998,78.449997,79.68,662800,78.205481
2015-10-06,79.620003,80.720001,79.459999,80.150002,666400,78.666785
2015-10-07,80.419998,81.18,79.709999,80.040001,834400,78.55882
2015-10-08,79.75,81.830002,79.489998,81.720001,430900,80.207731
2015-10-09,81.660004,82.07,80.419998,80.559998,539700,79.069193
2015-10-12,80.559998,80.949997,80.25,80.419998,483200,78.931785
2015-10-13,80.230003,80.580002,79.949997,80.480003,475500,78.99068
2015-10-14,80.489998,80.82,79.559998,79.669998,335700,78.195664
2015-10-15,80.150002,80.25,79.57,80.0,548000,78.519559
2015-10-16,80.029999,80.739998,79.639999,80.07,732000,78.588263
2015-10-19,80.059998,81.089996,79.629997,81.050003,679900,79.550131
2015-10-20,81.279999,82.379997,80.879997,82.199997,602000,80.678844
2015-10-21,81.279999,81.459999,78.720001,79.910004,1246400,78.431228
2015-10-22,80.18,81.459999,80.029999,80.790001,451000,79.29494
2015-10-23,81.160004,82.010002,80.769997,81.849998,614400,80.335322
2015-10-26,82.010002,82.529999,81.610001,82.040001,467100,80.521809
2015-10-27,81.459999,81.730003,80.870003,81.080002,507800,79.579575
2015-10-28,79.989998,82.110001,78.330002,81.400002,875400,79.893653
