Date,Open_EXR,High_EXR,Low_EXR,Close_EXR,Volume_EXR,AdjClose_EXR
2015-06-08,66.610001,66.660004,66.169998,66.43,614600,64.398255
2015-06-09,66.360001,66.620003,65.660004,65.830002,543000,63.816608
2015-06-10,65.919998,67.169998,65.82,66.540001,609400,64.504891
2015-06-11,66.400002,67.110001,65.949997,67.099998,855400,65.629689
2015-06-12,66.980003,67.389999,66.599998,67.199997,831300,65.727496
2015-06-15,67.139999,67.540001,66.650002,67.099998,612800,65.629689
2015-06-16,66.589996,68.699997,66.550003,68.470001,1141500,66.969672
2015-06-17,69.169998,69.25,68.370003,68.639999,4362200,67.135945
2015-06-18,68.75,69.739998,68.75,69.550003,1118600,68.026008
2015-06-19,69.449997,69.68,68.760002,68.900002,1265000,67.39025
2015-06-22,69.0,69.190002,68.089996,68.150002,1292800,66.656684
2015-06-23,68.120003,68.199997,67.050003,67.160004,778700,65.688379
2015-06-24,67.290001,67.510002,66.209999,66.25,787100,64.798316
2015-06-25,66.290001,66.639999,65.160004,65.410004,763300,63.976725
2015-06-26,65.43,65.769997,64.989998,65.639999,718400,64.201681
2015-06-29,65.339996,66.18,64.980003,65.040001,783000,63.61483
2015-06-30,65.419998,65.809998,64.779999,65.220001,653700,63.790886
2015-07-01,66.080002,66.900002,65.379997,66.830002,1186300,65.365608
2015-07-02,67.309998,68.0,67.050003,67.410004,1065200,65.932901
2015-07-06,66.870003,67.839996,66.300003,67.32,916400,65.844869
2015-07-07,67.510002,68.730003,67.330002,68.540001,850000,67.038138
2015-07-08,67.970001,69.309998,67.800003,68.809998,1126600,67.302218
2015-07-09,69.190002,69.370003,68.639999,68.900002,618700,67.39025
2015-07-10,69.290001,70.169998,68.889999,69.580002,606800,68.05535
2015-07-13,70.169998,70.769997,69.339996,69.699997,656700,68.172715
2015-07-14,69.769997,70.150002,69.290001,69.57,903300,68.045567
2015-07-15,69.489998,70.150002,69.099998,69.57,513600,68.045567
2015-07-16,69.889999,70.440002,69.389999,70.370003,478300,68.82804
2015-07-17,70.279999,70.309998,69.629997,70.169998,555300,68.632418
2015-07-20,70.0,70.900002,69.620003,70.779999,735500,69.229052
2015-07-21,70.849998,71.139999,70.260002,70.279999,585300,68.740008
2015-07-22,70.279999,71.230003,70.279999,70.910004,582100,69.356208
2015-07-23,71.410004,71.470001,70.260002,70.849998,587300,69.297518
2015-07-24,70.75,71.300003,70.389999,70.980003,569900,69.424674
2015-07-27,70.940002,71.559998,70.779999,71.169998,628000,69.610506
2015-07-28,71.279999,71.449997,70.669998,70.989998,647700,69.43445
2015-07-29,70.879997,71.32,70.349998,71.150002,623400,69.590947
2015-07-30,71.889999,73.239998,71.629997,72.830002,781000,71.234135
2015-07-31,73.470001,74.269997,72.989998,73.519997,1041900,71.909011
2015-08-03,73.5,74.489998,73.339996,74.419998,649900,72.789291
2015-08-04,74.349998,75.160004,74.080002,74.309998,551200,72.681701
2015-08-05,74.610001,74.959999,74.309998,74.690002,617300,73.053379
2015-08-06,74.57,75.43,73.980003,75.339996,649100,73.68913
2015-08-07,75.260002,76.089996,74.519997,75.699997,634100,74.041242
2015-08-10,76.169998,76.43,74.980003,75.300003,949100,73.650013
2015-08-11,75.150002,76.650002,74.690002,76.110001,782700,74.442262
2015-08-12,75.870003,76.709999,75.209999,76.699997,1059200,75.01933
2015-08-13,76.82,78.190002,76.620003,77.25,1509200,75.557281
2015-08-14,77.25,78.800003,76.879997,78.449997,3641400,76.730984
2015-08-17,78.519997,79.120003,78.32,78.699997,1107100,76.975506
2015-08-18,78.559998,79.150002,78.410004,78.529999,736600,76.809232
2015-08-19,78.459999,78.82,78.080002,78.449997,752300,76.730984
2015-08-20,78.279999,78.989998,77.730003,77.879997,868300,76.173474
2015-08-21,77.57,78.080002,76.510002,76.529999,1238300,74.853057
2015-08-24,74.040001,74.699997,72.120003,72.220001,1502000,70.637501
2015-08-25,74.029999,74.110001,69.959999,70.029999,1388000,68.495486
2015-08-26,71.68,72.470001,70.339996,72.110001,1178300,70.529911
2015-08-27,72.830002,74.290001,72.150002,73.839996,984200,72.221998
2015-08-28,73.709999,74.440002,73.349998,74.129997,836800,72.505645
2015-08-31,74.209999,74.660004,73.290001,73.480003,1761100,71.869894
2015-09-01,72.550003,73.209999,71.870003,72.489998,972100,70.901581
2015-09-02,73.410004,73.599998,72.68,73.57,722500,71.957918
2015-09-03,73.5,74.050003,73.029999,73.300003,707900,71.693837
2015-09-04,72.800003,73.129997,70.980003,71.419998,753500,69.855028
2015-09-08,72.370003,73.330002,71.970001,73.080002,739600,71.478657
2015-09-09,73.529999,73.690002,71.790001,71.900002,619700,70.324513
2015-09-10,71.900002,72.940002,71.580002,71.970001,746000,70.392979
2015-09-11,71.68,73.0,71.309998,72.970001,644300,71.960991
2015-09-14,73.080002,73.330002,72.730003,73.050003,461000,72.039887
2015-09-15,72.940002,75.309998,72.540001,74.82,3229600,73.785408
2015-09-16,74.82,74.879997,73.959999,74.029999,2489900,73.006331
2015-09-17,73.690002,75.830002,73.669998,75.260002,1339000,74.219326
2015-09-18,74.470001,76.290001,74.239998,75.480003,3577600,74.436285
2015-09-21,75.510002,76.709999,75.510002,76.599998,1121400,75.540794
2015-09-22,75.900002,76.309998,72.760002,75.620003,1151400,74.574349
2015-09-23,75.730003,76.57,75.489998,76.349998,463800,75.29425
2015-09-24,76.040001,76.779999,75.209999,75.610001,611600,74.564485
2015-09-25,76.57,77.029999,75.690002,76.269997,563300,75.215355
