Date,Open_ADBE,High_ADBE,Low_ADBE,Close_ADBE,Volume_ADBE,AdjClose_ADBE
2013-06-14,43.330002,43.57,42.700001,42.84,2320100,42.84
2013-06-17,43.220001,43.759998,42.970001,43.389999,2677100,43.389999
2013-06-18,43.549999,44.200001,43.220001,43.360001,5433900,43.360001
2013-06-19,46.43,46.439999,45.349998,45.779999,12566000,45.779999
2013-06-20,45.279999,45.290001,44.450001,44.900002,5488700,44.900002
2013-06-21,44.919998,45.0,44.23,44.77,6294400,44.77
2013-06-24,44.34,44.599998,43.369999,43.599998,4492900,43.599998
2013-06-25,44.040001,44.439999,43.459999,44.369999,3366300,44.369999
2013-06-26,44.950001,45.919998,44.900002,45.68,5356400,45.68
2013-06-27,45.900002,46.27,45.59,45.93,2916500,45.93
2013-06-28,45.990002,45.990002,45.389999,45.560001,4052600,45.560001
2013-07-01,45.23,47.189999,44.880001,46.240002,6341400,46.240002
2013-07-02,46.0,46.48,45.720001,46.029999,3025100,46.029999
2013-07-03,45.709999,46.82,45.66,46.419998,1597300,46.419998
2013-07-05,46.689999,47.099998,46.549999,47.0,1614600,47.0
2013-07-08,47.029999,47.490002,46.439999,46.630001,2813100,46.630001
2013-07-09,46.759998,47.310001,46.73,47.259998,2578900,47.259998
2013-07-10,47.09,47.330002,46.639999,47.25,2684700,47.25
2013-07-11,47.619999,48.0,47.5,47.990002,3293500,47.990002
2013-07-12,48.349998,48.630001,48.080002,48.389999,4135700,48.389999
2013-07-15,48.25,48.459999,48.099998,48.119999,2122800,48.119999
2013-07-16,48.049999,48.130001,47.360001,47.490002,2473100,47.490002
2013-07-17,48.169998,48.400002,47.779999,48.040001,3135800,48.040001
2013-07-18,48.040001,48.52,48.009998,48.189999,2641600,48.189999
2013-07-19,48.259998,48.470001,47.93,48.07,2764000,48.07
2013-07-22,48.52,48.52,47.919998,48.279999,1782900,48.279999
2013-07-23,48.349998,48.450001,47.950001,48.07,1708600,48.07
2013-07-24,48.380001,48.580002,47.650002,47.799999,2407400,47.799999
2013-07-25,47.799999,47.959999,47.450001,47.790001,2242800,47.790001
2013-07-26,47.77,47.860001,47.400002,47.639999,2918000,47.639999
2013-07-29,47.509998,47.77,47.110001,47.169998,2352400,47.169998
