Date,Open_MJN,High_MJN,Low_MJN,Close_MJN,Volume_MJN,AdjClose_MJN
2013-06-14,82.18,82.68,81.029999,81.349998,605000,77.076718
2013-06-17,81.769997,83.669998,81.660004,83.010002,1019700,78.649522
2013-06-18,82.779999,83.68,82.779999,83.239998,611900,78.867436
2013-06-19,83.089996,83.389999,80.790001,80.830002,949100,76.584036
2013-06-20,79.889999,80.010002,77.639999,78.110001,1897400,74.319533
2013-06-21,78.559998,79.480003,77.540001,78.25,1380000,74.452739
2013-06-24,77.519997,77.760002,76.220001,76.940002,2006900,73.206312
2013-06-25,77.25,77.809998,76.75,77.300003,1417500,73.548843
2013-06-26,77.860001,79.040001,77.860001,78.709999,958000,74.890415
2013-06-27,79.239998,79.739998,78.75,78.760002,988300,74.937992
2013-06-28,78.699997,79.699997,78.18,79.230003,1702400,75.385185
2013-07-01,79.620003,80.980003,78.989998,79.43,979200,75.575477
2013-07-02,78.0,78.0,74.589996,74.900002,4198200,71.265307
2013-07-03,72.300003,72.769997,66.800003,68.849998,13363700,65.508894
2013-07-05,68.940002,69.529999,68.279999,69.330002,4776000,65.965604
2013-07-08,69.209999,70.389999,69.209999,69.959999,5870400,66.565029
2013-07-09,70.050003,70.360001,68.709999,70.25,3065800,66.840957
2013-07-10,70.410004,73.440002,69.739998,72.949997,5033300,69.409931
2013-07-11,73.459999,75.0,72.839996,74.129997,3210300,70.532669
2013-07-12,73.739998,74.339996,73.160004,74.269997,1806700,70.665874
2013-07-15,74.589996,74.589996,73.25,73.879997,1437200,70.2948
2013-07-16,73.760002,73.760002,72.620003,73.629997,1493900,70.056932
2013-07-17,74.0,74.0,71.900002,72.220001,3241500,68.71536
2013-07-18,72.389999,72.690002,71.949997,72.019997,2049400,68.525061
2013-07-19,71.870003,73.480003,71.870003,73.300003,1324900,69.742952
2013-07-22,73.349998,73.690002,72.370003,72.730003,1772600,69.200613
2013-07-23,72.360001,72.5,70.839996,71.610001,3032300,68.134961
2013-07-24,71.57,71.739998,70.540001,70.669998,2502500,67.240574
2013-07-25,76.330002,78.290001,74.300003,74.449997,4103800,70.83714
2013-07-26,74.010002,74.010002,71.739998,73.68,1494900,70.104509
2013-07-29,73.0,73.349998,72.470001,72.889999,1249700,69.352844
2013-07-30,73.040001,73.849998,72.800003,73.040001,1417300,69.495567
2013-07-31,73.129997,73.57,72.230003,72.839996,1749200,69.305268
2013-08-01,73.230003,73.720001,72.5,72.839996,1293700,69.305268
2013-08-02,75.120003,76.529999,73.699997,76.0,3240700,72.311925
2013-08-05,76.690002,78.760002,76.379997,78.050003,3606500,74.262447
2013-08-06,77.559998,77.910004,76.389999,77.269997,2225400,73.520292
2013-08-07,78.769997,80.379997,78.080002,79.050003,3119600,75.21392
2013-08-08,79.010002,79.290001,77.839996,78.080002,1421000,74.29099
2013-08-09,77.730003,79.0,77.190002,77.839996,771600,74.062631
2013-08-12,77.260002,77.989998,76.849998,77.559998,942800,73.79622
2013-08-13,77.900002,77.989998,77.010002,77.209999,800600,73.463206
2013-08-14,77.360001,77.449997,76.580002,76.75,1142000,73.02553
2013-08-15,76.019997,76.379997,75.239998,76.349998,1275900,72.644939
2013-08-16,76.449997,76.540001,75.769997,76.110001,1485000,72.416588
2013-08-19,75.849998,76.75,75.800003,76.529999,2196900,72.816205
2013-08-20,76.400002,76.800003,75.989998,76.349998,978700,72.644939
2013-08-21,76.199997,76.849998,76.099998,76.190002,1339100,72.492707
2013-08-22,76.129997,76.860001,76.059998,76.360001,879500,72.654456
2013-08-23,76.830002,77.279999,76.459999,76.949997,629700,73.215821
2013-08-26,76.989998,77.0,75.75,75.919998,1534100,72.235806
2013-08-27,75.080002,75.199997,74.260002,74.660004,1346300,71.036955
2013-08-28,74.519997,74.610001,73.889999,74.099998,1081800,70.504126
2013-08-29,74.139999,74.82,73.699997,74.459999,931300,70.846656
