Date,Open_ETN,High_ETN,Low_ETN,Close_ETN,Volume_ETN,AdjClose_ETN
2013-06-14,64.690002,65.279999,64.400002,64.580002,1792900,58.839257
2013-06-17,65.019997,65.470001,64.279999,64.739998,2537300,58.985031
2013-06-18,64.879997,65.970001,64.550003,65.839996,1951200,59.987246
2013-06-19,65.82,65.940002,64.699997,64.699997,1890100,58.948586
2013-06-20,63.75,64.400002,63.169998,63.57,3599500,57.919038
2013-06-21,64.120003,64.620003,63.0,63.959999,3826700,58.274369
2013-06-24,62.82,62.889999,61.23,62.189999,4371900,56.66171
2013-06-25,62.779999,63.349998,61.970001,63.150002,3033200,57.536375
2013-06-26,63.75,64.230003,63.209999,63.939999,1976800,58.256146
2013-06-27,64.559998,65.57,64.559998,65.220001,2815800,59.422365
2013-06-28,65.080002,65.879997,64.910004,65.809998,8398100,59.959914
2013-07-01,65.760002,67.169998,65.550003,66.480003,3159200,60.570361
2013-07-02,66.230003,67.080002,65.720001,66.040001,2697900,60.169472
2013-07-03,65.75,66.559998,65.510002,66.220001,1226700,60.333471
2013-07-05,66.610001,67.760002,66.550003,67.720001,2387900,61.700131
2013-07-08,68.110001,68.300003,67.760002,67.959999,2548800,61.918795
2013-07-09,68.25,68.870003,67.959999,68.110001,2503800,62.055462
2013-07-10,68.139999,68.32,67.059998,67.389999,2584000,61.399464
2013-07-11,68.379997,68.629997,67.830002,68.209999,3210000,62.146571
2013-07-12,68.239998,68.400002,67.830002,68.339996,1915200,62.265013
2013-07-15,68.07,68.559998,68.019997,68.190002,2919300,62.128352
2013-07-16,68.150002,68.25,66.440002,66.5,2788800,60.58858
2013-07-17,66.989998,67.489998,66.889999,66.919998,2090200,60.971243
2013-07-18,67.330002,67.730003,66.949997,67.639999,2058100,61.627241
2013-07-19,67.830002,68.349998,67.419998,68.279999,2020500,62.210348
2013-07-22,68.260002,68.650002,68.019997,68.120003,1304100,62.064575
2013-07-23,68.339996,69.110001,68.160004,68.949997,2228300,62.820788
2013-07-24,69.110001,69.18,67.900002,68.080002,2424600,62.02813
2013-07-25,67.660004,68.040001,67.110001,68.019997,1913300,61.973459
2013-07-26,67.440002,68.040001,67.309998,68.029999,1754900,61.982572
2013-07-29,68.0,68.18,67.529999,67.620003,1383900,61.609022
2013-07-30,68.080002,68.559998,67.830002,68.300003,1726700,62.228574
2013-07-31,68.360001,69.440002,68.230003,68.949997,2220500,62.820788
2013-08-01,69.529999,70.07,69.290001,69.93,2843700,64.104161
2013-08-02,66.639999,67.699997,65.400002,66.059998,10999100,60.556566
2013-08-05,66.150002,66.540001,65.660004,66.330002,3920800,60.804077
2013-08-06,66.0,66.18,65.360001,65.5,2867800,60.043222
2013-08-07,65.400002,65.400002,64.389999,64.550003,3384800,59.172369
2013-08-08,64.800003,65.580002,64.800003,65.349998,3983900,59.905717
2013-08-09,64.889999,65.970001,64.849998,65.620003,2291300,60.153227
2013-08-12,65.379997,66.839996,65.190002,66.470001,2518200,60.932413
2013-08-13,66.660004,67.300003,66.419998,66.940002,1842800,61.363258
2013-08-14,66.93,67.169998,66.629997,66.790001,1463900,61.225753
2013-08-15,66.080002,66.110001,65.0,65.239998,3035700,59.80488
2013-08-16,65.239998,65.970001,65.169998,65.440002,2615600,59.988223
2013-08-19,65.269997,65.529999,64.75,64.830002,1510500,59.429041
2013-08-20,64.830002,65.400002,64.32,65.120003,1575200,59.694882
2013-08-21,64.919998,65.980003,64.639999,65.470001,2634300,60.015722
2013-08-22,65.849998,67.239998,65.68,67.0,1766000,61.418257
2013-08-23,67.110001,67.239998,66.25,66.889999,1544200,61.317421
2013-08-26,66.959999,67.0,65.82,65.980003,1611600,60.483236
2013-08-27,65.120003,65.230003,63.950001,64.040001,2654800,58.704855
2013-08-28,63.950001,64.290001,63.610001,63.810001,1832800,58.494016
2013-08-29,63.709999,64.669998,63.610001,63.990002,1453000,58.659021
2013-08-30,64.0,64.099998,63.189999,63.32,1672600,58.044836
2013-09-03,64.279999,64.669998,62.889999,63.080002,3364400,57.824833
2013-09-04,63.09,65.110001,63.009998,64.989998,3411100,59.575708
2013-09-05,64.839996,65.660004,64.639999,65.440002,1707500,59.988223
2013-09-06,65.610001,66.43,64.57,65.629997,2595100,60.162389
2013-09-09,66.190002,67.660004,66.129997,66.75,3577900,61.189085
2013-09-10,67.410004,67.970001,67.360001,67.879997,2786900,62.224942
2013-09-11,67.540001,68.349998,67.260002,68.0,1735900,62.334948
2013-09-12,67.989998,68.050003,66.910004,67.169998,1959200,61.574093
2013-09-13,67.029999,67.459999,66.620003,67.330002,1320200,61.720767
2013-09-16,68.449997,68.980003,68.230003,68.529999,2133300,62.820793
2013-09-17,68.349998,68.419998,67.919998,68.220001,1594700,62.536621
2013-09-18,68.110001,69.889999,68.07,69.739998,2242700,63.929987
2013-09-19,69.940002,71.160004,69.900002,70.790001,3727900,64.892515
2013-09-20,70.769997,71.360001,70.57,70.57,3473900,64.690842
2013-09-23,70.230003,70.43,68.949997,69.489998,2521300,63.700815
2013-09-24,69.029999,71.279999,68.959999,70.43,2762600,64.562506
2013-09-25,70.400002,71.110001,69.830002,70.400002,1865700,64.535006
2013-09-26,70.699997,70.949997,70.150002,70.510002,1272100,64.635843
