Date,Open_JWN,High_JWN,Low_JWN,Close_JWN,Volume_JWN,AdjClose_JWN
2015-06-08,73.5,73.970001,73.25,73.389999,860300,66.624436
2015-06-09,73.410004,73.720001,72.919998,73.160004,904500,66.415643
2015-06-10,73.610001,73.730003,73.209999,73.610001,646500,66.824156
2015-06-11,73.75,74.43,73.57,73.620003,775400,66.833236
2015-06-12,73.349998,74.099998,73.120003,73.980003,928800,67.160049
2015-06-15,73.43,73.790001,72.849998,73.150002,829300,66.406562
2015-06-16,73.080002,73.550003,73.080002,73.360001,693200,66.597203
2015-06-17,73.849998,75.480003,73.800003,75.120003,1705300,68.194956
2015-06-18,75.199997,75.699997,75.040001,75.550003,1165100,68.585316
2015-06-19,75.279999,75.919998,75.0,75.220001,1254900,68.285736
2015-06-22,75.580002,75.980003,75.290001,75.440002,708000,68.485456
2015-06-23,75.690002,76.519997,75.449997,76.019997,953500,69.011983
2015-06-24,75.959999,76.43,75.82,75.870003,1062000,68.875816
2015-06-25,76.150002,76.470001,75.309998,75.43,852500,68.476376
2015-06-26,75.330002,76.360001,75.330002,76.199997,839300,69.17539
2015-06-29,75.419998,75.769997,74.25,74.300003,1600500,67.450549
2015-06-30,75.0,75.07,74.019997,74.5,1174000,67.632109
2015-07-01,75.019997,75.330002,74.529999,75.300003,659700,68.358363
2015-07-02,75.32,75.860001,74.910004,75.120003,658000,68.194956
2015-07-06,74.519997,75.669998,74.470001,75.279999,885400,68.340203
2015-07-07,75.540001,78.019997,75.059998,77.959999,2186700,70.773143
2015-07-08,78.169998,78.169998,76.199997,76.349998,1678400,69.311563
2015-07-09,77.239998,77.239998,76.199997,76.470001,1443400,69.420503
2015-07-10,77.470001,77.489998,76.779999,77.379997,837300,70.24661
2015-07-13,77.879997,78.43,77.709999,78.029999,876900,70.83669
2015-07-14,78.099998,78.330002,77.699997,78.010002,823700,70.818537
2015-07-15,77.959999,79.18,77.720001,78.650002,1255000,71.399537
2015-07-16,78.68,80.230003,78.339996,79.519997,1563500,72.18933
2015-07-17,79.25,79.260002,78.550003,78.660004,742200,71.408617
2015-07-20,78.93,79.43,78.660004,78.900002,725800,71.62649
2015-07-21,78.830002,79.43,78.25,78.279999,1200600,71.063644
2015-07-22,78.379997,79.599998,78.269997,78.989998,1000200,71.70819
2015-07-23,79.0,79.230003,77.970001,78.019997,784000,70.82761
2015-07-24,78.209999,78.379997,77.169998,77.199997,986000,70.083203
2015-07-27,76.959999,77.419998,76.529999,77.330002,1136600,70.201223
2015-07-28,77.480003,77.480003,76.230003,76.290001,1518100,69.257096
2015-07-29,76.43,76.709999,76.120003,76.300003,1366300,69.266177
2015-07-30,76.220001,76.730003,76.089996,76.339996,1018100,69.302483
2015-07-31,76.730003,76.809998,76.239998,76.309998,1386600,69.27525
2015-08-03,76.220001,76.400002,75.550003,75.919998,576400,68.921203
2015-08-04,76.080002,76.449997,75.739998,76.260002,976000,69.229863
2015-08-05,76.580002,77.580002,75.449997,75.510002,2308100,68.549003
2015-08-06,75.459999,75.510002,73.900002,74.480003,1459500,67.613956
2015-08-07,74.510002,75.010002,74.230003,74.910004,1111400,68.004316
2015-08-10,75.410004,76.419998,75.230003,75.989998,1140300,68.98475
2015-08-11,75.620003,77.120003,75.260002,76.239998,1699100,69.211703
2015-08-12,75.459999,75.830002,73.860001,75.510002,1758800,68.549003
2015-08-13,74.68,75.599998,74.559998,74.919998,4088500,68.013389
2015-08-14,78.599998,79.980003,77.379997,78.129997,6489200,70.92747
2015-08-17,78.279999,79.089996,77.809998,79.040001,2019200,71.753584
2015-08-18,79.089996,79.360001,78.169998,78.709999,1161700,71.454004
2015-08-19,78.449997,79.389999,78.150002,78.699997,1089500,71.444924
2015-08-20,77.949997,78.5,77.5,77.720001,1054800,70.55527
2015-08-21,77.169998,77.669998,75.18,75.190002,1380500,68.258503
2015-08-24,73.120003,74.230003,70.699997,72.110001,2396600,65.462436
2015-08-25,73.919998,73.919998,71.309998,71.330002,1574700,64.754342
2015-08-26,72.82,73.82,71.449997,73.800003,1596200,66.996643
2015-08-27,73.860001,74.339996,72.18,73.32,2001100,66.896277
2015-08-28,73.370003,73.620003,72.959999,73.360001,1163400,66.932773
2015-08-31,73.080002,73.769997,72.580002,72.879997,1305900,66.494824
2015-09-01,71.650002,72.650002,71.290001,71.660004,1427600,65.381717
2015-09-02,72.290001,72.93,71.849998,72.900002,973700,66.513076
2015-09-03,73.290001,74.459999,73.099998,73.459999,940100,67.02401
2015-09-04,72.919998,73.419998,72.440002,72.900002,909600,66.513076
2015-09-08,73.980003,74.489998,73.599998,74.419998,1009800,67.899902
2015-09-09,74.959999,75.349998,73.089996,73.190002,1359600,66.777669
2015-09-10,73.019997,74.25,72.940002,73.760002,1247100,67.29773
2015-09-11,73.419998,73.639999,72.57,73.599998,1329600,67.151744
2015-09-14,73.379997,73.720001,72.949997,73.18,870400,66.768543
2015-09-15,74.050003,74.989998,73.779999,73.830002,1848900,67.361596
2015-09-16,73.57,74.400002,73.290001,74.300003,1190300,67.79042
2015-09-17,74.489998,75.43,74.050003,74.32,1041500,67.808665
2015-09-18,73.540001,75.010002,73.43,73.839996,1856500,67.370715
2015-09-21,74.300003,75.029999,73.790001,74.379997,887700,67.863406
2015-09-22,73.790001,74.25,73.410004,73.699997,706700,67.242982
2015-09-23,73.739998,74.120003,73.080002,73.639999,812500,67.188241
2015-09-24,73.190002,73.489998,72.709999,73.089996,980100,66.686424
2015-09-25,73.540001,73.93,72.790001,72.989998,857400,66.595187
2015-09-28,72.860001,73.0,70.82,70.889999,1247100,64.679174
2015-09-29,70.790001,71.0,69.910004,70.440002,1639000,64.268602
2015-09-30,70.989998,71.779999,70.870003,71.709999,1301500,65.427332
2015-10-01,71.610001,71.900002,70.610001,71.43,1513700,65.171864
2015-10-02,72.25,75.209999,70.589996,75.120003,4704900,68.538578
2015-10-05,75.489998,75.669998,73.279999,74.339996,4192100,67.826909
2015-10-06,74.300003,75.080002,73.150002,73.269997,2395700,66.850655
2015-10-07,69.5,69.699997,67.5,67.959999,2669700,66.401209
2015-10-08,67.940002,69.150002,67.730003,68.970001,1951200,67.388045
2015-10-09,68.879997,69.330002,68.269997,68.43,1457800,66.86043
2015-10-12,68.57,69.050003,68.099998,68.830002,1032600,67.251256
2015-10-13,68.779999,69.330002,68.099998,68.529999,1482100,66.958134
2015-10-14,68.699997,69.029999,66.57,66.870003,2418300,65.336213
2015-10-15,67.260002,67.470001,65.760002,67.419998,1961900,65.873594
2015-10-16,67.57,67.910004,66.720001,67.269997,1208900,65.727033
2015-10-19,67.199997,68.480003,66.93,68.440002,1524900,66.870202
2015-10-20,68.279999,69.190002,68.010002,68.529999,1360500,66.958134
2015-10-21,68.860001,69.540001,67.589996,67.68,1783300,66.127632
