Date,Open_FLS,High_FLS,Low_FLS,Close_FLS,Volume_FLS,AdjClose_FLS
2013-06-14,165.779995,166.869987,164.139988,165.650013,755100,53.314181
2013-06-17,166.400013,167.52,163.350002,164.73,1174500,53.018076
2013-06-18,165.080006,166.490009,164.409988,165.96999,552600,53.417165
2013-06-19,166.100006,166.689995,164.009995,164.019985,584700,52.789559
2013-06-20,162.0,162.800011,159.770016,160.190014,970500,51.556889
2013-06-21,161.630013,161.979984,157.190014,159.309986,2274600,51.273653
2013-06-24,52.700001,52.900002,50.900002,52.049999,1532000,50.256616
2013-06-25,53.299999,53.299999,52.450001,52.799999,1611000,50.980775
2013-06-26,53.59,54.169998,53.490002,53.950001,1412900,52.091153
2013-06-27,54.240002,54.75,54.18,54.52,815800,52.641514
2013-06-28,54.25,54.52,53.799999,54.009998,1071500,52.283339
2013-07-01,54.349998,55.119999,54.150002,54.599998,671800,52.854478
2013-07-02,54.57,54.73,54.099998,54.330002,1009200,52.593112
2013-07-03,54.139999,54.549999,53.959999,54.200001,650700,52.467267
2013-07-05,54.860001,55.41,54.360001,55.360001,875100,53.590183
2013-07-08,55.59,55.790001,54.939999,55.029999,1069200,53.270731
2013-07-09,55.580002,56.07,55.470001,55.75,992700,53.967714
2013-07-10,55.68,55.849998,55.209999,55.57,783200,53.793469
2013-07-11,56.48,56.48,55.310001,55.939999,1050900,54.151639
2013-07-12,55.939999,56.080002,55.220001,55.509998,1454300,53.735385
2013-07-15,55.540001,55.740002,55.040001,55.290001,961400,53.522421
2013-07-16,55.400002,55.450001,54.59,55.18,1235200,53.415937
2013-07-17,55.459999,55.830002,55.130001,55.810001,1588000,54.025798
2013-07-18,56.0,56.959999,55.810001,56.740002,1573100,54.926066
2013-07-19,56.810001,57.369999,56.540001,57.349998,1912500,55.516562
2013-07-22,57.349998,57.939999,57.16,57.349998,1852400,55.516562
2013-07-23,57.459999,57.470001,56.73,56.950001,2263600,55.129352
2013-07-24,56.950001,57.150002,55.77,56.049999,1650700,54.258123
2013-07-25,56.16,57.529999,55.950001,57.380001,2729600,55.545606
2013-07-26,56.93,57.110001,56.48,56.82,1247500,55.003507
2013-07-29,56.529999,56.830002,56.169998,56.360001,903200,54.558214
2013-07-30,56.599998,56.939999,56.279999,56.740002,667900,54.926066
