Date,Open_HAS,High_HAS,Low_HAS,Close_HAS,Volume_HAS,AdjClose_HAS
2013-06-14,44.389999,44.639999,44.0,44.09,794200,40.467668
2013-06-17,44.240002,44.91,44.119999,44.310001,998400,40.669595
2013-06-18,44.380001,44.869999,44.369999,44.740002,679100,41.064267
2013-06-19,44.580002,45.330002,44.580002,44.880001,1212600,41.192765
2013-06-20,44.450001,44.549999,43.73,43.810001,1117300,40.210674
2013-06-21,44.139999,44.540001,43.849998,44.34,1891200,40.697129
2013-06-24,44.169998,44.209999,43.689999,43.849998,951000,40.247385
2013-06-25,44.049999,44.259998,43.639999,43.98,1236100,40.366705
2013-06-26,44.450001,44.59,43.799999,44.130001,1170700,40.504383
2013-06-27,44.25,44.740002,44.16,44.630001,772500,40.963304
2013-06-28,44.689999,45.240002,44.360001,44.830002,1353500,41.146873
2013-07-01,44.950001,45.759998,44.77,45.73,1343100,41.972929
2013-07-02,45.599998,46.080002,45.509998,45.91,1274300,42.138141
2013-07-03,45.799999,46.200001,45.630001,46.029999,517200,42.248281
2013-07-05,46.41,46.619999,45.84,46.610001,538400,42.780631
2013-07-08,46.700001,47.209999,46.650002,46.709999,1263500,42.872414
2013-07-09,47.060001,47.549999,46.860001,47.23,1008800,43.349693
2013-07-10,47.060001,47.23,46.540001,46.950001,1183500,43.092698
2013-07-11,47.560001,47.599998,46.740002,47.279999,1065600,43.395584
2013-07-12,47.279999,47.75,47.279999,47.639999,841200,43.726008
2013-07-15,47.779999,47.84,47.240002,47.450001,912300,43.551619
2013-07-16,47.41,47.549999,46.91,47.16,1308800,43.285444
2013-07-17,46.0,46.669998,45.619999,46.029999,1979500,42.248281
2013-07-18,46.200001,46.549999,46.060001,46.48,1448700,42.661311
2013-07-19,46.27,46.459999,45.349998,45.380001,2424000,41.651686
2013-07-22,45.119999,47.970001,44.900002,46.869999,3772900,43.019269
2013-07-23,47.98,48.349998,47.630001,47.830002,3351400,43.9004
2013-07-24,47.720001,47.93,46.84,47.119999,1622400,43.24873
2013-07-25,47.0,47.369999,46.91,47.099998,914500,43.230372
2013-07-26,46.84,47.220001,46.77,47.080002,612700,43.212019
2013-07-29,46.919998,47.25,46.759998,47.150002,1646100,43.276267
2013-07-30,46.860001,46.970001,46.07,46.400002,1255400,42.952272
2013-07-31,46.619999,46.630001,45.950001,46.0,805800,42.581992
2013-08-01,46.080002,47.060001,46.0,46.959999,1581300,43.470659
2013-08-02,46.970001,47.16,46.75,46.990002,875600,43.498432
2013-08-05,46.799999,47.009998,46.709999,46.799999,616200,43.322548
2013-08-06,46.68,46.869999,45.959999,46.259998,1218500,42.822671
2013-08-07,46.02,46.220001,45.709999,45.93,711400,42.517194
2013-08-08,46.240002,46.41,46.07,46.330002,630600,42.887473
2013-08-09,46.310001,46.34,45.860001,45.959999,1036200,42.544963
2013-08-12,45.580002,46.209999,45.130001,45.349998,2554900,41.980289
2013-08-13,46.25,46.25,45.16,45.689999,814100,42.295025
2013-08-14,45.610001,45.799999,45.299999,45.450001,477100,42.07286
2013-08-15,45.209999,45.330002,44.759998,45.040001,690000,41.693325
2013-08-16,45.099998,45.259998,44.799999,44.900002,1314800,41.563728
2013-08-19,44.93,45.279999,44.73,44.889999,1118300,41.554469
2013-08-20,44.869999,45.259998,44.869999,45.080002,669300,41.730354
2013-08-21,44.93,45.130001,44.740002,44.759998,685800,41.434128
2013-08-22,44.869999,45.599998,44.689999,45.259998,450200,41.896976
2013-08-23,45.419998,46.150002,45.099998,46.110001,824900,42.683819
2013-08-26,47.610001,47.610001,46.290001,46.389999,1529900,42.943013
2013-08-27,46.07,46.16,45.540001,45.560001,794500,42.174687
2013-08-28,45.560001,45.720001,45.330002,45.639999,681700,42.248741
2013-08-29,45.43,45.939999,45.400002,45.630001,948400,42.239486
2013-08-30,45.689999,45.720001,45.150002,45.580002,1036700,42.193202
2013-09-03,45.990002,46.330002,45.740002,46.279999,1253100,42.841186
2013-09-04,46.310001,46.82,46.189999,46.73,1489300,43.257749
2013-09-05,46.860001,47.59,46.73,47.560001,1634400,44.026078
2013-09-06,47.5,48.540001,47.349998,47.990002,1609300,44.424128
2013-09-09,47.959999,48.240002,47.950001,48.16,1364300,44.581494
2013-09-10,48.240002,48.66,46.919998,47.169998,2604800,43.665054
2013-09-11,47.049999,47.459999,46.990002,47.16,1179300,43.655799
2013-09-12,47.040001,47.16,46.450001,46.5,1328000,43.04484
2013-09-13,46.59,46.889999,46.23,46.82,1100600,43.341062
2013-09-16,47.400002,47.650002,47.110001,47.389999,826900,43.868708
2013-09-17,47.389999,47.93,47.389999,47.759998,684400,44.211215
2013-09-18,47.779999,48.799999,47.560001,48.669998,2841200,45.053597
2013-09-19,48.73,49.450001,48.68,49.299999,957100,45.636786
2013-09-20,49.299999,49.75,48.75,48.790001,1529800,45.164683
2013-09-23,48.830002,48.91,48.150002,48.52,1397500,44.914745
2013-09-24,48.549999,48.93,48.330002,48.41,1054400,44.812918
2013-09-25,48.400002,48.59,47.619999,47.900002,1151300,44.340815
2013-09-26,48.360001,48.360001,47.41,47.669998,932700,44.127902
2013-09-27,47.299999,47.610001,47.119999,47.380001,970500,43.859453
2013-09-30,47.110001,47.279999,46.830002,47.139999,1089200,43.637284
2013-10-01,47.049999,47.779999,46.98,47.619999,1067800,44.081618
2013-10-02,47.349998,47.41,46.75,47.34,971300,43.822424
2013-10-03,47.110001,47.439999,46.68,46.970001,1027800,43.479918
2013-10-04,46.900002,47.459999,46.82,47.43,804500,43.905737
2013-10-07,47.110001,47.32,46.450001,46.630001,962300,43.165181
2013-10-08,46.630001,46.650002,45.73,45.93,1552100,42.517194
2013-10-09,46.099998,46.220001,45.849998,45.990002,886400,42.572737
2013-10-10,46.349998,46.650002,46.200001,46.299999,803800,42.8597
2013-10-11,46.119999,46.830002,46.119999,46.720001,994900,43.248494
2013-10-14,46.380001,46.68,46.220001,46.52,1798300,43.063354
2013-10-15,46.330002,46.560001,45.77,45.990002,1617800,42.572737
2013-10-16,47.27,47.540001,45.439999,46.099998,3918500,42.67456
2013-10-17,45.75,46.849998,45.75,46.830002,1499000,43.350321
2013-10-18,47.0,47.349998,46.57,47.240002,1906500,43.729856
2013-10-21,48.93,51.68,48.709999,49.720001,5335700,46.02558
2013-10-22,50.110001,50.16,49.650002,49.990002,3184000,46.275519
2013-10-23,49.990002,50.389999,49.130001,50.07,2541000,46.349572
2013-10-24,50.18,51.049999,50.150002,50.57,995000,46.81242
2013-10-25,50.73,52.52,50.73,52.049999,2997200,48.182449
2013-10-28,52.110001,52.470001,51.84,52.130001,1832500,48.256506
2013-10-29,52.400002,53.68,52.27,53.380001,2208300,49.413626
2013-10-30,52.98,53.369999,51.970001,52.25,1626400,48.732767
2013-10-31,52.139999,52.740002,51.650002,51.650002,1410500,48.173158
2013-11-01,51.68,52.389999,51.360001,51.84,954700,48.350367
2013-11-04,52.029999,52.509998,51.700001,52.240002,1604500,48.723442
2013-11-05,51.790001,52.259998,51.509998,52.09,865000,48.583538
2013-11-06,52.369999,52.369999,51.91,52.290001,1162300,48.770075
2013-11-07,51.700001,52.16,50.419998,50.599998,1840400,47.193836
2013-11-08,50.59,50.98,50.169998,50.48,2721200,47.081915
2013-11-11,50.509998,51.599998,50.509998,51.25,1463600,47.800083
2013-11-12,51.150002,51.380001,50.720001,51.25,899500,47.800083
2013-11-13,51.119999,52.950001,50.990002,52.950001,2594500,49.385647
2013-11-14,52.75,53.0,52.419998,52.740002,915100,49.189784
2013-11-15,52.619999,52.970001,52.23,52.73,950400,49.180455
2013-11-18,52.849998,52.93,52.02,52.080002,820000,48.574213
2013-11-19,52.139999,52.23,51.619999,51.779999,853500,48.294404
2013-11-20,51.880001,52.139999,51.73,51.900002,969200,48.406329
2013-11-21,52.150002,52.25,51.59,52.099998,888500,48.592863
2013-11-22,51.779999,52.93,51.5,52.880001,1330000,49.32036
2013-11-25,53.0,53.860001,52.41,53.59,1812200,49.982565
2013-11-26,53.720001,53.91,53.369999,53.75,1316700,50.131794
2013-11-27,53.689999,54.07,53.290001,53.849998,1015800,50.225061
2013-11-29,53.73,54.110001,53.709999,53.82,340600,50.197082
2013-12-02,53.98,54.139999,53.540001,53.66,1163300,50.047852
