Date,Open_IFF,High_IFF,Low_IFF,Close_IFF,Volume_IFF,AdjClose_IFF
2013-06-14,78.440002,79.230003,78.379997,78.470001,183700,74.336518
2013-06-17,79.089996,79.760002,78.690002,79.510002,447500,75.321736
2013-06-18,79.879997,80.18,79.709999,79.949997,225400,75.738554
2013-06-19,80.050003,80.07,78.940002,78.940002,370300,74.781762
2013-06-20,78.089996,78.190002,76.300003,76.470001,363100,72.44187
2013-06-21,77.160004,77.309998,76.290001,76.599998,529000,72.56502
2013-06-24,75.5,75.699997,73.019997,74.93,533600,70.98299
2013-06-25,75.739998,75.790001,74.690002,75.529999,266000,71.877531
2013-06-26,76.120003,76.379997,75.290001,75.760002,246900,72.096412
2013-06-27,76.489998,76.529999,75.849998,75.900002,355100,72.229641
2013-06-28,75.790001,76.290001,75.160004,75.160004,481000,71.525428
2013-07-01,76.169998,78.190002,75.860001,77.910004,454700,74.142444
2013-07-02,77.739998,78.010002,77.029999,77.720001,388400,73.961629
2013-07-03,77.57,77.910004,77.209999,77.32,237100,73.580971
2013-07-05,77.769997,78.949997,77.769997,78.870003,257200,75.056019
2013-07-08,79.290001,79.5,78.809998,79.18,292000,75.351026
2013-07-09,79.720001,79.900002,79.25,79.580002,308900,75.731684
2013-07-10,79.650002,80.129997,79.349998,79.989998,400200,76.121854
2013-07-11,81.010002,81.449997,80.169998,80.400002,278400,76.512031
2013-07-12,80.25,80.489998,79.849998,80.160004,329500,76.283639
2013-07-15,80.150002,80.410004,79.790001,79.949997,197700,76.083787
2013-07-16,80.139999,80.139999,79.150002,79.57,258700,75.722166
2013-07-17,80.0,80.25,79.18,79.300003,221500,75.465226
2013-07-18,79.309998,79.860001,79.18,79.519997,248900,75.674581
2013-07-19,79.5,79.910004,79.0,79.900002,297400,76.03621
2013-07-22,80.010002,80.290001,79.760002,79.959999,153500,76.093306
2013-07-23,80.129997,80.190002,78.699997,78.970001,380200,75.151182
2013-07-24,79.139999,79.199997,78.510002,78.75,336900,74.94182
2013-07-25,78.639999,80.260002,78.639999,79.699997,377100,75.845877
2013-07-26,79.209999,79.489998,78.739998,79.339996,215900,75.503285
2013-07-29,79.150002,80.110001,79.139999,79.93,264700,76.064758
2013-07-30,79.879997,80.5,79.660004,80.290001,390700,76.40735
2013-07-31,80.650002,81.419998,80.239998,80.68,312500,76.778489
2013-08-01,80.980003,82.889999,80.980003,81.919998,333800,77.958524
2013-08-02,81.739998,82.129997,81.239998,81.68,332600,77.730132
2013-08-05,81.480003,82.800003,81.330002,82.769997,328100,78.767418
2013-08-06,84.989998,84.989998,82.290001,83.230003,386500,79.20518
2013-08-07,83.199997,83.669998,82.980003,83.220001,373800,79.195661
2013-08-08,83.709999,84.529999,83.68,84.120003,379000,80.052141
2013-08-09,84.18,84.589996,83.279999,83.559998,267400,79.519216
2013-08-12,83.290001,83.830002,83.110001,83.580002,299800,79.538253
2013-08-13,83.639999,83.760002,83.019997,83.599998,311400,79.557283
2013-08-14,83.519997,83.93,82.830002,83.040001,271900,79.024365
2013-08-15,82.209999,82.360001,81.389999,82.260002,277900,78.282086
2013-08-16,82.0,82.529999,81.650002,82.199997,304900,78.224982
2013-08-19,81.959999,82.720001,81.279999,81.389999,157400,77.454154
2013-08-20,81.389999,82.43,81.330002,82.099998,235900,78.12982
2013-08-21,81.959999,82.279999,81.040001,81.150002,179100,77.225762
2013-08-22,81.25,81.949997,81.139999,81.739998,163600,77.787228
2013-08-23,81.82,82.309998,81.0,81.519997,239300,77.577865
2013-08-26,81.620003,82.300003,81.449997,81.559998,142600,77.615932
2013-08-27,80.910004,81.300003,79.870003,79.900002,136400,76.03621
2013-08-28,80.0,80.080002,79.519997,79.620003,198900,75.769751
2013-08-29,79.610001,79.980003,79.300003,79.470001,258500,75.627003
2013-08-30,79.660004,79.949997,78.779999,79.010002,299900,75.189249
2013-09-03,80.019997,81.019997,78.93,79.389999,250400,75.55087
2013-09-04,79.32,80.449997,79.290001,80.339996,176500,76.454927
2013-09-05,80.260002,80.889999,79.489998,79.800003,340000,75.941047
2013-09-06,79.989998,80.419998,78.75,78.809998,259800,74.998916
2013-09-09,79.209999,80.260002,79.0,79.739998,215500,75.883943
2013-09-10,80.099998,80.919998,80.040001,80.279999,251600,76.397831
2013-09-11,80.269997,80.800003,79.800003,80.769997,285500,76.864134
2013-09-12,80.870003,81.800003,80.629997,80.870003,397800,76.959304
2013-09-13,80.68,82.239998,80.68,81.989998,286400,78.025138
2013-09-16,83.370003,83.389999,82.540001,82.910004,202100,78.900655
2013-09-17,82.910004,82.93,82.370003,82.650002,185900,78.653226
2013-09-18,82.790001,84.209999,82.300003,84.190002,290300,80.118755
2013-09-19,84.290001,84.870003,83.580002,83.910004,213300,79.852297
2013-09-20,83.690002,84.110001,83.099998,83.129997,292100,79.11001
2013-09-23,83.220001,83.309998,82.510002,82.510002,154500,78.519996
2013-09-24,82.370003,83.580002,81.900002,82.639999,258400,79.0172
2013-09-25,82.660004,83.050003,81.68,82.080002,255800,78.481752
2013-09-26,82.57,83.059998,81.5,81.949997,293900,78.357447
2013-09-27,81.739998,82.129997,81.550003,81.599998,257300,78.022791
2013-09-30,81.18,82.370003,81.129997,82.300003,248700,78.692109
2013-10-01,82.32,83.160004,81.970001,82.620003,276500,78.99808
2013-10-02,82.18,82.410004,81.550003,82.120003,245500,78.52
2013-10-03,81.760002,82.07,80.889999,81.769997,395400,78.185337
2013-10-04,82.089996,83.330002,81.760002,82.970001,254400,79.332736
2013-10-07,82.32,82.720001,81.370003,81.410004,279500,77.841126
2013-10-08,81.239998,81.43,79.889999,79.970001,265500,76.464251
2013-10-09,80.32,80.769997,79.589996,80.160004,182600,76.645924
2013-10-10,81.220001,81.57,80.470001,81.150002,227300,77.592522
2013-10-11,81.150002,81.669998,80.769997,81.080002,275300,77.525591
2013-10-14,80.75,81.540001,80.459999,81.32,172200,77.755067
2013-10-15,81.279999,81.900002,80.040001,80.220001,288700,76.703291
2013-10-16,80.879997,81.620003,80.599998,81.110001,236200,77.554274
2013-10-17,80.93,82.970001,80.849998,82.82,289200,79.18931
2013-10-18,83.209999,83.309998,82.169998,82.339996,281700,78.730349
2013-10-21,82.220001,82.699997,82.050003,82.209999,172000,78.606051
2013-10-22,82.5,82.900002,82.419998,82.529999,358800,78.912022
2013-10-23,82.279999,82.650002,82.120003,82.290001,173500,78.682545
2013-10-24,82.629997,83.209999,82.160004,82.510002,167600,78.892902
2013-10-25,82.739998,82.739998,81.57,81.82,332300,78.233148
2013-10-28,82.0,82.830002,81.709999,82.720001,286100,79.093695
2013-10-29,82.800003,83.629997,82.75,83.5,314100,79.8395
2013-10-30,83.449997,84.080002,82.870003,83.029999,221800,79.390103
2013-10-31,82.849998,83.32,82.209999,82.650002,416500,79.026764
2013-11-01,83.099998,83.18,82.18,82.870003,363500,79.237121
2013-11-04,82.93,83.639999,82.790001,83.519997,356400,79.85862
2013-11-05,82.889999,85.050003,82.07,84.220001,583600,80.527938
2013-11-06,84.690002,86.720001,84.300003,86.699997,542400,82.899215
2013-11-07,86.440002,87.050003,85.019997,85.129997,365100,81.398041
2013-11-08,85.25,86.980003,84.970001,86.940002,417300,83.128699
2013-11-11,86.75,87.410004,86.610001,87.239998,248500,83.415543
2013-11-12,87.080002,87.68,86.940002,87.510002,321300,83.67371
2013-11-13,87.309998,88.839996,87.300003,88.82,349300,84.92628
2013-11-14,89.139999,90.029999,88.809998,89.889999,548800,85.949373
2013-11-15,89.910004,90.300003,88.580002,88.580002,1315800,84.696803
2013-11-18,88.910004,89.139999,88.260002,88.559998,371400,84.677676
2013-11-19,88.580002,89.07,88.220001,88.599998,263800,84.715923
2013-11-20,88.629997,89.050003,88.050003,88.209999,287600,84.343021
2013-11-21,88.589996,88.900002,88.059998,88.330002,257800,84.457763
2013-11-22,88.559998,88.809998,87.860001,88.419998,286100,84.543814
2013-11-25,88.800003,88.980003,87.730003,88.050003,261700,84.190039
2013-11-26,88.980003,88.980003,88.059998,88.25,327500,84.381268
2013-11-27,88.239998,88.699997,88.0,88.419998,219800,84.543814
2013-11-29,88.82,88.980003,88.260002,88.349998,202500,84.476883
2013-12-02,88.540001,90.089996,87.769997,87.870003,286800,84.017929
2013-12-03,87.440002,87.769997,85.449997,86.599998,574900,82.8036
2013-12-04,86.120003,86.489998,84.580002,85.25,380300,81.512783
2013-12-05,84.699997,85.739998,84.449997,84.75,484600,81.034702
2013-12-06,85.75,86.330002,85.360001,86.309998,320900,82.526312
2013-12-09,86.459999,86.870003,85.989998,86.290001,255600,82.507192
2013-12-10,86.220001,86.43,85.459999,85.959999,275900,82.191657
2013-12-11,86.010002,86.489998,84.919998,85.07,451200,81.340674
2013-12-12,84.949997,85.410004,84.32,84.940002,420800,81.216375
2013-12-13,85.029999,85.589996,84.559998,84.699997,335300,80.986891
2013-12-16,84.739998,85.0,83.690002,84.190002,616200,80.499254
2013-12-17,84.139999,84.639999,83.510002,84.050003,475000,80.365392
2013-12-18,84.059998,85.559998,83.050003,85.540001,603000,81.790071
2013-12-19,85.190002,85.589996,84.779999,85.099998,706000,81.369357
2013-12-20,85.339996,85.949997,84.849998,85.639999,1996100,81.885686
2013-12-23,86.309998,86.589996,85.68,85.75,270400,81.990864
2013-12-24,85.620003,86.360001,85.129997,86.07,94300,82.672836
2013-12-26,86.169998,86.400002,85.699997,86.120003,235900,82.720865
2013-12-27,86.400002,86.419998,85.830002,85.940002,180300,82.54797
2013-12-30,86.019997,86.43,85.900002,85.989998,368000,82.595992
2013-12-31,85.900002,86.279999,85.669998,85.980003,292900,82.586392
2014-01-02,85.980003,86.5,85.470001,85.650002,346600,82.269415
2014-01-03,85.790001,86.169998,85.540001,85.919998,390200,82.528755
2014-01-06,86.209999,86.5,85.330002,85.370003,449100,82.000468
2014-01-07,85.510002,85.989998,85.129997,85.449997,423900,82.077304
2014-01-08,85.419998,85.68,84.669998,84.870003,489500,81.520203
2014-01-09,85.279999,85.32,84.57,85.07,432100,81.712306
2014-01-10,85.269997,86.040001,85.169998,85.709999,314800,82.327044
2014-01-13,85.550003,85.879997,84.610001,84.790001,294000,81.443358
2014-01-14,85.010002,86.0,84.559998,85.860001,269000,82.471125
2014-01-15,85.839996,86.330002,85.769997,86.279999,297800,82.874546
