Date,Open_BMY,High_BMY,Low_BMY,Close_BMY,Volume_BMY,AdjClose_BMY
2015-06-08,65.849998,66.040001,65.150002,65.32,6939700,63.817324
2015-06-09,65.260002,65.419998,64.900002,65.080002,7134300,63.582847
2015-06-10,65.32,65.889999,65.050003,65.529999,8057000,64.022492
2015-06-11,65.779999,66.0,65.540001,65.849998,6107100,64.33513
2015-06-12,65.690002,65.949997,64.889999,65.279999,6326700,63.778244
2015-06-15,64.900002,66.18,64.260002,65.419998,6076400,63.915022
2015-06-16,65.470001,65.989998,65.120003,65.970001,3350000,64.452373
2015-06-17,65.720001,66.5,65.519997,66.300003,6432800,64.774783
2015-06-18,66.32,67.220001,66.32,66.620003,5485700,65.087421
2015-06-19,66.489998,67.440002,66.489998,66.800003,8432600,65.26328
2015-06-22,67.309998,67.730003,66.93,67.059998,4327000,65.517294
2015-06-23,67.239998,68.139999,67.160004,67.330002,5639600,65.781087
2015-06-24,67.290001,67.379997,66.709999,66.809998,4104600,65.273045
2015-06-25,67.0,67.589996,66.739998,66.839996,5097500,65.302354
2015-06-26,67.040001,67.68,66.940002,67.540001,17278000,65.986255
2015-06-29,67.239998,67.489998,65.900002,65.970001,4710500,64.452373
2015-06-30,66.629997,66.709999,65.940002,66.540001,6236100,65.00926
2015-07-01,66.449997,67.709999,66.360001,67.669998,7486100,66.482943
2015-07-02,67.870003,68.080002,67.339996,67.480003,5204300,66.296281
2015-07-06,67.169998,68.190002,67.010002,67.5,5896900,66.315927
2015-07-07,67.889999,68.389999,67.089996,68.230003,4782000,67.033125
2015-07-08,67.879997,68.279999,67.459999,67.739998,6179200,66.551715
2015-07-09,68.449997,68.660004,67.889999,67.889999,4953800,66.699085
2015-07-10,68.660004,69.489998,68.400002,69.269997,6123600,68.054874
2015-07-13,69.650002,69.849998,69.260002,69.660004,4573000,68.43804
2015-07-14,69.660004,70.279999,69.449997,70.059998,3546200,68.831017
2015-07-15,69.949997,70.419998,69.089996,69.279999,5218000,68.064701
2015-07-16,69.68,69.949997,69.360001,69.379997,4139700,68.162945
2015-07-17,69.260002,69.349998,68.889999,69.290001,3522800,68.074528
2015-07-20,70.440002,70.540001,69.720001,69.970001,4758200,68.7426
2015-07-21,70.110001,70.199997,68.860001,68.870003,6107100,67.661897
