Date,Open_ADI,High_ADI,Low_ADI,Close_ADI,Volume_ADI,AdjClose_ADI
2013-06-14,45.139999,45.419998,44.82,44.950001,1413100,41.275854
2013-06-17,45.110001,46.040001,45.040001,45.950001,2558600,42.194115
2013-06-18,46.02,46.740002,45.919998,46.66,2244100,42.84608
2013-06-19,46.439999,46.700001,45.990002,46.040001,1683200,42.276759
2013-06-20,45.599998,45.619999,44.59,44.669998,2047700,41.018738
2013-06-21,44.91,45.259998,44.580002,45.16,3840000,41.468688
2013-06-24,44.68,45.029999,43.950001,44.029999,2495900,40.431051
2013-06-25,44.619999,44.619999,43.91,44.52,2382500,40.881001
2013-06-26,45.009998,45.18,44.380001,45.07,1725300,41.386044
2013-06-27,45.419998,45.509998,45.119999,45.369999,1627800,41.661522
2013-06-28,45.139999,45.310001,44.619999,45.060001,3925900,41.376863
2013-07-01,45.0,45.599998,45.0,45.369999,1489400,41.661522
2013-07-02,45.279999,45.740002,44.990002,45.310001,1680700,41.606428
2013-07-03,45.169998,45.950001,44.900002,45.68,666700,41.946184
2013-07-05,45.990002,46.259998,45.68,46.209999,936200,42.432862
2013-07-08,46.27,46.529999,45.540001,45.759998,1588800,42.019643
2013-07-09,46.110001,46.419998,45.889999,46.259998,1318400,42.478774
2013-07-10,46.279999,46.759998,46.139999,46.73,1358500,42.910358
2013-07-11,47.259998,48.049999,47.200001,48.0,3064600,44.07655
2013-07-12,48.080002,48.43,47.610001,48.349998,1969300,44.397941
2013-07-15,48.27,48.529999,48.119999,48.400002,1594900,44.443856
2013-07-16,48.470001,48.639999,48.279999,48.52,1201100,44.554047
2013-07-17,48.57,48.93,48.48,48.66,2189600,44.682603
2013-07-18,48.790001,48.830002,47.950001,48.34,3021700,44.38876
2013-07-19,48.400002,48.400002,47.84,47.98,2554400,44.058185
2013-07-22,48.490002,48.490002,47.759998,47.939999,2275600,44.021454
2013-07-23,48.52,48.830002,48.18,48.380001,3267200,44.425491
2013-07-24,48.73,48.779999,47.959999,48.23,2520900,44.28775
2013-07-25,48.110001,48.790001,48.040001,48.75,1601500,44.765247
2013-07-26,48.34,48.560001,48.049999,48.560001,1439300,44.590778
2013-07-29,48.52,48.709999,48.209999,48.5,1132100,44.535681
2013-07-30,48.830002,49.02,48.639999,48.93,1250700,44.930534
2013-07-31,49.139999,49.669998,48.98,49.380001,2615800,45.343752
2013-08-01,49.57,50.0,49.57,49.939999,1448500,45.857976
2013-08-02,49.73,49.880001,49.259998,49.869999,1384100,45.793698
2013-08-05,49.740002,49.790001,49.470001,49.580002,801400,45.527405
2013-08-06,49.540001,49.650002,49.25,49.419998,1087200,45.38048
2013-08-07,49.450001,49.450001,48.82,49.150002,1114500,45.132553
2013-08-08,49.52,49.610001,48.790001,49.099998,836500,45.086637
2013-08-09,49.07,49.23,48.759998,49.0,1187900,44.994812
2013-08-12,48.919998,49.549999,48.889999,49.41,1374000,45.371299
2013-08-13,49.400002,49.689999,48.830002,49.580002,1000600,45.527405
2013-08-14,49.400002,49.400002,48.869999,48.880001,914300,44.884622
2013-08-15,48.459999,48.48,47.799999,47.830002,1385400,43.920448
2013-08-16,47.77,48.509998,47.77,48.299999,1333700,44.352028
2013-08-19,48.349998,48.57,47.779999,47.779999,1424800,43.874532
2013-08-20,47.84,48.23,47.709999,47.849998,2313400,43.93881
2013-08-21,46.650002,47.290001,46.419998,46.950001,4024900,43.112377
2013-08-22,47.0,47.59,46.84,47.240002,1154300,43.378673
2013-08-23,47.34,47.560001,46.91,47.330002,1770100,43.461317
2013-08-26,47.259998,47.630001,47.139999,47.220001,1302200,43.360308
2013-08-27,46.810001,46.91,46.040001,46.16,2064300,42.386949
2013-08-28,46.009998,46.369999,45.75,46.169998,1825700,42.710725
2013-08-29,46.049999,46.77,45.93,46.490002,1064400,43.006752
2013-08-30,46.490002,47.09,45.990002,46.279999,1441000,42.812483
2013-09-03,46.970001,47.380001,46.549999,46.66,1808700,43.164013
