Date,Open_AMP,High_AMP,Low_AMP,Close_AMP,Volume_AMP,AdjClose_AMP
2015-06-08,126.959999,127.480003,126.080002,126.129997,1148600,122.703992
2015-06-09,125.940002,126.690002,125.459999,126.330002,1069600,122.898564
2015-06-10,127.279999,130.119995,127.279999,129.860001,1692500,126.332679
2015-06-11,130.039993,130.690002,129.279999,129.630005,1136300,126.108931
2015-06-12,129.130005,129.259995,128.009995,128.330002,821600,124.844239
2015-06-15,126.889999,128.389999,126.480003,127.889999,921900,124.416188
2015-06-16,127.169998,128.630005,127.169998,128.470001,615600,124.980436
2015-06-17,128.899994,129.320007,127.970001,128.350006,950400,124.8637
2015-06-18,128.910004,129.779999,128.270004,129.479996,812900,125.962996
2015-06-19,128.889999,129.789993,127.68,127.839996,1278400,124.367543
2015-06-22,129.339996,129.75,128.470001,129.350006,1039900,125.836538
2015-06-23,129.229996,129.990005,128.800003,129.759995,1376300,126.23539
2015-06-24,128.860001,129.699997,128.199997,128.380005,1387800,124.892884
2015-06-25,129.220001,129.220001,127.769997,127.860001,1259600,124.387004
2015-06-26,128.899994,128.929993,127.75,128.419998,2627000,124.931791
2015-06-29,126.769997,126.959999,123.669998,123.790001,1574700,120.427556
2015-06-30,125.080002,125.739998,124.089996,124.93,1545200,121.53659
2015-07-01,126.989998,127.629997,125.440002,126.150002,1030700,122.723453
2015-07-02,125.980003,126.57,124.610001,125.230003,1237900,121.828444
2015-07-06,123.449997,124.769997,122.830002,123.68,1441500,120.320543
2015-07-07,123.629997,123.970001,121.160004,123.830002,1341900,120.46647
2015-07-08,122.760002,123.480003,121.550003,121.970001,1647000,118.656992
2015-07-09,123.870003,124.900002,122.449997,123.089996,935800,119.746565
2015-07-10,122.0,123.949997,121.730003,123.68,1599100,120.320543
2015-07-13,125.050003,125.589996,124.519997,125.449997,717200,122.042462
2015-07-14,125.019997,125.959999,124.349998,125.669998,901100,122.256488
2015-07-15,126.050003,126.809998,125.199997,125.93,1042300,122.509428
2015-07-16,127.809998,128.350006,127.239998,127.889999,1209800,124.416188
2015-07-17,127.510002,127.900002,126.870003,127.629997,1038300,124.163248
2015-07-20,128.190002,128.850006,127.389999,128.289993,860200,124.805317
2015-07-21,128.600006,129.190002,127.339996,127.639999,1320600,124.172979
2015-07-22,127.5,127.900002,126.669998,126.809998,1648500,123.365522
2015-07-23,128.679993,129.220001,125.959999,126.209999,1879800,122.781821
2015-07-24,126.18,126.660004,123.43,124.040001,1299100,120.670765
2015-07-27,123.650002,123.669998,122.089996,122.959999,1138900,119.620099
2015-07-28,124.279999,125.349998,123.230003,125.260002,2056800,121.857628
2015-07-29,125.449997,126.760002,124.739998,126.720001,1439700,123.27797
2015-07-30,125.910004,126.75,125.43,126.580002,962700,123.796311
2015-07-31,126.660004,126.669998,125.519997,125.669998,793800,122.90632
2015-08-03,125.57,125.830002,124.540001,125.589996,1070700,122.828078
2015-08-04,125.709999,126.360001,124.699997,125.139999,716600,122.387977
2015-08-05,126.18,127.32,124.800003,125.169998,831000,122.417316
2015-08-06,125.230003,125.529999,123.099998,123.699997,838000,120.979642
2015-08-07,123.690002,124.300003,122.18,123.050003,582700,120.343943
2015-08-10,124.300003,125.459999,124.18,125.139999,837300,122.387977
2015-08-11,123.889999,124.110001,122.879997,123.419998,959100,120.705801
2015-08-12,122.220001,122.370003,119.550003,121.849998,1674700,119.170328
2015-08-13,121.809998,122.690002,121.190002,121.620003,1363400,118.94539
2015-08-14,121.760002,123.059998,121.290001,122.959999,1340300,120.255918
2015-08-17,122.599998,124.230003,121.650002,124.139999,890100,121.409968
2015-08-18,123.849998,124.339996,122.129997,122.470001,1034900,119.776696
2015-08-19,121.690002,122.120003,120.660004,120.970001,877900,118.309683
2015-08-20,120.18,120.18,118.599998,118.879997,1439000,116.265642
2015-08-21,117.290001,118.199997,114.709999,114.839996,2395300,112.314487
2015-08-24,114.809998,114.879997,95.519997,109.129997,2542300,106.730059
2015-08-25,113.449997,113.879997,107.279999,107.279999,2334500,104.920745
2015-08-26,109.260002,112.440002,108.239998,112.050003,2326800,109.58585
2015-08-27,113.730003,115.379997,112.400002,114.959999,1440400,112.43185
2015-08-28,114.199997,114.830002,113.220001,114.139999,1127700,111.629884
2015-08-31,113.779999,114.970001,112.489998,112.669998,1033800,110.19221
2015-09-01,110.0,110.559998,108.199997,109.099998,1859000,106.70072
2015-09-02,110.279999,111.480003,108.279999,109.559998,1321000,107.150603
2015-09-03,109.610001,110.849998,109.209999,109.620003,1538600,107.209289
2015-09-04,109.07,110.480003,107.730003,108.519997,1162200,106.133474
2015-09-08,110.989998,111.18,109.330002,111.07,893100,108.627398
2015-09-09,112.230003,113.010002,108.580002,108.889999,940100,106.495339
2015-09-10,108.589996,110.620003,108.279999,109.559998,1279800,107.150603
2015-09-11,108.980003,109.800003,108.330002,109.720001,1112800,107.307088
2015-09-14,109.910004,109.940002,108.550003,108.919998,640500,106.524678
2015-09-15,108.980003,110.360001,108.459999,109.839996,1016400,107.424444
2015-09-16,109.709999,110.809998,109.0,110.629997,960100,108.197072
2015-09-17,110.279999,112.339996,109.230003,109.519997,1462300,107.111482
2015-09-18,108.07,109.190002,106.949997,107.410004,1956800,105.047891
2015-09-21,108.419998,109.620003,108.129997,108.790001,814600,106.39754
2015-09-22,106.940002,107.769997,105.839996,107.5,1155200,105.135908
2015-09-23,107.599998,108.010002,106.290001,106.919998,931300,104.568662
2015-09-24,105.699997,107.190002,105.370003,106.889999,1196900,104.539323
2015-09-25,108.099998,108.699997,107.330002,108.059998,850600,105.683591
2015-09-28,107.010002,108.5,103.440002,103.790001,2013400,101.507498
2015-09-29,104.379997,106.730003,103.43,106.449997,1648200,104.108996
2015-09-30,107.650002,109.300003,107.099998,109.129997,1602500,106.730059
2015-10-01,109.059998,109.720001,107.580002,109.610001,1269600,107.199507
2015-10-02,105.82,108.730003,104.589996,108.589996,1504700,106.201934
2015-10-05,109.879997,112.169998,107.57,111.879997,919000,109.419583
2015-10-06,111.349998,111.699997,110.099998,111.019997,939300,108.578495
2015-10-07,112.050003,113.059998,110.32,111.860001,1155800,109.400026
2015-10-08,111.43,112.32,110.889999,112.050003,1587000,109.58585
2015-10-09,112.07,112.690002,110.199997,111.099998,1178300,108.656737
2015-10-12,110.900002,111.160004,109.379997,109.830002,993200,107.41467
2015-10-13,108.940002,109.589996,107.82,107.989998,1123000,105.61513
2015-10-14,108.099998,108.639999,107.18,107.57,1202200,105.204369
2015-10-15,108.699997,110.699997,108.099998,110.620003,871800,108.187297
2015-10-16,110.839996,111.82,110.029999,111.57,982800,109.116402
