Date,Open_LH,High_LH,Low_LH,Close_LH,Volume_LH,AdjClose_LH
2013-06-14,99.830002,100.980003,99.709999,100.0,466500,100.0
2013-06-17,100.620003,101.489998,100.18,100.440002,466200,100.440002
2013-06-18,100.480003,100.900002,100.190002,100.779999,384100,100.779999
2013-06-19,100.730003,101.07,99.690002,100.010002,443300,100.010002
2013-06-20,99.529999,99.989998,98.709999,98.989998,1203200,98.989998
2013-06-21,99.690002,100.400002,98.959999,99.459999,709900,99.459999
2013-06-24,98.839996,100.300003,97.739998,99.040001,1368400,99.040001
2013-06-25,99.870003,100.0,98.290001,99.260002,747600,99.260002
2013-06-26,99.739998,99.93,99.07,99.449997,427100,99.449997
2013-06-27,100.040001,101.410004,100.040001,100.790001,485300,100.790001
2013-06-28,100.440002,100.779999,99.169998,100.099998,747800,100.099998
2013-07-01,100.330002,101.029999,99.900002,100.260002,456100,100.260002
2013-07-02,100.040001,100.239998,98.900002,99.220001,577700,99.220001
2013-07-03,98.190002,98.860001,98.190002,98.459999,451100,98.459999
2013-07-05,99.07,99.919998,98.760002,99.900002,546600,99.900002
2013-07-08,100.32,100.459999,99.449997,100.150002,568200,100.150002
2013-07-09,98.190002,98.190002,95.580002,95.860001,1926900,95.860001
2013-07-10,95.709999,97.330002,95.709999,96.849998,861300,96.849998
2013-07-11,97.879997,97.900002,96.510002,96.699997,775300,96.699997
2013-07-12,96.0,96.889999,95.360001,96.699997,867100,96.699997
2013-07-15,97.07,98.279999,96.82,97.339996,1076900,97.339996
2013-07-16,97.239998,97.489998,96.699997,97.279999,1007000,97.279999
2013-07-17,97.57,98.980003,97.290001,98.529999,786800,98.529999
2013-07-18,98.480003,98.910004,97.050003,97.419998,1014900,97.419998
2013-07-19,99.959999,99.959999,96.230003,96.879997,1276500,96.879997
2013-07-22,96.660004,97.550003,96.639999,97.43,828400,97.43
2013-07-23,97.5,98.629997,97.32,98.209999,1246400,98.209999
2013-07-24,98.220001,98.230003,97.309998,97.779999,1225900,97.779999
2013-07-25,97.720001,98.220001,97.260002,98.029999,453700,98.029999
2013-07-26,97.440002,98.360001,97.260002,98.349998,485700,98.349998
2013-07-29,97.919998,98.540001,97.709999,98.029999,526100,98.029999
2013-07-30,98.32,98.57,97.360001,97.419998,725600,97.419998
2013-07-31,97.550003,97.75,96.489998,96.739998,1032500,96.739998
2013-08-01,97.260002,97.540001,96.400002,97.389999,624700,97.389999
2013-08-02,97.309998,97.629997,96.900002,97.459999,481400,97.459999
2013-08-05,97.290001,98.050003,97.230003,97.980003,398900,97.980003
2013-08-06,97.699997,97.980003,96.959999,97.440002,462600,97.440002
2013-08-07,97.019997,97.300003,96.370003,96.870003,751400,96.870003
2013-08-08,97.010002,98.25,96.879997,97.82,447900,97.82
2013-08-09,97.860001,98.300003,97.660004,97.769997,554000,97.769997
2013-08-12,97.68,98.199997,97.040001,97.940002,329000,97.940002
2013-08-13,98.160004,98.660004,97.93,98.199997,276600,98.199997
2013-08-14,98.25,99.160004,98.010002,99.150002,874300,99.150002
2013-08-15,98.400002,98.68,97.190002,97.489998,1047800,97.489998
2013-08-16,97.220001,97.220001,96.489998,96.860001,767200,96.860001
2013-08-19,96.550003,97.57,96.25,97.010002,520400,97.010002
2013-08-20,97.0,97.169998,96.400002,96.610001,525800,96.610001
2013-08-21,96.610001,97.32,96.330002,96.519997,427500,96.519997
2013-08-22,96.809998,97.169998,96.300003,96.389999,320700,96.389999
2013-08-23,96.629997,96.849998,96.160004,96.5,253400,96.5
2013-08-26,96.43,96.970001,96.239998,96.519997,251800,96.519997
2013-08-27,96.07,96.370003,95.580002,96.010002,475900,96.010002
2013-08-28,96.480003,96.760002,95.839996,96.059998,295100,96.059998
2013-08-29,95.75,96.559998,95.629997,95.879997,386000,95.879997
2013-08-30,95.860001,96.370003,95.5,95.720001,580800,95.720001
2013-09-03,96.139999,97.220001,95.629997,96.040001,512100,96.040001
2013-09-04,95.980003,97.209999,95.980003,97.0,731500,97.0
2013-09-05,97.059998,98.199997,96.989998,97.75,399300,97.75
2013-09-06,97.75,98.760002,97.32,98.169998,464200,98.169998
2013-09-09,98.099998,98.629997,97.589996,98.5,377300,98.5
2013-09-10,99.050003,100.209999,99.029999,100.059998,836700,100.059998
2013-09-11,100.07,100.480003,99.860001,100.150002,432200,100.150002
2013-09-12,100.510002,100.510002,99.839996,100.050003,627300,100.050003
2013-09-13,100.5,100.970001,99.93,100.699997,470100,100.699997
2013-09-16,101.919998,101.919998,100.889999,101.089996,387100,101.089996
2013-09-17,100.989998,101.540001,100.660004,101.389999,294600,101.389999
2013-09-18,101.25,101.330002,99.25,100.510002,666400,100.510002
2013-09-19,100.419998,100.620003,99.650002,99.760002,763900,99.760002
2013-09-20,99.860001,100.120003,99.160004,99.57,1376200,99.57
2013-09-23,99.199997,99.650002,98.730003,99.440002,561700,99.440002
2013-09-24,99.599998,99.93,99.019997,99.169998,473100,99.169998
2013-09-25,99.370003,99.529999,98.720001,98.75,429200,98.75
2013-09-26,98.949997,99.68,98.540001,98.870003,333200,98.870003
2013-09-27,98.75,98.75,98.129997,98.629997,488200,98.629997
2013-09-30,98.290001,99.190002,97.760002,99.139999,490600,99.139999
2013-10-01,99.230003,99.459999,98.580002,98.949997,638000,98.949997
2013-10-02,98.849998,99.949997,98.589996,99.830002,643100,99.830002
2013-10-03,99.529999,100.0,98.970001,99.800003,544500,99.800003
2013-10-04,99.650002,100.57,99.620003,100.470001,559100,100.470001
2013-10-07,99.809998,100.260002,99.309998,100.050003,361200,100.050003
2013-10-08,100.040001,100.699997,99.93,100.07,601100,100.07
2013-10-09,100.110001,100.470001,99.129997,100.139999,592400,100.139999
2013-10-10,98.769997,99.629997,98.349998,99.029999,931500,99.029999
2013-10-11,99.040001,100.639999,98.919998,100.480003,607800,100.480003
2013-10-14,100.059998,101.0,99.779999,100.629997,494400,100.629997
2013-10-15,100.290001,100.860001,99.300003,99.459999,701300,99.459999
2013-10-16,99.75,101.169998,99.599998,101.129997,631300,101.129997
2013-10-17,100.800003,102.650002,99.82,102.550003,1197700,102.550003
2013-10-18,103.129997,104.370003,99.269997,100.199997,1359800,100.199997
2013-10-21,100.290001,100.360001,98.760002,99.32,702700,99.32
2013-10-22,99.669998,101.0,99.470001,100.879997,836200,100.879997
2013-10-23,100.660004,101.639999,100.410004,101.440002,642800,101.440002
2013-10-24,101.370003,101.989998,100.230003,100.25,498000,100.25
2013-10-25,100.07,100.660004,98.580002,100.220001,773700,100.220001
2013-10-28,100.190002,100.82,99.709999,100.25,878000,100.25
2013-10-29,100.110001,101.959999,100.099998,101.529999,732200,101.529999
2013-10-30,102.089996,102.089996,101.120003,101.190002,666600,101.190002
2013-10-31,101.339996,101.93,100.199997,100.900002,870300,100.900002
2013-11-01,100.919998,101.239998,100.150002,101.139999,611100,101.139999
2013-11-04,101.529999,102.790001,101.389999,102.720001,713100,102.720001
2013-11-05,102.639999,102.720001,101.809998,102.410004,613900,102.410004
2013-11-06,102.360001,103.339996,101.959999,103.160004,422000,103.160004
2013-11-07,103.529999,105.169998,102.879997,104.330002,898800,104.330002
2013-11-08,103.980003,105.019997,103.660004,104.970001,507800,104.970001
2013-11-11,104.650002,106.019997,104.650002,105.660004,733500,105.660004
2013-11-12,105.400002,105.730003,104.040001,105.419998,776200,105.419998
2013-11-13,105.370003,105.970001,104.800003,105.43,557300,105.43
2013-11-14,105.629997,107.459999,105.150002,107.389999,816400,107.389999
2013-11-15,107.230003,108.0,106.07,106.330002,767700,106.330002
2013-11-18,106.32,106.870003,104.18,104.720001,801900,104.720001
2013-11-19,104.290001,104.790001,103.07,103.959999,704800,103.959999
