Date,Open_MON,High_MON,Low_MON,Close_MON,Volume_MON,AdjClose_MON
2013-06-14,105.889999,106.470001,105.129997,105.629997,2259900,99.995886
2013-06-17,106.68,106.800003,104.129997,104.82,2592100,99.229093
2013-06-18,105.0,105.809998,104.150002,105.629997,1574600,99.995886
2013-06-19,105.620003,106.330002,105.129997,105.889999,3002500,100.242021
2013-06-20,104.849998,105.410004,103.199997,103.449997,3054400,97.932163
2013-06-21,104.400002,104.5,102.32,103.190002,3985900,97.686037
2013-06-24,101.57,102.599998,100.489998,101.699997,2250500,96.275505
2013-06-25,102.720001,103.0,101.239998,101.400002,2701100,95.991511
2013-06-26,101.650002,102.269997,99.230003,100.839996,4091200,95.461375
2013-06-27,101.169998,101.169998,98.589996,98.75,3252600,93.482856
2013-06-28,98.540001,99.410004,97.889999,98.800003,3947000,93.530192
2013-07-01,99.199997,99.610001,96.75,96.970001,4309700,91.797799
2013-07-02,96.529999,98.489998,96.5,98.419998,4620600,93.532165
2013-07-03,97.540001,98.379997,97.25,97.889999,1357000,93.028488
2013-07-05,98.5,99.040001,98.230003,98.709999,1841700,93.807764
2013-07-08,98.879997,99.360001,98.68,99.190002,2846400,94.263929
2013-07-09,99.870003,101.690002,99.620003,101.400002,4047100,96.364173
2013-07-10,101.260002,102.089996,100.900002,101.489998,2428000,96.449699
2013-07-11,102.589996,103.540001,102.279999,103.339996,2058100,98.207821
2013-07-12,103.169998,103.440002,102.190002,102.949997,2336800,97.837191
2013-07-15,103.209999,103.709999,102.360001,103.269997,2401800,98.141298
2013-07-16,103.370003,103.5,101.400002,101.580002,2732300,96.535233
2013-07-17,102.0,103.440002,101.760002,102.940002,2393800,97.827692
2013-07-18,103.029999,103.309998,102.309998,103.029999,1751300,97.913219
2013-07-19,103.0,104.18,102.639999,104.160004,2145900,98.987105
2013-07-22,104.0,104.470001,103.800003,103.93,1490500,98.768524
2013-07-23,104.139999,104.800003,103.5,103.900002,1703300,98.740015
2013-07-24,102.639999,102.849998,101.580002,101.739998,3156500,96.687284
2013-07-25,100.389999,101.919998,100.0,100.709999,3288300,95.708438
2013-07-26,100.599998,100.860001,99.959999,100.510002,3669000,95.518373
2013-07-29,100.279999,101.870003,100.059998,101.559998,3589600,96.516223
2013-07-30,100.25,100.849998,99.760002,100.43,4206100,95.442344
2013-07-31,100.940002,100.980003,98.75,98.779999,3420400,93.874287
2013-08-01,99.529999,100.190002,97.32,97.370003,4249000,92.534316
2013-08-02,97.5,98.099998,97.190002,97.459999,3381200,92.619842
2013-08-05,97.68,97.720001,96.900002,97.25,2549100,92.420273
2013-08-06,96.620003,96.790001,94.709999,95.019997,5935100,90.301018
