Date,Open_PCAR,High_PCAR,Low_PCAR,Close_PCAR,Volume_PCAR,AdjClose_PCAR
2013-06-14,53.68,54.060001,53.220001,53.220001,917600,47.896138
2013-06-17,53.529999,54.220001,53.43,53.860001,963200,48.472115
2013-06-18,53.93,54.650002,53.790001,54.509998,688500,49.05709
2013-06-19,54.41,54.59,53.82,53.82,846800,48.436115
2013-06-20,53.139999,53.259998,52.02,52.209999,1672000,46.987171
2013-06-21,52.650002,52.68,51.700001,52.330002,2860100,47.095169
2013-06-24,51.93,51.970001,51.130001,51.139999,2675600,46.024209
2013-06-25,51.689999,52.049999,51.389999,51.880001,1548100,46.690185
2013-06-26,52.48,52.84,52.150002,52.630001,948600,47.365158
2013-06-27,52.959999,53.720001,52.860001,53.630001,1513900,48.265123
2013-06-28,53.279999,53.950001,53.23,53.66,2146200,48.292121
2013-07-01,53.66,54.32,53.650002,54.25,1430400,48.823101
2013-07-02,54.259998,54.540001,53.509998,53.93,1283100,48.535112
2013-07-03,52.849998,53.610001,52.59,53.470001,1204800,48.121129
2013-07-05,53.919998,54.380001,53.32,54.369999,973100,48.931095
2013-07-08,54.740002,54.889999,54.450001,54.59,1064800,49.129089
2013-07-09,55.0,55.27,54.650002,54.959999,1212500,49.462075
2013-07-10,54.759998,55.18,54.490002,54.77,1021300,49.291083
2013-07-11,55.490002,56.91,55.299999,56.82,2420000,51.13601
2013-07-12,56.779999,56.900002,56.310001,56.650002,1697900,50.983018
2013-07-15,56.810001,57.34,56.669998,57.16,1087200,51.441999
2013-07-16,57.25,57.41,56.560001,56.75,1024800,51.073013
2013-07-17,56.810001,57.18,56.549999,56.959999,945400,51.262005
2013-07-18,56.75,57.779999,56.720001,57.540001,1235400,51.783986
2013-07-19,57.810001,57.93,57.32,57.630001,2083300,51.864983
2013-07-22,58.41,58.57,57.68,57.810001,2328200,52.026977
2013-07-23,59.529999,60.0,57.02,57.25,3113300,51.522996
2013-07-24,55.73,56.5,55.630001,56.200001,3382900,50.578033
2013-07-25,56.209999,56.419998,55.709999,56.130001,1323900,50.515036
2013-07-26,55.630001,56.310001,55.52,56.099998,1308700,50.488034
2013-07-29,56.049999,56.34,55.790001,56.049999,908400,50.443037
2013-07-30,56.52,56.889999,56.099998,56.360001,1555800,50.722027
2013-07-31,56.599998,56.709999,56.23,56.27,1276400,50.64103
2013-08-01,56.75,57.130001,56.540001,56.82,1433900,51.13601
2013-08-02,56.529999,57.080002,56.23,56.939999,1373600,51.244005
2013-08-05,56.650002,56.889999,56.259998,56.380001,874100,50.740027
2013-08-06,56.099998,56.23,55.639999,56.130001,1246200,50.515036
2013-08-07,55.900002,56.0,55.279999,55.700001,1128500,50.128051
2013-08-08,56.099998,56.279999,55.580002,56.009998,928500,50.407037
2013-08-09,55.779999,56.049999,55.450001,55.93,679300,50.335042
2013-08-12,55.580002,56.490002,55.400002,56.360001,790200,50.722027
2013-08-13,56.32,56.599998,56.009998,56.389999,739700,50.749025
2013-08-14,56.200001,56.220001,55.57,55.779999,868000,50.378724
2013-08-15,55.18,55.220001,54.48,54.84,960200,49.529748
2013-08-16,54.650002,55.169998,54.52,54.740002,1072200,49.439432
2013-08-19,54.77,54.959999,54.34,54.41,961000,49.141385
2013-08-20,54.439999,55.040001,54.119999,54.830002,757200,49.520717
2013-08-21,54.43,54.84,53.950001,54.23,1069600,48.978814
2013-08-22,54.290001,55.400002,54.259998,55.240002,849000,49.891016
2013-08-23,55.419998,55.470001,54.599998,55.209999,1082500,49.863919
2013-08-26,55.049999,55.400002,54.73,54.810001,810100,49.502654
2013-08-27,54.189999,54.27,53.41,53.560001,1459800,48.373693
2013-08-28,53.599998,54.419998,53.389999,53.959999,1522500,48.734959
2013-08-29,53.709999,54.459999,53.650002,54.0,1000200,48.771086
2013-08-30,53.93,54.060001,53.41,53.610001,1080500,48.418851
2013-09-03,54.529999,54.810001,53.209999,53.560001,1557100,48.373693
2013-09-04,53.369999,54.279999,53.07,54.09,1327700,48.852371
2013-09-05,54.080002,54.900002,53.939999,54.599998,1399800,49.312986
2013-09-06,53.939999,54.970001,53.57,54.240002,1067600,48.987848
2013-09-09,54.490002,55.330002,54.240002,55.130001,893200,49.791667
2013-09-10,55.580002,56.220001,55.490002,55.98,1087200,50.559359
2013-09-11,55.990002,56.150002,55.639999,56.07,1164200,50.640644
2013-09-12,55.939999,56.119999,55.709999,55.98,914700,50.559359
2013-09-13,55.93,56.310001,55.919998,56.279999,920600,50.830309
2013-09-16,57.110001,57.25,56.900002,56.970001,1154800,51.453497
2013-09-17,56.919998,57.16,56.580002,56.970001,743600,51.453497
2013-09-18,56.869999,57.880001,56.610001,57.689999,1157000,52.103776
2013-09-19,57.959999,58.310001,57.77,58.049999,1107300,52.428917
2013-09-20,58.200001,58.419998,57.419998,57.650002,3188300,52.067652
2013-09-23,57.150002,57.630001,57.049999,57.32,1359100,51.769604
2013-09-24,57.419998,57.560001,56.549999,56.77,1989700,51.272863
2013-09-25,56.630001,56.889999,56.189999,56.41,1807300,50.947721
2013-09-26,56.650002,56.779999,56.16,56.439999,949500,50.974815
2013-09-27,56.029999,56.040001,55.57,55.799999,1039500,50.396788
2013-09-30,55.389999,55.709999,54.869999,55.66,1976700,50.270345
2013-10-01,55.619999,56.169998,55.400002,55.740002,1424200,50.3426
2013-10-02,55.23,55.73,55.040001,55.720001,1117200,50.324537
2013-10-03,55.810001,56.130001,55.110001,55.360001,1689500,49.999395
