Date,Open_ROK,High_ROK,Low_ROK,Close_ROK,Volume_ROK,AdjClose_ROK
2013-06-14,86.529999,87.099998,86.040001,86.690002,748200,80.934448
2013-06-17,87.239998,87.330002,85.709999,86.870003,744000,81.102498
2013-06-18,86.900002,88.199997,86.419998,88.110001,601700,82.26017
2013-06-19,88.010002,88.449997,86.860001,86.879997,510600,81.111829
2013-06-20,85.839996,85.940002,83.32,83.589996,1171200,78.040259
2013-06-21,84.220001,84.800003,83.190002,83.849998,822300,78.282999
2013-06-24,82.790001,82.900002,80.599998,81.809998,1161900,76.378439
2013-06-25,82.669998,83.639999,82.300003,83.269997,850500,77.741505
2013-06-26,84.120003,84.449997,83.440002,83.480003,824600,77.937569
2013-06-27,84.309998,84.639999,83.959999,84.209999,880000,78.619098
2013-06-28,83.839996,84.379997,83.129997,83.139999,1834600,77.620138
2013-07-01,84.110001,85.190002,83.589996,84.989998,1106600,79.347311
2013-07-02,84.809998,85.309998,84.190002,84.809998,1008800,79.179261
2013-07-03,84.540001,85.230003,84.0,84.790001,527600,79.160592
2013-07-05,85.68,86.790001,85.330002,86.739998,486200,80.981125
2013-07-08,87.470001,87.919998,86.940002,87.480003,967500,81.671999
2013-07-09,88.010002,88.620003,87.93,88.160004,484000,82.306853
2013-07-10,87.93,88.209999,86.800003,87.5,847300,81.690668
2013-07-11,88.339996,90.089996,88.339996,89.959999,776600,83.987342
2013-07-12,90.0,91.029999,89.57,90.910004,964700,84.874274
2013-07-15,90.830002,91.440002,90.669998,91.349998,686100,85.285056
2013-07-16,91.5,91.980003,90.709999,91.010002,751900,84.967633
2013-07-17,91.5,92.370003,91.190002,92.220001,896400,86.097298
2013-07-18,92.239998,93.379997,92.0,93.290001,757800,87.096257
2013-07-19,93.209999,93.379997,91.949997,92.82,870200,86.657461
2013-07-22,92.199997,92.790001,89.260002,92.699997,626700,86.545425
2013-07-23,92.989998,93.07,92.099998,93.040001,639100,86.862855
2013-07-24,93.300003,93.300003,91.599998,92.019997,646400,85.910572
2013-07-25,91.540001,91.709999,90.629997,91.389999,686400,85.322401
2013-07-26,91.0,91.449997,90.239998,90.809998,959500,84.780907
2013-07-29,90.400002,91.720001,90.150002,90.550003,840400,84.538174
2013-07-30,93.239998,96.339996,92.5,95.629997,2269400,89.280896
2013-07-31,94.849998,97.43,94.849998,96.849998,1369400,90.419898
2013-08-01,97.68,99.68,97.599998,99.18,1411600,92.595206
2013-08-02,99.0,100.129997,96.690002,100.099998,977000,93.454123
2013-08-05,100.0,100.190002,98.879997,100.099998,751200,93.454123
2013-08-06,99.980003,100.18,99.199997,99.389999,847400,92.791263
2013-08-07,99.32,99.610001,98.129997,98.699997,638700,92.147071
2013-08-08,99.050003,100.220001,98.910004,99.519997,625900,93.404736
2013-08-09,99.400002,99.93,98.419998,98.720001,629100,92.653898
2013-08-12,98.360001,99.459999,98.0,98.879997,866000,92.804063
2013-08-13,99.07,99.529999,98.529999,99.139999,804000,93.048088
2013-08-14,99.230003,99.230003,98.360001,98.800003,447300,92.728984
2013-08-15,100.129997,100.129997,93.470001,96.699997,721800,90.758018
2013-08-16,96.330002,97.830002,96.199997,97.040001,567000,91.07713
2013-08-19,96.739998,97.349998,96.459999,96.860001,588200,90.90819
2013-08-20,96.910004,97.660004,96.309998,97.309998,405300,91.330536
2013-08-21,97.010002,98.089996,96.629997,97.220001,574300,91.246069
2013-08-22,97.610001,99.949997,97.599998,99.800003,642400,93.667536
2013-08-23,99.830002,99.889999,98.230003,98.800003,748200,92.728984
2013-08-26,99.18,100.150002,98.699997,99.029999,706100,92.944847
2013-08-27,97.809998,97.839996,96.970001,97.059998,693400,91.095897
2013-08-28,97.099998,97.610001,96.769997,97.040001,671700,91.07713
2013-08-29,96.919998,98.389999,96.919998,97.769997,356000,91.762269
2013-08-30,97.940002,97.940002,96.860001,97.230003,561400,91.255457
2013-09-03,98.550003,99.529999,97.07,98.0,640600,91.978139
2013-09-04,97.849998,99.489998,96.980003,99.080002,620700,92.991777
2013-09-05,98.790001,100.0,98.470001,99.769997,424000,93.639374
2013-09-06,100.18,101.220001,98.510002,100.040001,822100,93.892787
2013-09-09,100.419998,102.589996,99.980003,102.25,774000,95.966987
2013-09-10,103.0,105.220001,102.690002,104.019997,1002200,97.628222
2013-09-11,103.389999,103.809998,102.18,103.739998,1092300,97.365428
2013-09-12,103.900002,109.220001,103.139999,104.5,718700,98.07873
2013-09-13,104.559998,105.239998,104.080002,105.040001,412400,98.585549
2013-09-16,106.93,107.629997,106.089996,106.970001,772600,100.396956
2013-09-17,106.400002,107.370003,105.379997,106.349998,901700,99.81505
2013-09-18,106.089996,108.620003,105.870003,108.470001,701200,101.804784
2013-09-19,109.099998,109.720001,108.400002,109.129997,669300,102.424225
2013-09-20,108.720001,109.419998,107.209999,107.400002,915900,100.800533
2013-09-23,107.199997,107.769997,106.459999,106.93,571600,100.359413
2013-09-24,107.099998,108.290001,106.610001,107.199997,610800,100.612819
2013-09-25,106.809998,108.419998,106.730003,107.349998,597300,100.753603
2013-09-26,107.910004,108.389999,107.279999,108.150002,388800,101.504448
2013-09-27,107.650002,107.93,106.769997,107.18,454800,100.594051
2013-09-30,105.620003,107.690002,105.620003,106.940002,657700,100.3688
2013-10-01,107.239998,108.769997,106.730003,107.959999,661600,101.32612
2013-10-02,107.110001,107.699997,102.980003,106.959999,732900,100.387568
2013-10-03,106.910004,107.349998,104.879997,106.239998,557600,99.711809
2013-10-04,106.57,107.599998,106.059998,107.129997,471800,100.54712
2013-10-07,106.010002,107.580002,105.910004,106.68,574800,100.124775
2013-10-08,107.099998,107.879997,105.68,105.760002,759000,99.261308
2013-10-09,105.760002,106.449997,103.949997,104.389999,1156100,97.975489
2013-10-10,105.730003,108.769997,105.339996,108.360001,667800,101.701543
2013-10-11,108.019997,108.68,107.57,108.589996,693800,101.917406
2013-10-14,108.110001,108.959999,107.839996,108.769997,574100,102.086346
2013-10-15,108.550003,108.550003,106.07,106.349998,726200,99.81505
2013-10-16,106.309998,106.900002,105.82,106.370003,1108100,99.833826
2013-10-17,105.589996,108.199997,105.589996,108.080002,555200,101.438749
2013-10-18,110.190002,110.690002,108.760002,110.419998,851300,103.634959
2013-10-21,110.400002,110.879997,109.459999,110.129997,419100,103.362778
2013-10-22,110.809998,111.870003,109.949997,110.260002,497700,103.484794
2013-10-23,109.730003,110.43,109.010002,110.43,672400,103.644346
2013-10-24,110.449997,112.080002,110.339996,111.75,554300,104.883235
2013-10-25,111.360001,111.879997,109.900002,110.599998,719600,103.803898
2013-10-28,110.300003,110.879997,109.339996,109.690002,653500,102.949819
2013-10-29,110.230003,111.029999,109.889999,110.910004,940600,104.094854
2013-10-30,111.129997,111.660004,109.970001,110.059998,565700,103.297079
2013-10-31,110.089996,112.260002,109.639999,110.410004,734300,103.625578
2013-11-01,110.629997,111.220001,108.839996,109.43,716200,102.705794
2013-11-04,110.010002,110.809998,109.540001,109.769997,696900,103.024898
2013-11-05,109.080002,109.57,108.120003,108.790001,653700,102.105121
2013-11-06,109.059998,110.129997,108.690002,109.029999,807600,102.330371
2013-11-07,111.110001,113.949997,110.010002,111.559998,1444900,104.704908
2013-11-08,111.32,111.889999,110.870003,111.720001,1154600,104.85508
2013-11-11,111.82,113.18,111.419998,112.690002,738200,105.765477
2013-11-12,112.480003,113.400002,111.910004,112.949997,638600,106.009495
2013-11-13,112.470001,114.07,112.019997,113.75,925400,106.76034
2013-11-14,113.269997,113.870003,112.529999,112.599998,611600,106.22262
2013-11-15,112.910004,113.75,111.93,111.980003,1004000,105.63774
2013-11-18,112.610001,112.75,111.0,111.449997,890900,105.137752
2013-11-19,111.610001,112.129997,110.82,111.120003,564300,104.826447
2013-11-20,111.18,111.760002,110.300003,110.959999,424300,104.675506
2013-11-21,111.07,111.989998,111.029999,111.440002,729400,105.128323
