Date,Open_INTU,High_INTU,Low_INTU,Close_INTU,Volume_INTU,AdjClose_INTU
2013-06-14,57.889999,58.220001,57.290001,57.5,1456400,55.627766
2013-06-17,57.779999,58.150002,57.189999,58.029999,2262300,56.140508
2013-06-18,57.93,58.790001,57.93,58.700001,2710400,56.788694
2013-06-19,58.52,59.080002,58.349998,58.439999,2079600,56.537158
2013-06-20,58.0,58.580002,57.75,57.849998,2199600,55.966369
2013-06-21,58.049999,58.220001,57.169998,57.860001,2572100,55.976045
2013-06-24,57.779999,58.0,56.740002,57.509998,1952200,55.637439
2013-06-25,57.82,59.040001,57.57,58.810001,3350800,56.895113
2013-06-26,59.200001,59.759998,58.75,59.450001,3122700,57.514274
2013-06-27,59.880001,61.369999,59.880001,60.790001,2831700,58.810643
2013-06-28,60.299999,61.369999,60.189999,61.040001,3500300,59.052503
2013-07-01,62.099998,63.830002,61.900002,63.150002,4443200,61.0938
2013-07-02,62.880001,63.049999,61.529999,62.369999,3928800,60.339195
2013-07-03,62.02,62.700001,61.889999,62.380001,1615300,60.348872
2013-07-05,61.59,62.700001,61.59,62.549999,1589600,60.513335
2013-07-08,62.720001,63.34,62.290001,62.970001,2538400,61.085681
2013-07-09,63.279999,63.560001,63.099998,63.240002,1639900,61.347602
2013-07-10,63.27,63.5,63.060001,63.360001,1564900,61.46401
2013-07-11,63.68,64.419998,63.639999,64.379997,1871100,62.453484
2013-07-12,64.459999,64.849998,64.220001,64.720001,1884200,62.783314
2013-07-15,64.580002,64.839996,64.349998,64.830002,2251600,62.890023
2013-07-16,64.940002,65.18,64.690002,64.879997,1585200,62.938522
2013-07-17,65.0,65.32,64.809998,65.010002,1889000,63.064637
2013-07-18,64.970001,65.730003,64.839996,64.870003,1650300,62.928827
2013-07-19,64.459999,64.779999,63.939999,64.080002,2075700,62.162466
2013-07-22,64.400002,64.709999,64.019997,64.410004,1110600,62.482593
2013-07-23,65.239998,65.239998,63.650002,63.77,1293500,61.861741
2013-07-24,64.190002,64.650002,63.060001,63.110001,1927400,61.221491
2013-07-25,63.119999,63.389999,62.900002,63.169998,1737100,61.279693
2013-07-26,63.029999,63.959999,62.740002,63.919998,1694100,62.00725
2013-07-29,63.560001,64.529999,63.389999,63.540001,1692100,61.638624
2013-07-30,63.630001,63.98,63.259998,63.34,1146800,61.444608
2013-07-31,63.639999,64.199997,63.439999,63.919998,1193600,62.00725
2013-08-01,64.230003,64.760002,63.759998,64.489998,1702300,62.560193
2013-08-02,64.18,64.309998,63.34,63.889999,1771200,61.978149
2013-08-05,63.790001,64.220001,63.73,63.919998,1326600,62.00725
2013-08-06,63.709999,63.919998,63.380001,63.650002,1178900,61.745333
2013-08-07,63.349998,64.470001,63.349998,64.120003,2088600,62.20127
2013-08-08,64.470001,64.470001,63.82,64.199997,2148000,62.27887
2013-08-09,63.91,64.690002,63.91,64.449997,1567200,62.521389
2013-08-12,64.510002,64.839996,64.010002,64.669998,1088800,62.734807
2013-08-13,64.800003,65.32,64.239998,65.0,1177900,63.054934
2013-08-14,65.010002,65.080002,64.290001,64.769997,1301500,62.831813
2013-08-15,64.059998,64.410004,63.669998,63.830002,1637800,61.919947
2013-08-16,63.790001,64.410004,63.66,64.239998,1814200,62.317674
2013-08-19,64.019997,64.279999,63.349998,63.419998,1308900,61.522212
2013-08-20,63.330002,63.689999,63.080002,63.139999,2328100,61.250592
2013-08-21,62.740002,64.0,62.619999,63.02,3115800,61.134184
2013-08-22,63.119999,63.68,62.610001,63.610001,1600100,61.706529
2013-08-23,63.560001,64.349998,63.25,64.18,2311000,62.259472
2013-08-26,61.5,65.110001,61.5,64.32,2693300,62.395282
2013-08-27,63.509998,63.959999,63.25,63.709999,3077600,61.803535
2013-08-28,63.919998,63.990002,63.25,63.400002,3205800,61.502814
2013-08-29,63.150002,63.880001,62.889999,63.59,1547200,61.687127
2013-08-30,63.849998,63.939999,63.310001,63.529999,1455000,61.628921
2013-09-03,63.799999,64.599998,63.59,63.75,1796500,61.842339
2013-09-04,64.059998,64.699997,63.709999,64.160004,2815000,62.240074
2013-09-05,64.360001,64.57,64.019997,64.18,1393000,62.259472
