Date,Open_SWKS,High_SWKS,Low_SWKS,Close_SWKS,Volume_SWKS,AdjClose_SWKS
2015-06-08,106.540001,106.75,102.199997,102.32,3548000,100.830417
2015-06-09,101.580002,102.739998,98.07,102.239998,6186700,100.75158
2015-06-10,103.440002,105.970001,103.279999,105.540001,3554200,104.003541
2015-06-11,105.849998,106.540001,104.93,105.629997,2529100,104.092228
2015-06-12,104.489998,105.709999,103.980003,104.949997,1672200,103.422127
2015-06-15,104.040001,106.279999,102.839996,106.110001,2465800,104.565243
2015-06-16,105.589996,107.0,105.25,106.330002,1899500,104.782041
2015-06-17,106.339996,107.029999,105.559998,106.57,1943400,105.018545
2015-06-18,107.07,110.209999,107.07,109.980003,3606500,108.378906
2015-06-19,110.769997,112.879997,109.43,110.199997,4114300,108.595697
2015-06-22,110.720001,112.230003,109.540001,110.919998,2253900,109.305216
2015-06-23,111.519997,111.599998,109.029999,110.279999,1886400,108.674534
2015-06-24,108.599998,109.730003,108.07,108.400002,1982100,106.821906
2015-06-25,109.089996,110.900002,108.550003,109.870003,1923200,108.270507
2015-06-26,109.5,109.650002,106.129997,106.900002,4270700,105.343743
2015-06-29,102.889999,105.800003,100.330002,102.040001,6050500,100.554495
2015-06-30,104.129997,105.099998,102.599998,104.099998,3931200,102.584503
2015-07-01,106.0,106.739998,103.599998,103.910004,2395200,102.397274
2015-07-02,104.68,105.0,103.419998,104.849998,1805600,103.323584
2015-07-06,103.129997,104.150002,101.25,101.940002,2944700,100.455952
2015-07-07,101.339996,101.43,94.209999,100.489998,8426400,99.027057
2015-07-08,97.400002,98.480003,94.699997,95.599998,7241900,94.208246
2015-07-09,98.160004,98.660004,93.269997,94.510002,6788800,93.134118
2015-07-10,97.050003,101.050003,96.510002,100.199997,5566400,98.741278
2015-07-13,102.93,103.0,99.559998,100.489998,4039700,99.027057
2015-07-14,101.18,102.400002,100.129997,102.029999,2451100,100.544638
