Date,Open_TRV,High_TRV,Low_TRV,Close_TRV,Volume_TRV,AdjClose_TRV
2015-06-08,98.900002,99.089996,97.730003,97.760002,2447700,96.094433
2015-06-09,98.010002,98.440002,97.540001,97.800003,1883500,96.133752
2015-06-10,98.040001,99.919998,98.040001,99.18,1891500,97.490238
2015-06-11,99.07,100.300003,99.010002,100.129997,1709200,98.424049
2015-06-12,99.639999,99.910004,98.940002,99.470001,1426100,97.775298
2015-06-15,98.769997,99.339996,98.220001,98.790001,1458000,97.106883
2015-06-16,98.389999,99.769997,98.389999,99.489998,1436200,97.794954
2015-06-17,99.839996,100.18,99.07,99.779999,1225900,98.080014
2015-06-18,100.089996,101.699997,100.089996,101.470001,2196500,99.741223
2015-06-19,101.160004,101.349998,99.269997,99.449997,3014900,97.755634
2015-06-22,100.410004,100.540001,99.809998,100.040001,1263000,98.335586
2015-06-23,100.339996,100.599998,99.470001,100.0,1105200,98.296267
2015-06-24,99.790001,99.940002,98.779999,98.779999,1402500,97.097051
2015-06-25,98.370003,98.809998,97.739998,97.809998,1403800,96.143576
2015-06-26,98.18,98.559998,97.720001,97.919998,2061600,96.251703
2015-06-29,97.099998,97.470001,96.099998,96.139999,1818600,94.50203
2015-06-30,96.690002,97.110001,95.860001,96.660004,2752000,95.013175
2015-07-01,99.650002,100.440002,98.540001,99.300003,3447000,97.608196
2015-07-02,99.489998,100.459999,99.080002,99.230003,1996200,97.539389
2015-07-06,98.419998,99.120003,98.239998,98.940002,1756000,97.254329
2015-07-07,98.989998,100.150002,98.300003,100.029999,2716300,98.325754
2015-07-08,99.139999,99.470001,98.620003,98.760002,2352200,97.077395
2015-07-09,100.379997,100.989998,99.870003,100.07,3101500,98.365074
2015-07-10,101.309998,101.349998,100.68,101.0,1225300,99.279229
2015-07-13,101.900002,102.43,101.830002,102.330002,2174900,100.586572
2015-07-14,101.980003,102.589996,101.919998,102.379997,1211400,100.635715
2015-07-15,101.989998,102.580002,101.989998,102.419998,1737800,100.675035
2015-07-16,103.349998,103.709999,103.010002,103.290001,2020100,101.530215
2015-07-17,103.169998,103.400002,102.699997,102.940002,1449000,101.186179
2015-07-20,102.910004,103.080002,102.519997,102.610001,1756600,100.8618
2015-07-21,103.970001,104.730003,102.120003,104.480003,3389500,102.699943
2015-07-22,104.669998,105.860001,104.489998,105.300003,2119200,103.505972
2015-07-23,105.389999,105.589996,104.879997,105.300003,1568700,103.505972
2015-07-24,105.169998,105.550003,104.949997,105.269997,1605000,103.476477
2015-07-27,104.160004,105.980003,104.050003,105.589996,2239500,103.791025
2015-07-28,106.0,106.099998,105.18,105.940002,1903200,104.135067
2015-07-29,105.959999,106.599998,105.709999,106.43,1805600,104.616717
2015-07-30,106.199997,106.650002,105.919998,106.5,1103900,104.685524
2015-07-31,106.830002,107.089996,106.019997,106.120003,1758500,104.312001
2015-08-03,106.389999,106.940002,105.989998,106.940002,1497800,105.11803
2015-08-04,106.510002,107.110001,106.25,106.629997,2118400,104.813307
2015-08-05,107.110001,107.470001,105.830002,106.080002,2829200,104.272682
2015-08-06,106.230003,106.300003,104.919998,105.459999,1497000,103.663242
2015-08-07,105.260002,105.580002,104.760002,105.480003,1507300,103.682906
2015-08-10,106.089996,106.610001,105.580002,105.82,1916300,104.017109
2015-08-11,105.0,105.989998,104.989998,105.889999,1515100,104.085916
2015-08-12,105.050003,105.629997,104.050003,105.43,1708800,103.633754
2015-08-13,105.260002,107.699997,104.559998,106.949997,3227600,105.127854
2015-08-14,106.919998,107.879997,106.75,107.709999,1488300,105.874908
2015-08-17,107.129997,107.889999,106.489998,107.709999,1213200,105.874908
2015-08-18,107.669998,107.980003,106.790001,107.82,889700,105.983035
2015-08-19,107.279999,108.050003,106.470001,107.220001,1386900,105.393258
2015-08-20,106.190002,106.629997,105.660004,105.699997,1556800,103.899151
2015-08-21,106.190002,106.190002,102.860001,102.93,2293700,101.176348
2015-08-24,97.989998,101.410004,95.209999,98.779999,5527100,97.097051
2015-08-25,100.470001,100.82,97.639999,97.75,2932300,96.084601
2015-08-26,100.07,100.290001,97.589996,100.0,2602300,98.296267
2015-08-27,101.089996,101.720001,99.790001,101.400002,2711100,99.672416
2015-08-28,101.0,101.220001,99.800003,100.43,1678300,98.718941
2015-08-31,99.739998,100.25,99.32,99.550003,1931200,97.853937
2015-09-01,97.709999,98.550003,97.209999,97.489998,2542000,95.829028
2015-09-02,98.349998,98.93,97.879997,98.93,1642700,97.244497
2015-09-03,99.169998,100.110001,99.010002,99.370003,2382800,97.677003
2015-09-04,97.959999,98.599998,97.290001,97.760002,1923200,96.094433
2015-09-08,98.940002,99.690002,98.5,99.650002,2104700,98.567265
2015-09-09,100.25,100.470001,98.300003,98.480003,1590800,97.40998
2015-09-10,98.160004,99.75,98.07,99.089996,1628100,98.013345
2015-09-11,98.43,99.519997,98.18,99.489998,1375300,98.409
2015-09-14,99.57,99.839996,98.760002,99.279999,1601800,98.201283
2015-09-15,99.519997,101.150002,99.18,100.860001,1694300,99.764117
2015-09-16,100.760002,102.080002,100.5,101.910004,2034100,100.802712
2015-09-17,101.940002,103.129997,101.25,101.660004,1776500,100.555428
2015-09-18,99.830002,100.910004,99.440002,99.660004,5001800,98.577159
2015-09-21,100.440002,101.43,100.120003,100.519997,2095200,99.427808
2015-09-22,99.260002,99.650002,98.68,98.980003,2326600,97.904547
2015-09-23,99.0,99.650002,98.480003,99.080002,1919200,98.003459
2015-09-24,98.639999,99.230003,98.32,98.860001,2387000,97.785848
2015-09-25,99.599998,100.610001,98.480003,99.910004,1942900,98.824442
2015-09-28,99.400002,100.260002,98.769997,99.080002,2892800,98.003459
2015-09-29,99.209999,99.610001,98.209999,99.470001,2127600,98.389221
2015-09-30,100.349998,100.360001,99.279999,99.529999,2556100,98.448566
2015-10-01,99.849998,99.970001,97.18,98.339996,2981400,97.271494
2015-10-02,97.550003,100.029999,97.18,100.029999,2410900,98.943134
2015-10-05,100.730003,101.910004,100.480003,101.860001,1846700,100.753252
2015-10-06,101.540001,101.610001,100.900002,101.07,1329600,99.971835
2015-10-07,101.519997,102.459999,101.279999,102.169998,1328100,101.059881
2015-10-08,101.669998,103.209999,101.559998,103.089996,1213700,101.969883
2015-10-09,103.370003,103.75,102.629997,102.940002,1290600,101.821519
2015-10-12,102.660004,104.0,102.650002,103.720001,983700,102.593043
2015-10-13,103.220001,103.989998,103.0,103.309998,1287600,102.187494
2015-10-14,103.220001,103.730003,102.690002,102.769997,1938400,101.653361
2015-10-15,103.620003,104.959999,103.220001,104.959999,1657600,103.819568
2015-10-16,105.239998,105.970001,105.040001,105.900002,1869700,104.749357
2015-10-19,105.739998,106.470001,104.809998,106.32,2395100,105.164791
2015-10-20,108.580002,109.860001,107.910004,108.949997,3135000,107.766213
2015-10-21,109.5,111.879997,109.489998,110.699997,3099000,109.497198
2015-10-22,110.82,112.93,110.760002,112.32,2488000,111.099599
2015-10-23,112.790001,112.970001,111.900002,112.279999,2326700,111.060033
2015-10-26,112.589996,112.989998,112.220001,112.769997,1798900,111.544707
2015-10-27,112.169998,113.760002,112.120003,113.410004,2119800,112.17776
2015-10-28,113.809998,114.32,113.080002,114.260002,1783700,113.018523
2015-10-29,114.309998,114.769997,113.690002,114.290001,1932200,113.048195
2015-10-30,114.559998,114.610001,112.889999,112.889999,2207300,111.663405
2015-11-02,113.57,113.980003,113.309998,113.870003,1828600,112.632761
2015-11-03,113.800003,114.139999,112.989998,113.690002,1536000,112.454716
2015-11-04,113.709999,114.360001,113.18,114.080002,2031600,112.840478
2015-11-05,114.43,114.580002,113.839996,113.970001,1510800,112.731673
2015-11-06,114.57,114.779999,112.589996,113.099998,2620800,111.871123
2015-11-09,112.720001,113.07,112.410004,112.830002,1586100,111.60406
2015-11-10,112.900002,114.099998,112.470001,114.050003,1488300,112.810805
2015-11-11,114.309998,114.779999,113.849998,114.379997,1218200,113.137214
2015-11-12,113.830002,114.190002,112.260002,112.309998,1939600,111.089706
2015-11-13,112.360001,112.910004,111.830002,112.0,2043600,110.783076
2015-11-16,111.849998,112.910004,111.620003,112.889999,1653500,111.663405
2015-11-17,112.809998,113.449997,112.43,112.739998,1569000,111.515034
2015-11-18,112.839996,114.790001,112.75,114.68,1688300,113.433957
2015-11-19,114.849998,115.300003,114.129997,115.019997,1067400,113.770259
2015-11-20,115.239998,116.480003,115.080002,115.830002,1693700,114.571464
2015-11-23,115.809998,116.150002,115.389999,115.629997,1320800,114.373632
2015-11-24,115.32,115.769997,114.709999,115.440002,1486200,114.185702
