Date,Open_DFS,High_DFS,Low_DFS,Close_DFS,Volume_DFS,AdjClose_DFS
2015-06-08,58.25,58.529999,57.650002,57.650002,2566500,56.443319
2015-06-09,57.799999,58.110001,57.599998,57.669998,1994900,56.462897
2015-06-10,57.869999,58.939999,57.869999,58.740002,2204800,57.510504
2015-06-11,58.82,59.41,58.700001,59.209999,2510400,57.970664
2015-06-12,59.0,59.360001,58.68,59.34,2715300,58.097944
2015-06-15,58.740002,58.779999,58.09,58.220001,3369900,57.001388
2015-06-16,58.130001,58.490002,57.669998,58.060001,3621900,56.844737
2015-06-17,58.209999,58.48,57.689999,58.139999,4394100,56.92306
2015-06-18,58.389999,59.029999,58.139999,58.759998,3043000,57.530082
2015-06-19,58.580002,58.98,58.380001,58.75,2996300,57.520293
2015-06-22,59.209999,59.32,59.040001,59.130001,1970000,57.89234
2015-06-23,59.330002,59.509998,59.049999,59.5,2152700,58.254595
2015-06-24,59.290001,59.459999,59.119999,59.32,3075000,58.078362
2015-06-25,59.189999,59.34,58.869999,59.040001,3067000,57.804224
2015-06-26,59.130001,59.549999,59.060001,59.119999,4075200,57.882547
2015-06-29,58.470001,58.57,57.310001,57.330002,4199100,56.130017
2015-06-30,57.82,58.110001,57.509998,57.619999,3211300,56.413944
2015-07-01,58.259998,58.459999,57.889999,58.419998,3018600,57.197198
2015-07-02,58.599998,58.939999,58.310001,58.450001,2071800,57.226573
2015-07-06,57.75,58.23,57.68,58.060001,2716900,56.844737
2015-07-07,58.25,58.459999,57.290001,58.34,4126800,57.118875
2015-07-08,57.549999,57.939999,56.549999,56.59,2961000,55.405504
2015-07-09,57.549999,57.630001,56.610001,56.75,3051100,55.562155
2015-07-10,57.509998,57.57,57.029999,57.380001,2278000,56.17897
2015-07-13,57.93,58.490002,57.900002,58.450001,2042000,57.226573
2015-07-14,58.240002,58.810001,58.119999,58.77,2158000,57.539875
2015-07-15,58.709999,59.150002,58.599998,58.799999,2120800,57.569246
2015-07-16,59.240002,59.560001,59.09,59.310001,2670500,58.068573
2015-07-17,59.049999,59.23,58.91,59.150002,2442200,57.911922
2015-07-20,59.16,59.73,59.099998,59.66,1791400,58.411245
2015-07-21,59.580002,59.880001,59.130001,59.43,1985300,58.18606
2015-07-22,59.330002,59.52,59.0,59.5,2615600,58.254595
2015-07-23,58.810001,58.830002,56.900002,57.240002,8283500,56.041901
2015-07-24,57.209999,57.259998,55.57,55.810001,5208900,54.641832
2015-07-27,55.349998,55.669998,55.009998,55.240002,4436800,54.083763
2015-07-28,55.490002,55.52,55.0,55.110001,4470400,53.956483
2015-07-29,55.240002,55.490002,55.009998,55.400002,6006500,54.240414
2015-07-30,55.369999,56.380001,55.310001,56.279999,3176600,55.101992
2015-07-31,56.259998,56.34,55.75,55.810001,2954800,54.641832
2015-08-03,55.779999,55.810001,54.91,55.150002,3490900,53.995647
2015-08-04,54.950001,55.23,54.740002,54.849998,2743100,53.975964
2015-08-05,55.310001,55.450001,54.310001,54.470001,2513300,53.602022
2015-08-06,54.52,54.580002,53.549999,53.59,4627300,52.736043
2015-08-07,53.720001,54.919998,53.200001,54.77,6229600,53.89724
2015-08-10,55.150002,55.990002,55.009998,55.880001,3908300,54.989553
2015-08-11,55.41,55.709999,55.139999,55.52,3294400,54.635289
2015-08-12,54.939999,55.509998,54.240002,55.5,3722500,54.615607
2015-08-13,55.380001,55.560001,54.689999,55.09,3317500,54.212141
2015-08-14,55.09,56.209999,54.869999,55.970001,4922900,55.078119
2015-08-17,55.700001,55.799999,55.23,55.540001,2648100,54.654971
2015-08-18,55.57,55.950001,55.450001,55.619999,5888400,54.733694
2015-08-19,55.48,56.009998,55.110001,55.880001,4169200,54.989553
2015-08-20,55.509998,56.84,55.110001,55.490002,4211900,54.605768
2015-08-21,55.049999,55.990002,54.240002,54.240002,6399800,53.375687
2015-08-24,51.66,53.610001,50.919998,52.349998,7855000,51.515801
2015-08-25,53.66,53.779999,51.25,51.259998,5407600,50.44317
2015-08-26,52.48,53.049999,51.66,52.98,4506100,52.135763
2015-08-27,53.619999,54.630001,53.299999,54.439999,3926400,53.572497
2015-08-28,54.130001,54.459999,53.549999,53.950001,3083500,53.090307
2015-08-31,53.98,54.34,53.529999,53.73,3002500,52.873812
2015-09-01,52.209999,52.68,51.040001,51.349998,4494100,50.531736
2015-09-02,52.150002,52.16,51.07,51.77,3222400,50.945045
2015-09-03,52.110001,52.759998,51.93,52.200001,3451900,51.368194
2015-09-04,51.720001,51.82,50.970001,51.400002,2813700,50.580942
2015-09-08,52.279999,52.939999,52.169998,52.84,3188900,51.997995
2015-09-09,53.209999,53.75,52.330002,52.450001,2648600,51.61421
2015-09-10,52.330002,52.91,52.200001,52.5,2754400,51.663412
2015-09-11,52.16,52.630001,51.689999,52.610001,3073000,51.77166
2015-09-14,52.610001,52.75,52.240002,52.389999,2257900,51.555165
2015-09-15,52.439999,53.02,52.009998,52.900002,3616900,52.05704
2015-09-16,53.049999,53.48,52.720001,53.389999,2356700,52.53923
2015-09-17,53.400002,54.240002,52.990002,53.189999,3823300,52.342416
2015-09-18,52.23,52.84,52.080002,52.259998,5358000,51.427235
2015-09-21,52.73,53.130001,52.610001,52.93,1948400,52.086561
2015-09-22,52.119999,52.25,51.43,51.950001,3142600,51.122177
2015-09-23,51.93,52.110001,51.639999,51.84,2030500,51.01393
