Date,Open_HRB,High_HRB,Low_HRB,Close_HRB,Volume_HRB,AdjClose_HRB
2015-06-08,31.48,31.959999,31.25,31.25,1681400,30.482423
2015-06-09,30.700001,32.860001,30.530001,31.959999,6634200,31.174982
2015-06-10,31.5,31.559999,30.24,30.299999,6043400,29.555756
2015-06-11,30.200001,30.59,30.1,30.41,2823400,29.860151
2015-06-12,30.219999,30.92,30.200001,30.620001,3515100,30.066355
2015-06-15,30.41,30.530001,30.09,30.139999,2607000,29.595032
2015-06-16,30.15,30.469999,30.1,30.450001,2271900,29.899429
2015-06-17,30.450001,30.48,30.15,30.25,2042000,29.703044
2015-06-18,30.299999,30.559999,30.23,30.370001,2191000,29.820875
2015-06-19,30.309999,30.700001,30.26,30.65,2942000,30.095811
2015-06-22,30.84,31.280001,30.68,31.26,2483500,30.694782
2015-06-23,31.51,31.51,31.110001,31.299999,3227000,30.734058
2015-06-24,31.23,31.25,30.389999,30.5,3543100,29.948524
2015-06-25,30.629999,31.09,30.25,30.549999,4347000,29.997619
2015-06-26,30.65,30.719999,30.4,30.58,2166800,30.027077
2015-06-29,30.26,30.309999,29.450001,29.51,2534600,28.976424
2015-06-30,29.73,29.82,29.42,29.65,2187000,29.113892
2015-07-01,29.9,29.93,29.67,29.76,1684900,29.221904
2015-07-02,29.77,29.870001,29.51,29.610001,2603800,29.074617
2015-07-06,29.389999,29.91,29.15,29.879999,3013100,29.339733
2015-07-07,29.889999,30.27,29.629999,30.16,2572700,29.614671
2015-07-08,29.889999,30.16,29.82,30.08,3183700,29.536118
2015-07-09,30.32,30.74,30.18,30.469999,4772100,29.919066
2015-07-10,30.799999,31.309999,30.6,31.18,2656600,30.616229
2015-07-13,31.370001,31.57,31.370001,31.530001,1950500,30.959901
2015-07-14,31.530001,31.65,31.360001,31.379999,1631100,30.812611
2015-07-15,31.440001,31.66,31.299999,31.65,1439100,31.07773
2015-07-16,31.76,32.150002,31.57,32.07,3205300,31.490136
2015-07-17,31.959999,32.040001,31.67,31.799999,2168700,31.225017
2015-07-20,31.83,31.879999,31.620001,31.77,1231400,31.195561
2015-07-21,31.709999,32.41,31.65,32.200001,2757300,31.617786
2015-07-22,32.150002,34.619999,32.009998,32.869999,5616500,32.27567
2015-07-23,32.98,33.16,32.669998,32.869999,2631500,32.27567
2015-07-24,32.880001,33.130001,32.66,32.759998,2148700,32.167659
2015-07-27,32.59,32.619999,31.51,31.6,4616200,31.028635
2015-07-28,31.83,32.099998,31.52,32.009998,1470600,31.43122
2015-07-29,32.02,33.18,31.950001,33.09,3277000,32.491694
2015-07-30,32.959999,33.52,32.759998,33.34,2946400,32.737173
2015-07-31,33.369999,33.450001,33.0,33.290001,1883200,32.688078
2015-08-03,33.27,33.299999,32.91,33.029999,1410600,32.432777
2015-08-04,32.98,33.119999,32.73,32.900002,1411500,32.30513
2015-08-05,35.610001,36.290001,35.400002,35.830002,9629200,35.182153
2015-08-06,35.68,35.970001,34.790001,35.169998,6470700,34.534083
2015-08-07,35.16,35.41,34.900002,35.380001,3424300,34.740289
2015-08-10,35.639999,35.990002,35.470001,35.849998,2035000,35.201788
2015-08-11,35.349998,35.790001,35.27,35.66,1674500,35.015225
2015-08-12,35.43,35.700001,34.799999,35.5,3676400,34.858118
2015-08-13,34.790001,35.82,32.509998,35.580002,1236700,34.936673
2015-08-14,35.580002,35.779999,35.380001,35.560001,1508300,34.917034
2015-08-17,34.84,35.889999,34.84,35.759998,1446500,35.113415
2015-08-18,35.5,35.59,35.02,35.23,1941600,34.592999
2015-08-19,35.02,35.330002,34.82,35.09,1462500,34.455531
2015-08-20,34.709999,34.779999,34.380001,34.389999,2227000,33.768187
2015-08-21,34.060001,34.209999,33.040001,33.07,4323900,32.472055
2015-08-24,31.780001,32.990002,31.030001,32.029999,5359300,31.450858
2015-08-25,32.799999,33.59,32.310001,32.330002,4753300,31.745437
2015-08-26,33.169998,33.720001,32.419998,33.66,3036600,33.051387
2015-08-27,33.919998,34.389999,33.529999,34.369999,3459400,33.748549
2015-08-28,34.18,34.68,34.09,34.470001,2724700,33.846743
2015-08-31,34.310001,34.369999,33.650002,34.02,2528200,33.404878
2015-09-01,34.540001,34.540001,32.700001,32.950001,4159500,32.354226
2015-09-02,35.77,35.93,34.84,35.419998,11000800,34.779563
2015-09-03,35.57,35.630001,35.0,35.400002,8206000,34.759927
2015-09-04,35.0,35.5,34.849998,35.299999,4382700,34.858674
2015-09-08,35.75,35.919998,35.349998,35.84,4285700,35.391924
2015-09-09,36.220001,36.290001,35.450001,35.52,3159000,35.075925
2015-09-10,35.360001,35.849998,35.200001,35.720001,2063000,35.273425
2015-09-11,35.580002,36.16,35.369999,36.150002,3281500,35.698049
2015-09-14,35.790001,36.080002,35.68,35.849998,2860600,35.401797
2015-09-15,36.060001,36.060001,35.75,35.830002,2565300,35.38205
2015-09-16,35.939999,35.990002,35.689999,35.790001,1981300,35.34255
2015-09-17,35.91,36.299999,35.68,35.740002,2901600,35.293175
2015-09-18,35.380001,35.880001,35.380001,35.5,4754900,35.056174
2015-09-21,35.849998,36.02,35.549999,35.779999,2121000,35.332672
2015-09-22,35.529999,35.799999,35.360001,35.740002,3389200,35.293175
2015-09-23,35.75,36.23,35.580002,36.099998,3661200,35.648671
2015-09-24,35.799999,36.07,35.720001,35.77,3376100,35.322799
2015-09-25,35.98,36.310001,35.740002,36.049999,2959100,35.599297
2015-09-28,35.970001,36.0,35.139999,35.16,4258600,34.720425
2015-09-29,35.240002,35.669998,35.0,35.25,5611200,34.8093
2015-09-30,35.610001,36.259998,35.610001,36.200001,8292300,35.747424
2015-10-01,36.25,36.43,35.91,36.369999,7031300,35.915296
2015-10-02,36.009998,36.700001,35.950001,36.57,9380700,36.112797
2015-10-05,36.73,36.82,35.75,35.939999,13012400,35.490672
2015-10-06,36.0,36.029999,34.98,35.150002,3968500,34.710552
2015-10-07,35.23,35.389999,34.48,34.810001,5541500,34.374802
2015-10-08,34.799999,35.400002,34.66,35.380001,3383900,34.937676
2015-10-09,35.290001,35.450001,35.16,35.400002,2784000,34.957426
2015-10-12,35.470001,35.66,35.240002,35.27,2906800,34.82905
2015-10-13,35.169998,35.330002,34.91,34.98,2443300,34.542675
2015-10-14,35.0,35.049999,34.400002,34.639999,3507800,34.206925
2015-10-15,34.720001,35.0,34.439999,34.860001,2948600,34.424176
2015-10-16,35.029999,35.700001,34.900002,35.619999,3898700,35.174673
2015-10-19,35.470001,35.689999,35.18,35.650002,2146600,35.2043
2015-10-20,35.59,35.639999,35.330002,35.48,2147700,35.036424
2015-10-21,35.599998,35.900002,35.48,35.669998,2014700,35.224047
2015-10-22,35.810001,35.849998,35.400002,35.509998,2228700,35.066048
2015-10-23,35.709999,36.279999,35.52,36.200001,2271900,35.747424
2015-10-26,36.16,37.130001,36.16,36.919998,2664900,36.458419
2015-10-27,36.759998,36.889999,36.43,36.610001,1964800,36.152297
2015-10-28,36.75,37.279999,36.599998,37.150002,2270700,36.685547
2015-10-29,37.07,37.34,36.939999,37.16,1479800,36.695421
2015-10-30,37.23,37.5,37.07,37.259998,1853800,36.794169
2015-11-02,37.299999,37.529999,37.02,37.400002,1767200,36.932422
2015-11-03,37.240002,37.349998,36.790001,36.900002,1620900,36.438673
2015-11-04,36.990002,37.23,36.700001,36.810001,1902000,36.349798
2015-11-05,36.880001,37.419998,36.75,37.330002,2071500,36.863297
2015-11-06,37.470001,37.470001,36.93,37.209999,2220700,36.744795
2015-11-09,37.16,37.200001,36.450001,36.740002,2221100,36.280673
2015-11-10,36.700001,37.150002,36.400002,37.130001,2863400,36.665797
2015-11-11,37.130001,37.299999,36.75,36.779999,2137400,36.32017
2015-11-12,36.68,36.82,36.349998,36.490002,2695000,36.033799
2015-11-13,36.389999,36.419998,35.549999,35.68,2265600,35.233924
2015-11-16,35.75,36.48,35.630001,36.470001,3176800,36.014048
2015-11-17,36.41,37.060001,36.27,36.419998,2412300,35.96467
2015-11-18,36.529999,36.799999,36.400002,36.740002,3032100,36.280673
2015-11-19,36.810001,36.849998,36.459999,36.470001,2713600,36.014048
2015-11-20,36.619999,37.09,36.610001,37.02,2934200,36.557171
2015-11-23,36.970001,37.279999,36.880001,37.099998,1807600,36.636169
2015-11-24,36.77,36.869999,36.450001,36.610001,2380600,36.152297
2015-11-25,36.82,37.07,36.59,36.939999,2082700,36.47817
2015-11-27,37.02,37.02,36.689999,36.73,611700,36.270796
2015-11-30,36.849998,36.959999,36.490002,36.689999,2730600,36.231295
2015-12-01,36.970001,37.220001,36.639999,37.220001,1968800,36.754672
2015-12-02,37.189999,37.330002,36.84,36.93,2643600,36.468296
2015-12-03,36.849998,37.349998,36.599998,36.68,3615900,36.418655
2015-12-04,36.700001,37.349998,36.52,37.09,3254500,36.825733
2015-12-07,37.099998,37.25,36.630001,36.889999,3690000,36.627157
2015-12-08,35.189999,35.529999,33.169998,34.310001,13764300,34.065542
2015-12-09,34.119999,34.25,32.529999,32.66,6728200,32.427297
2015-12-10,32.57,33.360001,32.439999,33.169998,6080900,32.933661
2015-12-11,32.759998,32.98,32.049999,32.25,4182800,32.020218
2015-12-14,32.23,33.02,32.150002,32.82,5315900,32.586157
2015-12-15,32.98,33.099998,32.439999,32.639999,3892900,32.407439
2015-12-16,32.91,33.610001,32.740002,33.540001,3248500,33.301028
2015-12-17,33.610001,33.919998,33.34,33.68,3287000,33.44003
2015-12-18,33.400002,33.57,33.209999,33.220001,3973200,32.983308
2015-12-21,33.380001,33.689999,33.169998,33.23,2943100,32.993235
2015-12-22,33.279999,33.41,32.970001,33.330002,2706900,33.092525
2015-12-23,33.52,33.720001,33.34,33.48,2560200,33.241454
2015-12-24,33.419998,33.419998,33.139999,33.330002,951300,33.092525
2015-12-28,33.34,33.509998,33.16,33.439999,1449200,33.201738
2015-12-29,33.700001,34.040001,33.43,33.5,1586200,33.261312
2015-12-30,33.48,33.849998,33.400002,33.419998,1386600,33.18188
2015-12-31,33.240002,33.52,33.169998,33.310001,1669200,33.072667
2016-01-04,32.73,32.98,32.34,32.950001,3115500,32.715231
2016-01-05,33.029999,33.369999,32.709999,33.25,3545700,33.013093
2016-01-06,32.82,33.200001,32.709999,33.009998,2956800,32.774801
2016-01-07,32.490002,32.990002,32.360001,32.720001,3420600,32.486871
2016-01-08,32.889999,33.0,32.150002,32.290001,2720900,32.059934
2016-01-11,32.380001,32.529999,32.07,32.389999,1666500,32.15922
2016-01-12,32.630001,32.630001,31.91,32.32,1849500,32.089719
2016-01-13,32.509998,33.009998,31.5,31.549999,3119300,31.325205
2016-01-14,31.59,32.490002,31.49,32.330002,2385200,32.09965
2016-01-15,31.65,31.98,31.51,31.870001,3027100,31.642926
2016-01-19,32.119999,32.419998,31.65,31.92,2305100,31.692569
2016-01-20,31.49,32.32,31.0,32.130001,3174800,31.901074
2016-01-21,32.240002,32.650002,31.969999,32.259998,2138800,32.030145
2016-01-22,32.709999,32.779999,32.32,32.689999,1956900,32.457082
2016-01-25,32.66,32.740002,32.34,32.470001,2315300,32.238652
2016-01-26,32.700001,32.91,32.389999,32.830002,1802100,32.596087
2016-01-27,32.849998,33.189999,32.5,32.73,2225500,32.496798
2016-01-28,33.110001,33.110001,32.630001,32.990002,1703600,32.754947
2016-01-29,33.029999,34.07,32.919998,34.049999,2738100,33.807392
2016-02-01,33.799999,34.57,33.700001,34.470001,2292000,34.224402
2016-02-02,34.119999,34.419998,33.889999,34.049999,1704600,33.807392
2016-02-03,34.25,34.34,33.700001,34.07,2316600,33.82725
2016-02-04,33.990002,34.650002,33.82,34.619999,2062800,34.373331
2016-02-05,34.619999,35.080002,34.57,34.98,3906800,34.730766
2016-02-08,34.630001,34.880001,34.080002,34.5,3604900,34.254187
2016-02-09,34.200001,34.689999,33.91,34.18,2838900,33.936467
2016-02-10,34.52,34.759998,33.970001,34.02,2423700,33.777607
2016-02-11,33.52,33.66,32.77,33.16,3369000,32.923734
2016-02-12,33.450001,33.849998,33.200001,33.720001,2510400,33.479746
2016-02-16,34.0,34.68,33.610001,34.59,3546800,34.343546
2016-02-17,34.919998,35.139999,34.630001,34.68,2534200,34.432905
2016-02-18,34.619999,34.779999,34.18,34.200001,1881900,33.956325
2016-02-19,34.25,34.25,33.700001,33.959999,1835100,33.718033
2016-02-22,34.349998,34.669998,33.84,34.029999,2126600,33.787534
2016-02-23,33.790001,33.91,33.43,33.650002,2079600,33.410245
2016-02-24,33.389999,33.560001,32.73,33.490002,1836400,33.251385
2016-02-25,33.630001,33.869999,33.380001,33.709999,2065800,33.469815
2016-02-26,33.84,34.0,33.639999,33.73,1606800,33.489673
2016-02-29,33.68,33.700001,32.849998,32.880001,2813000,32.64573
2016-03-01,33.169998,33.25,32.400002,32.810001,3797900,32.576229
2016-03-02,32.709999,32.810001,32.400002,32.59,2784100,32.357796
2016-03-03,32.619999,32.990002,32.450001,32.900002,2839200,32.665588
2016-03-04,29.27,29.809999,26.93,27.76,22307800,27.56221
2016-03-07,27.540001,28.299999,27.299999,28.110001,9105800,27.909716
2016-03-08,28.02,28.16,27.33,27.879999,6399900,27.681354
2016-03-09,28.0,28.200001,27.370001,27.41,5075400,27.214703
2016-03-10,27.559999,28.1,27.52,28.07,5921200,27.87
2016-03-11,28.07,28.610001,28.01,28.17,3685600,28.17
2016-03-14,28.200001,28.32,27.780001,27.92,2379800,27.92
2016-03-15,27.709999,27.76,27.200001,27.23,2955900,27.23
2016-03-16,27.08,27.18,26.75,27.09,2841700,27.09
2016-03-17,27.1,27.23,26.889999,27.01,2801500,27.01
2016-03-18,26.950001,27.389999,26.77,27.370001,6935600,27.370001
2016-03-21,27.389999,27.73,27.379999,27.58,3007000,27.58
2016-03-22,27.16,27.280001,26.77,26.969999,3238100,26.969999
2016-03-23,26.959999,27.110001,26.76,26.99,2572700,26.99
2016-03-24,26.84,27.09,26.6,26.610001,3816800,26.610001
2016-03-28,26.66,26.74,26.190001,26.42,3884000,26.42
2016-03-29,26.459999,26.77,26.17,26.719999,3698300,26.719999
2016-03-30,26.790001,26.950001,26.33,26.41,2614200,26.41
2016-03-31,26.450001,26.57,26.219999,26.42,3699300,26.42
2016-04-01,26.379999,26.42,25.940001,26.23,4241400,26.23
2016-04-04,26.24,26.59,26.200001,26.33,3409500,26.33
