Date,Open_EA,High_EA,Low_EA,Close_EA,Volume_EA,AdjClose_EA
2015-12-10,67.510002,67.889999,66.080002,66.370003,3391300,66.370003
2015-12-11,67.489998,69.650002,66.709999,67.169998,6053700,67.169998
2015-12-14,67.349998,69.980003,67.349998,69.660004,4634100,69.660004
2015-12-15,70.519997,73.589996,69.849998,72.330002,6737600,72.330002
2015-12-16,73.07,73.480003,69.330002,72.040001,4822400,72.040001
2015-12-17,72.209999,72.720001,71.099998,71.120003,3036500,71.120003
2015-12-18,70.629997,71.120003,68.940002,68.980003,4900500,68.980003
2015-12-21,69.440002,69.889999,67.400002,68.709999,2861400,68.709999
2015-12-22,69.300003,69.449997,68.32,69.07,1644200,69.07
2015-12-23,69.5,69.769997,67.800003,68.639999,2417600,68.639999
2015-12-24,68.690002,69.300003,67.739998,68.949997,1019900,68.949997
2015-12-28,68.589996,69.209999,68.050003,69.190002,1149000,69.190002
2015-12-29,69.5,70.239998,69.199997,69.849998,1467000,69.849998
2015-12-30,69.889999,70.360001,69.540001,69.650002,1430800,69.650002
2015-12-31,69.440002,69.669998,68.709999,68.720001,1136600,68.720001
2016-01-04,67.18,67.57,65.099998,66.099998,4043300,66.099998
2016-01-05,66.099998,66.82,64.839996,64.940002,3299000,64.940002
2016-01-06,63.610001,64.290001,62.560001,63.68,3752000,63.68
2016-01-07,62.32,64.709999,61.549999,62.459999,4355500,62.459999
2016-01-08,63.209999,65.010002,62.950001,63.130001,3895800,63.130001
2016-01-11,63.389999,64.809998,63.25,64.209999,3728200,64.209999
2016-01-12,64.660004,66.089996,64.639999,65.620003,3405500,65.620003
2016-01-13,66.260002,66.589996,63.18,63.380001,3929800,63.380001
2016-01-14,63.299999,64.959999,61.5,64.480003,4427300,64.480003
2016-01-15,64.339996,66.709999,63.509998,66.059998,8567500,66.059998
2016-01-19,66.839996,68.239998,66.419998,67.370003,5035500,67.370003
2016-01-20,66.199997,67.690002,65.040001,66.849998,4663500,66.849998
2016-01-21,67.190002,67.559998,65.790001,67.029999,3894400,67.029999
2016-01-22,68.0,69.400002,67.300003,69.360001,3969300,69.360001
2016-01-25,69.290001,70.489998,68.760002,69.919998,5417300,69.919998
2016-01-26,69.900002,71.489998,69.610001,70.830002,5532100,70.830002
2016-01-27,70.889999,71.349998,69.260002,69.489998,4274300,69.489998
2016-01-28,70.699997,71.029999,68.720001,69.790001,5797500,69.790001
2016-01-29,67.440002,67.480003,62.799999,64.550003,17898600,64.550003
2016-02-01,64.169998,65.440002,63.310001,64.199997,6725800,64.199997
2016-02-02,63.869999,63.990002,60.130001,60.66,7811900,60.66
2016-02-03,61.77,61.919998,58.73,59.610001,9419400,59.610001
2016-02-04,59.439999,59.860001,57.52,58.73,8680900,58.73
2016-02-05,58.369999,58.57,54.849998,55.5,7694000,55.5
2016-02-08,54.389999,56.57,53.009998,56.32,8221900,56.32
2016-02-09,56.259998,59.189999,55.82,58.25,8862800,58.25
2016-02-10,59.34,60.07,58.66,58.98,4990600,58.98
2016-02-11,57.959999,59.110001,57.759998,58.189999,6657700,58.189999
2016-02-12,58.049999,59.369999,57.32,59.25,5229700,59.25
2016-02-16,59.830002,60.0,58.880001,59.360001,3889500,59.360001
2016-02-17,60.25,60.540001,58.810001,59.84,4943800,59.84
2016-02-18,59.57,59.919998,58.23,58.349998,5105100,58.349998
2016-02-19,58.34,59.900002,58.099998,59.57,5699400,59.57
2016-02-22,60.07,63.310001,59.970001,63.27,6847300,63.27
2016-02-23,63.0,63.330002,61.459999,61.52,4809500,61.52
2016-02-24,60.919998,63.48,60.709999,63.200001,4455700,63.200001
2016-02-25,63.549999,64.720001,63.34,64.68,4271600,64.68
2016-02-26,64.809998,65.110001,63.77,64.449997,3260200,64.449997
2016-02-29,63.970001,65.25,63.970001,64.239998,3417600,64.239998
2016-03-01,64.449997,65.690002,64.260002,65.480003,3437100,65.480003
2016-03-02,65.18,66.25,64.629997,66.089996,3349400,66.089996
2016-03-03,65.800003,66.010002,64.18,64.800003,3946600,64.800003
2016-03-04,64.410004,64.860001,63.080002,64.43,3702400,64.43
2016-03-07,63.889999,64.43,62.91,63.59,2840900,63.59
2016-03-08,63.049999,64.18,62.599998,62.959999,3559500,62.959999
2016-03-09,63.189999,64.040001,62.740002,63.919998,3124000,63.919998
2016-03-10,64.150002,64.419998,62.580002,63.5,3274100,63.5
2016-03-11,63.830002,64.650002,63.529999,64.470001,2586300,64.470001
2016-03-14,63.810001,65.309998,63.810001,64.790001,1858500,64.790001
2016-03-15,64.190002,65.900002,64.190002,65.720001,2475900,65.720001
2016-03-16,65.629997,66.169998,64.57,66.0,2200400,66.0
2016-03-17,65.089996,65.75,63.240002,64.669998,4905000,64.669998
2016-03-18,64.900002,65.32,63.82,64.32,4185200,64.32
2016-03-21,64.050003,64.400002,63.509998,63.939999,2434500,63.939999
2016-03-22,63.700001,64.279999,63.27,63.869999,2839500,63.869999
2016-03-23,63.900002,65.5,63.580002,65.050003,3344300,65.050003
2016-03-24,64.599998,65.730003,64.07,64.239998,3083900,64.239998
2016-03-28,64.129997,65.019997,63.599998,64.639999,2304600,64.639999
2016-03-29,64.510002,66.379997,64.440002,66.029999,3189400,66.029999
2016-03-30,66.730003,67.160004,66.279999,66.410004,2458300,66.410004
2016-03-31,66.330002,67.099998,65.699997,66.110001,2263100,66.110001
2016-04-01,65.360001,66.120003,65.129997,65.919998,2160500,65.919998
2016-04-04,66.0,66.489998,65.379997,65.739998,2029600,65.739998
2016-04-05,65.099998,65.959999,65.050003,65.449997,2281800,65.449997
2016-04-06,65.669998,66.07,65.25,65.830002,1651200,65.830002
