Date,Open_TWC,High_TWC,Low_TWC,Close_TWC,Volume_TWC,AdjClose_TWC
2013-06-14,95.849998,104.129997,95.790001,103.93,9007100,98.654232
2013-06-17,102.5,103.209999,100.459999,101.290001,4841300,96.148246
2013-06-18,101.489998,104.0,101.300003,103.010002,2349600,97.780935
2013-06-19,102.989998,103.82,102.25,102.489998,1482500,97.287328
2013-06-20,101.989998,102.199997,99.809998,100.410004,1961700,95.312919
2013-06-21,101.449997,102.410004,100.5,101.830002,4686000,96.660835
2013-06-24,100.800003,101.389999,99.730003,99.75,2225400,94.686419
2013-06-25,100.480003,100.980003,98.459999,99.370003,3311300,94.325712
2013-06-26,100.25,104.209999,100.25,103.639999,2932600,98.378952
2013-06-27,103.970001,112.440002,103.970001,108.220001,8367400,102.72646
2013-06-28,107.839996,113.059998,107.379997,112.480003,4402100,106.770213
2013-07-01,112.760002,114.709999,110.589996,110.949997,5232900,105.317874
2013-07-02,110.949997,111.300003,109.129997,109.470001,4152600,103.913007
2013-07-03,108.760002,112.580002,107.800003,112.449997,2224000,106.74173
2013-07-05,111.199997,113.110001,110.949997,112.360001,1982200,106.656302
2013-07-08,113.230003,114.239998,111.699997,111.980003,3586000,106.295595
2013-07-09,112.709999,115.360001,112.610001,114.059998,4197800,108.270003
2013-07-10,114.040001,114.709999,112.669998,113.849998,2057100,108.070664
2013-07-11,115.910004,116.949997,114.220001,115.360001,2458000,109.504014
2013-07-12,115.480003,115.480003,113.769997,115.160004,2970100,109.314169
2013-07-15,115.419998,116.599998,114.82,114.889999,1351800,109.057871
2013-07-16,114.849998,115.029999,113.290001,113.379997,2309100,107.624521
2013-07-17,113.519997,114.0,112.120003,113.349998,3653800,107.596045
2013-07-18,113.449997,114.760002,113.360001,113.910004,2058500,108.127623
2013-07-19,119.110001,119.459999,116.040001,116.470001,4120000,110.557668
2013-07-22,116.339996,116.989998,114.699997,116.029999,2552800,110.140001
2013-07-23,116.18,118.290001,115.970001,117.290001,2865700,111.336042
2013-07-24,117.690002,117.970001,116.830002,117.290001,1288600,111.336042
2013-07-25,117.120003,117.669998,116.739998,117.220001,2349400,111.269596
2013-07-26,116.400002,117.120003,115.989998,116.849998,1682100,110.918376
2013-07-29,116.959999,117.089996,115.160004,115.230003,1217600,109.380616
2013-07-30,115.550003,115.93,113.349998,115.0,2255800,109.162288
2013-07-31,115.410004,115.910004,113.510002,114.07,2903100,108.279497
2013-08-01,116.379997,120.93,114.599998,117.68,2825900,111.706244
2013-08-02,117.959999,120.410004,108.260002,117.099998,7585900,111.155685
2013-08-05,116.529999,118.389999,116.269997,116.419998,2173200,110.510203
2013-08-06,115.860001,116.400002,113.779999,114.260002,2033600,108.459854
2013-08-07,113.699997,115.5,113.370003,114.75,1744500,108.924979
2013-08-08,113.650002,115.809998,113.650002,114.760002,1144100,108.934473
2013-08-09,114.620003,115.809998,114.620003,115.0,1338800,109.162288
2013-08-12,114.720001,114.839996,112.800003,113.25,1715900,107.501123
2013-08-13,113.540001,114.089996,112.669998,113.800003,1591300,108.023206
2013-08-14,113.43,113.980003,112.400002,112.769997,1319000,107.045486
2013-08-15,112.129997,112.599998,110.0,110.209999,4400100,104.615441
2013-08-16,109.739998,111.199997,109.370003,109.940002,1654900,104.35915
2013-08-19,110.040001,110.269997,108.730003,108.730003,1245800,103.210573
2013-08-20,108.760002,109.32,108.389999,108.860001,1105300,103.333972
2013-08-21,108.730003,109.459999,107.360001,108.150002,2510100,102.660014
2013-08-22,108.18,109.540001,108.0,108.959999,1073100,103.428894
2013-08-23,108.959999,108.959999,107.400002,108.730003,1331400,103.210573
2013-08-26,109.110001,110.260002,108.099998,108.199997,1114000,102.707472
2013-08-27,107.260002,108.610001,106.010002,107.690002,1668600,102.223366
2013-08-28,107.330002,108.550003,106.800003,108.029999,1188200,102.546103
2013-08-29,107.559998,108.629997,107.290001,107.629997,984100,102.166407
