Date,Open_ROP,High_ROP,Low_ROP,Close_ROP,Volume_ROP,AdjClose_ROP
2013-06-14,121.43,121.800003,120.0,120.470001,370200,118.361527
2013-06-17,121.690002,123.879997,121.290001,123.529999,816900,121.367968
2013-06-18,123.580002,125.150002,123.389999,124.82,534800,122.635391
2013-06-19,124.790001,125.510002,123.709999,123.760002,370600,121.593946
2013-06-20,122.93,122.93,120.870003,121.269997,569400,119.147521
2013-06-21,122.169998,122.639999,120.980003,122.080002,1276700,119.943349
2013-06-24,120.860001,121.099998,119.870003,120.019997,454600,117.919398
2013-06-25,121.169998,121.279999,119.860001,120.269997,347600,118.165023
2013-06-26,121.110001,121.620003,120.239998,120.389999,388900,118.282925
2013-06-27,121.260002,124.110001,121.230003,124.0,497900,121.829743
2013-06-28,123.339996,124.940002,122.900002,124.220001,841700,122.045894
2013-07-01,124.360001,126.43,123.980003,125.43,481600,123.234716
2013-07-02,125.099998,125.980003,124.129997,124.68,515300,122.497842
2013-07-03,124.360001,125.220001,123.889999,124.550003,129600,122.37012
2013-07-05,125.849998,127.870003,125.839996,127.839996,293100,125.602532
2013-07-08,128.139999,128.710007,126.800003,126.919998,425000,124.698636
2013-07-09,127.5,128.910004,127.5,128.460007,273000,126.211691
2013-07-10,128.080002,128.660004,127.489998,128.179993,220900,126.098541
2013-07-11,130.039993,130.679993,129.490005,130.190002,327300,128.075911
2013-07-12,129.820007,130.429993,129.300003,130.410004,272300,128.292339
2013-07-15,130.380005,130.940002,130.089996,130.449997,292700,128.331683
2013-07-16,130.690002,130.949997,128.830002,128.949997,252700,126.856041
2013-07-17,129.710007,130.220001,129.139999,129.229996,223800,127.131493
2013-07-18,129.369995,130.929993,128.990005,130.639999,281200,128.5186
2013-07-19,130.559998,131.759995,130.559998,131.699997,269200,129.561385
2013-07-22,131.660004,132.720001,131.539993,132.289993,269500,130.141801
2013-07-23,132.369995,132.610001,131.789993,132.0,277900,129.856517
2013-07-24,132.220001,132.350006,131.419998,131.759995,204500,129.620408
2013-07-25,131.270004,131.880005,130.940002,131.559998,347300,129.423659
2013-07-26,130.740005,131.710007,130.449997,131.210007,500700,129.079352
2013-07-29,127.879997,129.0,125.980003,126.82,836200,124.760632
2013-07-30,127.32,127.790001,125.709999,126.699997,692800,124.642578
2013-07-31,127.190002,127.190002,125.800003,125.959999,717900,123.914596
2013-08-01,126.75,128.380005,126.510002,127.970001,622500,125.891959
2013-08-02,127.32,127.559998,126.139999,127.410004,746200,125.341055
2013-08-05,127.760002,127.760002,126.540001,126.68,546100,124.622906
2013-08-06,126.150002,126.660004,126.080002,126.339996,447600,124.288423
2013-08-07,126.18,126.459999,125.089996,126.019997,374800,123.97362
2013-08-08,126.32,126.370003,125.720001,125.830002,301800,123.78671
2013-08-09,125.760002,126.260002,125.309998,125.75,341100,123.708007
2013-08-12,125.519997,127.339996,125.519997,127.18,263400,125.114787
2013-08-13,127.139999,128.139999,126.089996,127.550003,240500,125.478781
2013-08-14,126.919998,127.529999,126.0,126.660004,366300,124.603234
2013-08-15,125.330002,126.440002,125.0,125.050003,423300,123.019377
2013-08-16,124.75,125.699997,124.389999,125.489998,1131400,123.452227
2013-08-19,125.449997,126.019997,124.529999,124.610001,366800,122.58652
2013-08-20,124.610001,125.709999,124.07,124.93,314500,122.901323
2013-08-21,124.889999,125.220001,124.050003,124.120003,320700,122.104479
2013-08-22,124.309998,125.510002,124.150002,125.489998,286800,123.452227
2013-08-23,125.900002,126.650002,125.089996,126.0,198900,123.953948
2013-08-26,126.0,126.510002,125.260002,125.480003,111600,123.442395
2013-08-27,124.169998,124.519997,123.099998,123.150002,361500,121.150229
2013-08-28,123.160004,124.25,123.050003,123.75,235000,121.740484
2013-08-29,123.269997,124.25,122.970001,124.010002,334500,121.996264
2013-08-30,124.419998,124.419998,123.370003,123.699997,403200,121.691293
2013-09-03,125.129997,125.779999,123.910004,124.620003,482500,122.59636
2013-09-04,124.699997,126.410004,124.220001,126.269997,389100,124.21956
2013-09-05,126.160004,126.839996,125.290001,126.440002,190600,124.386805
2013-09-06,126.519997,127.519997,125.279999,126.440002,197500,124.386805
2013-09-09,127.169998,128.520004,126.879997,128.059998,431700,125.980494
2013-09-10,128.979996,129.770004,128.570007,129.699997,339100,127.593862
2013-09-11,129.550003,130.460007,129.25,129.809998,324600,127.702077
2013-09-12,129.509995,130.509995,129.509995,130.050003,307600,127.938185
2013-09-13,130.449997,130.789993,129.419998,130.720001,342700,128.597303
2013-09-16,131.880005,132.0,130.889999,131.809998,350000,129.6696
2013-09-17,131.809998,132.259995,131.059998,131.929993,179300,129.787646
2013-09-18,131.690002,134.190002,131.139999,133.830002,300700,131.656802
2013-09-19,134.449997,135.690002,133.880005,134.610001,344500,132.424135
2013-09-20,134.559998,135.119995,133.889999,133.990005,430900,131.814207
2013-09-23,133.850006,134.070007,132.710007,133.509995,253900,131.341991
2013-09-24,133.919998,135.080002,132.220001,134.300003,503700,132.119171
2013-09-25,134.110001,134.830002,133.509995,133.690002,283000,131.519076
2013-09-26,133.880005,135.039993,133.300003,135.009995,209400,132.817633
2013-09-27,134.0,134.089996,133.110001,133.429993,457500,131.263288
2013-09-30,131.860001,133.479996,131.690002,132.869995,386400,130.712384
2013-10-01,133.210007,134.179993,132.839996,133.570007,308400,131.401029
2013-10-02,132.910004,132.910004,131.240005,132.059998,342400,129.91554
2013-10-03,131.589996,132.339996,129.600006,130.509995,258500,128.390707
2013-10-04,130.5,131.139999,129.669998,129.919998,401700,127.810291
2013-10-07,128.710007,130.690002,128.710007,130.009995,391000,127.898826
2013-10-08,129.899994,130.460007,127.93,127.989998,299800,125.911631
2013-10-09,128.279999,131.119995,126.550003,126.989998,323400,125.089131
2013-10-10,128.029999,130.360001,127.779999,130.210007,250300,128.260941
2013-10-11,130.229996,130.889999,129.539993,130.869995,306200,128.91105
2013-10-14,129.759995,131.369995,129.600006,130.880005,320500,128.92091
2013-10-15,130.589996,130.910004,129.710007,129.720001,344800,127.77827
2013-10-16,130.360001,131.369995,129.639999,130.0,256800,128.054078
2013-10-17,129.779999,131.389999,129.559998,131.309998,337200,129.344466
2013-10-18,132.220001,132.229996,131.059998,132.070007,229300,130.0931
2013-10-21,132.199997,132.410004,131.649994,132.020004,255500,130.043845
2013-10-22,131.869995,133.809998,131.759995,133.639999,353700,131.639591
2013-10-23,133.029999,133.910004,132.270004,132.610001,286100,130.62501
2013-10-24,132.570007,132.949997,131.240005,131.570007,265200,129.600584
2013-10-25,131.520004,133.350006,130.860001,133.039993,311500,131.048566
2013-10-28,126.419998,128.809998,123.18,124.260002,1759800,122.4
2013-10-29,124.43,128.220001,124.120003,128.149994,998100,126.231764
2013-10-30,128.699997,130.0,125.690002,125.690002,715900,123.808595
2013-10-31,125.690002,127.919998,125.620003,126.809998,434800,124.911825
2013-11-01,127.089996,128.449997,126.410004,127.25,539800,125.345241
2013-11-04,127.43,127.900002,126.099998,126.309998,383900,124.419309
2013-11-05,125.699997,126.190002,124.550003,124.760002,667400,122.892515
2013-11-06,125.050003,126.150002,124.599998,126.120003,355600,124.232159
2013-11-07,126.290001,126.290001,123.459999,123.57,403800,121.720326
2013-11-08,123.769997,126.0,123.669998,125.93,418700,124.045
2013-11-11,126.0,126.720001,125.919998,126.360001,245900,124.468564
2013-11-12,125.82,126.379997,125.220001,125.629997,307300,123.749488
2013-11-13,124.970001,126.610001,124.559998,126.260002,963500,124.370062
2013-11-14,126.720001,127.099998,126.07,126.470001,505400,124.576918
2013-11-15,126.43,127.0,125.209999,126.989998,1019700,125.089131
2013-11-18,126.949997,127.150002,126.029999,126.32,580000,124.429162
2013-11-19,125.879997,126.370003,125.43,125.68,565800,123.798742
2013-11-20,126.0,127.599998,125.110001,126.620003,609100,124.724674
2013-11-21,127.110001,128.289993,126.849998,128.179993,324200,126.261313
2013-11-22,128.190002,128.990005,127.650002,128.940002,394400,127.009947
2013-11-25,129.139999,129.240005,128.029999,129.009995,325000,127.078891
2013-11-26,128.889999,129.889999,128.470001,129.669998,376600,127.729015
2013-11-27,129.660004,130.039993,129.149994,130.0,264300,128.054078
2013-11-29,130.309998,130.309998,129.110001,129.699997,164000,127.758565
2013-12-02,129.460007,130.449997,129.070007,129.850006,412700,127.906329
2013-12-03,129.149994,129.809998,127.75,128.199997,386700,126.281018
2013-12-04,127.589996,128.660004,126.050003,127.57,343000,125.660451
2013-12-05,127.089996,127.540001,126.709999,127.129997,507200,125.227035
2013-12-06,128.380005,129.559998,127.940002,129.339996,307100,127.403953
2013-12-09,129.479996,130.490005,129.470001,130.149994,405000,128.201826
2013-12-10,129.25,130.160004,128.169998,129.669998,470100,127.729015
2013-12-11,129.229996,130.550003,129.160004,129.479996,696700,127.541857
2013-12-12,129.009995,129.800003,128.529999,129.470001,420700,127.532012
2013-12-13,129.809998,130.589996,129.330002,129.899994,630100,127.955568
2013-12-16,129.589996,132.639999,129.589996,132.050003,634700,130.073395
2013-12-17,132.169998,132.660004,131.490005,131.699997,489800,129.728628
2013-12-18,132.369995,133.460007,131.009995,133.380005,994100,131.383488
2013-12-19,132.910004,134.160004,132.75,133.940002,698300,131.935104
2013-12-20,134.059998,135.529999,133.850006,135.410004,637000,133.383101
2013-12-23,135.830002,137.009995,135.520004,136.789993,361900,134.742434
2013-12-24,136.610001,137.440002,136.050003,137.0,90900,134.949297
2013-12-26,137.110001,138.369995,135.830002,138.100006,194800,136.032838
2013-12-27,138.119995,138.880005,137.240005,138.429993,240500,136.357885
2013-12-30,138.270004,139.199997,138.100006,138.559998,219600,136.485944
2013-12-31,139.210007,139.910004,137.910004,138.679993,303900,136.604143
2014-01-02,138.529999,138.529999,137.320007,138.080002,359400,136.013133
2014-01-03,138.050003,139.029999,137.559998,138.229996,357300,136.160882
2014-01-06,139.169998,139.309998,137.270004,137.660004,396300,135.599421
2014-01-07,138.190002,138.410004,136.830002,137.929993,345800,135.865369
2014-01-08,137.729996,139.050003,137.410004,138.309998,349000,136.437523
2014-01-09,139.259995,140.320007,139.179993,139.539993,489200,137.650867
2014-01-10,139.539993,139.960007,138.479996,139.380005,274700,137.493045
2014-01-13,138.809998,139.929993,137.729996,137.979996,352900,136.111989
2014-01-14,138.449997,139.710007,137.809998,139.649994,422900,137.759379
2014-01-15,139.740005,140.600006,139.520004,140.570007,286400,138.666937
2014-01-16,141.25,142.529999,140.619995,140.860001,322700,138.953004
2014-01-17,140.660004,140.729996,139.419998,140.039993,391400,138.144098
2014-01-21,140.410004,142.339996,140.369995,141.919998,379600,139.998651
2014-01-22,141.910004,141.910004,141.130005,141.539993,200000,139.623791
2014-01-23,140.360001,141.279999,138.619995,139.0,466800,137.118184
2014-01-24,137.75,138.199997,135.0,135.669998,894400,133.833265
2014-01-27,137.339996,138.759995,134.880005,135.410004,745300,133.57679
2014-01-28,135.759995,139.070007,135.259995,137.729996,455400,135.865374
2014-01-29,136.479996,137.979996,135.679993,136.179993,423700,134.336355
2014-01-30,137.360001,138.0,136.570007,137.770004,313500,135.904841
2014-01-31,136.119995,138.279999,135.389999,137.240005,472400,135.382017
2014-02-03,136.860001,138.059998,131.580002,131.800003,735700,130.015663
2014-02-04,132.270004,132.720001,131.149994,131.990005,966600,130.203093
2014-02-05,131.509995,132.580002,130.729996,131.919998,452500,130.134033
2014-02-06,132.589996,133.360001,131.940002,132.770004,481600,130.972532
2014-02-07,133.460007,134.5,133.240005,133.899994,520300,132.087223
2014-02-10,134.009995,134.229996,132.779999,133.0,505800,131.199414
2014-02-11,133.5,134.0,132.970001,133.619995,572000,131.811015
2014-02-12,133.949997,135.490005,133.949997,134.940002,480900,133.113152
2014-02-13,134.220001,136.539993,134.0,136.490005,418400,134.642171
2014-02-14,136.490005,137.380005,135.539993,136.869995,617700,135.017016
2014-02-18,136.729996,137.139999,135.619995,135.889999,439900,134.050288
2014-02-19,135.75,136.839996,134.649994,135.050003,335200,133.221664
2014-02-20,135.360001,135.889999,134.429993,135.539993,368700,133.70502
2014-02-21,135.600006,136.570007,134.860001,134.919998,357200,133.093419
2014-02-24,135.410004,137.050003,135.210007,135.309998,624000,133.478138
2014-02-25,135.410004,136.130005,135.009995,135.300003,443500,133.468279
2014-02-26,135.850006,136.490005,134.800003,134.979996,500300,133.152604
2014-02-27,134.860001,135.419998,131.619995,134.610001,436400,132.787618
2014-02-28,134.5,136.460007,134.320007,135.619995,897500,133.783939
2014-03-03,134.520004,135.25,133.729996,134.690002,374500,132.866537
2014-03-04,135.690002,137.220001,135.479996,136.320007,557600,134.474474
2014-03-05,136.669998,137.729996,136.300003,137.0,668300,135.145261
2014-03-06,136.949997,139.070007,136.949997,138.660004,745300,136.782791
2014-03-07,139.160004,139.779999,138.350006,139.5,701600,137.611415
2014-03-10,139.339996,139.630005,136.720001,137.059998,775300,135.204446
2014-03-11,137.059998,137.729996,133.690002,134.229996,1084400,132.412758
2014-03-12,133.759995,134.169998,132.220001,134.080002,850200,132.264794
2014-03-13,134.860001,135.610001,133.220001,133.929993,654400,132.116816
2014-03-14,133.080002,134.669998,132.970001,134.070007,635900,132.254935
2014-03-17,135.029999,136.690002,134.830002,136.630005,745700,134.780275
2014-03-18,136.800003,137.289993,136.309998,136.940002,698100,135.086076
2014-03-19,136.850006,137.160004,134.509995,135.350006,349900,133.517605
2014-03-20,134.850006,135.619995,134.229996,135.029999,300800,133.20193
2014-03-21,136.050003,137.240005,134.470001,134.710007,904300,132.88627
2014-03-24,135.009995,135.289993,133.619995,134.220001,423900,132.402898
2014-03-25,135.080002,135.940002,133.509995,134.820007,534400,132.994782
2014-03-26,135.389999,136.089996,133.169998,133.190002,534600,131.386844
2014-03-27,133.089996,133.309998,132.149994,132.479996,340600,130.68645
2014-03-28,132.470001,134.339996,132.470001,132.779999,385700,130.982391
2014-03-31,133.360001,134.020004,132.869995,133.509995,462900,131.702504
2014-04-01,134.190002,134.679993,133.050003,134.589996,525000,132.767884
2014-04-02,134.990005,136.729996,134.740005,136.5,413400,134.65203
2014-04-03,136.979996,137.259995,136.240005,136.869995,263200,135.017016
2014-04-04,137.410004,137.740005,134.710007,134.990005,285300,133.162478
2014-04-07,134.570007,134.759995,132.639999,132.809998,437100,131.011984
2014-04-08,132.369995,134.160004,132.190002,133.429993,578200,131.623585
2014-04-09,133.710007,134.600006,132.940002,133.949997,446700,132.334905
2014-04-10,133.929993,134.350006,131.080002,131.149994,303200,129.568663
2014-04-11,130.729996,131.720001,129.809998,130.169998,408000,128.600483
2014-04-14,130.830002,131.160004,128.259995,129.539993,607400,127.978075
2014-04-15,129.5,129.5,126.75,128.990005,1045700,127.434718
2014-04-16,130.199997,131.039993,129.490005,131.020004,831400,129.440241
2014-04-17,130.740005,132.309998,130.259995,130.339996,689600,128.768432
2014-04-21,130.669998,132.039993,130.110001,131.380005,384300,129.795901
2014-04-22,131.389999,132.470001,130.899994,131.960007,357500,130.368909
2014-04-23,131.960007,132.710007,131.580002,131.710007,429600,130.121923
2014-04-24,132.309998,132.330002,131.059998,131.710007,385600,130.121923
2014-04-25,131.679993,131.679993,129.0,129.300003,548900,127.740978
2014-04-28,138.149994,139.940002,135.889999,137.720001,1294200,136.059453
2014-04-29,138.190002,139.0,136.850006,138.039993,680400,136.375587
2014-04-30,138.039993,139.039993,136.940002,138.949997,561400,137.274618
2014-05-01,138.910004,139.589996,137.539993,138.100006,553100,136.434876
2014-05-02,137.740005,138.690002,137.559998,137.940002,665800,136.276801
2014-05-05,137.440002,138.429993,136.449997,137.960007,368500,136.296564
2014-05-06,137.830002,138.339996,137.100006,137.149994,435200,135.496318
2014-05-07,137.550003,139.160004,137.25,138.929993,396500,137.254855
2014-05-08,139.75,141.429993,139.419998,140.649994,676400,138.954117
2014-05-09,140.339996,140.550003,138.0,139.179993,386100,137.501841
2014-05-12,140.490005,141.570007,139.699997,141.350006,246500,139.645689
2014-05-13,141.080002,141.720001,140.899994,141.080002,271600,139.37894
2014-05-14,141.240005,141.410004,139.770004,139.960007,205100,138.27245
2014-05-15,139.580002,139.830002,137.490005,138.710007,363300,137.037521
2014-05-16,138.710007,139.539993,137.529999,139.429993,337700,137.748826
2014-05-19,138.970001,140.169998,138.589996,139.850006,328300,138.163775
2014-05-20,139.490005,139.699997,137.839996,138.330002,418400,136.662098
2014-05-21,138.770004,140.179993,138.600006,140.119995,283400,138.430509
2014-05-22,140.460007,141.350006,139.809998,140.690002,267100,138.993643
2014-05-23,140.619995,141.720001,140.220001,141.660004,313500,139.951949
2014-05-27,142.0,142.809998,142.0,142.199997,356700,140.485431
2014-05-28,142.5,143.070007,141.009995,141.080002,570500,139.37894
2014-05-29,141.410004,141.770004,140.899994,141.309998,423700,139.606163
2014-05-30,141.020004,141.789993,140.869995,141.679993,265500,139.971697
2014-06-02,141.539993,141.960007,140.259995,141.770004,231000,140.060623
2014-06-03,141.289993,141.789993,140.759995,141.449997,229900,139.744474
2014-06-04,141.320007,141.320007,140.660004,140.850006,239200,139.151718
2014-06-05,140.889999,143.509995,140.639999,143.399994,359700,141.670959
2014-06-06,142.699997,144.740005,142.490005,144.710007,360600,142.965177
2014-06-09,144.630005,146.839996,144.570007,146.570007,589200,144.802751
2014-06-10,146.130005,147.070007,145.639999,146.509995,409900,144.743461
2014-06-11,145.490005,145.75,144.699997,145.639999,316400,143.883956
2014-06-12,145.639999,146.020004,144.910004,145.589996,513500,143.834556
2014-06-13,145.589996,146.330002,145.130005,146.169998,431000,144.407565
2014-06-16,146.070007,146.860001,145.929993,146.160004,560300,144.397691
2014-06-17,145.809998,146.830002,145.720001,146.589996,367000,144.822499
2014-06-18,146.869995,147.179993,145.639999,147.039993,360800,145.26707
2014-06-19,150.449997,151.449997,146.460007,147.419998,299800,145.642493
2014-06-20,148.070007,149.0,146.830002,148.940002,695200,147.14417
2014-06-23,148.710007,149.119995,147.449997,147.610001,398500,145.830204
2014-06-24,147.080002,148.759995,146.259995,146.449997,311200,144.684187
