Date,Open_VFC,High_VFC,Low_VFC,Close_VFC,Volume_VFC,AdjClose_VFC
2013-06-14,187.639999,188.649994,186.5,187.139999,1419600,44.216699
2013-06-17,188.5,189.410004,186.729996,188.160004,1791600,44.457702
2013-06-18,188.289993,190.800003,187.800003,190.479996,1771200,45.00586
2013-06-19,190.580002,193.089996,190.580002,192.5,3392800,45.483139
2013-06-20,191.5,191.75,186.240005,186.830002,2281600,44.143454
2013-06-21,187.800003,189.869995,184.520004,186.020004,3067600,43.952071
2013-06-24,184.429993,187.059998,182.449997,185.649994,2415600,43.864646
2013-06-25,187.240005,189.029999,186.25,188.210007,2514400,44.469516
2013-06-26,190.770004,191.759995,189.240005,191.309998,2711600,45.20197
2013-06-27,192.0,193.0,190.940002,192.080002,1516400,45.383903
2013-06-28,191.800003,195.059998,190.270004,193.059998,3594800,45.615453
2013-07-01,193.929993,196.990005,193.580002,195.029999,2073200,46.080917
2013-07-02,194.570007,196.139999,192.169998,193.580002,2641600,45.738317
2013-07-03,192.369995,194.160004,190.869995,193.820007,979200,45.795025
2013-07-05,194.059998,197.619995,194.059998,196.279999,1722400,46.376262
2013-07-08,197.820007,199.470001,196.339996,197.0,2050000,46.546381
2013-07-09,200.429993,200.429993,194.729996,198.479996,1284800,46.896068
2013-07-10,198.009995,199.339996,196.770004,197.889999,1668000,46.756666
2013-07-11,199.509995,200.080002,198.669998,199.720001,1686000,47.189052
2013-07-12,199.449997,200.550003,198.729996,199.559998,1264800,47.151247
2013-07-15,199.330002,200.089996,198.559998,199.509995,1974400,47.139433
2013-07-16,199.410004,200.190002,198.0,198.169998,1977600,46.822823
2013-07-17,198.559998,199.490005,197.029999,197.490005,1980400,46.662158
2013-07-18,195.610001,199.850006,195.610001,199.529999,2383200,47.144159
2013-07-19,197.199997,199.529999,194.259995,196.940002,5119600,46.532205
2013-07-22,193.550003,196.369995,193.509995,194.860001,3024800,46.04075
2013-07-23,195.330002,196.860001,194.830002,196.179993,1390000,46.352633
2013-07-24,197.119995,197.839996,195.880005,196.710007,1230800,46.477862
2013-07-25,196.589996,198.039993,195.929993,197.789993,1553600,46.733037
2013-07-26,196.339996,199.300003,196.0,199.089996,1580000,47.040197
2013-07-29,198.639999,198.949997,196.619995,197.130005,1161600,46.577098
2013-07-30,198.130005,198.75,197.0,197.520004,1453600,46.669246
2013-07-31,197.960007,199.360001,196.619995,197.0,1394400,46.546381
2013-08-01,198.119995,201.479996,197.190002,201.070007,1402000,47.508026
2013-08-02,200.75,202.339996,199.910004,202.300003,1040400,47.798645
2013-08-05,201.119995,202.350006,200.869995,201.149994,706400,47.526925
2013-08-06,200.669998,201.949997,200.020004,201.059998,2054400,47.505661
2013-08-07,199.759995,200.759995,198.289993,198.309998,2410000,46.855902
2013-08-08,199.740005,200.059998,198.669998,198.929993,1314400,47.002392
2013-08-09,198.800003,200.360001,197.699997,198.889999,1348800,46.992943
2013-08-12,197.880005,199.279999,197.669998,198.190002,1387600,46.82755
2013-08-13,198.520004,199.720001,197.279999,199.130005,1520800,47.04965
2013-08-14,198.960007,199.309998,195.809998,196.229996,2421200,46.364447
2013-08-15,195.360001,195.429993,192.270004,193.050003,2762000,45.613091
2013-08-16,192.009995,194.610001,192.009995,192.75,1916000,45.542208
2013-08-19,192.220001,193.5,190.820007,190.899994,1712000,45.105096
2013-08-20,191.139999,192.979996,189.800003,191.419998,2422800,45.22796
2013-08-21,191.339996,192.960007,190.070007,190.520004,1313600,45.015313
2013-08-22,190.869995,192.210007,188.460007,190.759995,1540400,45.072017
2013-08-23,191.380005,193.830002,190.059998,191.089996,1723200,45.149989
2013-08-26,191.199997,191.960007,188.839996,189.169998,1788800,44.696339
2013-08-27,189.110001,189.419998,185.809998,186.190002,2753200,43.992237
2013-08-28,185.809998,187.529999,185.699997,186.589996,1968800,44.086746
2013-08-29,186.580002,188.050003,185.619995,186.860001,2220000,44.150542
2013-08-30,187.559998,188.929993,186.529999,187.210007,1597600,44.23324
2013-09-03,188.800003,190.160004,188.240005,189.050003,2043600,44.667987
2013-09-04,189.809998,192.979996,189.809998,192.110001,1676000,45.390991
2013-09-05,192.100006,194.039993,191.630005,193.300003,1992800,45.67216
2013-09-06,193.199997,193.589996,189.380005,191.259995,1259600,45.394466
2013-09-09,191.429993,192.550003,190.910004,191.669998,1319200,45.491778
2013-09-10,191.949997,192.570007,189.850006,192.149994,1686800,45.605702
2013-09-11,192.020004,192.960007,190.729996,192.960007,2379600,45.797954
2013-09-12,192.789993,194.809998,192.520004,194.710007,2194400,46.213306
2013-09-13,194.470001,195.699997,193.460007,195.5,1306800,46.400807
2013-09-16,197.380005,198.740005,195.729996,196.089996,2075600,46.540839
2013-09-17,196.119995,197.729996,196.089996,197.669998,1880800,46.915843
2013-09-18,197.229996,200.339996,195.570007,200.210007,1830400,47.5187
2013-09-19,199.330002,204.639999,199.330002,204.490005,3366800,48.534533
2013-09-20,204.690002,204.940002,201.940002,203.320007,3225600,48.256841
2013-09-23,203.020004,203.270004,200.220001,202.440002,1703600,48.047977
2013-09-24,202.820007,203.429993,201.589996,202.580002,1631600,48.081205
2013-09-25,202.839996,202.880005,198.669998,199.240005,2385600,47.288476
2013-09-26,199.720001,200.740005,198.710007,199.610001,2215600,47.376292
2013-09-27,199.589996,199.990005,196.800003,198.479996,2569200,47.108092
2013-09-30,197.149994,199.479996,197.009995,199.050003,2287600,47.24338
2013-10-01,199.600006,200.0,197.509995,198.839996,2118400,47.193536
2013-10-02,200.410004,201.240005,193.789993,195.800003,3317600,46.472011
2013-10-03,195.589996,198.169998,193.360001,194.539993,2212000,46.172955
2013-10-04,194.990005,197.070007,194.690002,196.509995,1979600,46.640523
2013-10-07,195.139999,196.350006,193.820007,193.850006,2017200,46.00919
2013-10-08,193.949997,194.460007,189.360001,189.759995,3070400,45.038449
2013-10-09,190.440002,193.460007,189.320007,192.419998,2310400,45.669786
2013-10-10,195.259995,195.660004,194.089996,194.729996,1312800,46.218051
2013-10-11,194.729996,196.149994,193.410004,196.100006,2066000,46.543215
2013-10-14,193.399994,198.199997,193.399994,197.580002,1934800,46.894483
2013-10-15,197.380005,198.660004,195.800003,196.070007,4588000,46.536095
2013-10-16,197.050003,201.410004,197.050003,201.330002,3356800,47.784524
2013-10-17,200.589996,203.399994,200.229996,201.889999,2613200,47.917437
2013-10-18,202.949997,204.300003,201.410004,204.300003,2419200,48.489437
2013-10-21,212.899994,214.399994,210.279999,211.229996,5260800,50.134231
2013-10-22,212.259995,212.990005,210.309998,211.440002,3193200,50.184075
2013-10-23,211.380005,212.679993,210.020004,212.440002,1676000,50.421419
2013-10-24,213.440002,213.440002,210.699997,210.75,1958800,50.020307
2013-10-25,213.039993,213.210007,210.610001,212.229996,2228000,50.371576
2013-10-28,212.199997,216.610001,211.830002,216.550003,3431600,51.396905
2013-10-29,217.0,217.690002,215.5,216.0,3320000,51.266364
2013-10-30,216.289993,216.839996,213.380005,214.960007,1832000,51.019528
2013-10-31,215.110001,216.240005,213.169998,215.0,2460800,51.02902
2013-11-01,215.0,216.649994,214.820007,215.5,1131200,51.147692
2013-11-04,216.699997,218.929993,216.130005,218.630005,2324800,51.890581
2013-11-05,218.679993,220.380005,217.119995,219.75,2445200,52.156406
2013-11-06,222.639999,225.580002,220.979996,222.460007,3661600,52.79961
2013-11-07,222.460007,223.039993,216.729996,217.050003,2486800,51.515577
2013-11-08,217.050003,218.789993,216.259995,218.740005,2722800,51.916689
2013-11-11,219.0,219.759995,218.679993,219.050003,1350400,51.990265
2013-11-12,218.179993,219.240005,217.149994,217.830002,2522000,51.700705
2013-11-13,217.449997,223.059998,217.25,223.009995,2487200,52.930147
2013-11-14,223.0,224.679993,221.360001,224.509995,1724000,53.286163
2013-11-15,224.130005,225.589996,223.169998,225.559998,1770000,53.535375
2013-11-18,225.5,226.850006,223.929993,224.440002,1832400,53.269551
2013-11-19,224.139999,225.300003,223.100006,224.259995,1404000,53.226827
2013-11-20,225.0,226.520004,224.0,224.740005,1270400,53.340755
2013-11-21,225.440002,225.440002,223.300003,224.529999,1441600,53.290911
2013-11-22,225.880005,232.410004,224.589996,232.100006,3455600,55.087609
2013-11-25,233.089996,234.529999,232.5,233.399994,3142000,55.396153
2013-11-26,232.990005,235.649994,232.669998,234.399994,1712000,55.633498
2013-11-27,235.380005,236.600006,234.119995,234.929993,1611200,55.75929
2013-11-29,235.0,237.179993,234.210007,234.580002,988800,55.676222
2013-12-02,236.190002,238.25,234.710007,235.740005,2281600,55.951542
2013-12-03,235.669998,235.970001,233.320007,234.039993,2232800,55.548054
2013-12-04,233.789993,234.5,231.550003,233.550003,1668800,55.431757
2013-12-05,233.490005,235.460007,232.350006,233.0,2256400,55.301217
2013-12-06,243.279999,243.279999,232.589996,233.570007,1575600,55.687457
2013-12-09,233.639999,234.279999,232.059998,232.940002,1853200,55.537252
2013-12-10,232.710007,233.139999,228.559998,231.25,2615600,55.134324
2013-12-11,231.809998,232.690002,228.679993,229.199997,2352000,54.645565
2013-12-12,229.5,233.089996,228.940002,232.240005,2933600,55.37036
2013-12-13,234.0,234.910004,231.199997,234.479996,3049200,55.904415
2013-12-16,234.970001,235.699997,233.660004,234.690002,1878800,55.954485
2013-12-17,235.259995,235.990005,233.860001,235.070007,1461200,56.045085
2013-12-18,235.830002,239.630005,233.639999,239.339996,1800400,57.06313
2013-12-19,239.119995,240.429993,238.020004,238.479996,1735600,56.85809
2013-12-20,239.300003,245.789993,237.990005,245.789993,23002800,58.60093
2013-12-23,61.75,61.900002,60.119999,60.959999,3189000,58.136015
2013-12-24,61.049999,61.349998,60.740002,61.200001,1203300,58.364898
2013-12-26,61.5,62.189999,61.32,62.080002,1385900,59.204133
2013-12-27,62.34,62.48,60.970001,61.580002,1683600,58.727296
2013-12-30,61.700001,62.290001,61.599998,62.07,1090700,59.194594
2013-12-31,62.259998,62.5,62.080002,62.34,1114200,59.452087
2014-01-02,63.02,63.450001,62.0,62.380001,1769600,59.490235
2014-01-03,62.139999,62.490002,61.740002,62.110001,1771500,59.232742
2014-01-06,62.220001,62.419998,61.41,61.709999,2184600,58.851271
2014-01-07,62.0,62.290001,61.610001,61.84,1806100,58.975249
2014-01-08,61.75,61.799999,61.080002,61.669998,2122600,58.813123
2014-01-09,61.93,62.369999,61.459999,62.290001,1610100,59.404404
2014-01-10,62.299999,62.48,61.799999,62.470001,1175400,59.576065
2014-01-13,62.049999,62.200001,59.970001,60.23,2917200,57.439832
2014-01-14,60.419998,61.049999,60.029999,60.439999,2052200,57.640103
2014-01-15,60.5,60.880001,60.16,60.220001,1824800,57.430297
2014-01-16,59.970001,60.200001,58.799999,59.209999,3274800,56.467084
2014-01-17,61.380001,61.380001,58.790001,58.790001,3762600,56.066542
2014-01-21,59.369999,59.369999,58.02,58.779999,2831700,56.057003
2014-01-22,59.040001,59.169998,58.810001,59.0,1921800,56.266813
2014-01-23,58.540001,58.77,57.91,58.150002,2232400,55.456191
2014-01-24,57.759998,58.439999,57.709999,57.77,2136000,55.093793
2014-01-27,57.73,58.290001,57.599998,57.91,2322900,55.227307
2014-01-28,58.0,58.959999,57.860001,58.68,1840700,55.961637
2014-01-29,58.380001,58.799999,57.48,57.580002,2297200,54.912596
2014-01-30,58.689999,59.959999,58.689999,59.41,2294000,56.657819
2014-01-31,58.66,58.799999,58.290001,58.450001,2619200,55.742292
2014-02-03,58.439999,58.450001,56.360001,56.490002,2373100,53.873091
2014-02-04,56.91,57.049999,56.18,56.369999,2317000,53.758647
2014-02-05,56.349998,56.540001,55.32,55.990002,3550100,53.396253
2014-02-06,56.23,57.610001,55.43,57.43,2160600,54.769544
2014-02-07,57.77,58.830002,57.77,58.75,1782500,56.028394
2014-02-10,58.580002,59.27,58.509998,59.099998,1819200,56.362179
2014-02-11,59.040001,60.439999,58.91,60.41,2603000,57.611494
2014-02-12,60.619999,60.82,59.189999,59.330002,3174800,56.581527
2014-02-13,59.060001,60.0,58.950001,59.889999,3297300,57.115583
2014-02-14,56.220001,57.110001,55.139999,56.849998,8273200,54.216411
2014-02-18,56.84,56.939999,56.099998,56.459999,4086600,53.844478
2014-02-19,56.419998,57.200001,56.380001,56.669998,2918600,54.044749
2014-02-20,56.77,58.110001,56.77,58.029999,2664300,55.341747
2014-02-21,57.990002,58.77,57.990002,58.490002,3552300,55.78044
2014-02-24,58.459999,59.18,58.459999,58.84,2761400,56.114225
2014-02-25,59.0,59.23,58.639999,59.0,2117700,56.266813
2014-02-26,59.27,60.240002,59.07,59.830002,3378500,57.058365
2014-02-27,58.830002,59.419998,58.509998,58.990002,3010400,56.257278
2014-02-28,58.830002,58.939999,58.209999,58.59,3371400,55.875806
2014-03-03,57.900002,58.639999,57.880001,58.560001,1690200,55.847197
2014-03-04,59.150002,59.98,59.150002,59.759998,1776900,56.991604
2014-03-05,59.860001,60.169998,59.540001,59.860001,1732400,57.086974
2014-03-06,59.759998,60.16,59.48,60.009998,1572000,57.482579
2014-03-07,60.32,61.990002,60.23,61.380001,3807000,58.794882
2014-03-10,61.310001,61.91,61.299999,61.790001,2833000,59.187614
2014-03-11,61.790001,61.950001,61.25,61.450001,2240600,58.861933
2014-03-12,61.060001,61.389999,60.830002,61.330002,1854300,58.746988
2014-03-13,61.459999,61.970001,60.889999,61.110001,3130300,58.536253
2014-03-14,60.790001,61.709999,60.66,60.720001,2642800,58.162679
2014-03-17,61.169998,62.490002,61.169998,62.330002,2007300,59.704871
2014-03-18,62.349998,63.040001,62.119999,62.139999,2745600,59.522871
