Date,Open_ULTA,High_ULTA,Low_ULTA,Close_ULTA,Volume_ULTA,AdjClose_ULTA
2015-06-08,156.460007,156.509995,153.539993,153.690002,723700,153.690002
2015-06-09,153.729996,154.490005,152.220001,153.770004,538800,153.770004
2015-06-10,154.490005,155.690002,153.850006,154.979996,571100,154.979996
2015-06-11,155.009995,156.460007,155.009995,155.369995,412600,155.369995
2015-06-12,154.710007,156.289993,154.279999,155.320007,341700,155.320007
2015-06-15,154.470001,155.320007,153.570007,154.570007,433000,154.570007
2015-06-16,154.449997,156.100006,154.100006,155.5,386800,155.5
2015-06-17,155.679993,156.389999,154.589996,155.619995,473900,155.619995
2015-06-18,156.0,158.75,155.619995,156.479996,878000,156.479996
2015-06-19,156.240005,156.710007,154.690002,154.729996,570600,154.729996
2015-06-22,155.789993,156.470001,154.830002,155.690002,540500,155.690002
2015-06-23,155.880005,157.149994,155.220001,156.360001,572600,156.360001
2015-06-24,156.440002,157.130005,154.860001,155.589996,442700,155.589996
2015-06-25,155.600006,155.800003,153.889999,154.839996,933600,154.839996
2015-06-26,155.399994,158.100006,155.009995,157.979996,1160700,157.979996
2015-06-29,156.259995,156.949997,153.240005,153.679993,634600,153.679993
2015-06-30,154.690002,154.940002,152.779999,154.449997,618500,154.449997
2015-07-01,155.940002,156.479996,154.300003,155.419998,701300,155.419998
2015-07-02,155.229996,156.259995,154.279999,156.229996,801500,156.229996
2015-07-06,154.789993,157.339996,154.25,157.229996,733900,157.229996
2015-07-07,157.179993,159.720001,156.070007,159.419998,984000,159.419998
2015-07-08,158.009995,160.0,157.779999,158.550003,1218900,158.550003
2015-07-09,160.0,162.589996,159.779999,159.910004,1430400,159.910004
2015-07-10,162.5,163.699997,160.779999,163.110001,876500,163.110001
2015-07-13,164.449997,167.130005,164.020004,166.949997,983300,166.949997
2015-07-14,167.720001,167.720001,165.520004,167.0,665800,167.0
2015-07-15,167.520004,168.330002,166.110001,168.25,731400,168.25
2015-07-16,169.0,169.309998,166.229996,167.320007,1213200,167.320007
2015-07-17,167.919998,168.479996,166.600006,166.910004,566700,166.910004
2015-07-20,167.850006,168.529999,167.440002,167.940002,447000,167.940002
2015-07-21,167.970001,168.649994,166.25,166.789993,511200,166.789993
2015-07-22,166.440002,170.75,166.369995,170.520004,598000,170.520004
2015-07-23,170.429993,171.210007,168.910004,169.220001,601500,169.220001
2015-07-24,169.350006,170.360001,168.830002,169.539993,501000,169.539993
2015-07-27,168.449997,168.869995,165.669998,166.389999,730100,166.389999
2015-07-28,167.050003,167.860001,164.539993,166.009995,652000,166.009995
2015-07-29,166.25,167.279999,165.259995,166.490005,569800,166.490005
2015-07-30,166.300003,167.0,165.009995,166.820007,447400,166.820007
2015-07-31,167.0,167.860001,165.630005,166.029999,543200,166.029999
2015-08-03,167.229996,167.990005,163.259995,165.270004,674900,165.270004
2015-08-04,164.830002,166.919998,163.979996,165.070007,441500,165.070007
2015-08-05,166.520004,167.770004,165.539993,167.009995,507200,167.009995
2015-08-06,167.270004,167.960007,163.399994,164.800003,629600,164.800003
2015-08-07,164.699997,165.970001,163.389999,165.610001,621500,165.610001
2015-08-10,167.660004,169.130005,167.070007,168.360001,573400,168.360001
2015-08-11,166.960007,168.509995,166.0,168.509995,559700,168.509995
2015-08-12,166.600006,167.580002,164.089996,166.940002,675500,166.940002
2015-08-13,167.240005,170.940002,167.130005,169.279999,571600,169.279999
2015-08-14,168.729996,171.100006,168.550003,171.039993,478900,171.039993
2015-08-17,171.119995,171.610001,168.770004,171.389999,545500,171.389999
2015-08-18,170.759995,176.770004,170.759995,173.320007,1023700,173.320007
2015-08-19,173.649994,173.929993,172.0,172.619995,739700,172.619995
2015-08-20,171.669998,172.910004,168.75,171.300003,840600,171.300003
2015-08-21,167.770004,168.460007,162.169998,162.570007,1809900,162.570007
2015-08-24,143.0,163.600006,120.379997,158.720001,2740000,158.720001
2015-08-25,164.110001,164.429993,152.520004,153.259995,1752900,153.259995
2015-08-26,154.300003,158.869995,154.039993,158.050003,1791600,158.050003
2015-08-27,160.869995,162.990005,159.309998,160.240005,2454700,160.240005
2015-08-28,164.779999,169.289993,158.130005,159.0,2919600,159.0
2015-08-31,157.279999,160.660004,157.229996,158.089996,1115200,158.089996
2015-09-01,155.350006,156.979996,153.020004,153.759995,1284000,153.759995
2015-09-02,155.550003,158.889999,153.839996,158.509995,1041400,158.509995
2015-09-03,158.600006,160.869995,158.259995,158.929993,948700,158.929993
2015-09-04,157.220001,158.990005,156.039993,157.699997,601200,157.699997
2015-09-08,160.720001,164.679993,158.020004,164.610001,1156300,164.610001
2015-09-09,169.0,169.139999,163.320007,163.399994,1416300,163.399994
2015-09-10,162.0,165.289993,161.399994,164.830002,1369600,164.830002
2015-09-11,164.809998,165.550003,162.679993,165.059998,632000,165.059998
2015-09-14,164.770004,165.720001,162.029999,163.0,658700,163.0
2015-09-15,163.089996,165.130005,160.770004,164.059998,767300,164.059998
2015-09-16,164.529999,164.919998,162.940002,164.720001,501200,164.720001
2015-09-17,164.490005,169.25,163.919998,168.139999,1040500,168.139999
2015-09-18,167.979996,170.0,166.910004,167.229996,1583900,167.229996
2015-09-21,168.460007,170.020004,167.529999,168.690002,789700,168.690002
