Date,Open_KORS,High_KORS,Low_KORS,Close_KORS,Volume_KORS,AdjClose_KORS
2015-07-29,39.25,40.18,38.939999,40.110001,2975200,40.110001
2015-07-30,40.119999,42.279999,40.0,42.119999,7944500,42.119999
2015-07-31,41.490002,42.189999,41.220001,41.990002,4240400,41.990002
2015-08-03,41.400002,41.43,38.389999,38.709999,7099500,38.709999
2015-08-04,38.82,39.360001,38.16,38.540001,4766800,38.540001
2015-08-05,39.07,40.18,39.040001,39.490002,4936400,39.490002
2015-08-06,42.380001,44.59,41.700001,43.77,13993900,43.77
2015-08-07,43.509998,44.380001,43.349998,43.84,5817500,43.84
2015-08-10,44.119999,45.470001,44.02,45.290001,4127600,45.290001
2015-08-11,44.68,45.82,44.5,45.369999,4830000,45.369999
2015-08-12,44.990002,44.990002,43.439999,44.439999,5259600,44.439999
2015-08-13,44.34,44.439999,43.57,43.610001,3791000,43.610001
2015-08-14,43.650002,44.0,43.310001,43.369999,3600900,43.369999
2015-08-17,43.060001,43.700001,42.599998,43.52,2884200,43.52
2015-08-18,43.099998,43.470001,41.970001,42.880001,3757000,42.880001
2015-08-19,42.810001,43.5,42.09,43.18,3676900,43.18
2015-08-20,42.860001,43.16,42.150002,42.16,3580500,42.16
2015-08-21,41.689999,41.869999,40.07,40.080002,5474100,40.080002
2015-08-24,36.75,39.740002,36.630001,38.060001,7017000,38.060001
2015-08-25,39.540001,40.93,38.75,39.389999,5353300,39.389999
2015-08-26,40.009998,41.299999,39.57,41.07,4517100,41.07
2015-08-27,41.560001,43.439999,41.389999,43.279999,6045900,43.279999
2015-08-28,43.0,43.849998,42.860001,43.169998,2826800,43.169998
2015-08-31,43.169998,44.119999,42.689999,43.459999,2742100,43.459999
2015-09-01,42.790001,43.41,42.299999,42.790001,3167700,42.790001
2015-09-02,43.310001,44.509998,43.07,44.509998,3162800,44.509998
2015-09-03,44.490002,45.23,44.32,44.919998,2897100,44.919998
2015-09-04,43.799999,44.18,43.32,43.939999,3165900,43.939999
2015-09-08,44.830002,45.279999,44.150002,44.5,2796500,44.5
2015-09-09,44.939999,45.43,43.830002,43.919998,2326000,43.919998
2015-09-10,43.639999,44.130001,43.349998,43.689999,1771000,43.689999
2015-09-11,43.490002,44.150002,43.200001,44.150002,2022900,44.150002
2015-09-14,44.049999,44.119999,42.91,43.150002,2020300,43.150002
2015-09-15,43.040001,44.07,43.009998,43.860001,2025200,43.860001
2015-09-16,43.459999,45.34,43.459999,45.119999,2789500,45.119999
2015-09-17,43.950001,45.150002,43.740002,44.349998,2033900,44.349998
2015-09-18,43.459999,43.990002,42.869999,43.110001,4549900,43.110001
2015-09-21,43.450001,44.220001,43.110001,43.57,1745300,43.57
2015-09-22,42.869999,43.34,42.580002,43.07,1733900,43.07
2015-09-23,43.080002,43.240002,42.02,42.18,2038400,42.18
2015-09-24,42.0,42.869999,41.619999,42.720001,2131000,42.720001
2015-09-25,43.18,43.279999,42.150002,42.400002,1730000,42.400002
2015-09-28,42.240002,42.369999,40.419998,40.549999,2445200,40.549999
2015-09-29,40.52,41.279999,40.119999,40.700001,2401000,40.700001
2015-09-30,41.16,42.290001,40.93,42.240002,2534000,42.240002
2015-10-01,42.209999,42.610001,41.0,41.66,2146000,41.66
2015-10-02,41.169998,43.560001,40.740002,43.529999,2550200,43.529999
2015-10-05,43.740002,44.290001,43.139999,43.889999,1705000,43.889999
2015-10-06,43.959999,44.380001,43.299999,43.369999,2014600,43.369999
2015-10-07,43.330002,43.84,42.130001,42.720001,2752500,42.720001
2015-10-08,42.27,43.68,42.220001,43.509998,2057500,43.509998
2015-10-09,42.900002,43.240002,41.950001,42.59,2128800,42.59
2015-10-12,42.970001,43.0,41.57,41.919998,1712200,41.919998
2015-10-13,41.709999,42.189999,40.810001,41.549999,1692700,41.549999
2015-10-14,41.75,42.18,41.330002,41.759998,1427900,41.759998
2015-10-15,42.040001,42.040001,40.689999,41.75,2064500,41.75
2015-10-16,41.869999,41.869999,39.900002,40.279999,5316000,40.279999
2015-10-19,40.16,40.330002,39.09,39.77,4489800,39.77
2015-10-20,39.880001,40.509998,39.689999,39.900002,3085300,39.900002
2015-10-21,40.34,40.400002,39.540001,39.599998,3356300,39.599998
2015-10-22,40.259998,40.34,39.330002,39.459999,3840000,39.459999
2015-10-23,39.889999,39.889999,38.34,38.529999,5992900,38.529999
2015-10-26,38.599998,39.25,38.5,38.759998,4303200,38.759998
2015-10-27,39.43,39.799999,38.580002,38.68,2856000,38.68
2015-10-28,39.380001,39.48,38.18,38.540001,4032500,38.540001
2015-10-29,38.759998,38.790001,37.91,38.689999,4856900,38.689999
2015-10-30,38.98,39.0,38.02,38.639999,4779600,38.639999
2015-11-02,38.919998,39.09,37.900002,38.959999,4367200,38.959999
2015-11-03,38.889999,39.689999,38.529999,39.32,5849700,39.32
2015-11-04,39.990002,44.799999,39.549999,42.57,20734400,42.57
2015-11-05,43.110001,43.93,42.900002,43.490002,5268300,43.490002
2015-11-06,43.130001,43.93,42.970001,43.48,3772400,43.48
2015-11-09,43.529999,44.189999,42.380001,42.84,3715500,42.84
2015-11-10,42.389999,43.169998,42.049999,43.099998,2301200,43.099998
2015-11-11,42.990002,42.990002,41.240002,41.310001,3462200,41.310001
2015-11-12,41.009998,42.16,40.84,41.639999,2541700,41.639999
2015-11-13,40.900002,40.900002,38.959999,39.0,5405500,39.0
2015-11-16,38.889999,39.810001,38.470001,39.669998,2748200,39.669998
2015-11-17,39.529999,39.860001,38.689999,39.32,2639100,39.32
2015-11-18,39.380001,41.02,39.349998,40.849998,2606300,40.849998
2015-11-19,40.950001,41.43,40.560001,40.880001,1923500,40.880001
2015-11-20,41.189999,41.990002,40.93,41.130001,2319700,41.130001
2015-11-23,41.049999,42.549999,41.009998,42.220001,3115800,42.220001
2015-11-24,41.900002,43.240002,41.84,42.799999,3191000,42.799999
2015-11-25,43.0,43.580002,42.470001,42.900002,2974400,42.900002
2015-11-27,43.060001,43.779999,42.490002,42.52,2076700,42.52
2015-11-30,42.52,43.209999,42.16,43.02,3669100,43.02
2015-12-01,43.099998,43.48,42.580002,42.889999,3303200,42.889999
2015-12-02,42.849998,43.869999,42.669998,43.029999,2925000,43.029999
2015-12-03,43.060001,43.52,42.07,42.700001,4170800,42.700001
2015-12-04,42.669998,42.77,41.860001,42.34,2541200,42.34
2015-12-07,42.119999,42.939999,41.150002,42.869999,2594900,42.869999
2015-12-08,42.439999,42.73,41.720001,42.0,3195800,42.0
2015-12-09,41.740002,43.169998,41.529999,41.939999,2768200,41.939999
2015-12-10,41.900002,42.66,41.610001,42.220001,2091700,42.220001
2015-12-11,41.669998,41.810001,40.189999,40.389999,3095000,40.389999
2015-12-14,40.41,40.869999,39.5,40.150002,2697900,40.150002
2015-12-15,40.5,41.049999,39.919998,40.48,2434300,40.48
2015-12-16,40.720001,41.32,40.459999,40.939999,2814100,40.939999
2015-12-17,40.860001,41.049999,38.970001,39.43,3267400,39.43
2015-12-18,39.48,40.25,39.09,39.700001,5723900,39.700001
2015-12-21,39.849998,40.459999,39.639999,40.330002,2139800,40.330002
2015-12-22,40.43,41.07,39.869999,40.82,2251700,40.82
2015-12-23,41.450001,41.73,40.700001,41.630001,2242600,41.630001
2015-12-24,41.529999,41.57,40.830002,40.860001,823000,40.860001
2015-12-28,40.639999,41.330002,40.119999,40.630001,1989500,40.630001
2015-12-29,40.889999,41.209999,40.740002,41.009998,1440000,41.009998
2015-12-30,41.0,41.400002,40.099998,40.220001,1865900,40.220001
2015-12-31,40.080002,40.490002,39.869999,40.060001,1854500,40.060001
2016-01-04,39.389999,40.509998,39.23,40.369999,2546800,40.369999
2016-01-05,40.5,40.790001,39.400002,40.720001,2374100,40.720001
2016-01-06,39.98,40.860001,39.290001,39.759998,3718400,39.759998
2016-01-07,39.02,40.279999,38.73,38.959999,2808300,38.959999
2016-01-08,39.130001,39.349998,37.73,37.790001,3952800,37.790001
2016-01-11,37.580002,38.220001,36.59,37.139999,3573900,37.139999
2016-01-12,37.709999,37.990002,36.810001,37.52,1876200,37.52
2016-01-13,37.669998,38.119999,36.060001,36.150002,3060500,36.150002
2016-01-14,36.259998,36.619999,35.02,36.110001,2767100,36.110001
2016-01-15,35.049999,36.029999,34.91,35.57,4086800,35.57
2016-01-19,36.150002,36.369999,35.330002,35.759998,2950800,35.759998
2016-01-20,35.0,36.889999,34.830002,36.490002,3342800,36.490002
2016-01-21,37.0,38.360001,36.43,37.509998,3488000,37.509998
2016-01-22,38.060001,38.779999,37.889999,38.41,2044100,38.41
2016-01-25,38.119999,38.369999,36.57,36.73,3301500,36.73
2016-01-26,37.07,38.110001,36.73,37.790001,2547000,37.790001
2016-01-27,37.57,39.080002,37.330002,38.029999,2905300,38.029999
2016-01-28,38.700001,39.049999,37.790001,38.73,2444700,38.73
2016-01-29,38.889999,40.0,38.689999,39.900002,3346000,39.900002
2016-02-01,39.93,40.779999,39.619999,40.439999,4852200,40.439999
2016-02-02,47.110001,51.049999,46.439999,50.110001,28552000,50.110001
2016-02-03,49.84,52.630001,49.240002,51.720001,11641300,51.720001
2016-02-04,51.099998,52.150002,50.700001,51.720001,6371000,51.720001
2016-02-05,51.380001,52.470001,50.73,51.84,5742800,51.84
2016-02-08,51.459999,52.07,49.34,50.200001,5430800,50.200001
2016-02-09,48.32,50.869999,48.32,50.23,4644400,50.23
2016-02-10,51.0,51.639999,49.540001,50.16,3698800,50.16
2016-02-11,49.720001,50.439999,48.599998,49.139999,4514600,49.139999
2016-02-12,49.57,50.0,48.130001,49.57,4215900,49.57
2016-02-16,50.049999,51.599998,49.25,50.759998,3907900,50.759998
2016-02-17,51.779999,52.540001,51.549999,52.490002,4794300,52.490002
2016-02-18,52.540001,53.93,52.07,53.240002,4886500,53.240002
2016-02-19,52.779999,53.279999,51.91,52.73,2634100,52.73
2016-02-22,53.009998,55.0,52.740002,54.82,4846800,54.82
2016-02-23,54.560001,55.77,54.150002,54.77,3194100,54.77
2016-02-24,54.200001,55.830002,54.119999,55.439999,3494900,55.439999
2016-02-25,55.220001,56.66,55.02,56.470001,3720500,56.470001
2016-02-26,56.52,57.240002,55.43,56.580002,3848700,56.580002
2016-02-29,56.75,57.389999,56.330002,56.650002,4128100,56.650002
2016-03-01,56.990002,57.740002,56.759998,57.290001,3561600,57.290001
2016-03-02,57.349998,57.869999,56.619999,57.84,2747500,57.84
2016-03-03,57.75,57.759998,56.709999,57.189999,3173800,57.189999
2016-03-04,57.52,57.860001,56.869999,57.16,2319300,57.16
2016-03-07,57.139999,57.700001,56.77,57.43,2025800,57.43
2016-03-08,57.080002,57.610001,56.34,56.75,2495200,56.75
2016-03-09,57.27,58.5,56.73,58.139999,2958000,58.139999
2016-03-10,58.189999,58.32,56.529999,57.369999,3203900,57.369999
2016-03-11,58.009998,58.599998,57.66,58.5,2292900,58.5
2016-03-14,58.52,59.490002,58.470001,58.540001,2527400,58.540001
2016-03-15,58.23,58.459999,56.66,57.290001,2411300,57.290001
2016-03-16,57.0,57.150002,55.200001,56.060001,3596100,56.060001
2016-03-17,56.080002,57.09,56.07,56.790001,2531800,56.790001
2016-03-18,57.169998,57.540001,56.220001,56.970001,3001900,56.970001
2016-03-21,56.77,57.48,56.650002,56.919998,1425600,56.919998
2016-03-22,56.59,56.75,55.369999,56.040001,1844800,56.040001
2016-03-23,56.040001,56.549999,55.380001,55.93,2118500,55.93
2016-03-24,55.810001,55.82,55.049999,55.529999,1994700,55.529999
2016-03-28,55.740002,56.66,55.48,56.27,1604400,56.27
2016-03-29,56.139999,56.400002,55.700001,56.369999,1657700,56.369999
2016-03-30,56.900002,57.189999,56.41,56.869999,1517400,56.869999
2016-03-31,56.869999,57.540001,56.84,56.959999,1913300,56.959999
2016-04-01,56.82,57.060001,56.040001,56.970001,2560700,56.970001
2016-04-04,57.389999,58.630001,56.279999,56.349998,3126300,56.349998
2016-04-05,56.220001,56.709999,55.82,55.900002,2496600,55.900002
2016-04-06,55.970001,56.599998,55.549999,56.32,2051800,56.32
2016-04-07,55.66,55.950001,53.459999,53.740002,4208000,53.740002
2016-04-08,54.029999,54.200001,51.110001,51.189999,4622400,51.189999
2016-04-11,51.299999,52.740002,50.41,51.380001,4051400,51.380001
2016-04-12,51.380001,51.950001,50.790001,51.619999,2534300,51.619999
2016-04-13,51.93,53.48,51.34,53.150002,3532700,53.150002
2016-04-14,53.07,53.360001,51.59,51.799999,2076800,51.799999
2016-04-15,51.68,52.439999,51.48,52.290001,1932700,52.290001
2016-04-18,52.169998,52.950001,52.139999,52.639999,1580200,52.639999
2016-04-19,52.709999,52.709999,51.830002,51.98,3942500,51.98
2016-04-20,51.34,52.32,50.84,51.98,3473600,51.98
2016-04-21,52.34,52.580002,51.59,51.639999,1650000,51.639999
2016-04-22,51.009998,51.619999,50.889999,51.599998,2537800,51.599998
2016-04-25,51.75,52.580002,51.5,51.84,2134000,51.84
2016-04-26,52.009998,53.540001,52.009998,53.41,3497300,53.41
2016-04-27,54.299999,55.369999,54.0,55.119999,3435100,55.119999
2016-04-28,54.889999,55.23,52.650002,52.82,2356700,52.82
2016-04-29,52.779999,52.869999,50.900002,51.66,3476400,51.66
2016-05-02,51.970001,53.060001,51.240002,52.950001,2488900,52.950001
2016-05-03,52.119999,52.560001,51.439999,52.43,2197600,52.43
2016-05-04,52.110001,52.66,51.080002,51.310001,1645300,51.310001
2016-05-05,51.080002,51.34,50.110001,50.18,2268500,50.18
2016-05-06,50.18,51.130001,49.669998,50.869999,1987400,50.869999
2016-05-09,50.560001,51.380001,50.389999,50.68,2022800,50.68
2016-05-10,50.689999,50.720001,49.189999,49.900002,3611900,49.900002
2016-05-11,46.23,46.669998,43.540001,44.009998,14997900,44.009998
2016-05-12,44.34,44.439999,43.060001,43.790001,5574800,43.790001
2016-05-13,43.07,43.099998,40.810001,41.91,9161800,41.91
2016-05-16,41.860001,41.98,40.990002,41.459999,3049500,41.459999
2016-05-17,41.43,42.349998,40.740002,41.630001,4715400,41.630001
2016-05-18,41.380001,41.98,40.450001,40.75,3140200,40.75
2016-05-19,40.66,41.459999,40.360001,40.700001,3616000,40.700001
2016-05-20,40.84,41.639999,40.810001,41.549999,2736200,41.549999
2016-05-23,41.869999,42.740002,41.490002,41.509998,3617600,41.509998
2016-05-24,41.509998,41.93,40.720001,41.560001,3961400,41.560001
2016-05-25,41.060001,41.889999,40.990002,41.799999,2735500,41.799999
2016-05-26,42.34,42.599998,41.48,41.82,2988500,41.82
2016-05-27,41.939999,42.080002,41.549999,41.790001,2931800,41.790001
2016-05-31,41.66,42.93,41.41,42.720001,9845500,42.720001
2016-06-01,42.720001,46.0,42.720001,45.549999,16510200,45.549999
2016-06-02,45.419998,47.830002,45.299999,47.509998,9362600,47.509998
2016-06-03,46.880001,49.02,46.880001,48.450001,7114800,48.450001
