Date,Open_KORS,High_KORS,Low_KORS,Close_KORS,Volume_KORS,AdjClose_KORS
2015-06-08,48.84,49.25,48.009998,48.150002,6658700,48.150002
2015-06-09,48.009998,48.810001,48.009998,48.57,4232000,48.57
2015-06-10,48.720001,49.169998,48.16,48.209999,5365200,48.209999
2015-06-11,48.32,48.73,47.189999,47.84,5426600,47.84
2015-06-12,47.599998,48.360001,47.380001,48.23,3010500,48.23
2015-06-15,47.849998,47.91,46.830002,47.099998,3760500,47.099998
2015-06-16,47.080002,47.34,46.419998,46.509998,3982300,46.509998
2015-06-17,46.599998,46.900002,46.060001,46.43,3823300,46.43
2015-06-18,46.700001,46.93,46.099998,46.169998,3107800,46.169998
2015-06-19,46.27,46.919998,46.23,46.599998,6135200,46.599998
2015-06-22,46.84,47.509998,46.490002,47.34,3548000,47.34
2015-06-23,47.439999,47.919998,46.540001,46.799999,4353700,46.799999
2015-06-24,46.810001,47.419998,46.060001,46.200001,3537500,46.200001
2015-06-25,46.509998,46.509998,45.23,45.369999,4415400,45.369999
2015-06-26,45.330002,45.540001,44.830002,44.91,4356200,44.91
2015-06-29,44.299999,44.59,43.32,43.369999,6007900,43.369999
2015-06-30,43.599998,43.599998,41.52,42.09,10919900,42.09
2015-07-01,42.630001,43.490002,42.509998,43.110001,4408300,43.110001
2015-07-02,43.139999,43.540001,42.810001,43.07,2869100,43.07
2015-07-06,42.68,42.68,41.560001,41.830002,4526100,41.830002
2015-07-07,41.84,42.470001,41.16,42.419998,3751400,42.419998
2015-07-08,42.130001,42.41,41.650002,41.68,2847400,41.68
2015-07-09,42.16,42.669998,41.919998,41.990002,3215900,41.990002
2015-07-10,42.389999,42.790001,42.0,42.490002,2717000,42.490002
2015-07-13,42.869999,44.169998,42.860001,44.060001,4316300,44.060001
2015-07-14,43.91,44.09,42.950001,43.48,3639100,43.48
2015-07-15,43.220001,43.459999,42.759998,42.950001,2704800,42.950001
2015-07-16,42.299999,42.299999,41.09,41.25,5932200,41.25
2015-07-17,41.400002,41.619999,40.23,40.52,5233500,40.52
2015-07-20,40.91,41.029999,39.900002,39.919998,3863800,39.919998
2015-07-21,40.099998,40.880001,40.040001,40.580002,4604400,40.580002
2015-07-22,40.689999,40.959999,39.98,40.130001,2752500,40.130001
2015-07-23,40.080002,40.400002,39.68,39.810001,3539200,39.810001
2015-07-24,39.98,40.02,38.880001,39.330002,2989600,39.330002
2015-07-27,39.119999,39.77,38.799999,39.07,2617100,39.07
2015-07-28,39.18,39.610001,38.880001,39.419998,2261300,39.419998
