Date,Open_TGT,High_TGT,Low_TGT,Close_TGT,Volume_TGT,AdjClose_TGT
2013-06-14,69.379997,69.629997,68.949997,69.029999,3953500,63.181315
2013-06-17,69.089996,70.0,69.089996,69.860001,3079700,63.940994
2013-06-18,69.849998,70.220001,69.599998,70.160004,2357200,64.215579
2013-06-19,70.150002,70.330002,68.75,68.879997,4931700,63.044023
2013-06-20,68.410004,69.089996,68.370003,68.660004,5632600,62.842669
2013-06-21,69.089996,69.279999,68.32,68.830002,4934300,62.998264
2013-06-24,68.190002,68.739998,67.839996,68.290001,4000100,62.504015
2013-06-25,68.620003,69.349998,68.470001,69.129997,3587500,63.272841
2013-06-26,69.5,69.519997,68.830002,69.120003,3708300,63.263694
2013-06-27,69.559998,69.639999,68.57,68.790001,4950200,62.961652
2013-06-28,68.639999,69.199997,68.529999,68.860001,7715800,63.025721
2013-07-01,69.190002,70.059998,69.110001,69.330002,2638200,63.4559
2013-07-02,69.379997,70.360001,69.290001,69.559998,3162300,63.666409
2013-07-03,69.18,69.449997,68.959999,69.379997,1590100,63.50166
2013-07-05,69.860001,70.459999,69.639999,70.25,2281700,64.29795
2013-07-08,70.459999,71.220001,70.349998,71.18,3742900,65.149154
2013-07-09,71.220001,71.970001,71.220001,71.769997,3923600,65.689162
2013-07-10,71.82,72.230003,71.410004,72.029999,2623400,65.927135
2013-07-11,72.440002,72.940002,72.099998,72.57,3233300,66.421384
2013-07-12,71.849998,72.559998,71.699997,72.559998,2711900,66.412229
2013-07-15,72.480003,72.639999,72.139999,72.349998,2145300,66.220022
2013-07-16,72.459999,72.599998,72.010002,72.07,2165100,65.963747
2013-07-17,72.129997,72.650002,72.0,72.610001,2336600,66.457996
2013-07-18,72.739998,73.0,72.199997,72.419998,2502200,66.284091
2013-07-19,72.550003,72.830002,72.379997,72.550003,4077200,66.403081
2013-07-22,72.639999,73.080002,72.57,73.029999,2298500,66.842409
2013-07-23,73.0,73.360001,72.809998,73.25,2717600,67.04377
2013-07-24,73.410004,73.5,73.029999,73.32,2670000,67.107839
2013-07-25,73.07,73.160004,71.18,71.82,5589600,65.734929
2013-07-26,71.57,71.589996,70.550003,71.459999,4071300,65.40543
2013-07-29,71.559998,71.660004,70.93,71.510002,2489100,65.451196
2013-07-30,71.629997,72.050003,71.389999,71.419998,2912900,65.368818
2013-07-31,71.599998,71.900002,71.050003,71.25,4108200,65.213223
2013-08-01,71.690002,71.919998,71.440002,71.580002,3694800,65.515265
2013-08-02,71.519997,71.580002,71.349998,71.5,5548400,65.442042
2013-08-05,71.510002,72.07,71.279999,71.989998,3073400,65.890524
2013-08-06,71.870003,71.93,70.809998,71.790001,3265700,65.707472
2013-08-07,71.699997,71.860001,70.790001,71.68,2536900,65.606791
2013-08-08,71.690002,71.690002,70.800003,71.220001,3714900,65.185766
