Date,Open_LRCX,High_LRCX,Low_LRCX,Close_LRCX,Volume_LRCX,AdjClose_LRCX
2015-06-08,84.0,84.010002,81.970001,82.25,1418900,81.260473
2015-06-09,82.040001,82.629997,80.690002,81.980003,1946000,80.993725
2015-06-10,82.550003,82.839996,82.019997,82.639999,1172400,81.645781
2015-06-11,83.0,83.379997,82.220001,82.540001,1032600,81.546985
2015-06-12,82.029999,82.300003,81.220001,81.459999,1044200,80.479977
2015-06-15,80.910004,81.290001,79.529999,81.260002,2447400,80.282386
2015-06-16,81.160004,82.589996,80.970001,82.550003,1418300,81.556867
2015-06-17,82.059998,82.959999,81.93,82.25,1882400,81.260473
2015-06-18,82.620003,84.150002,82.519997,83.870003,1511400,82.860986
2015-06-19,83.989998,84.389999,83.190002,83.230003,1809100,82.228686
2015-06-22,83.769997,84.230003,82.790001,83.669998,1120500,82.663388
2015-06-23,83.629997,84.239998,83.339996,83.779999,1204000,82.772065
2015-06-24,83.589996,83.889999,82.970001,83.209999,1089900,82.208923
2015-06-25,83.610001,84.339996,83.199997,83.730003,1457900,82.722671
2015-06-26,83.239998,84.260002,82.370003,82.860001,3109600,81.863135
2015-06-29,81.830002,82.07,79.959999,80.199997,1688600,79.235133
2015-06-30,81.199997,82.120003,80.839996,81.349998,1707600,80.371299
2015-07-01,82.919998,84.129997,81.82,82.269997,1843600,81.280229
2015-07-02,82.449997,83.300003,81.940002,83.230003,1520300,82.228686
2015-07-06,82.220001,83.480003,80.879997,81.139999,3065200,80.163827
2015-07-07,80.889999,80.959999,77.730003,80.160004,2864300,79.195621
2015-07-08,79.559998,79.980003,77.739998,77.949997,2307200,77.012202
2015-07-09,79.849998,80.370003,77.589996,77.629997,1849300,76.696052
2015-07-10,78.230003,78.889999,77.669998,78.529999,1825800,77.585226
2015-07-13,79.0,79.779999,77.959999,79.269997,2220000,78.316321
2015-07-14,79.5,80.730003,78.099998,79.849998,3867000,78.889345
2015-07-15,79.879997,80.25,78.75,79.489998,2004700,78.533676
2015-07-16,79.339996,79.589996,75.510002,77.349998,3876800,76.419422
2015-07-17,77.510002,77.540001,76.900002,77.260002,1661400,76.330509
2015-07-20,77.93,78.230003,76.980003,77.080002,970200,76.152674
2015-07-21,77.0,78.230003,76.839996,77.370003,1267400,76.439186
2015-07-22,76.559998,76.879997,75.059998,76.480003,1419800,75.559894
2015-07-23,76.699997,78.099998,76.419998,77.019997,1239700,76.093391
2015-07-24,76.93,77.129997,74.879997,75.449997,1705300,74.542279
2015-07-27,74.82,75.910004,73.809998,75.449997,1553300,74.542279
2015-07-28,75.699997,78.290001,74.779999,77.75,2323200,76.814611
2015-07-29,78.120003,78.120003,75.970001,77.669998,2977800,76.735572
2015-07-30,78.440002,80.870003,78.339996,78.57,3393900,77.624746
2015-07-31,78.959999,79.779999,76.510002,76.870003,2513800,75.945201
2015-08-03,76.709999,76.879997,75.330002,75.739998,2646800,74.828791
2015-08-04,74.440002,75.870003,72.879997,73.089996,3507400,72.210671
2015-08-05,73.440002,74.580002,73.290001,74.050003,2213800,73.159128
2015-08-06,74.419998,74.419998,72.290001,72.519997,1951800,71.647529
2015-08-07,72.150002,72.43,71.370003,72.419998,1765600,71.548733
2015-08-10,73.339996,75.18,72.93,74.870003,2071700,73.969263
2015-08-11,74.25,74.440002,72.879997,73.0,2035800,72.121757
2015-08-12,71.949997,73.059998,70.809998,72.610001,2495300,71.73645
2015-08-13,72.75,73.400002,71.93,72.010002,1908600,71.14367
2015-08-14,71.889999,73.550003,70.809998,72.709999,3861900,71.835245
2015-08-17,72.610001,74.529999,72.199997,74.389999,1981600,73.495034
2015-08-18,74.57,74.720001,72.040001,72.269997,1971300,71.400536
2015-08-19,72.25,73.389999,71.459999,72.410004,1907800,71.538859
2015-08-20,71.730003,71.93,70.830002,71.019997,2586700,70.165575
2015-08-21,70.25,71.879997,69.699997,69.75,2915700,68.910857
2015-08-24,66.339996,70.669998,62.849998,67.32,3211400,66.510092
2015-08-25,70.25,70.93,67.400002,67.400002,3503800,66.589131
2015-08-26,69.769997,70.900002,67.82,70.75,2756400,69.898827
2015-08-27,71.559998,73.580002,71.199997,73.110001,3066400,72.230435
2015-08-28,72.739998,73.970001,72.290001,72.919998,1604600,72.042718
2015-08-31,72.599998,73.410004,71.889999,72.769997,1182100,71.894521
2015-09-01,70.830002,72.019997,69.160004,69.559998,1988100,68.723141
2015-09-02,70.970001,71.129997,69.629997,71.099998,1208900,70.244614
2015-09-03,72.010002,72.769997,71.279999,71.75,1582400,70.886796
2015-09-04,70.260002,70.989998,69.599998,69.75,1880600,69.200197
2015-09-08,71.190002,72.93,71.190002,72.629997,1830800,72.057493
2015-09-09,73.040001,73.720001,70.440002,70.589996,1914200,70.033572
2015-09-10,70.550003,72.93,70.43,71.900002,1790300,71.333252
2015-09-11,70.919998,71.900002,70.300003,71.830002,1523700,71.263804
2015-09-14,72.169998,72.690002,71.860001,72.5,1814500,71.928521
2015-09-15,72.940002,74.309998,72.169998,74.019997,1464200,73.436536
2015-09-16,73.989998,74.919998,73.599998,74.760002,1137100,74.170708
2015-09-17,74.139999,74.139999,72.440002,72.639999,1740300,72.067416
2015-09-18,71.589996,72.459999,70.93,71.220001,1975500,70.658611
2015-09-21,71.529999,71.529999,67.43,68.07,3602000,67.53344
2015-09-22,66.809998,67.029999,65.169998,65.639999,4047100,65.122594
2015-09-23,65.540001,65.82,63.619999,63.689999,3315300,63.187964
2015-09-24,63.09,63.900002,61.200001,63.389999,4357000,62.890329
2015-09-25,64.690002,65.18,62.560001,63.080002,3346900,62.582775
2015-09-28,62.73,63.18,61.77,61.77,2413100,61.2831
2015-09-29,62.049999,63.509998,61.650002,62.860001,3133500,62.364508
2015-09-30,63.630001,65.510002,63.619999,65.330002,2578300,64.81504
2015-10-01,65.279999,66.629997,63.220001,64.440002,3178900,63.932056
2015-10-02,63.34,65.709999,63.220001,65.68,2312400,65.162279
2015-10-05,64.330002,66.029999,64.209999,65.419998,2591400,64.904327
2015-10-06,65.019997,65.540001,64.260002,65.25,2169100,64.735668
2015-10-07,65.989998,67.110001,65.099998,66.559998,2519800,66.03534
2015-10-08,65.910004,67.360001,65.43,67.309998,1397900,66.779428
2015-10-09,66.900002,67.489998,66.290001,66.470001,1180900,65.946053
2015-10-12,66.449997,67.080002,66.099998,66.480003,788200,65.955976
2015-10-13,65.790001,66.379997,64.580002,64.629997,1698500,64.120553
2015-10-14,64.580002,68.269997,64.110001,67.290001,3614500,66.759589
2015-10-15,67.75,68.400002,66.019997,67.459999,2429400,66.928247
2015-10-16,67.489998,68.370003,66.550003,68.279999,2188700,67.741783
2015-10-19,67.830002,69.029999,67.120003,67.639999,1510900,67.106829
2015-10-20,66.580002,71.989998,66.5,70.029999,5484800,69.477989
2015-10-21,72.5,77.360001,70.5,70.790001,18705400,70.232
2015-10-22,71.589996,74.419998,71.010002,72.610001,7181400,72.037654
2015-10-23,74.059998,74.959999,72.82,74.57,5522900,73.982203
