Date,Open_COF,High_COF,Low_COF,Close_COF,Volume_COF,AdjClose_COF
2013-06-14,62.200001,62.220001,60.580002,61.009998,3501800,57.725687
2013-06-17,61.419998,62.040001,60.869999,62.0,3936700,58.662394
2013-06-18,61.93,62.279999,61.790001,62.099998,3661900,58.757009
2013-06-19,62.25,62.389999,61.619999,61.810001,3641500,58.482624
2013-06-20,61.720001,62.5,61.389999,61.619999,5222200,58.302849
2013-06-21,62.09,62.16,60.709999,61.360001,4593700,58.056847
2013-06-24,60.93,61.0,59.810001,59.970001,3147200,56.741675
2013-06-25,60.509998,61.419998,60.419998,61.110001,2926000,57.820306
2013-06-26,61.599998,61.880001,61.150002,61.57,2749400,58.255542
2013-06-27,62.0,63.0,61.84,62.689999,2650400,59.315249
2013-06-28,62.41,63.119999,61.77,62.810001,3694400,59.428791
2013-07-01,63.169998,63.990002,63.09,63.59,2924300,60.166801
2013-07-02,63.639999,64.720001,63.59,64.239998,4959500,60.781808
2013-07-03,63.82,64.139999,63.330002,63.919998,1510700,60.479034
2013-07-05,64.529999,65.660004,64.290001,65.660004,2449100,62.125371
2013-07-08,66.07,66.330002,65.279999,65.540001,3291200,62.011829
2013-07-09,65.93,66.139999,65.379997,65.529999,2890200,62.002365
2013-07-10,65.529999,65.529999,64.599998,64.910004,3139700,61.415745
2013-07-11,65.709999,65.93,65.099998,65.809998,2801100,62.267291
2013-07-12,65.989998,66.959999,65.82,66.809998,2192500,63.213458
2013-07-15,67.629997,67.699997,66.169998,66.849998,2027500,63.251306
2013-07-16,66.760002,67.080002,65.940002,66.68,1973900,63.090459
2013-07-17,66.769997,67.059998,65.970001,66.900002,3077500,63.298617
2013-07-18,66.900002,67.519997,66.419998,67.050003,3839800,63.440544
2013-07-19,69.059998,70.0,68.220001,69.139999,5275800,65.418031
2013-07-22,69.269997,69.400002,68.800003,69.190002,3198300,65.465342
2013-07-23,69.239998,69.379997,68.739998,69.010002,2417700,65.295031
2013-07-24,69.139999,69.489998,68.669998,68.720001,2191000,65.020642
2013-07-25,68.059998,68.760002,67.25,68.720001,3715200,65.020642
2013-07-26,68.5,68.779999,67.860001,68.760002,2549300,65.058489
2013-07-29,68.419998,68.540001,68.18,68.449997,1942100,64.765173
2013-07-30,68.970001,69.220001,68.260002,69.169998,3325100,65.446414
2013-07-31,69.129997,69.519997,68.5,69.019997,5287900,65.304488
2013-08-01,69.480003,69.790001,68.879997,69.699997,3170400,66.235781
2013-08-02,69.459999,69.720001,69.349998,69.589996,2535200,66.131248
2013-08-05,69.370003,69.639999,69.129997,69.5,1998300,66.045724
2013-08-06,69.440002,69.529999,68.839996,69.290001,2698100,65.846162
2013-08-07,69.029999,69.029999,67.870003,67.93,3996100,64.553756
2013-08-08,68.480003,68.809998,68.169998,68.419998,2734200,65.0194
2013-08-09,68.410004,68.830002,68.169998,68.230003,2402000,64.838849
2013-08-12,68.0,68.5,67.739998,68.419998,1890200,65.0194
2013-08-13,68.379997,68.879997,67.910004,68.559998,1386300,65.152442
2013-08-14,68.449997,68.760002,68.339996,68.360001,1487900,64.962385
2013-08-15,68.080002,68.25,66.82,67.010002,2639900,63.679484
2013-08-16,66.889999,67.690002,66.839996,67.160004,2403800,63.82203
2013-08-19,66.870003,67.220001,65.889999,65.910004,2155300,62.634157
2013-08-20,65.959999,67.040001,65.669998,66.589996,1981500,63.280353
2013-08-21,66.379997,66.82,65.849998,66.160004,1853200,62.871732
2013-08-22,66.580002,67.029999,66.190002,66.68,1462700,63.365884
2013-08-23,67.059998,67.059998,66.099998,66.669998,1145800,63.356379
2013-08-26,66.580002,66.809998,66.0,66.0,1352500,62.719681
2013-08-27,65.389999,65.629997,64.150002,64.309998,2850300,61.113674
2013-08-28,64.349998,64.57,63.650002,64.040001,3039300,60.857097
2013-08-29,63.91,64.839996,63.689999,64.379997,1685500,61.180195
2013-08-30,64.459999,64.699997,64.239998,64.550003,2026100,61.341751
2013-09-03,65.309998,65.599998,63.990002,64.400002,1834000,61.199205
2013-09-04,64.339996,65.199997,64.209999,65.029999,1782400,61.79789
2013-09-05,65.0,65.980003,64.919998,65.580002,1815000,62.320557
2013-09-06,65.639999,65.730003,64.339996,65.379997,1699700,62.130493
2013-09-09,65.489998,66.480003,65.339996,66.459999,1883500,63.156817
2013-09-10,67.0,68.019997,66.809998,67.849998,2572900,64.477731
2013-09-11,67.889999,68.099998,67.330002,67.620003,2218400,64.259166
2013-09-12,67.57,68.190002,67.550003,67.949997,2912000,64.572759
2013-09-13,67.959999,68.18,67.32,67.489998,1950400,64.135623
2013-09-16,68.190002,68.699997,67.470001,67.650002,3057500,64.287674
2013-09-17,67.910004,69.239998,67.839996,69.120003,3308800,65.684614
2013-09-18,68.959999,69.650002,68.690002,69.279999,2644900,65.836657
2013-09-19,69.550003,69.760002,68.849998,69.040001,1911700,65.608588
2013-09-20,69.089996,69.559998,68.949997,69.099998,3306600,65.665603
2013-09-23,68.75,68.839996,67.970001,68.449997,2590800,65.047908
2013-09-24,68.339996,69.379997,67.849998,68.489998,3254500,65.085921
2013-09-25,68.720001,69.699997,68.370003,69.190002,3168000,65.751134
2013-09-26,69.07,69.839996,68.879997,69.120003,1821800,65.684614
2013-09-27,68.739998,69.110001,68.599998,68.919998,2162800,65.49455
2013-09-30,68.480003,69.050003,68.07,68.739998,2940500,65.323496
2013-10-01,69.040001,70.0,68.949997,69.790001,2768700,66.321312
2013-10-02,69.440002,69.550003,68.879997,69.550003,2480500,66.093242
2013-10-03,69.160004,69.699997,68.379997,68.779999,2289200,65.361508
2013-10-04,68.879997,70.489998,68.730003,70.32,3046400,66.824968
2013-10-07,69.629997,69.650002,68.82,68.879997,2587000,65.456537
2013-10-08,68.879997,69.139999,67.599998,67.830002,3565700,64.458728
2013-10-09,67.900002,68.379997,67.360001,68.099998,2626300,64.715305
2013-10-10,69.099998,70.910004,69.080002,70.760002,3158600,67.243102
2013-10-11,70.75,71.940002,70.620003,71.910004,2294900,68.335946
2013-10-14,71.620003,72.349998,71.080002,72.099998,3674400,68.516498
2013-10-15,71.93,72.169998,71.290001,71.589996,4403000,68.031844
2013-10-16,71.889999,72.650002,71.830002,72.25,3925300,68.659044
2013-10-17,72.099998,72.540001,71.629997,72.150002,4603700,68.564016
2013-10-18,72.800003,72.989998,70.949997,71.599998,6241700,68.041349
2013-10-21,71.800003,71.949997,71.160004,71.269997,3603300,67.727749
2013-10-22,71.449997,71.620003,70.519997,71.0,4767400,67.471171
