Date,Open_PSA,High_PSA,Low_PSA,Close_PSA,Volume_PSA,AdjClose_PSA
2013-06-14,152.240005,154.25,150.580002,151.800003,499600,138.922585
2013-06-17,153.25,154.990005,151.960007,153.339996,654300,140.331938
2013-06-18,153.419998,153.75,152.259995,152.399994,483400,139.471677
2013-06-19,152.529999,153.289993,149.059998,149.199997,1137500,136.543141
2013-06-20,148.520004,148.649994,145.039993,145.899994,1012100,133.523082
2013-06-21,147.059998,151.020004,146.649994,149.729996,1777200,137.028179
2013-06-24,148.460007,152.850006,146.660004,149.199997,1137200,136.543141
2013-06-25,150.190002,151.940002,148.130005,150.800003,836300,138.007416
2013-06-26,151.860001,152.5,150.910004,151.550003,789700,138.693793
2013-06-27,152.490005,154.350006,151.470001,154.100006,702100,141.027475
2013-06-28,153.149994,154.800003,151.610001,153.330002,955200,140.322791
2013-07-01,153.630005,154.089996,151.270004,151.770004,685100,138.895131
2013-07-02,151.570007,155.210007,151.520004,154.679993,770400,141.558261
2013-07-03,153.800003,154.199997,150.529999,153.259995,675600,140.258723
2013-07-05,153.270004,153.820007,149.460007,152.869995,802000,139.901808
2013-07-08,152.990005,154.559998,152.630005,152.860001,573300,139.892661
2013-07-09,153.720001,155.919998,153.059998,155.240005,474000,142.070767
2013-07-10,154.990005,156.25,153.770004,155.259995,460700,142.08906
2013-07-11,156.860001,159.699997,156.759995,159.369995,490900,145.850403
2013-07-12,159.460007,160.240005,157.580002,159.080002,485300,145.58501
2013-07-15,159.0,160.210007,158.440002,159.710007,255000,146.161571
2013-07-16,159.860001,161.300003,159.669998,160.339996,477700,146.738118
2013-07-17,160.820007,162.809998,160.440002,161.699997,516700,147.982748
2013-07-18,161.699997,163.130005,161.399994,162.949997,515900,149.126708
2013-07-19,162.830002,163.229996,161.429993,162.539993,487800,148.751486
2013-07-22,162.639999,163.740005,161.839996,163.369995,344700,149.511077
2013-07-23,163.679993,163.679993,162.110001,162.940002,307600,149.117562
2013-07-24,162.850006,163.729996,158.039993,159.119995,803000,145.621611
2013-07-25,158.669998,160.5,157.449997,159.949997,696100,146.381203
2013-07-26,159.619995,161.029999,158.360001,161.0,252600,147.342132
2013-07-29,160.449997,160.570007,159.0,159.589996,232800,146.051741
2013-07-30,160.660004,161.220001,158.809998,159.539993,363300,146.00598
2013-07-31,159.470001,161.149994,158.100006,159.220001,916000,145.713133
2013-08-01,159.830002,162.059998,158.809998,161.279999,868000,147.598378
2013-08-02,161.070007,162.389999,160.0,160.729996,691000,147.095033
2013-08-05,160.259995,162.520004,160.25,162.179993,461800,148.422024
2013-08-06,161.960007,162.729996,161.360001,162.169998,338200,148.412878
2013-08-07,161.899994,162.990005,160.910004,162.669998,611600,148.870462
2013-08-08,162.970001,163.440002,160.520004,161.470001,491400,147.772263
2013-08-09,161.279999,164.259995,161.210007,163.149994,545200,149.309739
2013-08-12,162.660004,163.029999,160.639999,161.880005,293100,148.147485
2013-08-13,162.529999,162.529999,159.360001,160.169998,422000,146.582541
2013-08-14,160.369995,160.699997,159.169998,159.570007,279500,146.033448
2013-08-15,158.0,158.949997,156.139999,157.429993,450000,144.074974
2013-08-16,156.779999,157.360001,153.839996,153.949997,681500,140.890191
2013-08-19,154.789993,155.309998,153.190002,153.339996,777500,140.331938
2013-08-20,153.350006,156.979996,153.350006,156.410004,682700,143.141512
2013-08-21,156.050003,159.669998,154.860001,157.100006,759600,143.772981
2013-08-22,157.490005,157.789993,155.300003,157.320007,520500,143.974319
2013-08-23,157.399994,158.399994,156.740005,157.679993,504200,144.303766
2013-08-26,157.779999,158.369995,155.100006,155.429993,516100,142.244637
2013-08-27,154.130005,154.5,151.800003,153.809998,720700,140.762068
2013-08-28,153.759995,153.889999,151.850006,152.649994,589700,139.70047
2013-08-29,152.399994,153.119995,151.179993,152.809998,452300,139.8469
2013-08-30,153.240005,153.75,152.110001,152.669998,633100,139.718777
2013-09-03,153.919998,154.809998,150.460007,152.399994,712500,139.471677
2013-09-04,152.419998,153.759995,151.660004,152.550003,854700,139.608961
2013-09-05,152.289993,152.800003,151.050003,151.259995,343200,138.428386
2013-09-06,153.059998,154.820007,152.119995,153.020004,538100,140.039091
2013-09-09,153.050003,156.919998,152.690002,156.899994,668700,143.589936
2013-09-10,157.449997,158.0,156.220001,157.869995,494500,144.47765
2013-09-11,157.330002,157.330002,155.779999,157.130005,404800,144.948124
2013-09-12,157.149994,158.039993,155.339996,155.940002,529900,143.850379
2013-09-13,155.690002,156.259995,155.300003,156.029999,264700,143.933398
2013-09-16,158.720001,158.910004,156.789993,157.600006,492700,145.381687
2013-09-17,157.820007,159.100006,157.699997,158.539993,353200,146.248799
2013-09-18,158.800003,165.729996,157.300003,165.630005,957400,152.789141
2013-09-19,165.399994,168.300003,164.910004,166.0,767500,153.130451
2013-09-20,166.699997,167.419998,163.830002,163.830002,962500,151.128687
2013-09-23,163.860001,163.860001,161.839996,162.240005,753600,149.661959
2013-09-24,162.240005,162.410004,160.279999,160.470001,762200,148.029179
2013-09-25,160.740005,163.039993,160.529999,162.270004,559300,149.689632
2013-09-26,162.759995,163.350006,161.929993,163.009995,335700,150.372253
2013-09-27,162.580002,163.880005,161.809998,162.589996,418500,149.984816
2013-09-30,161.949997,162.949997,160.059998,160.550003,658200,148.102978
2013-10-01,160.990005,164.690002,160.380005,162.75,609100,150.132415
2013-10-02,162.199997,163.770004,161.589996,163.710007,489500,151.017995
2013-10-03,163.110001,163.869995,160.289993,161.990005,558900,149.431341
2013-10-04,162.050003,163.820007,161.289993,162.759995,527000,150.141635
2013-10-07,161.800003,164.630005,160.25,163.410004,512500,150.74125
2013-10-08,163.320007,164.020004,161.649994,161.839996,380900,149.292962
2013-10-09,161.979996,163.660004,161.360001,162.039993,348400,149.477453
2013-10-10,163.830002,166.389999,162.830002,166.320007,375800,153.425649
2013-10-11,165.690002,168.470001,165.380005,168.410004,300800,155.353613
2013-10-14,167.949997,168.240005,166.580002,167.570007,451700,154.57874
2013-10-15,166.729996,168.550003,166.529999,167.320007,400600,154.348122
2013-10-16,168.410004,170.979996,167.949997,170.770004,664400,157.530649
2013-10-17,169.690002,172.970001,169.240005,172.559998,525100,159.181869
2013-10-18,173.630005,173.630005,171.380005,172.160004,578100,158.812886
2013-10-21,171.960007,172.139999,169.460007,170.740005,587400,157.502976
2013-10-22,170.639999,171.5,169.240005,171.429993,685800,158.13947
2013-10-23,170.759995,171.509995,169.440002,171.470001,381800,158.176377
2013-10-24,171.460007,172.339996,171.059998,171.880005,421800,158.554594
2013-10-25,172.220001,174.259995,171.270004,174.259995,651200,160.75007
2013-10-28,173.869995,173.869995,170.229996,172.369995,650300,159.006597
2013-10-29,172.490005,172.490005,168.899994,169.619995,547400,156.469797
2013-10-30,169.619995,170.160004,167.160004,167.630005,735100,154.634086
2013-10-31,167.630005,168.130005,165.619995,166.970001,935000,154.025251
2013-11-01,168.009995,176.679993,166.639999,168.990005,634400,155.888649
2013-11-04,168.779999,169.850006,166.139999,168.649994,546700,155.574998
2013-11-05,167.130005,167.740005,164.75,165.229996,625400,152.420143
2013-11-06,165.899994,166.809998,164.429993,164.669998,743200,151.903561
2013-11-07,164.699997,165.119995,160.130005,161.190002,1160700,148.69336
2013-11-08,160.419998,160.529999,157.229996,159.910004,995600,147.512596
2013-11-11,159.649994,161.160004,159.509995,159.889999,609100,147.494143
2013-11-12,159.419998,159.770004,157.539993,159.119995,671500,146.783835
2013-11-13,158.270004,160.339996,157.979996,160.259995,685200,147.835453
2013-11-14,160.740005,163.229996,160.389999,162.669998,961400,150.058616
2013-11-15,162.679993,163.020004,160.910004,162.410004,633500,149.818778
2013-11-18,162.179993,162.289993,159.130005,159.5,623700,147.134379
2013-11-19,158.699997,159.720001,156.649994,156.949997,878300,144.782071
2013-11-20,156.919998,157.639999,153.949997,154.550003,743200,142.568143
2013-11-21,155.449997,156.050003,154.050003,154.729996,755100,142.734181
2013-11-22,154.820007,155.119995,153.539993,154.860001,496100,142.854107
2013-11-25,155.240005,155.660004,153.520004,153.710007,517500,141.793269
2013-11-26,153.860001,154.350006,152.600006,152.649994,620300,140.815436
2013-11-27,153.220001,154.419998,152.399994,154.190002,399900,142.236052
2013-11-29,154.580002,155.029999,152.630005,152.699997,289800,140.861563
2013-12-02,152.960007,153.539993,151.300003,152.800003,649500,140.953816
2013-12-03,151.639999,153.039993,150.229996,150.419998,807300,138.758326
2013-12-04,149.020004,153.110001,148.509995,151.929993,1058000,140.151255
2013-12-05,151.940002,152.529999,150.570007,151.149994,600700,139.431727
2013-12-06,152.410004,154.220001,151.949997,154.0,859500,142.06078
2013-12-09,154.0,155.350006,153.369995,155.199997,910500,143.167744
2013-12-10,155.179993,155.899994,154.130005,154.699997,1107600,142.706508
2013-12-11,153.610001,153.639999,150.470001,150.550003,1186500,140.146546
2013-12-12,150.330002,151.130005,149.669998,149.710007,835200,139.364596
2013-12-13,150.089996,152.070007,149.380005,149.539993,749700,139.206331
2013-12-16,150.639999,151.589996,149.479996,151.009995,917200,140.57475
2013-12-17,149.839996,150.289993,148.25,149.520004,867600,139.187723
2013-12-18,149.309998,152.399994,147.139999,152.149994,1036300,141.635972
2013-12-19,151.470001,151.630005,150.369995,151.160004,652600,140.714394
2013-12-20,151.160004,151.919998,151.0,151.820007,806000,141.328789
2013-12-23,152.330002,153.309998,151.399994,151.550003,619400,141.077443
2013-12-24,151.470001,151.740005,151.0,151.600006,291500,141.12399
2013-12-26,151.699997,152.440002,150.740005,151.149994,311100,140.705075
2013-12-27,151.639999,152.259995,150.539993,151.119995,361800,140.67715
2013-12-30,151.369995,152.669998,150.910004,151.570007,403500,141.096065
2013-12-31,151.740005,151.940002,150.080002,150.520004,794400,140.11862
2014-01-02,150.490005,150.490005,148.039993,148.949997,665500,138.657105
2014-01-03,149.119995,150.710007,148.339996,150.110001,517900,139.736949
2014-01-06,150.699997,151.0,149.110001,150.029999,398100,139.662475
2014-01-07,150.029999,151.490005,149.550003,149.860001,633100,139.504225
2014-01-08,150.020004,150.660004,148.75,150.130005,655900,139.755571
2014-01-09,151.490005,153.110001,150.309998,153.050003,978800,142.473788
2014-01-10,153.039993,154.600006,153.039993,154.259995,644400,143.600166
2014-01-13,153.520004,155.100006,153.520004,153.960007,594700,143.320908
2014-01-14,155.220001,156.710007,154.220001,155.729996,713500,144.968585
2014-01-15,155.669998,156.100006,154.669998,155.039993,854900,144.326264
2014-01-16,155.190002,156.259995,155.050003,156.009995,487600,145.229235
2014-01-17,156.229996,156.339996,154.779999,154.970001,541400,144.261109
2014-01-21,155.889999,157.410004,154.509995,155.029999,843900,144.31696
2014-01-22,155.100006,156.330002,154.029999,155.320007,649300,144.586928
2014-01-23,154.279999,155.360001,153.610001,154.460007,640500,143.786356
2014-01-24,153.990005,153.990005,152.149994,152.419998,663100,141.887319
2014-01-27,152.580002,153.630005,151.839996,152.630005,693200,142.082813
2014-01-28,153.089996,155.229996,153.089996,154.729996,754000,144.037688
2014-01-29,153.289993,155.360001,153.009995,154.509995,715000,143.83289
2014-01-30,155.330002,157.899994,155.330002,156.809998,638700,145.973956
2014-01-31,155.520004,158.729996,155.089996,157.589996,984300,146.700054
2014-02-03,157.350006,157.410004,155.0,155.860001,802500,145.089607
2014-02-04,156.630005,158.809998,155.610001,158.570007,978800,147.612344
2014-02-05,158.089996,158.770004,157.240005,157.899994,745100,146.98863
2014-02-06,157.889999,158.509995,157.259995,158.410004,848500,147.463397
2014-02-07,158.830002,160.350006,158.119995,160.25,872700,149.176244
2014-02-10,160.199997,162.360001,159.699997,162.050003,734300,150.851861
2014-02-11,161.619995,164.809998,161.25,163.380005,733200,152.089956
2014-02-12,163.669998,163.679993,162.0,163.509995,543200,152.210963
2014-02-13,162.899994,165.190002,162.289993,164.520004,614700,153.151178
2014-02-14,164.190002,166.100006,164.070007,165.75,460800,154.296177
2014-02-18,165.410004,167.029999,164.820007,166.910004,711500,155.376021
2014-02-19,166.869995,167.869995,166.029999,166.449997,642700,154.947802
2014-02-20,166.720001,167.729996,165.610001,166.710007,686100,155.189845
2014-02-21,166.539993,167.490005,164.520004,166.440002,1213100,154.938499
2014-02-24,166.570007,167.820007,166.570007,166.699997,868800,155.180527
2014-02-25,166.75,168.740005,166.600006,167.660004,776000,156.074194
2014-02-26,166.440002,168.679993,165.850006,167.110001,929200,155.562198
2014-02-27,167.240005,168.429993,165.789993,166.539993,680100,155.03158
2014-02-28,166.729996,169.600006,166.729996,169.0,1315900,157.321593
2014-03-03,168.199997,168.979996,166.970001,168.690002,759800,157.033017
2014-03-04,168.690002,171.050003,168.690002,170.889999,617700,159.080987
2014-03-05,170.75,172.110001,170.0,171.169998,733200,159.341637
2014-03-06,171.089996,171.419998,169.199997,169.330002,751600,157.62879
2014-03-07,168.820007,168.820007,166.660004,167.550003,818700,155.971795
2014-03-10,167.580002,167.830002,166.059998,167.029999,665500,155.487724
2014-03-11,168.0,168.179993,166.910004,167.809998,620200,156.213823
2014-03-12,165.929993,167.009995,165.850006,166.800003,617100,156.579928
2014-03-13,167.25,167.690002,166.0,167.149994,745200,156.908475
2014-03-14,166.429993,168.619995,166.429993,168.169998,990000,157.865982
2014-03-17,169.5,169.669998,167.660004,168.100006,687600,157.800279
2014-03-18,167.960007,170.0,167.169998,168.360001,615700,158.044343
2014-03-19,168.740005,169.600006,165.910004,166.889999,896600,156.664411
2014-03-20,166.490005,167.630005,164.649994,167.589996,667500,157.321518
2014-03-21,169.059998,170.0,167.600006,169.360001,1454500,158.983071
2014-03-24,169.199997,169.360001,167.520004,167.899994,667000,157.612521
2014-03-25,168.529999,169.190002,167.350006,168.880005,774000,158.532486
2014-03-26,169.149994,169.770004,167.110001,167.830002,775300,157.546818
2014-03-27,167.660004,168.009995,166.320007,167.589996,672000,157.321518
2014-03-28,168.059998,169.259995,167.610001,168.029999,507700,157.734561
2014-03-31,168.589996,169.550003,167.460007,168.490005,663000,158.166382
2014-04-01,168.690002,169.610001,167.410004,169.490005,606800,159.105111
2014-04-02,169.100006,170.130005,168.490005,169.949997,545100,159.536918
2014-04-03,169.839996,169.839996,168.580002,169.320007,442500,158.945529
2014-04-04,170.339996,170.440002,168.979996,169.550003,506200,159.161432
2014-04-07,169.610001,170.929993,168.899994,169.779999,604100,159.377336
2014-04-08,169.630005,171.460007,168.809998,171.369995,620600,160.869911
2014-04-09,171.330002,171.360001,169.089996,170.130005,547900,159.705896
2014-04-10,170.610001,171.360001,169.080002,169.320007,734000,158.945529
2014-04-11,168.410004,170.419998,168.399994,168.479996,682700,158.156986
2014-04-14,169.490005,169.710007,168.210007,169.479996,692300,159.095714
2014-04-15,169.75,171.259995,169.179993,170.899994,784100,160.428707
2014-04-16,171.5,172.539993,170.600006,172.070007,682800,161.527032
2014-04-17,171.520004,172.410004,170.759995,172.279999,505400,161.724157
2014-04-21,172.630005,173.240005,171.960007,173.160004,680100,162.550243
2014-04-22,172.889999,173.559998,171.740005,173.309998,412800,162.691046
2014-04-23,173.470001,173.470001,172.279999,173.309998,772700,162.691046
2014-04-24,173.509995,174.009995,172.770004,174.009995,383400,163.348153
2014-04-25,174.080002,174.220001,173.169998,173.580002,514300,162.944507
2014-04-28,174.270004,175.610001,173.539993,175.600006,752300,164.840743
2014-04-29,176.300003,176.720001,175.169998,175.949997,644400,165.169289
2014-04-30,175.800003,175.929993,174.350006,175.509995,527700,164.756246
2014-05-01,175.270004,176.490005,173.300003,176.190002,751900,165.394589
2014-05-02,172.399994,172.509995,169.490005,170.539993,1231800,160.090764
2014-05-05,170.190002,172.0,170.080002,171.929993,971400,161.395596
2014-05-06,171.070007,171.770004,170.070007,170.860001,575900,160.391164
2014-05-07,171.360001,173.350006,171.070007,173.199997,870500,162.587786
2014-05-08,172.330002,172.850006,170.190002,171.5,744500,160.99195
2014-05-09,171.460007,172.75,170.600006,171.639999,463000,161.123371
2014-05-12,171.880005,172.570007,171.160004,171.869995,564000,161.339275
2014-05-13,172.039993,173.649994,168.289993,170.429993,708700,159.987503
2014-05-14,170.710007,171.919998,169.880005,171.649994,670300,161.132753
2014-05-15,171.270004,171.809998,168.940002,170.550003,558000,160.100161
2014-05-16,170.270004,172.470001,169.619995,172.369995,801700,161.808639
2014-05-19,171.770004,172.220001,170.509995,171.929993,444700,161.395596
2014-05-20,172.190002,172.619995,170.039993,170.809998,495300,160.344225
2014-05-21,170.869995,171.509995,170.110001,170.320007,335500,159.884257
2014-05-22,170.600006,171.050003,169.619995,169.720001,469800,159.321014
2014-05-23,170.479996,171.570007,170.119995,171.369995,420100,160.869911
2014-05-27,171.690002,172.490005,171.389999,172.389999,507100,161.827418
2014-05-28,172.220001,172.220001,170.169998,170.440002,653700,159.9969
2014-05-29,170.570007,171.289993,169.850006,169.990005,742200,159.574475
2014-05-30,170.0,172.550003,169.960007,172.380005,1299200,161.818036
2014-06-02,172.210007,172.800003,171.710007,172.130005,498000,161.583353
2014-06-03,172.270004,172.690002,170.800003,171.009995,494200,160.531968
2014-06-04,170.559998,172.350006,170.220001,172.089996,737900,161.545796
2014-06-05,172.110001,174.779999,171.740005,174.600006,580600,163.902014
2014-06-06,174.639999,175.0,172.240005,172.830002,423700,162.240461
2014-06-09,172.649994,173.839996,170.679993,171.330002,583800,160.832368
2014-06-10,171.0,172.210007,171.0,171.600006,663100,161.085829
2014-06-11,169.910004,170.570007,169.179993,169.929993,648100,160.830271
2014-06-12,170.059998,170.350006,168.669998,169.429993,455300,160.357046
2014-06-13,169.380005,170.009995,168.220001,169.529999,556700,160.451697
2014-06-16,169.389999,170.75,168.679993,168.990005,478600,159.94062
2014-06-17,168.320007,169.850006,167.800003,169.779999,473600,160.688309
2014-06-18,169.479996,171.240005,168.559998,170.860001,621300,161.710477
2014-06-19,170.869995,172.210007,170.029999,171.360001,555800,162.183702
2014-06-20,171.729996,172.369995,170.759995,172.119995,1017300,162.902999
2014-06-23,172.139999,172.990005,171.160004,171.279999,529100,162.107985
2014-06-24,171.0,172.039993,170.630005,170.949997,461400,161.795654
2014-06-25,170.529999,171.339996,169.360001,169.699997,702500,160.612592
2014-06-26,169.940002,170.199997,169.240005,169.350006,492700,160.281343
2014-06-27,169.240005,172.410004,169.240005,172.169998,658800,162.950325
2014-06-30,171.289993,172.119995,170.320007,171.350006,606000,162.174243
2014-07-01,171.850006,172.660004,170.619995,172.080002,496100,162.865148
2014-07-02,171.690002,171.949997,170.220001,171.630005,394900,162.439248
2014-07-03,171.550003,171.550003,169.759995,170.869995,248900,161.719937
2014-07-07,171.009995,171.679993,170.289993,170.669998,401100,161.530649
2014-07-08,171.0,171.820007,170.300003,170.520004,506700,161.388688
2014-07-09,170.679993,170.990005,169.529999,170.550003,367800,161.41708
2014-07-10,170.550003,171.600006,170.009995,171.259995,575800,162.089052
