Date,Open_WHR,High_WHR,Low_WHR,Close_WHR,Volume_WHR,AdjClose_WHR
2013-06-14,127.099998,130.210007,127.099998,129.240005,880100,121.800077
2013-06-17,130.440002,131.589996,128.179993,129.279999,543400,121.837768
2013-06-18,130.020004,130.339996,127.949997,129.610001,456900,122.148773
2013-06-19,129.429993,130.110001,126.779999,126.800003,542100,119.500537
2013-06-20,125.150002,125.150002,119.25,120.300003,1330700,113.374721
2013-06-21,121.790001,121.790001,110.879997,113.32,3302600,106.796534
2013-06-24,111.0,112.970001,107.879997,111.769997,2335900,105.33576
2013-06-25,112.550003,116.349998,112.550003,114.0,1289200,107.437389
2013-06-26,114.849998,116.730003,111.940002,112.550003,1226300,106.070864
2013-06-27,113.720001,116.0,112.529999,115.43,898000,108.785069
2013-06-28,115.309998,115.739998,114.059998,114.360001,1136000,107.776666
2013-07-01,115.550003,117.760002,114.540001,115.900002,884100,109.228014
2013-07-02,116.010002,117.949997,115.669998,116.349998,1150900,109.652106
2013-07-03,116.349998,116.349998,114.300003,114.989998,665100,108.370396
2013-07-05,115.279999,115.739998,111.699997,114.5,1093400,107.908606
2013-07-08,114.82,116.099998,113.370003,113.589996,768100,107.050988
2013-07-09,114.75,115.449997,114.0,114.290001,1047400,107.710696
2013-07-10,114.309998,120.040001,113.839996,119.620003,1513800,112.733867
2013-07-11,121.980003,124.540001,121.839996,123.360001,1701100,116.258565
2013-07-12,122.980003,123.910004,122.209999,123.349998,595400,116.249138
2013-07-15,123.739998,125.190002,123.050003,124.830002,1114000,117.643943
2013-07-16,124.730003,124.769997,119.720001,121.080002,1764400,114.109818
2013-07-17,121.57,122.139999,119.25,120.599998,979100,113.657447
2013-07-18,121.239998,123.639999,118.919998,119.370003,1774800,112.498258
2013-07-19,126.050003,129.990005,124.059998,128.910004,2581500,121.489072
2013-07-22,128.979996,132.559998,128.550003,131.679993,1423500,124.099602
2013-07-23,131.759995,132.630005,130.399994,131.039993,1312600,123.496445
2013-07-24,131.5,131.979996,128.550003,129.820007,1144800,122.34669
2013-07-25,129.089996,131.869995,127.040001,129.479996,1803900,122.026252
2013-07-26,128.240005,130.559998,128.039993,130.389999,988400,122.883869
2013-07-29,130.130005,131.440002,129.509995,130.559998,787300,123.044081
2013-07-30,131.479996,131.850006,129.789993,131.660004,807100,124.080764
2013-07-31,132.119995,136.440002,131.910004,133.940002,1299400,126.22951
2013-08-01,135.690002,137.179993,135.059998,136.669998,1140500,128.802349
2013-08-02,136.669998,138.330002,136.059998,137.720001,783200,129.791907
2013-08-05,137.190002,137.820007,135.869995,137.050003,521500,129.160478
2013-08-06,136.080002,137.179993,131.369995,131.809998,1348400,124.222123
2013-08-07,130.710007,133.539993,130.139999,132.770004,1265800,125.126865
2013-08-08,133.339996,135.0,132.850006,133.009995,897600,125.35304
2013-08-09,133.0,134.550003,132.080002,133.259995,789100,125.588648
2013-08-12,132.449997,136.25,132.449997,135.059998,697300,127.285031
2013-08-13,135.199997,135.490005,132.710007,134.419998,962000,126.681874
2013-08-14,134.300003,134.880005,131.020004,132.460007,668100,124.834713
2013-08-15,130.490005,133.020004,128.899994,132.710007,1341100,125.070321
2013-08-16,132.869995,135.179993,132.470001,133.660004,1012200,125.96563
2013-08-19,133.360001,134.520004,131.789993,131.809998,716800,124.222123
2013-08-20,132.309998,135.110001,132.300003,134.25,644800,126.521662
2013-08-21,133.539993,134.389999,131.320007,131.699997,915800,124.118455
2013-08-22,132.149994,137.350006,132.070007,136.860001,1019300,128.981414
2013-08-23,136.899994,137.490005,134.210007,134.300003,892900,126.568787
2013-08-26,134.119995,136.660004,132.699997,133.100006,644200,125.43787
2013-08-27,131.529999,132.470001,127.589996,128.740005,1197600,121.32886
2013-08-28,128.479996,130.199997,128.119995,128.839996,523400,122.01545
2013-08-29,128.550003,131.5,128.550003,129.779999,467900,122.905662
2013-08-30,129.880005,130.610001,127.980003,128.649994,552400,121.835512
2013-09-03,131.029999,131.160004,128.0,128.559998,562700,121.750283
2013-09-04,128.429993,132.0,128.210007,131.759995,979400,124.780779
