Date,Open_ORCL,High_ORCL,Low_ORCL,Close_ORCL,Volume_ORCL,AdjClose_ORCL
2015-06-08,43.810001,43.889999,43.080002,43.099998,9112200,42.436015
2015-06-09,43.349998,43.369999,42.82,43.07,7634200,42.406478
2015-06-10,43.279999,44.049999,43.060001,43.939999,15518400,43.263074
2015-06-11,44.169998,44.419998,44.029999,44.279999,12519300,43.597836
2015-06-12,43.98,44.389999,43.900002,44.34,11742300,43.656913
2015-06-15,43.900002,43.990002,43.41,43.720001,16727800,43.046466
2015-06-16,43.91,44.880001,43.759998,44.639999,18271600,43.952291
2015-06-17,44.860001,45.240002,44.369999,44.91,27080800,44.218132
2015-06-18,41.91,42.98,40.970001,42.740002,79138400,42.081564
2015-06-19,42.900002,43.099998,41.560001,41.59,37430200,40.949279
2015-06-22,41.799999,41.959999,41.450001,41.490002,22368300,40.850821
2015-06-23,41.939999,42.060001,41.48,41.709999,17394300,41.067429
2015-06-24,41.540001,41.77,41.200001,41.200001,17768200,40.565288
2015-06-25,41.240002,41.470001,41.060001,41.060001,13587200,40.427445
2015-06-26,41.099998,41.369999,40.970001,40.990002,39687300,40.358524
2015-06-29,40.630001,40.900002,40.380001,40.419998,18195500,39.797302
2015-06-30,40.599998,40.75,40.110001,40.299999,16691500,39.679151
2015-07-01,40.610001,40.700001,39.93,40.240002,13948600,39.620078
2015-07-02,40.380001,40.419998,40.150002,40.360001,11644100,39.738228
2015-07-06,39.93,40.290001,39.77,40.150002,12434100,39.678934
2015-07-07,40.040001,40.27,39.84,40.16,16437100,39.688815
2015-07-08,39.900002,40.240002,39.700001,39.77,14598700,39.303391
2015-07-09,40.240002,40.48,40.150002,40.18,13348300,39.708581
2015-07-10,40.560001,40.650002,40.209999,40.360001,10470900,39.886469
2015-07-13,40.52,40.860001,40.380001,40.799999,10717000,40.321305
2015-07-14,40.810001,40.900002,40.580002,40.779999,9298800,40.301539
2015-07-15,40.630001,40.919998,40.630001,40.790001,9326700,40.311424
2015-07-16,41.02,41.02,40.560001,40.959999,14861000,40.479428
2015-07-17,40.75,40.860001,40.16,40.400002,14574400,39.926001
2015-07-20,40.360001,40.389999,39.869999,39.93,17488100,39.461514
2015-07-21,39.759998,39.990002,39.389999,39.57,14679100,39.105737
2015-07-22,39.360001,39.669998,39.25,39.419998,16797000,38.957495
2015-07-23,39.549999,39.599998,38.959999,39.0,18083800,38.542425
2015-07-24,39.099998,39.169998,38.799999,39.0,12030300,38.542425
2015-07-27,38.720001,38.82,38.470001,38.509998,15756800,38.058172
2015-07-28,38.790001,39.369999,38.439999,39.279999,14289200,38.819138
2015-07-29,39.369999,39.869999,39.259998,39.790001,13016400,39.323157
2015-07-30,40.029999,40.099998,39.549999,39.650002,13634200,39.1848
2015-07-31,39.759998,40.119999,39.700001,39.939999,13706100,39.471395
2015-08-03,39.950001,40.009998,39.459999,39.709999,12444500,39.244094
2015-08-04,39.59,40.0,39.529999,39.66,9697300,39.194681
2015-08-05,39.900002,40.02,39.630001,39.639999,11982000,39.174915
2015-08-06,39.630001,39.84,39.150002,39.32,10613000,38.85867
2015-08-07,39.360001,39.689999,39.23,39.560001,10655100,39.095856
2015-08-10,39.759998,40.049999,39.700001,39.889999,9525800,39.421982
2015-08-11,39.529999,39.68,39.02,39.169998,10600500,38.710428
2015-08-12,38.740002,39.360001,38.5,39.279999,11062300,38.819138
2015-08-13,39.220001,39.560001,38.990002,39.310001,7785700,38.848789
2015-08-14,39.330002,39.5,39.18,39.41,7185000,38.947614
