Date,Open_MMM,High_MMM,Low_MMM,Close_MMM,Volume_MMM,AdjClose_MMM
2015-06-08,156.5,157.410004,156.300003,156.589996,1608600,152.369905
2015-06-09,156.850006,158.259995,156.600006,156.979996,1810800,152.749394
2015-06-10,156.949997,159.570007,156.949997,159.039993,1758900,154.753875
2015-06-11,159.119995,160.360001,159.0,159.860001,1854200,155.551783
2015-06-12,159.850006,159.990005,157.880005,158.039993,1910500,153.780825
2015-06-15,157.080002,157.320007,155.389999,155.869995,2353100,151.669308
2015-06-16,155.490005,157.039993,155.369995,156.490005,1729300,152.272609
2015-06-17,156.600006,157.589996,155.75,156.949997,1839400,152.720204
2015-06-18,157.589996,160.240005,157.389999,159.619995,2528900,155.318245
2015-06-19,159.360001,159.880005,158.940002,158.949997,3287200,154.666304
2015-06-22,159.850006,160.699997,159.449997,159.679993,1447400,155.376626
2015-06-23,160.410004,160.869995,159.509995,159.839996,2286400,155.532318
2015-06-24,159.679993,159.960007,157.539993,157.539993,2862900,153.2943
2015-06-25,157.850006,158.320007,155.919998,155.919998,2564000,151.717963
2015-06-26,156.160004,157.990005,155.929993,157.089996,2625500,152.85643
2015-06-29,155.919998,156.440002,153.919998,153.949997,2475000,149.801053
2015-06-30,155.0,155.300003,154.070007,154.300003,2561000,150.141627
2015-07-01,156.130005,156.429993,154.660004,155.649994,1726800,151.455236
2015-07-02,156.080002,156.080002,154.899994,155.380005,2022400,151.192523
2015-07-06,153.889999,155.580002,153.830002,155.080002,2172200,150.900605
2015-07-07,155.139999,155.630005,153.160004,155.429993,2865300,151.241163
2015-07-08,154.080002,154.5,152.699997,152.710007,2613300,148.594481
2015-07-09,154.589996,155.5,153.75,153.75,2069200,149.606446
2015-07-10,154.740005,155.860001,154.5,154.949997,2061300,150.774104
2015-07-13,156.419998,156.770004,155.649994,156.470001,2107200,152.253144
2015-07-14,156.490005,157.080002,156.279999,156.779999,1811400,152.554787
2015-07-15,156.570007,157.0,155.899994,156.0,1786100,151.795809
2015-07-16,157.580002,157.940002,156.690002,157.169998,2023900,152.934276
2015-07-17,156.5,157.369995,156.429993,156.690002,2429000,152.467216
2015-07-20,156.770004,157.649994,156.270004,157.119995,2349000,152.88562
2015-07-21,156.75,157.179993,155.339996,155.759995,2743900,151.562272
2015-07-22,155.589996,156.309998,154.440002,155.410004,3067700,151.221713
2015-07-23,151.919998,153.690002,149.020004,149.5,5176400,145.470984
2015-07-24,148.860001,150.800003,148.699997,149.330002,3433600,145.305567
2015-07-27,148.639999,149.0,147.699997,148.710007,3117600,144.702281
2015-07-28,148.850006,151.720001,148.320007,151.110001,3277700,147.037595
2015-07-29,151.440002,151.690002,150.710007,151.449997,2176900,147.368428
2015-07-30,151.0,151.729996,150.330002,151.570007,2119100,147.485204
2015-07-31,152.529999,152.809998,151.029999,151.339996,1619600,147.261392
2015-08-03,150.789993,151.779999,148.940002,150.119995,2355100,146.07427
2015-08-04,150.929993,151.539993,150.110001,150.399994,1811900,146.346723
2015-08-05,151.850006,153.240005,150.919998,151.009995,1765600,146.940284
2015-08-06,150.889999,151.220001,148.899994,149.259995,1764800,145.237446
2015-08-07,148.479996,150.0,148.160004,148.889999,1668700,144.877423
2015-08-10,150.0,151.399994,149.889999,151.240005,1571800,147.164096
2015-08-11,150.0,150.0,148.259995,148.479996,1810800,144.478468
2015-08-12,147.240005,148.710007,146.070007,148.520004,2036700,144.517399
2015-08-13,148.0,148.559998,147.080002,147.399994,1793100,143.427573
2015-08-14,147.660004,148.509995,147.320007,148.279999,1401900,144.283861
2015-08-17,147.429993,149.309998,146.360001,149.240005,1648900,145.217996
2015-08-18,148.630005,148.919998,147.880005,148.309998,1705500,144.313052
2015-08-19,146.199997,147.550003,145.279999,145.869995,2525700,142.926601
2015-08-20,144.509995,144.869995,143.339996,143.350006,3281700,140.457461
2015-08-21,143.520004,145.320007,141.919998,142.089996,5442000,139.222876
2015-08-24,137.119995,142.089996,134.0,138.580002,7359500,135.783707
2015-08-25,141.860001,142.059998,137.389999,137.639999,5435900,134.862672
2015-08-26,140.0,142.789993,138.529999,142.720001,4562200,139.840169
2015-08-27,143.75,144.949997,141.330002,143.899994,4104600,140.996351
2015-08-28,143.020004,144.320007,142.800003,144.210007,2664100,141.300109
2015-08-31,143.0,143.830002,142.020004,142.139999,2514900,139.27187
2015-09-01,139.479996,140.490005,137.940002,138.5,3671400,135.705319
2015-09-02,140.539993,141.240005,139.240005,141.240005,3312700,138.390037
2015-09-03,141.940002,142.899994,141.309998,141.740005,2606200,138.879947
2015-09-04,139.940002,140.669998,139.160004,139.839996,3195800,137.018277
2015-09-08,142.050003,143.550003,141.520004,143.429993,2432900,140.535834
2015-09-09,144.860001,145.350006,140.570007,140.860001,2642800,138.0177
2015-09-10,141.0,141.910004,140.149994,140.779999,2031200,137.939312
2015-09-11,140.610001,141.330002,139.770004,141.259995,2505200,138.409622
2015-09-14,141.520004,141.580002,140.029999,140.809998,2277200,137.968705
2015-09-15,141.559998,143.839996,141.039993,143.600006,2690800,140.702417
2015-09-16,143.509995,144.460007,143.210007,144.199997,2060300,141.290301
2015-09-17,143.809998,145.550003,142.520004,142.949997,2855100,140.065523
2015-09-18,141.169998,141.300003,139.210007,139.619995,6526000,136.802715
2015-09-21,140.5,141.080002,139.350006,140.039993,2492600,137.214238
2015-09-22,138.270004,138.509995,137.25,138.020004,2775300,135.235009
2015-09-23,138.529999,138.899994,136.860001,137.660004,2684500,134.882273
2015-09-24,136.630005,138.029999,135.389999,137.580002,2690300,134.803885
2015-09-25,139.619995,140.119995,138.570007,139.559998,3767200,136.743928
2015-09-28,138.300003,139.699997,138.300003,138.380005,3468900,135.587746
2015-09-29,138.619995,142.160004,138.429993,141.550003,4946000,138.693779
2015-09-30,142.520004,143.229996,140.5,141.770004,3619300,138.909341
2015-10-01,142.210007,142.5,139.580002,140.800003,2486300,137.958913
2015-10-02,139.080002,143.300003,138.570007,143.199997,3064400,140.310479
2015-10-05,144.300003,146.600006,143.630005,146.320007,2987200,143.367533
2015-10-06,145.990005,146.639999,145.399994,145.789993,2256800,142.848214
2015-10-07,146.740005,148.539993,146.130005,147.539993,1954000,144.562902
2015-10-08,146.649994,149.559998,146.589996,149.479996,2008800,146.463759
2015-10-09,149.559998,150.649994,149.300003,149.899994,2294000,146.875282
2015-10-12,150.259995,150.559998,149.539993,150.059998,1429300,147.032057
2015-10-13,148.910004,150.0,148.729996,149.110001,2027600,146.101229
2015-10-14,149.0,149.660004,148.179993,148.320007,2260300,145.327177
2015-10-15,149.639999,149.880005,148.020004,149.190002,2588500,146.179617
2015-10-16,149.770004,149.779999,147.479996,148.699997,2490300,145.699499
2015-10-19,147.970001,148.419998,147.229996,148.0,2004200,145.013627
2015-10-20,147.449997,149.669998,147.130005,149.110001,2409300,146.101229
2015-10-21,149.5,151.389999,148.899994,149.820007,3009900,146.796909
2015-10-22,151.339996,157.039993,150.649994,156.0,5111900,152.852201
2015-10-23,156.539993,157.190002,154.5,155.789993,2997400,152.646432
2015-10-26,156.059998,156.759995,155.639999,156.539993,2136100,153.381298
2015-10-27,156.0,157.0,155.080002,156.729996,1970100,153.567467
2015-10-28,156.490005,158.330002,156.199997,158.080002,2724700,154.890232
2015-10-29,157.75,157.910004,156.880005,157.610001,1484600,154.429715
2015-10-30,157.800003,158.679993,157.210007,157.210007,2672100,154.037792
2015-11-02,157.509995,160.089996,157.339996,159.919998,2701800,156.693101
2015-11-03,159.479996,159.800003,158.669998,158.75,2972800,155.546711
2015-11-04,159.0,159.479996,158.610001,158.910004,2254000,155.703486
2015-11-05,159.380005,159.580002,158.270004,158.990005,2023900,155.781874
2015-11-06,158.020004,159.259995,157.729996,159.259995,1860000,156.046415
2015-11-09,158.669998,158.669998,156.75,157.470001,2421000,154.29254
2015-11-10,157.229996,157.639999,156.429993,157.589996,1962900,154.410114
2015-11-11,157.860001,159.490005,157.539993,159.050003,2518900,155.84066
2015-11-12,157.779999,158.289993,156.160004,156.300003,2305600,153.146151
2015-11-13,156.0,156.919998,155.600006,155.649994,2434500,152.509257
2015-11-16,155.610001,158.259995,155.610001,158.210007,2395000,155.017614
2015-11-17,158.360001,158.529999,156.520004,157.029999,2393000,153.861416
2015-11-18,156.179993,157.5,156.080002,157.389999,2226900,155.227385
2015-11-19,157.630005,158.509995,156.710007,158.380005,1518200,156.203788
2015-11-20,158.679993,159.839996,158.339996,158.949997,1891100,156.765948
2015-11-23,158.899994,159.770004,158.160004,158.649994,1430400,156.470067
2015-11-24,157.369995,158.339996,156.889999,157.75,2100600,155.582439
2015-11-25,158.059998,158.470001,157.630005,157.630005,1184100,155.464093
2015-11-27,157.509995,158.490005,156.940002,157.990005,876100,155.819147
2015-11-30,158.100006,158.470001,156.570007,156.580002,2934200,154.428517
2015-12-01,156.410004,157.669998,156.169998,156.899994,2259000,154.744113
2015-12-02,156.880005,157.25,155.509995,155.699997,2034700,153.560604
2015-12-03,156.559998,156.899994,153.710007,154.380005,2609500,152.25875
2015-12-04,154.789993,158.389999,154.570007,158.220001,2175800,156.045982
