Date,Open_APD,High_APD,Low_APD,Close_APD,Volume_APD,AdjClose_APD
2013-06-14,95.730003,96.589996,95.25,96.349998,2300600,89.548995
2013-06-17,96.639999,96.879997,96.25,96.57,1752500,89.753467
2013-06-18,96.550003,96.739998,96.139999,96.580002,1298400,89.762763
2013-06-19,96.720001,97.120003,96.120003,96.160004,1321600,89.372411
2013-06-20,95.379997,95.709999,94.139999,94.279999,1962600,87.625109
2013-06-21,94.290001,94.800003,93.620003,94.589996,2390900,87.913225
2013-06-24,93.639999,94.040001,92.610001,93.550003,1893900,86.946641
2013-06-25,94.220001,94.830002,93.919998,94.610001,1862100,87.931817
2013-06-26,95.68,96.400002,95.400002,96.129997,1406400,89.344523
2013-06-27,94.480003,94.769997,92.370003,92.779999,2878500,86.872615
2013-06-28,92.669998,93.169998,91.309998,91.57,3032700,85.739658
2013-07-01,91.510002,95.019997,90.599998,93.510002,3382000,87.556139
2013-07-02,92.129997,93.599998,90.470001,90.75,4446400,84.971868
2013-07-03,90.610001,92.169998,90.120003,91.389999,1436500,85.571118
2013-07-05,92.260002,92.43,91.279999,91.879997,987900,86.029918
2013-07-08,91.75,92.559998,91.379997,92.349998,1579500,86.469993
2013-07-09,92.800003,96.169998,92.769997,95.959999,4251200,89.850142
2013-07-10,95.699997,96.699997,94.860001,96.529999,2349800,90.383849
2013-07-11,97.610001,97.660004,96.599998,97.010002,1629800,90.833291
2013-07-12,97.040001,97.089996,96.089996,96.650002,1238600,90.496211
2013-07-15,96.620003,96.75,96.150002,96.610001,1141200,90.458757
2013-07-16,95.989998,95.989998,94.800003,95.5,1708000,89.419432
2013-07-17,96.0,96.470001,95.809998,96.370003,1244100,90.23404
2013-07-18,96.790001,97.470001,96.18,96.879997,1214800,90.711563
2013-07-19,96.889999,97.199997,96.029999,96.989998,1601900,90.81456
2013-07-22,96.730003,97.900002,96.720001,97.879997,3521000,91.647892
2013-07-23,101.029999,101.029999,97.889999,100.650002,4193100,94.241528
2013-07-24,100.440002,100.650002,99.690002,100.559998,1710900,94.157255
2013-07-25,102.019997,108.660004,101.889999,107.110001,8087900,100.290213
2013-07-26,106.610001,106.989998,103.889999,104.120003,7715500,97.490591
2013-07-29,104.279999,104.699997,102.75,104.639999,2316200,97.977479
2013-07-30,104.830002,105.75,104.150002,105.610001,1540400,98.88572
2013-07-31,108.779999,109.980003,107.519997,108.639999,6709600,101.722796
2013-08-01,109.489998,111.0,106.389999,107.25,4553900,100.421299
2013-08-02,106.800003,107.019997,105.690002,106.949997,2186300,100.140397
2013-08-05,108.080002,108.080002,106.830002,107.830002,1120200,100.964371
2013-08-06,107.080002,107.980003,106.720001,106.870003,1338800,100.065496
2013-08-07,106.690002,107.410004,106.040001,106.760002,1278300,99.9625
2013-08-08,107.220001,107.919998,106.230003,106.620003,1250200,99.831414
2013-08-09,106.379997,107.489998,106.330002,106.699997,739500,99.906315
2013-08-12,105.910004,105.910004,102.639999,103.199997,2590800,96.629163
2013-08-13,103.57,104.239998,103.400002,103.949997,1194000,97.33141
2013-08-14,103.82,104.199997,102.489998,102.779999,1037600,96.235906
2013-08-15,101.959999,102.040001,100.849998,101.440002,1460800,94.981229
2013-08-16,101.0,101.349998,99.760002,100.889999,2261000,94.466245
2013-08-19,100.599998,101.82,100.580002,101.519997,2043400,95.05613
2013-08-20,101.32,102.410004,100.940002,102.230003,1641000,95.72093
2013-08-21,102.0,102.370003,101.32,101.699997,1406800,95.224669
2013-08-22,102.139999,103.709999,101.580002,102.980003,765500,96.423177
2013-08-23,103.019997,104.160004,102.620003,104.0,824100,97.378229
2013-08-26,104.139999,104.5,103.190002,103.32,666400,96.741525
2013-08-27,102.660004,103.099998,101.75,101.860001,826400,95.374485
2013-08-28,101.610001,102.0,101.169998,101.470001,689600,95.009318
2013-08-29,101.300003,103.699997,101.139999,102.440002,692900,95.917558
2013-08-30,102.529999,102.690002,101.489998,102.139999,945300,95.636656
2013-09-03,103.300003,103.669998,102.029999,102.910004,768200,96.357634
2013-09-04,102.870003,103.959999,102.400002,103.870003,667200,97.256509
2013-09-05,103.830002,104.239998,103.260002,103.839996,620300,97.228413
2013-09-06,104.010002,104.370003,102.870003,102.989998,913600,96.432535
2013-09-09,103.480003,105.790001,103.120003,105.739998,900000,99.00744
2013-09-10,106.120003,106.699997,105.660004,106.199997,757000,99.43815
2013-09-11,106.209999,106.599998,105.580002,106.279999,529300,99.513058
2013-09-12,106.010002,106.699997,105.559998,105.730003,506000,98.998082
2013-09-13,105.860001,106.370003,105.5,106.150002,528000,99.391338
2013-09-16,107.410004,108.75,106.730003,107.989998,1212000,101.11418
2013-09-17,107.730003,107.889999,106.260002,106.540001,2141200,99.756506
2013-09-18,106.650002,109.5,106.160004,109.370003,1124600,102.406319
2013-09-19,109.470001,111.400002,109.470001,110.019997,1105200,103.014927
2013-09-20,110.019997,110.959999,108.57,108.57,1924200,101.657253
2013-09-23,108.139999,108.900002,107.059998,107.419998,923500,100.580473
2013-09-24,107.300003,108.059998,107.050003,107.209999,683800,100.383845
2013-09-25,107.699997,108.089996,106.910004,107.32,654200,100.486842
2013-09-26,109.830002,114.75,109.019997,109.779999,3485200,102.79021
2013-09-27,107.639999,108.260002,106.949997,107.0,1338500,100.839393
2013-09-30,106.160004,107.160004,106.0,106.57,1025900,100.434151
2013-10-01,105.720001,107.919998,105.199997,107.110001,1432600,100.943061
2013-10-02,106.879997,107.639999,105.779999,107.160004,1257300,100.990185
2013-10-03,107.160004,107.349998,105.160004,105.43,1678700,99.359788
2013-10-04,105.449997,106.559998,105.099998,106.309998,1228700,100.189118
2013-10-07,105.790001,106.18,104.550003,104.620003,1141900,98.596426
2013-10-08,104.720001,104.760002,102.230003,102.580002,1657300,96.67388
2013-10-09,102.830002,104.410004,102.419998,103.989998,1313700,98.002694
2013-10-10,105.110001,108.0,105.0,107.800003,1847600,101.593336
2013-10-11,108.290001,108.75,107.339996,108.720001,1136900,102.460364
2013-10-14,107.620003,109.330002,107.519997,109.169998,682800,102.884452
2013-10-15,108.720001,109.25,107.830002,108.099998,1039700,101.876059
2013-10-16,109.050003,109.690002,108.43,109.089996,822600,102.809057
2013-10-17,108.889999,110.099998,108.57,109.870003,886600,103.544154
2013-10-18,110.209999,110.510002,109.480003,110.190002,1540900,103.845729
2013-10-21,109.980003,110.989998,109.910004,110.660004,545300,104.28867
2013-10-22,111.230003,111.949997,111.080002,111.730003,744300,105.297063
2013-10-23,111.68,111.940002,110.059998,110.650002,719900,104.279243
2013-10-24,110.650002,111.730003,110.529999,111.379997,715700,104.967209
2013-10-25,111.160004,111.870003,110.650002,111.730003,896700,105.297063
2013-10-28,111.529999,111.580002,108.790001,109.540001,1626400,103.233152
2013-10-29,108.209999,109.400002,107.0,107.470001,2337500,101.282334
2013-10-30,107.830002,109.760002,106.989998,107.199997,1746400,101.027875
2013-10-31,107.300003,109.389999,106.400002,109.010002,1526700,102.733668
2013-11-01,108.949997,109.75,107.589996,108.0,1140400,101.781818
2013-11-04,108.120003,108.900002,107.790001,108.769997,773500,102.507481
2013-11-05,108.440002,109.389999,107.739998,109.120003,643600,102.837335
2013-11-06,109.459999,110.099998,109.150002,109.919998,711700,103.59127
2013-11-07,109.779999,109.879997,108.019997,108.260002,1503600,102.02685
2013-11-08,108.25,109.629997,108.099998,109.449997,890600,103.14833
2013-11-11,109.5,109.879997,108.849998,109.089996,874500,102.809057
2013-11-12,109.099998,109.190002,107.910004,107.970001,1025300,101.753546
2013-11-13,107.730003,108.410004,107.43,108.040001,1213400,101.819516
2013-11-14,108.360001,108.779999,107.790001,108.669998,1048600,102.41324
2013-11-15,109.019997,110.690002,108.809998,110.589996,1049400,104.222693
2013-11-18,110.540001,110.93,109.610001,109.940002,839400,103.610123
2013-11-19,109.940002,110.639999,109.5,110.089996,898100,103.751481
2013-11-20,109.989998,110.349998,109.25,109.599998,861900,103.289695
2013-11-21,109.970001,110.160004,109.129997,109.709999,1009700,103.393362
2013-11-22,110.0,111.419998,109.25,111.169998,1106700,104.769301
2013-11-25,111.169998,111.610001,109.510002,109.720001,670400,103.402789
2013-11-26,109.260002,109.699997,108.720001,108.849998,1079100,102.582877
2013-11-27,109.050003,109.620003,108.650002,109.120003,722400,102.837335
2013-11-29,109.099998,109.75,108.580002,108.830002,282400,102.564032
2013-12-02,108.949997,109.18,107.5,107.690002,1109700,101.489668
2013-12-03,107.5,107.5,106.309998,107.160004,991000,100.990185
