Date,Open_WMT,High_WMT,Low_WMT,Close_WMT,Volume_WMT,AdjClose_WMT
2015-06-08,73.43,73.489998,72.599998,72.610001,9593000,70.476942
2015-06-09,72.699997,72.849998,72.360001,72.470001,8335600,70.341055
2015-06-10,72.709999,73.330002,72.339996,72.93,11215800,70.787541
2015-06-11,73.230003,73.669998,72.839996,72.940002,7420000,70.79725
2015-06-12,72.739998,72.900002,72.400002,72.43,7246600,70.30223
2015-06-15,72.199997,72.400002,71.699997,71.93,7566800,69.816918
2015-06-16,72.220001,72.580002,71.720001,72.349998,6215600,70.224578
2015-06-17,72.629997,72.900002,72.339996,72.730003,5703900,70.59342
2015-06-18,72.739998,73.480003,72.739998,72.980003,8376600,70.836075
2015-06-19,72.800003,73.220001,72.699997,72.739998,14550700,70.60312
2015-06-22,72.980003,73.190002,72.690002,72.790001,6489500,70.651655
2015-06-23,72.889999,72.940002,72.339996,72.57,7876300,70.438116
2015-06-24,72.559998,72.650002,72.139999,72.379997,7338400,70.253696
2015-06-25,72.449997,72.629997,71.830002,71.860001,5293200,69.748975
2015-06-26,71.959999,72.459999,71.870003,72.120003,6897800,70.001339
2015-06-29,71.800003,72.0,71.410004,71.419998,8187800,69.321898
2015-06-30,71.809998,71.809998,70.779999,70.93,11102600,68.846295
2015-07-01,71.599998,71.949997,70.360001,71.879997,10773900,69.768384
2015-07-02,72.019997,72.559998,71.660004,71.860001,6586100,69.748975
2015-07-06,71.379997,72.690002,71.379997,72.529999,10536500,70.399291
2015-07-07,72.660004,73.860001,72.0,73.790001,12421300,71.622278
2015-07-08,73.300003,73.589996,72.900002,73.059998,7791000,70.91372
2015-07-09,73.669998,73.730003,72.709999,72.779999,8695800,70.641946
2015-07-10,73.080002,73.550003,73.080002,73.120003,5579300,70.971962
2015-07-13,73.510002,74.110001,73.510002,73.879997,6084500,71.70963
2015-07-14,73.980003,74.089996,73.480003,73.790001,5518200,71.622278
2015-07-15,73.589996,73.900002,73.190002,73.650002,4566700,71.486391
2015-07-16,73.970001,74.139999,73.760002,73.830002,5231700,71.661103
2015-07-17,73.739998,74.07,73.309998,73.389999,5680600,71.234027
2015-07-20,73.349998,73.440002,73.059998,73.099998,5085600,70.952545
2015-07-21,73.099998,73.290001,72.529999,72.739998,6441100,70.60312
2015-07-22,72.779999,73.82,72.779999,73.160004,6961600,71.010788
2015-07-23,73.07,73.220001,72.419998,72.510002,4252900,70.379881
2015-07-24,72.529999,72.559998,71.5,71.580002,5951100,69.477202
2015-07-27,71.379997,71.650002,71.010002,71.379997,6197600,69.283072
2015-07-28,71.529999,72.389999,71.230003,72.099998,8592300,69.981922
2015-07-29,72.25,72.629997,72.089996,72.230003,4939700,70.108108
2015-07-30,72.029999,72.529999,71.779999,72.160004,4604500,70.040165
2015-07-31,72.440002,72.489998,71.660004,71.980003,7928400,69.865452
2015-08-03,71.839996,72.379997,71.839996,72.18,5131800,70.059574
2015-08-04,72.419998,72.800003,71.93,72.25,5873400,70.127517
2015-08-05,72.389999,73.690002,72.25,73.510002,8715800,71.837705
2015-08-06,73.349998,73.379997,72.660004,72.790001,6367700,71.134083
2015-08-07,72.709999,72.830002,71.169998,71.25,7797500,69.629116
2015-08-10,71.5,71.75,71.339996,71.480003,6020100,69.853887
2015-08-11,71.25,72.370003,71.150002,71.93,6829200,70.293647
2015-08-12,71.529999,72.660004,71.269997,72.580002,8841400,70.928862
2015-08-13,72.400002,72.769997,71.970001,72.110001,7652400,70.469553
2015-08-14,72.300003,72.599998,72.040001,72.379997,5912500,70.733407
2015-08-17,71.830002,72.230003,71.760002,71.910004,7604400,70.274105
2015-08-18,70.0,70.5,69.239998,69.480003,21315000,67.899386
2015-08-19,68.870003,69.389999,67.769997,68.57,16333400,67.010084
2015-08-20,68.080002,69.300003,67.940002,68.43,9860100,66.873269
2015-08-21,67.910004,68.309998,66.540001,66.540001,15746500,65.026266
2015-08-24,63.740002,66.160004,61.5,63.950001,22239600,62.495187
2015-08-25,65.449997,65.709999,63.0,63.099998,14801000,61.664521
2015-08-26,64.230003,64.849998,63.02,64.830002,13928300,63.355168
2015-08-27,65.32,66.18,64.949997,66.080002,13912800,64.576732
2015-08-28,66.089996,66.120003,64.449997,64.940002,14303000,63.462666
2015-08-31,64.82,65.0,64.290001,64.730003,8175200,63.257445
2015-09-01,63.799999,64.32,63.27,63.82,13393900,62.368143
2015-09-02,64.589996,64.940002,64.059998,64.440002,9514600,62.974041
2015-09-03,64.720001,65.010002,64.389999,64.860001,8523800,63.384485
2015-09-04,64.07,64.300003,63.509998,63.889999,9232400,62.43655
2015-09-08,65.230003,66.5,65.18,66.379997,17706800,64.869902
2015-09-09,66.860001,67.010002,65.010002,65.120003,9464200,63.638572
2015-09-10,64.07,64.650002,63.830002,64.120003,14524800,62.661321
2015-09-11,64.18,64.68,63.990002,64.650002,8062400,63.179263
2015-09-14,64.650002,64.669998,63.82,64.279999,6956700,62.817677
2015-09-15,64.480003,64.699997,64.050003,64.32,6860800,62.856768
2015-09-16,64.599998,64.769997,64.050003,64.690002,5625400,63.218354
2015-09-17,64.699997,65.290001,64.160004,64.470001,7133100,63.003357
2015-09-18,63.75,64.230003,63.259998,63.34,12885200,61.899063
2015-09-21,63.75,64.0,63.369999,63.720001,7119600,62.270419
2015-09-22,63.23,63.82,62.919998,63.59,8800800,62.143376
2015-09-23,63.720001,63.93,63.119999,63.720001,5876600,62.270419
2015-09-24,63.360001,63.98,63.299999,63.830002,6956200,62.377917
2015-09-25,64.07,64.459999,63.619999,63.779999,7163000,62.329052
2015-09-28,63.599998,63.950001,63.48,63.66,9394400,62.211783
2015-09-29,63.75,64.040001,63.23,63.779999,7640100,62.329052
2015-09-30,64.43,64.940002,63.93,64.839996,7979200,63.364935
2015-10-01,64.760002,64.940002,63.880001,64.269997,7837200,62.807903
2015-10-02,63.759998,64.980003,63.41,64.980003,7084000,63.501757
2015-10-05,65.209999,65.919998,65.139999,65.870003,6300300,64.37151
2015-10-06,65.540001,65.949997,65.18,65.68,7410900,64.18583
2015-10-07,65.839996,66.360001,65.769997,66.360001,7136000,64.850361
2015-10-08,66.230003,66.989998,66.150002,66.879997,5974500,65.358528
2015-10-09,66.940002,67.019997,66.510002,66.690002,6754000,65.172855
2015-10-12,66.669998,67.0,66.580002,66.93,5643900,65.407393
2015-10-13,66.620003,66.940002,66.260002,66.730003,8858400,65.211946
2015-10-14,66.610001,67.949997,60.02,60.029999,80898100,58.664362
2015-10-15,59.700001,60.470001,58.610001,59.330002,46253500,57.980289
2015-10-16,59.470001,59.490002,58.369999,58.889999,25860500,57.550296
2015-10-19,58.790001,59.299999,58.5,58.849998,17805800,57.511205
2015-10-20,58.860001,59.0,58.57,58.75,10423700,57.413482
2015-10-21,58.799999,59.040001,58.57,58.639999,13117600,57.305984
2015-10-22,58.939999,59.959999,58.639999,58.900002,14588500,57.560071
2015-10-23,59.189999,59.279999,58.220001,58.299999,13040600,56.973718
2015-10-26,58.400002,58.450001,57.970001,58.02,10839800,56.700089
2015-10-27,58.009998,58.040001,57.380001,57.48,10511400,56.172373
2015-10-28,57.66,57.720001,57.16,57.639999,11834700,56.328733
2015-10-29,57.720001,58.119999,57.48,57.959999,12855500,56.641453
2015-10-30,57.73,58.119999,57.240002,57.240002,15805500,55.937835
2015-11-02,57.290001,57.610001,56.77,57.610001,10719200,56.299417
2015-11-03,57.57,58.330002,57.529999,58.110001,10253900,56.788042
2015-11-04,58.580002,58.759998,58.189999,58.369999,10056500,57.042126
2015-11-05,58.509998,58.98,58.419998,58.610001,8860500,57.276667
2015-11-06,58.919998,59.200001,58.310001,58.779999,9977300,57.442798
2015-11-09,58.5,58.779999,58.02,58.490002,8440400,57.159398
2015-11-10,58.310001,58.709999,58.310001,58.68,7614900,57.345075
2015-11-11,58.5,58.73,57.470001,57.580002,8689900,56.2701
2015-11-12,57.639999,57.77,56.919998,56.950001,9551500,55.654431
2015-11-13,56.740002,57.060001,56.299999,56.419998,12514900,55.136486
2015-11-16,56.389999,58.029999,56.360001,57.869999,13321600,56.5535
2015-11-17,59.34,60.900002,59.200001,59.919998,24679300,58.556863
2015-11-18,60.040001,61.07,59.549999,60.93,14877700,59.543889
2015-11-19,61.119999,61.360001,60.43,60.700001,11566100,59.319122
2015-11-20,60.98,61.470001,60.02,60.07,12371100,58.703453
2015-11-23,60.290001,60.740002,59.880001,60.259998,10577000,58.889129
2015-11-24,59.950001,60.419998,59.860001,59.919998,12453900,58.556863
2015-11-25,60.0,60.709999,59.880001,60.240002,7820200,58.869587
2015-11-27,60.439999,60.689999,59.869999,59.889999,5340900,58.527547
2015-11-30,59.869999,60.060001,58.73,58.84,14942600,57.501435
2015-12-01,59.130001,59.290001,58.650002,58.990002,12204100,57.648024
2015-12-02,58.610001,59.290001,58.32,58.349998,13586900,57.500208
2015-12-03,58.689999,59.66,58.599998,59.040001,15844100,58.180161
2015-12-04,59.049999,59.849998,59.029999,59.66,10435300,58.791131
2015-12-07,59.57,60.73,59.57,60.5,11595900,59.618897
2015-12-08,60.07,60.490002,59.5,59.610001,10377600,58.74186
2015-12-09,59.259998,60.110001,58.900002,59.130001,8981700,58.268851
2015-12-10,59.130001,60.09,59.09,59.560001,11359400,58.692589
2015-12-11,59.049999,59.529999,58.810001,59.360001,9745000,58.495501
2015-12-14,59.299999,60.439999,59.07,60.389999,14524900,59.510499
2015-12-15,60.639999,60.84,59.57,59.639999,14607000,58.771422
2015-12-16,60.110001,60.650002,59.700001,60.299999,9960500,59.421809
2015-12-17,60.330002,60.330002,58.970001,58.98,12976100,58.121034
2015-12-18,58.93,59.400002,58.75,58.849998,16256700,57.992926
2015-12-21,58.82,59.580002,58.669998,59.549999,9645500,58.682732
2015-12-22,59.790001,60.700001,59.610001,60.540001,9266300,59.658316
2015-12-23,61.0,61.119999,60.439999,61.09,7519800,60.200305
2015-12-24,60.779999,61.099998,60.68,60.830002,2482800,59.944093
2015-12-28,60.580002,60.970001,60.5,60.75,5421700,59.865256
2015-12-29,61.0,61.75,60.98,61.610001,7883600,60.712732
2015-12-30,61.66,61.869999,61.490002,61.68,5716700,60.781713
2015-12-31,61.330002,61.720001,61.169998,61.299999,6575100,60.407246
2016-01-04,60.5,61.490002,60.360001,61.459999,11989200,60.564915
2016-01-05,62.029999,63.049999,61.849998,62.919998,13326000,62.003651
2016-01-06,62.48,63.950001,62.470001,63.549999,16564600,62.624477
2016-01-07,62.970001,65.230003,62.919998,65.029999,26430000,64.082923
2016-01-08,65.080002,65.410004,63.41,63.540001,17767900,62.614625
2016-01-11,63.759998,64.470001,63.630001,64.220001,12653800,63.284722
2016-01-12,64.379997,64.730003,63.43,63.619999,12195900,62.693458
2016-01-13,63.73,63.73,61.830002,61.919998,13725700,61.018215
2016-01-14,62.0,63.619999,61.82,63.060001,12934900,62.141616
2016-01-15,61.549999,62.470001,61.259998,61.93,15174400,61.028072
2016-01-19,62.25,62.799999,62.009998,62.560001,13051300,61.648898
2016-01-20,61.799999,62.330002,60.200001,60.84,17369100,59.953946
2016-01-21,60.98,62.790001,60.91,61.880001,12089200,60.978801
2016-01-22,62.439999,63.259998,62.130001,62.689999,9197500,61.777002
2016-01-25,62.779999,63.82,62.549999,63.450001,12823400,62.525935
2016-01-26,63.360001,64.470001,63.259998,64.0,9441200,63.067924
2016-01-27,64.099998,65.18,63.889999,63.950001,10214300,63.018653
2016-01-28,64.029999,64.510002,63.43,64.220001,11278300,63.284722
2016-01-29,64.75,66.529999,64.739998,66.360001,16439100,65.393555
2016-02-01,65.910004,67.93,65.889999,67.5,14728400,66.516952
2016-02-02,67.300003,67.839996,66.279999,66.860001,13585900,65.886273
2016-02-03,67.309998,67.5,65.07,66.269997,12315600,65.304862
2016-02-04,65.760002,66.550003,65.010002,66.419998,12833400,65.452679
2016-02-05,66.860001,67.529999,65.879997,67.0,14196500,66.024233
2016-02-08,66.5,67.150002,65.160004,66.900002,20743600,65.925691
2016-02-09,65.489998,66.410004,64.68,65.809998,14642400,64.851562
2016-02-10,66.190002,66.589996,65.650002,65.790001,9709300,64.831856
2016-02-11,65.019997,65.760002,64.779999,65.32,11186700,64.3687
2016-02-12,65.519997,66.25,64.870003,66.18,9695500,65.216176
2016-02-16,66.610001,66.800003,65.5,65.900002,11360500,64.940255
2016-02-17,66.099998,66.610001,65.809998,66.110001,12426700,65.147196
2016-02-18,63.740002,64.779999,62.349998,64.120003,27894600,63.18618
2016-02-19,63.889999,64.769997,63.439999,64.660004,15562300,63.718316
2016-02-22,64.660004,66.139999,64.660004,65.629997,10587300,64.674183
2016-02-23,65.839996,66.599998,65.279999,66.480003,11432000,65.51181
2016-02-24,66.190002,67.330002,65.720001,67.120003,10291200,66.142489
2016-02-25,67.449997,68.129997,67.330002,68.040001,9581300,67.049088
2016-02-26,68.080002,68.199997,66.300003,66.510002,10984300,65.541372
2016-02-29,66.629997,66.949997,66.220001,66.339996,9345200,65.373842
2016-03-01,66.650002,66.889999,66.0,66.459999,10429500,65.492097
2016-03-02,66.209999,66.669998,66.0,66.209999,9165600,65.245738
2016-03-03,65.949997,66.199997,64.879997,66.139999,11846800,65.176758
2016-03-04,66.139999,67.279999,66.089996,66.779999,10010500,65.807436
2016-03-07,66.620003,68.480003,66.269997,67.889999,12825400,66.901271
2016-03-08,67.730003,68.470001,67.489998,68.040001,10067900,67.049088
2016-03-09,67.790001,67.989998,67.120003,67.529999,7824800,67.039158
2016-03-10,67.550003,68.040001,66.400002,67.410004,10225800,66.920035
2016-03-11,67.769997,67.940002,66.800003,67.169998,8290900,66.681774
2016-03-14,67.150002,67.669998,66.959999,67.360001,6712500,66.870395
2016-03-15,67.0,68.349998,67.0,68.089996,7566900,67.595085
2016-03-16,67.940002,68.339996,67.25,67.989998,8218000,67.495813
2016-03-17,67.82,68.919998,67.260002,67.449997,11838100,66.959737
2016-03-18,67.480003,68.029999,66.75,66.949997,23153100,66.463372
2016-03-21,67.029999,68.379997,66.970001,67.970001,9415800,67.475962
2016-03-22,68.0,68.68,67.790001,67.870003,7514500,67.37669
2016-03-23,68.010002,68.099998,67.440002,67.459999,6110600,66.969667
2016-03-24,67.43,68.040001,67.379997,68.0,6304700,67.505743
2016-03-28,67.93,68.580002,67.93,68.120003,5603500,67.624873
2016-03-29,68.150002,68.209999,67.43,68.029999,6491000,67.535524
2016-03-30,68.330002,69.0,68.290001,68.800003,7208500,68.299931
2016-03-31,68.75,69.190002,68.470001,68.489998,6283500,67.992179
2016-04-01,68.019997,69.199997,68.019997,69.059998,6602400,68.558036
2016-04-04,69.0,69.370003,68.919998,69.099998,6823400,68.597746
2016-04-05,69.029999,69.25,68.269997,68.639999,5779000,68.14109
2016-04-06,68.699997,69.059998,68.519997,69.040001,5362700,68.538184
2016-04-07,68.830002,68.93,67.940002,68.220001,6110500,67.724145
2016-04-08,68.309998,68.389999,67.860001,68.059998,6516000,67.565304
2016-04-11,68.010002,68.370003,67.379997,67.400002,7865400,66.910105
2016-04-12,67.57,68.870003,67.449997,68.800003,7734600,68.299931
2016-04-13,69.010002,69.419998,68.870003,69.150002,6262700,68.647386
2016-04-14,69.150002,69.239998,68.150002,68.800003,6977100,68.299931
2016-04-15,68.940002,69.410004,68.940002,69.059998,7584500,68.558036
2016-04-18,69.050003,69.900002,68.849998,69.860001,6622900,69.352224
2016-04-19,69.790001,70.080002,69.5,69.769997,8199400,69.262874
2016-04-20,69.760002,69.989998,69.129997,69.209999,5412500,68.706947
2016-04-21,69.470001,69.68,68.239998,68.470001,6617600,67.972328
2016-04-22,68.82,68.940002,68.279999,68.720001,6215100,68.220511
2016-04-25,68.550003,69.5,68.059998,69.470001,5896200,68.965059
2016-04-26,69.699997,69.889999,69.099998,69.300003,6648400,68.796297
2016-04-27,69.489998,69.779999,68.989998,69.419998,5147300,68.91542
2016-04-28,69.07,69.620003,68.75,68.910004,4776900,68.409132
2016-04-29,68.730003,68.82,66.360001,66.870003,12099000,66.383959
2016-05-02,66.620003,67.699997,66.529999,67.589996,7609700,67.098719
2016-05-03,66.860001,67.5,66.75,67.0,5922600,66.513011
2016-05-04,66.849998,67.489998,66.440002,67.190002,6029500,66.701633
2016-05-05,66.970001,67.25,66.580002,67.209999,8091000,66.721484
2016-05-06,66.910004,68.260002,66.800003,68.25,9825400,67.753926
2016-05-09,68.25,69.099998,68.160004,68.949997,8656200,68.448835
