Date,Open_MA,High_MA,Low_MA,Close_MA,Volume_MA,AdjClose_MA
2013-06-14,574.01001,574.780006,569.199982,571.160011,6231000,56.048756
2013-06-17,574.070015,580.979996,574.070015,578.190002,7248000,56.738619
2013-06-18,581.549988,584.87999,580.229988,584.410019,5495000,57.348998
2013-06-19,585.540009,591.889992,585.279999,586.37001,7661000,57.541335
2013-06-20,579.599991,585.699997,572.190018,572.719994,9215000,56.201839
2013-06-21,579.189987,579.900017,568.880005,573.289986,12178000,56.257773
2013-06-24,563.370018,569.580002,557.480011,562.599983,9427000,55.208748
2013-06-25,567.270012,567.630005,561.619987,564.580002,8312000,55.40305
2013-06-26,567.999992,572.750015,563.790016,570.0,5343000,55.934922
2013-06-27,571.529999,577.43,570.0,570.680008,5942000,56.001652
2013-06-28,569.169998,574.500008,566.469994,574.500008,10396000,56.376514
2013-07-01,578.610001,590.0,577.550011,583.209991,8534000,57.231237
2013-07-02,581.899986,588.950005,579.710007,583.059998,5605000,57.216518
2013-07-03,579.780006,587.649994,579.780006,586.18,2434000,57.522689
2013-07-05,590.0,595.029984,585.999985,595.029984,5465000,58.450979
2013-07-08,597.179985,602.739983,589.169998,589.290009,7052000,57.88713
2013-07-09,593.720016,596.489983,591.870003,593.590012,5922000,58.309528
2013-07-10,593.600006,595.139999,587.37999,590.909996,5330000,58.046264
2013-07-11,596.819992,601.619987,592.159996,601.020012,4652000,59.039391
2013-07-12,600.750008,601.819992,596.360016,598.860016,4498000,58.827211
2013-07-15,599.239998,600.0,594.000015,595.870018,4306000,58.533497
2013-07-16,596.220016,597.910004,589.379997,589.790001,4682000,57.936245
2013-07-17,582.999992,593.94001,582.949982,593.349991,9218000,58.28595
2013-07-18,596.030006,600.740013,594.519997,596.920013,3487000,58.63664
2013-07-19,598.779984,600.950012,592.659988,593.330002,8235000,58.283986
2013-07-22,594.339981,603.849983,593.059998,602.599983,5362000,59.194595
2013-07-23,603.829994,604.850006,597.5,597.999992,4649000,58.742729
2013-07-24,598.330002,600.0,589.650002,590.98999,7752000,58.054122
2013-07-25,594.199982,601.860008,594.140015,598.979988,7277000,58.838996
2013-07-26,596.609993,599.729996,592.919998,598.149986,3848000,58.757463
2013-07-29,598.87001,600.98999,594.529991,597.019997,3266000,58.646462
2013-07-30,599.650002,603.899994,599.070015,601.419983,6028000,59.078681
2013-07-31,624.490013,626.230011,567.019997,610.610008,40090000,59.981436
2013-08-01,618.740005,649.649963,618.740005,646.380005,30337000,63.495194
2013-08-02,644.280014,647.020035,640.400009,645.569992,6684000,63.415624
2013-08-05,641.220016,645.859985,640.429993,642.450027,5878000,63.109144
2013-08-06,642.210007,656.97998,639.949989,654.000015,8199000,64.243722
2013-08-07,653.000031,653.000031,645.039978,646.320038,5860000,63.489303
2013-08-08,649.059982,650.0,641.490021,645.839996,4532000,63.442148
2013-08-09,647.369995,647.369995,637.680016,637.960014,3933000,62.668081
2013-08-12,639.609985,639.609985,629.199982,630.719986,5240000,61.956879
2013-08-13,636.809998,636.809998,630.209999,633.330002,3245000,62.213266
2013-08-14,635.610008,637.130013,628.069992,629.980011,3943000,61.88419
2013-08-15,623.860016,624.790001,615.629997,618.740005,5329000,60.780062
2013-08-16,618.300018,624.230003,616.119995,618.209991,4834000,60.727997
2013-08-19,619.150009,626.010017,617.5,619.889984,3907000,60.893026
2013-08-20,621.150017,625.079994,618.979988,622.410011,2985000,61.140573
2013-08-21,619.609985,627.589989,618.009987,619.309998,9306000,60.836053
2013-08-22,622.999992,622.999992,616.860008,621.080017,3926000,61.009925
2013-08-23,622.029991,626.580009,618.009987,626.110001,4587000,61.504031
2013-08-26,625.750008,625.750008,614.539986,615.180016,5829000,60.430357
2013-08-27,608.180008,612.589989,605.870018,607.919998,5471000,59.717191
2013-08-28,605.900002,613.219986,605.419998,610.610008,6406000,59.981436
2013-08-29,610.499992,618.400002,610.449982,612.57,5060000,60.17397
2013-08-30,613.950005,614.980011,603.590012,606.080017,6123000,59.536446
2013-09-03,612.000008,624.819984,610.489998,623.450012,11390000,61.242735
2013-09-04,623.450012,627.669983,617.5,623.400002,4018000,61.237822
2013-09-05,622.999992,631.629982,622.470016,629.000015,3822000,61.787923
2013-09-06,632.000008,639.73999,627.120018,636.619987,5874000,62.536448
2013-09-09,638.009987,640.889969,635.530014,640.400009,6169000,62.907767
2013-09-10,643.980026,652.099991,643.62999,651.500015,7172000,63.998142
2013-09-11,652.5,663.22998,644.779968,658.460007,7539000,64.681836
2013-09-12,661.750031,672.300034,654.499969,667.519989,10857000,65.571816
2013-09-13,666.800003,669.800034,664.690018,666.409988,6090000,65.462779
2013-09-16,673.799973,675.0,668.649979,670.999985,7003000,65.913663
2013-09-17,673.310013,680.849991,671.529999,679.169998,4810000,66.71622
2013-09-18,679.000015,688.519974,676.439972,687.639999,4670000,67.548245
2013-09-19,691.750031,695.009995,685.110016,686.37001,5099000,67.423491
2013-09-20,689.670029,689.670029,682.480011,685.739975,6726000,67.361602
2013-09-23,685.360031,689.990005,680.110016,682.990036,5171000,67.09147
2013-09-24,682.5,691.660004,678.339996,685.370026,6000000,67.325261
2013-09-25,683.679962,686.039963,671.740036,671.940002,8780000,66.006003
2013-09-26,675.230026,679.769974,672.490005,677.580032,3815000,66.560034
2013-09-27,677.429962,682.610016,675.130005,681.849976,3133000,66.979479
2013-09-30,677.659988,677.809982,670.179977,672.779999,4362000,66.088518
2013-10-01,674.420013,679.580002,672.480011,677.789993,4121000,66.580659
2013-10-02,675.429993,676.419983,671.340027,676.309967,4632000,66.435273
2013-10-03,673.180008,675.899963,664.049988,669.059982,5547000,65.723093
2013-10-04,668.059998,674.720001,667.440033,673.330002,4077000,66.142545
2013-10-07,667.779999,670.999985,665.169983,666.070023,5289000,65.48774
2013-10-08,666.299973,667.350006,651.439972,653.87001,7294000,64.288239
2013-10-09,655.72998,664.469986,647.440033,657.229996,6541000,64.618592
2013-10-10,668.339996,678.590012,666.880035,678.590012,4913000,66.7187
