Date,Open_GPC,High_GPC,Low_GPC,Close_GPC,Volume_GPC,AdjClose_GPC
2013-06-14,78.459999,79.110001,78.010002,78.639999,398300,72.550008
2013-06-17,79.040001,79.489998,78.559998,78.970001,373600,72.854454
2013-06-18,79.120003,79.690002,78.510002,79.639999,430900,73.472567
2013-06-19,79.639999,79.779999,78.510002,78.510002,351900,72.430078
2013-06-20,77.940002,78.0,76.330002,76.470001,752900,70.548058
2013-06-21,77.080002,77.480003,75.580002,76.309998,851500,70.400445
2013-06-24,75.57,76.800003,75.139999,75.959999,608400,70.077551
2013-06-25,76.669998,77.449997,76.18,77.300003,400700,71.313783
2013-06-26,77.970001,78.0,76.610001,76.699997,798200,70.760242
2013-06-27,77.110001,77.650002,76.860001,77.349998,465500,71.359907
2013-06-28,77.260002,78.400002,76.870003,78.07,1044100,72.02415
2013-07-01,78.110001,79.830002,77.620003,79.769997,976800,73.592497
2013-07-02,82.57,84.0,81.019997,83.230003,5767000,76.784556
2013-07-03,84.019997,84.25,82.75,82.860001,1203100,76.443207
2013-07-05,83.57,83.809998,82.139999,83.739998,1040200,77.255056
2013-07-08,84.75,85.269997,83.160004,83.68,1419000,77.199704
2013-07-09,84.160004,84.639999,83.300003,83.629997,1396300,77.153574
2013-07-10,83.629997,83.730003,82.779999,83.5,1025300,77.033644
2013-07-11,84.330002,84.860001,84.0,84.800003,788000,78.232973
2013-07-12,84.730003,85.07,84.029999,85.029999,642300,78.445157
2013-07-15,85.25,85.410004,84.379997,84.519997,700100,77.97465
2013-07-16,84.620003,84.949997,83.669998,84.190002,587800,77.670211
2013-07-17,84.510002,85.0,83.68,84.129997,856800,77.614853
2013-07-18,83.0,84.610001,81.099998,82.339996,2099400,75.963472
2013-07-19,82.209999,82.760002,81.330002,82.400002,1087900,76.018831
2013-07-22,82.379997,82.540001,81.349998,81.839996,1130300,75.502193
2013-07-23,82.160004,82.529999,81.580002,81.68,1056400,75.354587
2013-07-24,81.919998,82.360001,80.949997,81.290001,1046400,74.99479
2013-07-25,81.07,81.93,80.82,81.910004,917700,75.566779
2013-07-26,81.459999,82.110001,81.260002,82.099998,385100,75.74206
2013-07-29,82.050003,82.57,81.459999,81.540001,472200,75.22543
2013-07-30,82.029999,82.540001,81.809998,81.830002,374200,75.492972
2013-07-31,82.099998,82.739998,81.870003,81.989998,530600,75.640578
2013-08-01,82.660004,84.040001,82.529999,83.970001,488400,77.467247
2013-08-02,83.93,84.580002,83.330002,84.57,642000,78.020781
2013-08-05,84.300003,84.669998,83.639999,84.379997,472000,77.845493
2013-08-06,84.150002,84.599998,83.029999,83.330002,697000,76.87681
2013-08-07,83.25,83.330002,82.239998,82.68,827000,76.277146
2013-08-08,83.290001,83.480003,82.230003,82.400002,776200,76.018831
2013-08-09,82.470001,83.190002,82.260002,82.580002,846200,76.184891
2013-08-12,82.239998,82.699997,81.480003,81.650002,824400,75.326912
2013-08-13,81.93,82.050003,81.190002,81.57,635900,75.253105
2013-08-14,81.650002,81.650002,80.529999,80.620003,580900,74.376677
2013-08-15,80.160004,80.169998,78.690002,78.75,864700,72.65149
2013-08-16,78.279999,78.739998,77.800003,77.830002,2428300,71.802738
2013-08-19,77.889999,78.230003,77.699997,78.160004,789700,72.107184
2013-08-20,78.330002,80.050003,78.330002,79.730003,776100,73.555601
2013-08-21,79.610001,79.940002,78.809998,78.93,590800,72.817551
2013-08-22,78.980003,79.57,78.519997,79.349998,364600,73.205024
2013-08-23,79.550003,79.610001,78.809998,79.419998,381600,73.269603
2013-08-26,79.5,79.940002,79.190002,79.419998,385800,73.269603
2013-08-27,78.330002,78.709999,77.790001,77.839996,572000,71.811958
2013-08-28,77.900002,78.050003,76.900002,77.260002,672600,71.27688
