Date,Open_BAX,High_BAX,Low_BAX,Close_BAX,Volume_BAX,AdjClose_BAX
2013-06-14,70.669997,71.319997,70.449999,70.6,3962600,35.749828
2013-06-17,71.000001,71.129994,70.21,70.73,4103000,35.815656
2013-06-18,70.73,71.079998,70.529996,70.879994,3412700,35.891609
2013-06-19,70.689998,71.039996,69.660005,69.660005,3881000,35.273841
2013-06-20,69.239996,69.299999,67.91,68.099996,5776500,34.483897
2013-06-21,68.779998,70.179998,68.749997,69.96,8951500,35.42575
2013-06-24,69.599994,69.999995,68.599996,69.470001,5326600,35.177629
2013-06-25,70.08,70.160004,68.949994,69.499996,3749200,35.192817
2013-06-26,70.019996,70.250002,69.599994,69.739995,6952000,35.314346
2013-06-27,70.199992,70.400003,69.639997,69.699993,5137300,35.29409
2013-06-28,69.649997,69.999995,69.230002,69.269997,7221100,35.076353
2013-07-01,69.639997,70.500002,69.399997,70.059998,3779800,35.476387
2013-07-02,70.110001,70.439998,69.480002,69.669998,3926500,35.278902
2013-07-03,69.849994,69.849994,69.039999,69.399997,1855700,35.142181
2013-07-05,69.769997,69.989995,69.110003,69.879996,3100200,35.385238
2013-07-08,70.289997,71.250001,70.269996,71.069998,5012500,35.987822
2013-07-09,71.269995,71.650002,70.919997,71.449998,3526100,36.180243
2013-07-10,71.529995,71.75,71.129994,71.319997,4260100,36.114414
2013-07-11,71.910002,72.759999,71.779995,72.619999,5113400,36.772698
2013-07-12,72.599998,72.790001,72.279994,72.499999,3746100,36.711933
2013-07-15,72.64,72.91,72.400001,72.680002,3685100,36.803082
2013-07-16,72.719997,73.190002,72.540001,72.830003,4078400,36.879038
2013-07-17,72.969997,73.330002,72.629999,73.059995,4368100,36.995499
2013-07-18,73.66,74.139998,72.749999,73.099997,5571400,37.015755
2013-07-19,73.230004,74.05,72.550002,74.039999,4835800,37.491746
2013-07-22,74.089995,74.459994,73.680001,74.43,4752000,37.689231
2013-07-23,74.459994,74.599995,74.019998,74.289999,4895600,37.618338
2013-07-24,74.499996,74.549999,73.370005,73.620004,4054100,37.279072
2013-07-25,73.399999,73.580002,72.629999,72.809995,5076200,36.868907
2013-07-26,72.830003,73.419993,72.410001,73.019992,5230800,36.975243
2013-07-29,73.009999,73.099997,72.589997,72.830003,3381500,36.879038
2013-07-30,72.959996,73.779999,72.919994,73.54,4774600,37.23856
2013-07-31,73.559994,73.970003,72.91,73.040001,6598900,36.985375
2013-08-01,73.499998,73.67,72.029994,72.199997,7403200,36.560021
2013-08-02,70.279997,71.459998,69.309999,70.439998,17591900,35.668808
2013-08-05,70.300005,71.550003,70.239994,71.11,7270100,36.008078
2013-08-06,71.11,72.14,70.889995,72.019994,8290400,36.468872
2013-08-07,72.369999,72.580003,71.5,71.640001,6185400,36.276455
2013-08-08,71.800003,73.239998,71.800003,73.16,6401200,37.046139
2013-08-09,73.059995,73.999997,73.059995,73.79,6222600,37.365153
2013-08-12,73.67,73.769999,73.269992,73.67,4355100,37.304389
2013-08-13,73.620004,74.109996,73.330002,73.830002,3720300,37.385409
2013-08-14,73.759998,73.949994,73.139999,73.470003,4520900,37.203116
2013-08-15,73.169994,73.449995,71.75,72.330004,7241400,36.625853
2013-08-16,72.0,72.089998,71.039996,71.120001,5989300,36.013142
2013-08-19,71.039996,71.669996,70.949998,71.379994,3765400,36.144795
2013-08-20,71.410002,71.769994,71.139995,71.349999,3247900,36.129606
2013-08-21,71.329998,71.479999,70.779996,71.029996,3703200,35.967566
2013-08-22,71.160003,71.469999,70.459999,71.419996,2025500,36.165051
2013-08-23,71.510001,72.089998,71.440004,71.940003,3491300,36.428368
2013-08-26,71.940003,72.219998,71.640001,71.739999,3660100,36.327091
2013-08-27,71.209998,71.309997,70.319999,70.6,4025900,35.749828
2013-08-28,70.639995,70.989993,70.319999,70.72,4626200,35.810592
2013-08-29,70.489994,70.669997,69.999995,70.160004,3735000,35.527027
2013-08-30,70.339993,70.389996,69.379996,69.559999,4405000,35.223201
2013-09-03,70.260002,70.550004,69.07,69.539998,4876300,35.213073
2013-09-04,69.399997,70.089993,69.239996,69.699993,5410900,35.544548
2013-09-05,69.730001,69.970001,69.539998,69.779997,4033400,35.585348
2013-09-06,70.019996,70.48,69.529997,70.010003,4097500,35.702642
2013-09-09,70.21,70.72,69.999995,70.699999,3244200,36.054516
2013-09-10,71.589998,71.809996,70.870001,71.429996,3814600,36.426789
2013-09-11,71.900001,72.290002,71.569997,72.239999,4618000,36.839862
2013-09-12,72.190003,72.300002,71.449998,71.629993,4472500,36.528781
2013-09-13,71.699997,71.949997,71.329998,71.779995,2640400,36.605276
2013-09-16,72.809995,72.849997,71.849998,71.919995,4674900,36.676671
2013-09-17,71.839998,72.079997,71.479999,71.579998,3684900,36.503285
2013-09-18,71.510001,71.949997,71.050004,71.699997,4719600,36.56448
2013-09-19,71.839998,72.369999,71.099999,72.199997,4065100,36.819462
2013-09-20,72.199997,72.619999,71.510001,71.579998,6182400,36.503285
2013-09-23,71.640001,72.0,71.379994,71.839998,3554600,36.635876
