Date,Open_HCA,High_HCA,Low_HCA,Close_HCA,Volume_HCA,AdjClose_HCA
2015-06-08,81.139999,81.470001,80.25,80.25,2209100,80.25
2015-06-09,80.339996,81.510002,80.300003,81.32,2370700,81.32
2015-06-10,81.709999,83.309998,81.5,83.089996,4702900,83.089996
2015-06-11,82.830002,84.110001,82.620003,83.620003,3774400,83.620003
2015-06-12,83.290001,84.160004,82.43,82.459999,2377300,82.459999
2015-06-15,81.669998,84.029999,81.669998,83.830002,2623100,83.830002
2015-06-16,83.379997,84.129997,82.559998,83.019997,2266900,83.019997
2015-06-17,83.150002,84.580002,82.720001,84.120003,3279100,84.120003
2015-06-18,84.040001,84.339996,82.720001,83.599998,2899700,83.599998
2015-06-19,83.709999,85.059998,83.650002,84.400002,3851600,84.400002
2015-06-22,84.660004,85.480003,84.150002,84.510002,2136600,84.510002
2015-06-23,84.690002,85.209999,83.93,83.959999,2180400,83.959999
2015-06-24,84.0,84.099998,82.599998,83.370003,2795600,83.370003
2015-06-25,84.019997,92.629997,83.739998,90.720001,15829700,90.720001
2015-06-26,92.440002,92.629997,91.269997,91.839996,10373600,91.839996
2015-06-29,91.019997,93.089996,90.400002,90.610001,5274700,90.610001
2015-06-30,91.580002,91.580002,90.309998,90.720001,4654600,90.720001
2015-07-01,91.199997,91.400002,90.410004,90.870003,4136600,90.870003
2015-07-02,91.0,91.599998,90.43,90.5,2785400,90.5
2015-07-06,90.050003,92.660004,90.010002,92.099998,4272800,92.099998
2015-07-07,92.279999,92.989998,90.639999,92.449997,4289000,92.449997
2015-07-08,91.940002,92.550003,90.93,91.040001,2912000,91.040001
2015-07-09,91.43,92.18,91.139999,91.639999,4195400,91.639999
2015-07-10,92.510002,93.239998,91.879997,92.970001,2709300,92.970001
2015-07-13,93.839996,94.949997,93.360001,94.809998,3802700,94.809998
2015-07-14,94.449997,95.489998,94.370003,94.720001,3691000,94.720001
2015-07-15,94.889999,95.18,93.370003,94.120003,2676600,94.120003
2015-07-16,93.739998,93.989998,91.900002,93.739998,4567300,93.739998
2015-07-17,93.629997,94.669998,92.489998,93.239998,3670700,93.239998
2015-07-20,93.68,93.889999,92.82,93.169998,1907500,93.169998
2015-07-21,93.010002,93.339996,91.639999,92.279999,1897200,92.279999
2015-07-22,92.07,93.760002,91.93,93.269997,2073200,93.269997
