Date,Open_R,High_R,Low_R,Close_R,Volume_R,AdjClose_R
2015-06-08,94.720001,95.059998,93.800003,93.879997,489800,91.626985
2015-06-09,93.470001,94.309998,93.279999,93.709999,485200,91.461066
2015-06-10,94.040001,95.059998,93.779999,94.349998,649200,92.085706
2015-06-11,94.769997,95.489998,94.769997,95.0,487000,92.720109
2015-06-12,94.68,94.879997,93.489998,93.839996,519900,91.587944
2015-06-15,93.199997,93.480003,92.300003,92.790001,486600,90.563147
2015-06-16,92.809998,93.849998,91.910004,92.110001,452300,89.899466
2015-06-17,92.029999,92.730003,91.019997,91.970001,506900,89.762826
2015-06-18,92.099998,94.290001,92.099998,93.470001,543900,91.226828
2015-06-19,93.389999,94.419998,93.160004,93.449997,460600,91.207304
2015-06-22,93.93,94.32,93.610001,94.0,336700,91.744107
2015-06-23,93.959999,94.400002,93.169998,93.32,388400,91.080426
2015-06-24,93.32,93.610001,91.220001,91.620003,489300,89.421227
2015-06-25,91.989998,92.190002,89.43,89.68,830000,87.527783
2015-06-26,89.690002,89.699997,88.540001,89.080002,1032700,86.942184
2015-06-29,89.290001,89.68,86.75,86.889999,1113900,84.804739
2015-06-30,87.620003,88.410004,86.82,87.370003,644200,85.273223
2015-07-01,88.029999,89.339996,87.860001,88.110001,709500,85.995461
2015-07-02,88.199997,88.75,87.769997,88.360001,605500,86.239462
2015-07-06,87.809998,88.889999,87.309998,87.599998,638300,85.497699
2015-07-07,87.93,88.639999,86.220001,88.589996,601300,86.463938
2015-07-08,87.730003,88.0,86.580002,87.230003,714900,85.136583
2015-07-09,88.199997,88.739998,87.690002,87.809998,424400,85.702658
2015-07-10,89.199997,90.110001,88.970001,90.0,627000,87.840103
2015-07-13,90.610001,92.220001,90.050003,91.790001,849600,89.587146
2015-07-14,91.550003,92.089996,91.0,91.459999,549000,89.265064
2015-07-15,91.550003,91.669998,90.0,90.25,378200,88.084103
2015-07-16,90.669998,91.160004,90.290001,91.129997,354500,88.942982
2015-07-17,91.529999,92.5,90.970001,91.489998,485600,89.294343
2015-07-20,91.599998,92.260002,91.519997,91.709999,783000,89.509064
2015-07-21,91.5,93.839996,91.459999,93.269997,1043800,91.031623
2015-07-22,93.580002,93.860001,91.779999,93.080002,1392600,90.846188
2015-07-23,90.980003,92.129997,87.959999,88.419998,2310100,86.298019
2015-07-24,88.089996,89.370003,87.160004,87.720001,951100,85.614821
2015-07-27,87.110001,87.870003,86.769997,87.32,759000,85.22442
2015-07-28,87.769997,89.739998,87.040001,88.980003,666400,86.844585
2015-07-29,88.980003,92.449997,88.980003,92.169998,933900,89.958024
2015-07-30,91.82,92.120003,90.769997,91.970001,459800,89.762826
2015-07-31,92.099998,92.309998,90.419998,90.519997,802000,88.34762
2015-08-03,90.699997,91.940002,89.730003,91.589996,792400,89.391941
2015-08-04,91.370003,92.300003,91.18,91.639999,546500,89.440744
2015-08-05,92.099998,93.57,91.879997,91.910004,553500,89.704269
2015-08-06,92.209999,92.690002,90.870003,91.550003,794000,89.352908
2015-08-07,91.360001,91.360001,90.089996,90.5,1745800,88.328103
2015-08-10,90.709999,92.300003,90.709999,91.790001,553100,89.587146
2015-08-11,91.019997,91.75,89.599998,90.419998,804700,88.250022
2015-08-12,89.709999,90.160004,87.860001,89.5,850600,87.352102
2015-08-13,89.940002,89.940002,88.650002,88.75,348800,86.620101
2015-08-14,88.480003,89.410004,88.260002,89.209999,320800,87.069061
2015-08-17,88.900002,89.440002,87.839996,88.889999,539400,86.756741
2015-08-18,88.919998,89.269997,88.309998,88.410004,512800,86.288265
2015-08-19,87.559998,88.050003,86.199997,86.529999,909400,84.453378
2015-08-20,85.589996,85.970001,82.970001,83.089996,1017100,81.482012
2015-08-21,82.150002,83.169998,80.260002,80.989998,1577600,79.422654
2015-08-24,76.910004,80.870003,75.559998,77.709999,1237000,76.206131
2015-08-25,79.93,80.389999,76.120003,76.160004,1225800,74.686131
2015-08-26,78.110001,79.199997,76.529999,79.029999,959300,77.500585
2015-08-27,79.870003,81.919998,79.870003,81.32,1105200,79.746269
2015-08-28,81.620003,83.0,81.559998,82.040001,1198900,80.452337
2015-08-31,81.559998,82.650002,81.309998,81.970001,670500,80.383692
2015-09-01,80.269997,80.739998,78.800003,79.120003,947300,77.588847
2015-09-02,80.110001,81.0,79.279999,81.0,700600,79.432462
2015-09-03,81.449997,82.419998,81.040001,81.190002,505500,79.618788
2015-09-04,80.059998,81.400002,79.739998,80.169998,469800,78.618523
2015-09-08,81.800003,82.970001,81.57,82.910004,519300,81.305503
2015-09-09,82.599998,82.910004,80.830002,81.019997,970700,79.452072
2015-09-10,81.269997,82.330002,80.900002,81.620003,472600,80.040467
2015-09-11,81.010002,81.879997,80.940002,81.879997,472700,80.29543
2015-09-14,81.769997,82.360001,81.07,81.349998,494700,79.775688
2015-09-15,81.769997,84.160004,81.580002,83.900002,632500,82.276342
2015-09-16,83.620003,84.330002,82.980003,83.919998,744500,82.295952
2015-09-17,83.970001,85.080002,83.620003,83.889999,482700,82.266534
2015-09-18,82.970001,83.769997,80.540001,80.860001,898500,79.295172
2015-09-21,81.610001,82.25,80.870003,81.199997,488100,79.628589
2015-09-22,80.129997,80.129997,77.419998,78.089996,825200,76.578774
2015-09-23,78.279999,78.279999,75.989998,76.779999,711500,75.294128
2015-09-24,76.050003,76.139999,74.279999,75.010002,945100,73.558385
2015-09-25,75.629997,75.779999,74.550003,75.129997,793100,73.676058
2015-09-28,74.809998,74.809998,73.099998,73.580002,1127300,72.156058
2015-09-29,73.629997,75.599998,72.660004,73.519997,716400,72.097214
2015-09-30,74.5,75.639999,73.480003,74.040001,682800,72.607155
2015-10-01,74.040001,74.540001,71.5,71.839996,1780500,70.449726
2015-10-02,70.760002,71.559998,69.550003,71.550003,1652900,70.165345
2015-10-05,72.230003,74.519997,72.230003,74.010002,1120900,72.577737
2015-10-06,73.75,74.510002,72.800003,73.18,755900,71.763798
2015-10-07,73.629997,74.910004,73.07,74.129997,684900,72.69541
2015-10-08,73.800003,75.260002,73.75,75.129997,566000,73.676058
2015-10-09,75.279999,76.330002,75.160004,75.879997,643100,74.411544
2015-10-12,75.800003,76.080002,74.639999,75.650002,483000,74.185999
