Date,Open_TIF,High_TIF,Low_TIF,Close_TIF,Volume_TIF,AdjClose_TIF
2015-06-08,92.959999,93.290001,92.169998,92.190002,839400,90.339912
2015-06-09,92.0,92.370003,91.449997,92.07,744400,90.222318
2015-06-10,92.57,93.5,92.059998,93.110001,814800,91.241448
2015-06-11,93.419998,94.089996,92.699997,92.849998,581700,90.986664
2015-06-12,92.5,92.779999,92.019997,92.080002,704100,90.232119
2015-06-15,91.540001,92.129997,91.160004,91.660004,911300,89.82055
2015-06-16,91.559998,92.220001,91.309998,92.160004,722600,90.310516
2015-06-17,92.089996,93.07,92.019997,92.589996,964600,90.731879
2015-06-18,92.57,93.709999,92.440002,93.150002,859500,91.676699
2015-06-19,92.989998,93.300003,92.410004,92.470001,818700,91.007454
2015-06-22,92.970001,93.760002,92.720001,93.260002,618900,91.78496
2015-06-23,93.43,94.470001,93.32,94.150002,826900,92.660883
2015-06-24,94.040001,94.400002,93.410004,93.519997,793900,92.040842
2015-06-25,93.730003,94.150002,93.449997,93.540001,617000,92.06053
2015-06-26,93.550003,94.599998,93.470001,94.239998,1084900,92.749456
2015-06-29,93.43,93.510002,91.040001,91.139999,1031600,89.698488
2015-06-30,91.830002,92.099998,90.949997,91.800003,1215000,90.348053
2015-07-01,92.529999,93.769997,92.010002,93.769997,1478300,92.286888
2015-07-02,93.940002,94.410004,93.769997,94.019997,1354200,92.532934
2015-07-06,93.260002,94.139999,92.580002,92.910004,1110100,91.440497
2015-07-07,93.970001,94.540001,92.32,94.5,1506200,93.005345
2015-07-08,94.040001,94.269997,90.059998,90.25,1721500,88.822565
2015-07-09,91.510002,92.190002,90.949997,91.029999,1265400,89.590227
2015-07-10,92.32,92.5,91.449997,91.949997,740500,90.495674
2015-07-13,93.0,93.599998,92.589996,93.279999,986400,91.80464
2015-07-14,93.279999,93.82,92.93,93.330002,589600,91.853853
2015-07-15,93.5,94.300003,93.050003,93.68,870300,92.198315
2015-07-16,94.160004,94.349998,93.5,93.989998,539500,92.50341
2015-07-17,93.529999,94.019997,92.57,92.879997,820100,91.410965
2015-07-20,92.910004,94.419998,92.720001,94.0,793100,92.513254
2015-07-21,94.0,94.5,93.620003,93.900002,675100,92.414837
2015-07-22,93.739998,94.790001,93.5,94.760002,763200,93.261235
2015-07-23,95.0,95.900002,94.699997,95.239998,1180300,93.733639
2015-07-24,95.389999,95.480003,92.580002,93.239998,1226300,91.765272
2015-07-27,92.800003,93.209999,90.540001,90.82,1061200,89.38355
2015-07-28,91.110001,92.290001,90.07,91.989998,933500,90.535043
2015-07-29,92.540001,94.800003,92.339996,94.379997,1342600,92.887241
2015-07-30,94.239998,95.309998,93.970001,95.0,856800,93.497437
2015-07-31,95.5,95.989998,95.019997,95.699997,1031800,94.186363
2015-08-03,95.910004,95.949997,93.599998,94.019997,1111400,92.532934
2015-08-04,94.330002,95.639999,94.0,94.790001,647600,93.29076
2015-08-05,95.629997,96.300003,94.739998,94.82,689300,93.320284
2015-08-06,94.68,94.959999,92.629997,93.260002,838400,91.78496
2015-08-07,93.209999,93.5,92.519997,93.370003,494600,91.893221
2015-08-10,93.949997,96.43,93.660004,95.610001,1254700,94.09779
2015-08-11,93.900002,94.93,92.730003,93.599998,1661800,92.119579
