Date,Open_DTE,High_DTE,Low_DTE,Close_DTE,Volume_DTE,AdjClose_DTE
2013-06-14,66.959999,67.339996,66.650002,66.870003,706000,60.49686
2013-06-17,67.290001,67.760002,66.730003,67.050003,728600,60.659705
2013-06-18,67.059998,67.589996,66.730003,67.589996,544100,61.148233
2013-06-19,67.419998,67.720001,66.040001,66.080002,1192200,59.782151
2013-06-20,65.650002,65.720001,63.849998,64.0,1435300,57.900387
2013-06-21,64.400002,65.029999,63.380001,64.669998,1660300,58.50653
2013-06-24,64.18,64.879997,63.68,64.309998,1116100,58.18084
2013-06-25,64.599998,65.459999,64.080002,65.300003,846400,59.076491
2013-06-26,65.739998,66.639999,65.720001,66.389999,1336400,60.062604
2013-06-27,66.610001,67.269997,66.57,66.660004,756000,60.306875
2013-06-28,66.370003,67.150002,65.919998,67.010002,1072900,60.623516
2013-07-01,67.599998,67.660004,65.550003,65.82,789500,59.546929
2013-07-02,65.82,66.459999,65.720001,66.010002,698000,59.718823
2013-07-03,65.589996,66.110001,65.440002,65.900002,431100,59.619306
2013-07-05,65.919998,66.050003,64.709999,65.769997,733300,59.501691
2013-07-08,65.980003,66.849998,65.809998,66.410004,793900,60.080702
2013-07-09,66.790001,66.940002,66.089996,66.830002,1848900,60.460671
2013-07-10,66.470001,67.599998,66.43,67.57,1123600,61.130142
2013-07-11,68.150002,68.779999,68.059998,68.739998,735400,62.188632
2013-07-12,68.720001,69.019997,68.150002,68.989998,856300,62.414806
2013-07-15,68.870003,69.830002,68.790001,69.809998,1194900,63.156654
2013-07-16,69.970001,70.07,69.330002,69.559998,597900,62.930481
2013-07-17,69.900002,70.080002,69.169998,69.599998,853700,62.966669
2013-07-18,69.779999,70.610001,69.599998,70.529999,569700,63.808035
2013-07-19,70.68,70.769997,70.139999,70.269997,572300,63.572812
2013-07-22,70.269997,70.75,70.139999,70.480003,504700,63.762804
2013-07-23,70.5,70.93,70.389999,70.839996,788000,64.088487
2013-07-24,70.82,70.940002,69.160004,69.650002,672300,63.011907
2013-07-25,69.540001,70.279999,69.330002,70.019997,752800,63.346639
2013-07-26,69.68,70.220001,68.989998,70.150002,818600,63.464253
2013-07-29,69.839996,71.010002,69.75,70.599998,889600,63.871363
2013-07-30,70.970001,71.589996,70.849998,71.230003,1161100,64.441324
2013-07-31,70.980003,71.199997,70.260002,70.699997,1124000,63.961831
2013-08-01,71.07,71.629997,70.93,71.589996,771000,64.767007
2013-08-02,71.580002,71.769997,71.089996,71.639999,546200,64.812245
2013-08-05,71.389999,71.389999,70.800003,71.050003,649700,64.278479
2013-08-06,71.050003,71.190002,70.699997,70.730003,1382200,63.988977
2013-08-07,70.389999,71.0,70.239998,70.629997,659700,63.898503
2013-08-08,70.760002,71.279999,70.43,71.07,533300,64.29657
2013-08-09,71.07,71.080002,70.339996,70.800003,1001500,64.052306
2013-08-12,70.349998,70.5,70.050003,70.449997,597200,63.735657
2013-08-13,70.449997,70.599998,69.690002,69.919998,780000,63.256171
2013-08-14,69.860001,70.010002,69.169998,69.370003,744600,62.758594
2013-08-15,69.019997,69.089996,68.300003,68.459999,847800,61.935319
2013-08-16,68.300003,68.379997,67.190002,67.589996,840200,61.148233
2013-08-19,67.349998,67.93,66.739998,67.160004,797400,60.759222
2013-08-20,67.139999,68.019997,66.809998,67.589996,734900,61.148233
2013-08-21,67.360001,67.449997,66.470001,66.779999,995700,60.415434
2013-08-22,66.879997,67.220001,66.610001,66.93,422500,60.551139
2013-08-23,66.970001,67.510002,66.720001,67.379997,582700,60.958249
2013-08-26,67.339996,67.660004,66.839996,67.040001,709300,60.650656
