Date,Open_ETR,High_ETR,Low_ETR,Close_ETR,Volume_ETR,AdjClose_ETR
2015-06-08,72.239998,72.589996,71.959999,71.980003,1063700,68.587025
2015-06-09,72.629997,72.629997,70.879997,70.900002,1459400,67.557932
2015-06-10,71.330002,71.739998,70.639999,70.709999,2708900,67.376886
2015-06-11,71.199997,71.75,70.720001,71.419998,1744100,68.053417
2015-06-12,71.160004,71.580002,70.699997,70.709999,903400,67.376886
2015-06-15,70.489998,71.0,70.120003,70.949997,1475800,67.60557
2015-06-16,70.879997,71.190002,70.440002,70.830002,782800,67.491232
2015-06-17,70.769997,71.620003,70.419998,71.190002,1584600,67.834263
2015-06-18,71.32,72.360001,71.32,72.040001,1953400,68.644194
2015-06-19,71.639999,72.230003,71.459999,71.57,1494100,68.196348
2015-06-22,71.82,71.900002,71.25,71.5,845700,68.129648
2015-06-23,71.459999,71.580002,70.540001,70.779999,1066100,67.443586
2015-06-24,70.849998,71.18,70.5,70.510002,1194500,67.186316
2015-06-25,70.519997,70.529999,69.459999,69.470001,786100,66.195338
2015-06-26,69.389999,70.629997,69.059998,70.510002,1986700,67.186316
2015-06-29,70.550003,71.190002,69.839996,69.949997,1354900,66.652708
2015-06-30,70.300003,71.410004,69.989998,70.5,4553900,67.176785
2015-07-01,70.660004,71.5,70.480003,71.449997,2328000,68.082002
2015-07-02,72.239998,72.669998,71.57,71.879997,1394100,68.491733
2015-07-06,71.739998,72.470001,71.480003,72.470001,1420900,69.053925
2015-07-07,72.760002,74.0,72.669998,73.610001,2686300,70.140187
2015-07-08,73.32,74.089996,73.139999,73.300003,1732000,69.844802
2015-07-09,73.470001,73.730003,72.370003,72.519997,1266200,69.101564
2015-07-10,72.489998,73.160004,72.110001,72.489998,949500,69.072979
2015-07-13,72.82,72.989998,72.019997,72.25,839300,68.844294
2015-07-14,72.260002,72.860001,71.989998,72.290001,1296900,68.88241
2015-07-15,72.440002,72.519997,71.739998,72.25,1536800,68.844294
2015-07-16,72.360001,73.440002,72.360001,72.970001,1483000,69.530356
2015-07-17,73.120003,73.120003,72.309998,72.370003,866800,68.95864
2015-07-20,72.339996,72.43,71.629997,72.279999,905400,68.872879
2015-07-21,72.220001,72.389999,70.93,71.300003,1038600,67.939078
2015-07-22,71.339996,71.800003,70.870003,71.0,1423100,67.653216
2015-07-23,70.690002,70.790001,69.150002,69.699997,1705500,66.414493
2015-07-24,69.779999,69.889999,69.150002,69.209999,921700,65.947592
2015-07-27,69.25,70.800003,69.25,70.400002,1111100,67.081501
2015-07-28,69.75,70.470001,69.550003,69.980003,1456100,66.6813
2015-07-29,69.830002,70.220001,69.43,70.110001,1184700,66.80517
2015-07-30,69.900002,71.089996,69.720001,70.360001,1026700,67.043385
2015-07-31,70.889999,71.5,70.889999,71.019997,1187900,67.67227
2015-08-03,71.25,71.559998,70.889999,71.199997,1603400,67.843786
2015-08-04,70.0,70.599998,68.230003,68.580002,2829100,65.347292
2015-08-05,68.580002,68.589996,67.75,67.879997,2976800,64.680284
2015-08-06,67.860001,69.489998,67.230003,69.440002,1771600,66.166754
2015-08-07,69.379997,70.870003,68.860001,70.260002,1381400,66.9481
2015-08-10,70.32,70.709999,68.550003,68.910004,1879400,65.661738
2015-08-11,68.32,69.529999,68.25,68.940002,1904200,66.491187
2015-08-12,68.629997,70.220001,68.5,70.010002,1883800,67.523179
2015-08-13,70.010002,70.059998,69.080002,69.790001,1243400,67.310992
2015-08-14,69.599998,70.199997,69.449997,70.099998,1531300,67.609978
2015-08-17,70.080002,70.910004,69.910004,70.660004,1782800,68.150092
2015-08-18,70.43,71.019997,70.230003,70.620003,1330800,68.111512
2015-08-19,70.260002,71.139999,70.110001,70.870003,1021100,68.352631
2015-08-20,70.370003,71.559998,70.110001,70.559998,1180300,68.053638
2015-08-21,70.339996,70.860001,69.389999,69.389999,1562500,66.925199
2015-08-24,67.400002,69.480003,65.540001,65.900002,2487600,63.559169
2015-08-25,66.419998,67.220001,63.599998,63.599998,2326900,61.340865
2015-08-26,64.349998,64.519997,63.200001,64.290001,2101300,62.006358
2015-08-27,64.480003,65.910004,64.480003,65.809998,2375300,63.472363
2015-08-28,65.779999,66.269997,65.07,65.900002,1714600,63.559169
2015-08-31,65.620003,65.639999,64.43,65.330002,1704800,63.009417
2015-09-01,64.459999,64.459999,62.66,63.060001,1639600,60.820049
2015-09-02,63.759998,63.82,62.450001,62.759998,1291200,60.530702
2015-09-03,62.810001,63.41,62.619999,62.990002,1111400,60.752536
2015-09-04,62.48,62.509998,61.27,61.529999,1497100,59.344393
2015-09-08,62.27,62.73,61.849998,62.389999,1986400,60.173846
2015-09-09,62.779999,62.869999,61.75,61.889999,1292800,59.691607
2015-09-10,61.830002,62.77,61.759998,62.029999,1781000,59.826633
2015-09-11,61.75,62.700001,61.57,62.68,1184900,60.453546
2015-09-14,62.68,63.279999,62.549999,62.830002,1173100,60.598219
2015-09-15,62.919998,63.41,62.549999,63.23,1257600,60.984009
2015-09-16,63.360001,64.489998,63.23,63.950001,1516600,61.678435
2015-09-17,63.93,65.459999,63.799999,64.419998,1051800,62.131737
2015-09-18,63.91,64.860001,63.759998,64.25,1976500,61.967778
2015-09-21,64.370003,64.790001,63.810001,63.93,1251500,61.659145
2015-09-22,64.410004,64.629997,63.689999,64.040001,1953700,61.765238
2015-09-23,64.040001,64.040001,63.119999,63.540001,1444300,61.282998
2015-09-24,62.389999,63.740002,62.299999,63.59,1633700,61.331222
2015-09-25,63.580002,65.25,63.299999,64.589996,1641700,62.295697
2015-09-28,64.32,65.07,64.0,64.059998,1066100,61.784524
2015-09-29,64.139999,64.959999,63.93,64.330002,824900,62.044938
2015-09-30,64.519997,65.139999,64.25,65.099998,1382500,62.787583
2015-10-01,65.160004,65.260002,63.900002,64.410004,1236100,62.122098
2015-10-02,64.919998,65.93,64.410004,65.889999,1414800,63.549523
2015-10-05,66.18,67.190002,65.739998,66.970001,1117100,64.591162
2015-10-06,66.800003,66.989998,65.639999,66.110001,1240700,63.761709
2015-10-07,66.120003,66.779999,66.099998,66.779999,1570300,64.407908
2015-10-08,66.75,68.220001,66.239998,67.669998,1426200,65.266294
2015-10-09,67.699997,67.959999,67.25,67.559998,1366300,65.160201
2015-10-12,67.730003,69.059998,67.230003,68.279999,950900,65.854627
2015-10-13,68.18,68.620003,67.839996,68.099998,1348500,65.68102
2015-10-14,68.150002,68.57,67.669998,67.919998,1091100,65.507414
2015-10-15,68.18,69.199997,67.690002,69.080002,1094400,66.626213
2015-10-16,69.559998,70.0,69.080002,69.300003,1619500,66.8384
2015-10-19,69.510002,69.75,68.779999,69.379997,1267200,66.915552
2015-10-20,69.190002,70.519997,68.910004,70.07,1340800,67.581045
2015-10-21,70.290001,70.669998,69.370003,69.419998,729200,66.954132
2015-10-22,69.620003,70.129997,69.32,70.059998,1036400,67.571398
2015-10-23,69.860001,70.019997,68.589996,68.650002,995900,66.211487
2015-10-26,68.879997,68.980003,67.790001,68.489998,1253600,66.057167
2015-10-27,68.400002,68.699997,67.870003,68.459999,776600,66.028233
2015-10-28,68.459999,68.919998,67.199997,67.760002,1115300,65.353101
2015-10-29,67.379997,67.639999,66.019997,67.5,1180100,65.102334
2015-10-30,67.5,68.360001,67.260002,68.160004,1775000,65.738894
2015-11-02,67.75,69.0,66.43,68.550003,2510700,66.11504
2015-11-03,68.519997,69.93,68.349998,69.290001,1968000,66.828753
2015-11-04,69.220001,69.620003,68.650002,69.209999,1343200,66.751593
2015-11-05,69.199997,69.550003,67.830002,68.059998,1178500,65.64244
2015-11-06,66.739998,67.550003,65.419998,65.650002,2564500,63.31805
2015-11-09,64.830002,65.370003,64.110001,65.139999,1364800,63.650271
2015-11-10,65.199997,65.959999,64.739998,64.849998,1729500,63.366902
2015-11-11,64.959999,66.410004,64.709999,66.059998,1949300,64.549229
2015-11-12,65.839996,66.489998,65.379997,65.800003,1778600,64.29518
2015-11-13,65.860001,66.290001,64.989998,65.150002,1091400,63.660044
2015-11-16,65.199997,66.879997,64.949997,66.830002,1188700,65.301623
2015-11-17,66.669998,66.919998,65.300003,65.440002,1085800,63.943413
2015-11-18,65.440002,66.110001,64.489998,65.669998,1215800,64.168149
2015-11-19,65.980003,66.209999,65.269997,65.839996,1407800,64.334259
2015-11-20,66.339996,67.07,66.129997,66.940002,1284200,65.409108
2015-11-23,66.900002,67.300003,66.559998,66.669998,922800,65.145279
2015-11-24,66.25,66.690002,66.029999,66.480003,1197100,64.959629
2015-11-25,66.669998,66.669998,65.400002,66.139999,780500,64.627401
2015-11-27,66.080002,66.400002,65.830002,66.169998,403400,64.656714
2015-11-30,66.129997,67.239998,66.019997,66.629997,1406500,65.106193
2015-12-01,66.769997,67.949997,65.459999,67.389999,1280400,65.848814
2015-12-02,67.199997,67.199997,65.230003,65.309998,1106500,63.816381
2015-12-03,64.970001,65.25,64.18,64.360001,1130100,62.88811
2015-12-04,64.610001,66.0,64.25,65.93,1187200,64.422205
2015-12-07,65.739998,66.709999,65.25,66.690002,1470300,65.164826
2015-12-08,66.510002,66.779999,66.160004,66.559998,1330100,65.037794
2015-12-09,66.239998,68.629997,66.110001,68.040001,2328000,66.48395
