Date,Open_HP,High_HP,Low_HP,Close_HP,Volume_HP,AdjClose_HP
2013-06-14,62.009998,62.18,60.77,60.82,952500,54.465887
2013-06-17,61.450001,64.0,61.450001,63.509998,1840300,56.87485
2013-06-18,63.450001,64.25,63.380001,64.040001,922500,57.349482
2013-06-19,64.089996,64.620003,63.27,63.27,780200,56.659926
2013-06-20,62.189999,62.349998,60.950001,61.23,1005200,54.833052
2013-06-21,61.639999,62.459999,60.689999,61.689999,1651300,55.244994
2013-06-24,60.5,62.41,59.77,61.810001,1797400,55.352459
2013-06-25,62.419998,64.25,62.419998,63.66,1683400,57.009181
2013-06-26,63.98,64.370003,62.779999,62.939999,995400,56.364401
2013-06-27,63.509998,63.630001,62.66,62.709999,805700,56.15843
2013-06-28,62.450001,63.049999,62.220001,62.450001,1309300,55.925595
2013-07-01,63.299999,64.290001,62.790001,63.759998,1106200,57.098732
2013-07-02,63.77,64.540001,63.759998,64.050003,1155500,57.358439
2013-07-03,63.849998,64.050003,63.279999,63.82,498500,57.152465
2013-07-05,64.660004,65.760002,64.239998,65.480003,811800,58.639041
2013-07-08,65.68,66.239998,65.400002,65.849998,1232700,58.970381
2013-07-09,65.879997,65.959999,64.959999,65.370003,1283200,58.540533
2013-07-10,65.5,65.5,64.029999,64.589996,1254400,57.842017
2013-07-11,65.75,65.760002,64.029999,64.730003,929200,57.967397
2013-07-12,64.830002,65.510002,64.339996,65.480003,858800,58.639041
2013-07-15,65.769997,65.989998,64.940002,65.260002,677700,58.442024
2013-07-16,65.379997,65.75,63.990002,64.339996,639700,57.618135
2013-07-17,64.580002,65.550003,64.209999,65.209999,801200,58.397245
2013-07-18,65.650002,67.0,65.459999,66.510002,790100,59.561432
2013-07-19,66.470001,67.459999,65.690002,67.389999,974500,60.349492
2013-07-22,67.550003,67.779999,66.959999,67.0,848200,60.000237
2013-07-23,67.370003,67.519997,66.230003,66.849998,1238900,59.865907
2013-07-24,67.0,67.110001,65.160004,65.940002,855200,59.050982
2013-07-25,65.209999,66.559998,64.669998,66.559998,1455800,59.606204
2013-07-26,68.019997,68.279999,64.150002,64.730003,1980100,57.967397
2013-07-29,64.550003,64.769997,63.18,63.439999,1505400,56.812164
2013-07-30,63.75,63.98,62.349998,63.139999,1566400,56.543507
2013-07-31,63.25,64.389999,62.799999,63.200001,1691400,56.59724
2013-08-01,64.75,65.010002,64.059998,64.870003,1047600,58.09277
2013-08-02,64.849998,65.589996,64.230003,65.589996,1029000,58.737543
2013-08-05,65.43,66.529999,65.059998,66.300003,1259600,59.373372
2013-08-06,66.400002,66.559998,65.68,66.379997,1449500,59.445009
2013-08-07,66.239998,67.480003,66.010002,67.290001,1887100,60.259941
2013-08-08,67.650002,68.410004,66.980003,67.870003,1555900,60.779347
2013-08-09,67.849998,68.199997,66.639999,67.910004,1354000,60.815169
2013-08-12,67.120003,67.739998,66.5,67.300003,1002800,60.268898
2013-08-13,67.029999,67.459999,66.57,67.260002,1172700,60.683921
2013-08-14,67.010002,67.699997,66.449997,66.489998,1083700,59.989201
2013-08-15,65.540001,66.260002,65.18,65.5,983300,59.095996
2013-08-16,65.489998,65.650002,64.349998,64.760002,1285200,58.428349
2013-08-19,64.75,64.970001,63.959999,64.019997,787300,57.760694
2013-08-20,64.040001,65.309998,64.0,64.940002,1140900,58.59075
2013-08-21,64.949997,65.25,63.84,63.900002,748700,57.652431
2013-08-22,64.059998,64.709999,64.0,64.550003,995300,58.238882
2013-08-23,64.830002,65.07,64.059998,64.669998,701000,58.347145
2013-08-26,64.93,65.150002,63.950001,64.07,736600,57.805809
2013-08-27,63.200001,64.050003,63.0,63.220001,629400,57.038915
2013-08-28,63.32,64.68,63.279999,64.160004,960100,57.887013
2013-08-29,63.950001,64.0,63.0,63.27,818400,57.084026
2013-08-30,63.52,63.52,62.84,63.040001,819600,56.876514
2013-09-03,63.990002,64.0,62.389999,62.91,1153800,56.759223
2013-09-04,62.84,64.459999,62.830002,63.959999,862100,57.706563
2013-09-05,64.029999,64.830002,63.919998,64.5,685600,58.193767
2013-09-06,64.739998,65.010002,63.84,64.360001,565400,58.067456
2013-09-09,64.480003,66.410004,64.349998,65.739998,806300,59.312529
2013-09-10,66.059998,66.160004,65.209999,66.120003,812900,59.655381
2013-09-11,66.470001,67.120003,66.050003,67.120003,933700,60.55761
2013-09-12,66.93,67.459999,65.839996,66.559998,983700,60.052357
2013-09-13,66.970001,69.489998,66.239998,68.989998,2629700,62.244773
2013-09-16,69.639999,69.800003,68.540001,68.910004,1055200,62.1726
2013-09-17,68.879997,69.730003,68.309998,69.010002,739000,62.262822
2013-09-18,69.139999,69.879997,68.519997,69.639999,628300,62.831224
2013-09-19,69.949997,70.959999,69.279999,70.82,1427000,63.895854
2013-09-20,71.260002,71.360001,70.120003,70.32,1301500,63.44474
2013-09-23,70.0,70.019997,68.919998,69.410004,1184200,62.623715
2013-09-24,69.449997,69.540001,68.690002,68.800003,947000,62.073355
2013-09-25,68.879997,69.620003,68.260002,69.040001,1268800,62.289888
2013-09-26,69.440002,69.809998,69.050003,69.470001,670000,62.677846
2013-09-27,69.139999,69.379997,68.550003,69.07,706300,62.316953
2013-09-30,68.489998,69.07,67.949997,68.949997,844600,62.208683
2013-10-01,68.910004,71.339996,68.870003,70.919998,1087100,63.986076
2013-10-02,70.629997,71.919998,69.959999,71.910004,1187100,64.879287
2013-10-03,71.900002,72.720001,71.150002,72.620003,1170000,65.519869
2013-10-04,72.720001,74.290001,72.080002,73.699997,1334200,66.494271
2013-10-07,72.540001,72.900002,71.93,72.089996,847500,65.041682
2013-10-08,72.190002,73.639999,71.739998,71.82,1334100,64.798083
2013-10-09,72.089996,72.129997,70.589996,71.110001,1035400,64.157501
2013-10-10,72.089996,73.169998,71.949997,73.169998,1260300,66.016091
2013-10-11,73.0,74.190002,72.330002,73.980003,897000,66.746901
2013-10-14,73.370003,75.25,73.169998,75.110001,783800,67.766417
2013-10-15,74.730003,75.379997,74.080002,74.580002,964600,67.288237
2013-10-16,75.309998,75.800003,74.599998,75.260002,780300,67.901753
2013-10-17,75.150002,75.940002,74.900002,75.839996,976600,68.42504
2013-10-18,76.699997,77.730003,76.279999,76.760002,1172800,69.255096
2013-10-21,76.830002,76.919998,76.230003,76.489998,732000,69.011491
2013-10-22,76.900002,77.889999,76.470001,76.889999,635000,69.372384
2013-10-23,76.550003,76.730003,74.559998,75.0,1044300,67.667171
2013-10-24,74.870003,75.940002,74.529999,75.879997,1022200,68.46113
2013-10-25,76.370003,77.330002,75.830002,76.57,674500,69.083671
2013-10-28,76.830002,77.449997,76.610001,77.169998,861700,69.625007
2013-10-29,77.169998,78.690002,77.110001,78.660004,1061600,70.969333
2013-10-30,78.849998,79.120003,76.809998,77.510002,992200,69.931768
2013-10-31,77.449997,78.389999,77.080002,77.550003,792600,69.967858
2013-11-01,77.639999,78.019997,76.610001,77.43,1070700,69.859588
2013-11-04,77.790001,78.0,77.349998,77.849998,675300,70.238522
2013-11-05,77.410004,77.919998,76.720001,77.779999,697600,70.175367
2013-11-06,78.279999,78.519997,77.040001,77.650002,706200,70.058079
2013-11-07,78.099998,78.209999,75.309998,75.669998,1283200,68.271663
2013-11-08,76.080002,78.07,75.739998,78.019997,1009000,70.3919
2013-11-11,78.150002,78.68,77.82,78.379997,1079500,70.716703
2013-11-12,78.489998,78.489998,76.419998,76.720001,1082700,69.219006
2013-11-13,75.790001,77.139999,75.169998,76.959999,1397100,69.891032
2013-11-14,78.199997,78.5,76.720001,78.059998,1341400,70.889993
2013-11-15,79.080002,79.519997,78.129997,79.269997,1481200,71.98885
2013-11-18,79.440002,79.559998,78.199997,78.800003,1212300,71.562027
2013-11-19,78.760002,79.32,77.610001,78.550003,1360600,71.33499
2013-11-20,78.980003,79.330002,78.489998,78.849998,846700,71.60743
2013-11-21,79.099998,79.32,78.410004,79.0,878600,71.743654
2013-11-22,79.629997,79.629997,78.699997,78.970001,953000,71.71641
2013-11-25,78.760002,78.959999,76.760002,77.239998,1241000,70.145312
2013-11-26,77.089996,78.790001,77.089996,78.720001,1379500,71.489373
2013-11-27,78.529999,78.669998,76.440002,77.349998,757300,70.245209
2013-11-29,77.260002,77.669998,76.309998,77.0,324900,69.927359
2013-12-02,77.300003,79.160004,76.360001,78.050003,1078900,70.880916
2013-12-03,78.07,79.830002,77.709999,79.669998,1466300,72.352111
2013-12-04,79.75,81.089996,78.900002,80.970001,1581700,73.532705
2013-12-05,81.0,81.0,79.660004,80.230003,1172700,72.860678
2013-12-06,81.349998,81.349998,79.510002,79.830002,788800,72.497418
2013-12-09,79.940002,80.559998,79.050003,79.489998,1139000,72.188644
2013-12-10,79.709999,81.029999,79.199997,79.339996,1227000,72.05242
2013-12-11,79.510002,79.82,78.190002,78.419998,1000500,71.216926
2013-12-12,78.519997,80.669998,78.519997,79.809998,1350300,72.479251
2013-12-13,79.620003,80.029999,78.629997,79.519997,973800,72.215887
2013-12-16,80.379997,81.389999,80.220001,81.260002,1250100,73.796069
2013-12-17,81.129997,81.260002,80.080002,80.839996,838000,73.414642
2013-12-18,81.029999,81.620003,80.029999,81.519997,1181800,74.032182
