Date,Open_JNJ,High_JNJ,Low_JNJ,Close_JNJ,Volume_JNJ,AdjClose_JNJ
2013-06-14,84.709999,85.480003,84.660004,84.910004,6357100,77.963344
2013-06-17,85.370003,86.400002,84.980003,85.629997,8429100,78.624434
2013-06-18,85.75,86.440002,85.629997,86.360001,7233600,79.294714
2013-06-19,86.43,86.5,84.800003,84.860001,8288400,77.917432
2013-06-20,84.209999,84.449997,82.120003,82.620003,15172600,75.860693
2013-06-21,83.0,84.32,82.5,83.199997,20715800,76.393237
2013-06-24,82.919998,85.309998,82.809998,84.610001,14777500,77.687885
2013-06-25,85.160004,85.589996,84.540001,85.349998,11239400,78.367342
2013-06-26,85.949997,87.32,85.940002,86.989998,11966500,79.87317
2013-06-27,87.529999,87.82,86.489998,86.709999,8890300,79.616079
2013-06-28,86.720001,87.379997,85.849998,85.860001,11896300,78.83562
2013-07-01,85.720001,87.639999,85.5,86.629997,9905200,79.542622
2013-07-02,86.650002,87.199997,86.209999,86.57,8572100,79.487533
2013-07-03,86.540001,87.040001,86.099998,86.779999,3599900,79.680351
2013-07-05,87.580002,87.879997,86.919998,87.870003,5403600,80.68118
2013-07-08,88.089996,88.989998,87.970001,88.589996,12051400,81.342269
2013-07-09,88.650002,89.080002,88.360001,88.879997,9348600,81.608545
2013-07-10,88.879997,89.480003,88.809998,89.239998,7067100,81.939093
2013-07-11,89.809998,89.93,89.0,89.669998,8941300,82.333914
2013-07-12,89.690002,89.989998,89.379997,89.989998,7590600,82.627734
2013-07-15,89.910004,90.809998,89.760002,90.400002,13343200,83.004194
2013-07-16,91.040001,91.660004,90.129997,90.400002,11409200,83.004194
2013-07-17,90.580002,90.970001,89.879997,90.129997,12832200,82.75628
2013-07-18,90.330002,90.949997,90.059998,90.169998,8329300,82.793008
2013-07-19,90.239998,92.269997,90.050003,92.230003,12506300,84.68448
2013-07-22,92.080002,92.559998,91.610001,92.279999,9916200,84.730385
2013-07-23,92.389999,92.860001,92.110001,92.419998,8467700,84.858931
2013-07-24,92.650002,92.660004,91.75,92.360001,6846300,84.803842
2013-07-25,92.0,92.75,91.75,92.57,7368000,84.996661
2013-07-26,92.32,92.93,91.650002,92.830002,8663700,85.235391
2013-07-29,92.629997,93.389999,92.610001,93.209999,7925000,85.5843
2013-07-30,93.470001,93.970001,93.019997,93.169998,8863000,85.547572
2013-07-31,93.230003,94.419998,93.190002,93.5,11365700,85.850576
2013-08-01,94.160004,94.400002,93.699997,93.769997,11098600,86.098483
2013-08-02,93.559998,94.389999,93.449997,94.389999,8503100,86.667762
2013-08-05,94.050003,94.300003,93.43,93.800003,7192400,86.126035
2013-08-06,93.879997,93.940002,93.5,93.809998,6415000,86.135212
2013-08-07,93.599998,94.029999,93.470001,93.660004,9056900,85.997489
2013-08-08,94.269997,94.370003,92.709999,93.339996,11090000,85.703662
2013-08-09,93.389999,93.389999,91.779999,92.360001,12135800,84.803842
2013-08-12,92.080002,92.769997,91.75,92.0,11012300,84.473294
2013-08-13,91.889999,93.349998,91.760002,93.010002,10099800,85.400666
2013-08-14,92.790001,92.949997,90.510002,90.699997,12716800,83.279647
2013-08-15,90.32,90.410004,89.089996,89.550003,12010700,82.223736
2013-08-16,89.129997,89.800003,88.769997,89.370003,14100700,82.058462
2013-08-19,89.470001,91.25,89.349998,90.449997,8687000,83.0501
2013-08-20,90.550003,91.650002,89.730003,89.730003,8559200,82.38901
2013-08-21,89.470001,89.629997,88.68,88.800003,7940700,81.535095
2013-08-22,88.760002,89.029999,88.120003,88.260002,7191900,81.039273
2013-08-23,87.93,88.440002,87.209999,88.410004,7714900,81.788613
2013-08-26,88.360001,88.480003,87.389999,87.529999,6724500,80.974516
2013-08-27,86.970001,87.080002,85.959999,86.169998,9941200,79.716371
2013-08-28,86.360001,86.910004,85.879997,86.529999,8829200,80.04941
2013-08-29,86.410004,87.139999,85.989998,86.57,5768800,80.086415
2013-08-30,86.779999,86.779999,85.849998,86.410004,7471300,79.938402
2013-09-03,86.889999,87.300003,86.029999,86.419998,7590500,79.947648
2013-09-04,86.459999,87.25,86.25,86.900002,8458800,80.391701
2013-09-05,87.0,87.169998,86.620003,87.040001,5647900,80.521216
2013-09-06,87.220001,87.919998,86.0,87.160004,10034900,80.632231
2013-09-09,87.389999,87.599998,87.010002,87.559998,6819700,81.002268
2013-09-10,88.139999,88.580002,87.849998,88.529999,8658700,81.899622
2013-09-11,88.629997,89.269997,88.139999,89.230003,8098100,82.5472
2013-09-12,89.300003,89.57,88.879997,89.010002,7938500,82.343675
2013-09-13,89.129997,89.25,88.199997,88.57,7738600,81.936627
2013-09-16,89.43,89.57,88.830002,89.029999,7563700,82.362174
2013-09-17,89.050003,89.220001,88.580002,89.059998,6291100,82.389927
