Date,Open_GAS,High_GAS,Low_GAS,Close_GAS,Volume_GAS,AdjClose_GAS
2015-06-08,47.549999,47.77,47.450001,47.450001,536900,45.816867
2015-06-09,47.509998,47.759998,47.369999,47.439999,414300,45.807209
2015-06-10,47.720001,48.02,47.509998,47.59,497900,45.952048
2015-06-11,47.91,48.139999,47.759998,47.98,420300,46.328625
2015-06-12,47.889999,48.209999,47.77,47.84,608500,46.193444
2015-06-15,47.669998,47.970001,47.360001,47.43,587800,45.797555
2015-06-16,47.400002,47.77,47.16,47.68,476100,46.038951
2015-06-17,47.84,48.360001,47.759998,48.209999,660800,46.550708
2015-06-18,48.369999,48.900002,48.169998,48.610001,579800,46.936942
2015-06-19,48.639999,48.900002,48.18,48.189999,897800,46.531396
2015-06-22,48.32,48.34,47.75,48.200001,605900,46.541054
2015-06-23,48.18,48.18,47.560001,47.700001,592200,46.058263
2015-06-24,47.650002,47.91,47.110001,47.130001,562100,45.507881
2015-06-25,47.150002,47.150002,46.869999,46.880001,429300,45.266486
2015-06-26,46.849998,47.52,46.57,47.470001,1044300,45.836179
2015-06-29,47.389999,47.75,46.93,46.959999,619800,45.34373
2015-06-30,47.119999,47.18,46.450001,46.560001,546700,44.9575
2015-07-01,46.580002,46.830002,46.360001,46.669998,617800,45.063711
2015-07-02,47.200001,47.419998,47.02,47.369999,500900,45.739619
2015-07-06,47.23,47.669998,47.029999,47.349998,656600,45.720307
2015-07-07,47.419998,48.93,47.419998,48.75,886000,47.072123
2015-07-08,48.549999,48.790001,48.259998,48.299999,880900,46.63761
2015-07-09,48.41,48.720001,47.419998,47.43,680700,45.797555
2015-07-10,47.470001,48.189999,47.470001,47.66,653900,46.019639
2015-07-13,47.990002,48.25,47.720001,48.07,407400,46.415527
2015-07-14,48.049999,48.349998,47.869999,48.209999,374600,46.550708
2015-07-15,48.18,48.450001,47.900002,48.360001,344300,46.695547
2015-07-16,48.389999,49.049999,48.279999,48.959999,407900,47.274894
2015-07-17,48.779999,48.84,48.189999,48.220001,428700,46.560366
2015-07-20,48.130001,48.150002,47.639999,47.84,462000,46.193444
2015-07-21,47.669998,47.869999,47.380001,47.599998,477500,45.961702
2015-07-22,47.580002,48.310001,47.439999,48.110001,582600,46.454151
2015-07-23,47.950001,47.950001,46.900002,47.060001,673300,45.440291
2015-07-24,47.009998,47.450001,46.849998,47.279999,466100,45.652716
2015-07-27,47.259998,47.860001,47.259998,47.630001,580600,45.990672
2015-07-28,47.650002,48.029999,47.279999,47.990002,555800,46.338282
2015-07-29,47.619999,48.0,47.23,47.630001,828300,45.990672
2015-07-30,47.439999,48.18,47.150002,47.630001,545000,45.990672
2015-07-31,48.099998,48.490002,47.93,48.080002,863400,46.425185
2015-08-03,48.209999,48.5,47.959999,48.27,588800,46.608644
2015-08-04,48.200001,48.419998,47.689999,47.759998,571700,46.116195
2015-08-05,48.0,48.349998,47.959999,48.029999,558300,46.376903
2015-08-06,48.049999,48.23,47.220001,48.009998,623900,46.357591
2015-08-07,47.970001,48.709999,47.66,48.700001,518700,47.023845
2015-08-10,48.75,49.169998,48.439999,48.639999,570600,46.965909
2015-08-11,48.630001,49.009998,48.259998,48.709999,627300,47.033499
2015-08-12,48.189999,49.299999,48.169998,49.259998,592600,48.067844
2015-08-13,49.049999,49.419998,48.610001,49.07,549200,47.882443
2015-08-14,48.970001,49.5,48.84,49.490002,500300,48.292281
2015-08-17,49.470001,50.02,49.16,49.82,461300,48.614292
2015-08-18,49.689999,49.919998,49.189999,49.240002,470600,48.048331
2015-08-19,49.080002,49.400002,48.66,49.169998,751500,47.980022
2015-08-20,48.91,49.27,48.509998,48.549999,727700,47.375027
2015-08-21,48.23,48.529999,47.849998,47.860001,767100,46.701728
2015-08-24,60.580002,61.75,57.599998,61.41,9487900,59.9238
2015-08-25,62.049999,63.369999,60.799999,60.84,4548100,59.367595
2015-08-26,61.290001,61.43,59.790001,60.790001,3420000,59.318805
2015-08-27,60.66,61.150002,60.259998,60.639999,2437100,59.172434
2015-08-28,60.369999,60.599998,59.810001,60.560001,1851800,59.094372
2015-08-31,60.150002,61.200001,59.98,60.990002,2032300,59.513966
2015-09-01,60.709999,60.84,60.139999,60.259998,1970300,58.80163
2015-09-02,60.299999,60.91,60.279999,60.389999,1423700,58.928484
2015-09-03,60.389999,60.700001,60.200001,60.459999,2126600,58.99679
2015-09-04,60.110001,60.779999,59.98,60.349998,1065600,58.889452
2015-09-08,60.57,61.110001,60.560001,60.599998,1313300,59.133401
2015-09-09,60.700001,61.049999,60.509998,60.599998,1268500,59.133401
2015-09-10,60.419998,60.880001,60.419998,60.549999,1088800,59.084612
2015-09-11,60.52,61.040001,60.490002,61.0,616100,59.523722
2015-09-14,60.900002,61.0,60.689999,60.73,686700,59.260256
2015-09-15,60.700001,60.93,60.5,60.84,958200,59.367595
2015-09-16,60.869999,61.009998,60.700001,60.91,950200,59.4359
2015-09-17,60.849998,61.060001,60.610001,60.91,1716100,59.4359
2015-09-18,60.779999,61.009998,60.5,60.549999,1809500,59.084612
2015-09-21,60.650002,61.450001,60.650002,61.43,841700,59.943316
2015-09-22,61.07,61.419998,61.049999,61.360001,989000,59.87501
2015-09-23,61.299999,61.75,61.150002,61.459999,723000,59.972589
2015-09-24,61.400002,61.630001,61.0,61.560001,654500,60.070171
2015-09-25,61.610001,61.880001,60.779999,60.880001,845900,59.406627
2015-09-28,60.880001,61.060001,60.580002,60.59,991100,59.123645
2015-09-29,60.700001,60.82,60.439999,60.529999,982500,59.065096
2015-09-30,60.700001,61.049999,60.419998,61.040001,963700,59.562755
2015-10-01,60.860001,61.0,60.549999,60.810001,862800,59.338322
2015-10-02,61.0,61.330002,60.709999,61.32,767800,59.835978
2015-10-05,61.560001,61.77,60.950001,61.419998,945900,59.933556
2015-10-06,61.43,61.529999,61.060001,61.240002,814300,59.757916
2015-10-07,61.279999,61.68,61.029999,61.5,822400,60.011622
2015-10-08,61.310001,61.799999,61.310001,61.560001,523300,60.070171
2015-10-09,61.630001,61.970001,61.560001,61.66,517500,60.167749
2015-10-12,61.669998,62.200001,61.669998,62.02,484100,60.519037
2015-10-13,61.959999,62.169998,61.720001,61.75,401300,60.255571
2015-10-14,61.84,62.02,61.66,61.66,511900,60.167749
2015-10-15,61.75,62.02,61.709999,61.990002,354500,60.489765
2015-10-16,62.119999,62.139999,61.82,61.889999,536000,60.392183
2015-10-19,61.860001,62.25,61.779999,62.09,469400,60.587343
2015-10-20,62.099998,62.18,61.939999,62.009998,512400,60.509277
2015-10-21,62.130001,62.189999,61.900002,61.959999,351200,60.460488
2015-10-22,62.09,62.16,61.900002,62.029999,535500,60.528794
2015-10-23,62.0,62.130001,61.799999,62.02,637600,60.519037
2015-10-26,62.049999,62.310001,61.880001,62.16,459900,60.655649
2015-10-27,62.110001,62.23,61.919998,62.049999,481800,60.54831
2015-10-28,62.049999,62.23,61.68,62.0,628300,60.499521
2015-10-29,61.84,62.220001,61.700001,62.189999,437900,60.684921
2015-10-30,62.220001,62.73,62.209999,62.5,658800,60.98742
2015-11-02,62.43,62.779999,62.279999,62.740002,390500,61.221614
2015-11-03,62.580002,62.77,62.450001,62.75,480300,61.23137
2015-11-04,62.610001,62.860001,62.610001,62.73,320400,61.211854
2015-11-05,62.790001,62.790001,62.060001,62.639999,649800,61.124032
2015-11-06,62.34,62.619999,62.150002,62.209999,592100,60.704438
2015-11-09,62.099998,62.450001,62.049999,62.279999,716300,60.772743
2015-11-10,62.0,62.299999,61.919998,62.220001,763300,61.215482
2015-11-11,62.099998,62.290001,62.060001,62.209999,529000,61.205641
2015-11-12,62.099998,62.25,61.68,61.740002,673700,60.743232
2015-11-13,61.75,62.279999,61.75,62.080002,748700,61.077743
2015-11-16,62.060001,62.290001,61.939999,62.279999,540000,61.274511
2015-11-17,62.279999,62.41,62.0,62.119999,684100,61.117094
2015-11-18,62.139999,62.34,62.040001,62.200001,619400,61.195805
2015-11-19,62.25,62.470001,62.029999,62.040001,803200,61.038388
