Date,Open_AVB,High_AVB,Low_AVB,Close_AVB,Volume_AVB,AdjClose_AVB
2013-06-14,134.460007,135.820007,133.449997,134.589996,536500,122.534443
2013-06-17,135.309998,136.029999,133.490005,134.259995,855400,122.234001
2013-06-18,134.360001,135.800003,133.889999,134.899994,456000,122.816674
2013-06-19,134.809998,135.220001,130.149994,130.770004,554000,119.056617
2013-06-20,129.979996,130.110001,126.910004,127.970001,904500,116.507417
2013-06-21,128.639999,132.789993,128.639999,131.690002,1298400,119.894209
2013-06-24,130.429993,136.880005,128.669998,133.539993,1358200,121.578492
2013-06-25,134.910004,136.440002,133.550003,135.440002,1075600,123.308312
2013-06-26,135.850006,137.550003,134.940002,135.199997,1182300,124.069982
2013-06-27,136.360001,137.380005,135.800003,136.470001,1145200,125.235436
2013-06-28,136.110001,136.919998,134.830002,134.910004,1675100,123.803862
2013-07-01,134.809998,137.460007,134.809998,135.350006,984000,124.207642
2013-07-02,135.199997,137.440002,135.199997,136.949997,964900,125.675917
2013-07-03,136.410004,136.800003,134.300003,135.729996,528100,124.55635
2013-07-05,135.729996,136.130005,132.080002,135.009995,788800,123.895621
2013-07-08,135.110001,136.350006,134.139999,134.419998,690500,123.354195
2013-07-09,135.070007,137.929993,134.539993,137.309998,637300,126.006282
2013-07-10,137.289993,137.589996,135.679993,137.5,633000,126.180643
2013-07-11,138.669998,141.029999,138.669998,140.380005,761700,128.823558
2013-07-12,140.990005,141.160004,139.669998,140.449997,974800,128.887788
2013-07-15,139.759995,140.740005,139.179993,139.669998,304300,128.172001
2013-07-16,139.710007,141.529999,139.649994,140.330002,444700,128.777672
2013-07-17,140.470001,141.309998,139.380005,140.589996,422200,129.016263
2013-07-18,141.080002,141.710007,140.059998,141.039993,706600,129.429215
2013-07-19,140.960007,141.389999,139.509995,140.360001,1109800,128.805201
2013-07-22,140.470001,141.229996,140.029999,140.770004,511400,129.181452
2013-07-23,141.130005,141.279999,139.880005,140.330002,726400,128.777672
2013-07-24,140.190002,140.610001,137.039993,138.089996,830600,126.722069
2013-07-25,137.570007,138.830002,135.580002,137.940002,959200,126.584423
2013-07-26,137.389999,139.070007,136.839996,138.979996,443300,127.538801
2013-07-29,138.410004,138.759995,137.169998,137.639999,499900,126.309117
2013-07-30,138.660004,139.059998,136.630005,137.25,682200,125.951223
2013-07-31,138.160004,138.339996,133.839996,135.339996,963700,124.198456
2013-08-01,135.880005,136.470001,134.550003,134.910004,592200,123.803862
2013-08-02,134.910004,136.229996,133.789993,133.949997,644700,122.922885
2013-08-05,132.110001,134.070007,132.110001,133.179993,491800,122.21627
2013-08-06,133.190002,134.460007,132.389999,133.119995,507800,122.161211
2013-08-07,132.509995,133.149994,131.669998,132.220001,582100,121.335307
2013-08-08,132.740005,132.979996,131.220001,132.029999,546700,121.160946
2013-08-09,132.100006,133.880005,131.619995,133.119995,494700,122.161211
2013-08-12,132.970001,132.970001,130.539993,131.770004,479700,120.922355
2013-08-13,131.910004,131.910004,129.220001,129.710007,501600,119.031942
2013-08-14,129.839996,130.059998,128.389999,128.550003,423400,117.967433
2013-08-15,125.589996,128.759995,125.290001,125.389999,770200,115.067569
2013-08-16,125.470001,125.559998,122.559998,122.790001,1502700,112.681609
2013-08-19,122.410004,123.489998,121.980003,122.360001,720700,112.287008
2013-08-20,122.410004,124.489998,122.410004,123.849998,817600,113.654345
2013-08-21,123.269997,125.540001,121.529999,123.760002,580500,113.571757
2013-08-22,124.019997,125.879997,122.75,125.199997,684600,114.893208
2013-08-23,125.709999,126.309998,124.150002,126.230003,500400,115.838422
2013-08-26,126.18,127.370003,125.860001,126.800003,692800,116.361497
2013-08-27,123.339996,126.739998,123.339996,125.779999,425700,115.425463
2013-08-28,125.730003,125.839996,123.870003,124.449997,458600,114.20495
2013-08-29,123.459999,124.639999,122.489998,124.300003,408000,114.067304
2013-08-30,124.599998,125.519997,123.470001,123.900002,547500,113.700232
2013-09-03,124.779999,124.82,121.330002,122.720001,789500,112.617372
2013-09-04,122.470001,125.0,121.809998,124.339996,515900,114.104005
2013-09-05,124.220001,124.239998,122.209999,123.650002,454600,113.470812
2013-09-06,124.519997,126.650002,124.269997,125.589996,523900,115.251102
2013-09-09,126.43,128.220001,125.769997,128.190002,562300,117.637068
2013-09-10,128.440002,128.759995,126.959999,128.330002,350600,117.765543
2013-09-11,128.690002,130.0,127.68,129.940002,446900,119.243004
2013-09-12,129.660004,130.610001,128.660004,129.399994,583100,118.74745
2013-09-13,128.729996,130.139999,128.479996,129.190002,428600,118.554746
2013-09-16,131.679993,132.639999,129.490005,130.020004,414300,119.31642
2013-09-17,129.339996,131.399994,129.009995,129.210007,401500,118.573103
2013-09-18,129.429993,135.160004,128.830002,134.839996,1071700,123.739618
2013-09-19,134.869995,136.270004,133.830002,135.309998,831100,124.170927
2013-09-20,135.220001,135.5,133.039993,133.039993,1055000,122.087795
2013-09-23,132.509995,133.75,131.399994,131.779999,681300,120.931527
2013-09-24,131.839996,132.179993,129.350006,129.570007,621200,118.903468
2013-09-25,129.699997,131.419998,128.860001,130.919998,651300,120.142324
2013-09-26,130.600006,130.600006,128.789993,129.699997,523300,120.00353
2013-09-27,129.350006,130.520004,128.440002,129.300003,505800,119.63344
2013-09-30,128.75,130.380005,126.580002,127.089996,727900,117.588655
2013-10-01,127.089996,129.710007,126.839996,127.690002,1004400,118.143804
2013-10-02,128.990005,128.990005,126.610001,128.880005,905000,119.244841
2013-10-03,128.130005,128.970001,125.830002,126.260002,562100,116.820712
2013-10-04,126.660004,127.190002,124.559998,124.910004,696000,115.57164
2013-10-07,123.660004,126.32,123.650002,124.989998,733000,115.645654
2013-10-08,125.93,125.93,123.75,123.870003,648700,114.60939
2013-10-09,123.93,125.809998,123.93,124.629997,431700,115.312567
