Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2013-06-14,67.360001,67.830002,66.970001,67.410004,1834100,62.466391
2013-06-17,68.010002,68.489998,67.349998,67.779999,1226900,62.809252
2013-06-18,68.0,68.349998,67.699997,68.07,1855300,63.077985
2013-06-19,68.07,68.07,66.82,66.900002,2434700,61.993791
2013-06-20,66.589996,66.959999,66.010002,66.110001,1925300,61.261726
2013-06-21,66.360001,66.68,66.040001,66.110001,2344300,61.261726
2013-06-24,65.860001,66.209999,65.139999,65.510002,1788600,60.705729
2013-06-25,65.959999,66.040001,65.029999,65.32,1453000,60.529661
2013-06-26,65.809998,66.32,65.220001,65.93,2034200,61.094926
2013-06-27,66.5,66.790001,66.360001,66.440002,1730500,61.567526
2013-06-28,66.349998,66.660004,65.949997,66.120003,1958000,61.270994
2013-07-01,66.0,66.440002,65.43,66.099998,1585300,61.766239
2013-07-02,66.050003,66.050003,64.480003,64.82,1939100,60.570162
2013-07-03,64.620003,65.279999,64.529999,65.150002,753000,60.878528
2013-07-05,65.629997,66.010002,65.150002,65.839996,1070500,61.523284
2013-07-08,66.300003,66.959999,66.139999,66.839996,1969400,62.45772
2013-07-09,67.279999,67.879997,66.739998,67.440002,2054400,63.018388
2013-07-10,67.489998,68.419998,67.489998,68.18,1738600,63.709869
2013-07-11,68.769997,69.489998,68.769997,69.379997,1759800,64.831189
2013-07-12,69.300003,69.599998,68.93,69.470001,1647900,64.915292
2013-07-15,69.910004,70.129997,69.68,70.040001,1397100,65.447921
2013-07-16,70.010002,70.089996,69.440002,69.559998,1287800,64.999388
2013-07-17,69.690002,69.940002,69.290001,69.459999,1268400,64.905946
2013-07-18,69.709999,69.940002,69.419998,69.699997,1717800,65.130209
2013-07-19,69.739998,69.839996,69.489998,69.800003,2856200,65.223658
2013-07-22,69.779999,69.870003,69.309998,69.370003,1470400,64.82185
2013-07-23,69.660004,69.940002,69.349998,69.709999,2272200,65.139555
2013-07-24,70.0,70.550003,69.730003,69.75,2035500,65.176933
2013-07-25,70.510002,70.709999,68.860001,69.75,2365100,65.176933
2013-07-26,69.599998,70.400002,69.360001,70.010002,2546700,65.419889
2013-07-29,70.0,71.239998,69.860001,70.949997,3030200,66.298254
2013-07-30,71.230003,71.550003,71.059998,71.220001,2267700,66.550556
2013-07-31,71.370003,72.339996,71.32,71.839996,2702600,67.129902
2013-08-01,72.339996,73.830002,72.199997,73.769997,3591600,68.933364
2013-08-02,75.480003,76.269997,74.339996,75.650002,6525600,70.690109
2013-08-05,75.760002,76.389999,75.010002,76.080002,3293200,71.091917
2013-08-06,75.959999,76.080002,75.349998,75.790001,2499300,70.82093
2013-08-07,75.75,76.550003,75.519997,76.379997,2589200,71.372244
2013-08-08,76.669998,77.150002,76.199997,76.800003,2048700,71.764712
2013-08-09,76.879997,77.230003,76.550003,76.980003,2177200,71.932911
2013-08-12,76.82,76.949997,75.910004,76.019997,1704900,71.035846
2013-08-13,75.970001,76.980003,75.949997,76.800003,1405000,71.764712
2013-08-14,76.620003,76.790001,76.260002,76.400002,1541000,71.390936
2013-08-15,75.800003,76.160004,75.279999,75.599998,1461800,70.643384
2013-08-16,75.470001,76.790001,75.470001,76.739998,2961900,71.708641
