Date,Open_TMO,High_TMO,Low_TMO,Close_TMO,Volume_TMO,AdjClose_TMO
2013-06-14,85.160004,86.089996,84.769997,85.120003,1929300,83.877227
2013-06-17,85.589996,86.150002,85.199997,85.550003,2175500,84.300949
2013-06-18,85.790001,86.379997,85.489998,86.18,2176100,84.921748
2013-06-19,86.07,86.269997,84.690002,84.690002,2029400,83.453505
2013-06-20,83.730003,83.739998,81.18,81.660004,3701800,80.467745
2013-06-21,82.279999,83.519997,82.010002,83.089996,3578600,81.876859
2013-06-24,82.260002,83.0,81.040001,82.239998,2439500,81.039271
2013-06-25,82.910004,83.379997,82.480003,83.129997,1771300,81.916276
2013-06-26,83.769997,84.209999,83.010002,83.400002,1960300,82.182338
2013-06-27,84.089996,85.760002,84.0,85.370003,3201200,84.123577
2013-06-28,84.989998,85.459999,84.620003,84.629997,2608500,83.394376
2013-07-01,85.029999,87.489998,84.940002,86.349998,2551200,85.089265
2013-07-02,86.080002,86.330002,84.900002,84.989998,2183300,83.74912
2013-07-03,84.57,85.370003,84.410004,84.949997,1015800,83.709703
2013-07-05,85.510002,85.580002,84.839996,85.419998,1166900,84.172843
2013-07-08,86.010002,86.629997,85.650002,85.940002,1089400,84.685255
2013-07-09,86.849998,87.389999,86.25,87.269997,2015800,85.995831
2013-07-10,87.080002,88.07,87.0,88.040001,1754800,86.754593
2013-07-11,88.830002,89.199997,88.209999,88.419998,1739500,87.129042
2013-07-12,88.529999,88.809998,87.889999,88.190002,1549600,86.902404
2013-07-15,88.379997,88.629997,87.809998,88.239998,1394800,86.951669
2013-07-16,88.339996,88.43,86.919998,87.559998,1511100,86.281597
2013-07-17,87.809998,87.989998,87.169998,87.790001,1572200,86.508243
2013-07-18,87.849998,88.989998,87.839996,88.959999,1763000,87.661158
2013-07-19,89.150002,89.629997,88.709999,89.580002,1772400,88.272109
2013-07-22,89.419998,90.360001,89.349998,90.330002,1153900,89.011159
2013-07-23,89.339996,90.32,89.239998,89.519997,1617100,88.21298
2013-07-24,90.5,92.290001,90.400002,90.610001,3072200,89.28707
2013-07-25,90.370003,91.389999,89.790001,91.25,1634800,89.917725
2013-07-26,90.959999,91.160004,89.769997,90.589996,1786700,89.267357
2013-07-29,90.349998,90.889999,90.110001,90.400002,1809600,89.080136
2013-07-30,90.75,90.970001,90.330002,90.480003,1931900,89.15897
2013-07-31,90.610001,91.870003,90.470001,91.110001,1777600,89.779769
2013-08-01,92.32,92.720001,91.790001,92.019997,1464800,90.676479
