Date,Open_SHW,High_SHW,Low_SHW,Close_SHW,Volume_SHW,AdjClose_SHW
2013-06-14,184.039993,184.5,182.440002,183.089996,398900,177.363196
2013-06-17,184.429993,184.559998,181.899994,183.470001,545900,177.731315
2013-06-18,183.600006,184.559998,182.199997,184.300003,274000,178.535355
2013-06-19,183.770004,184.610001,181.520004,181.729996,435700,176.045734
2013-06-20,179.5,181.410004,175.619995,175.899994,875700,170.398087
2013-06-21,176.509995,176.520004,170.059998,173.100006,1510400,167.685678
2013-06-24,171.740005,175.740005,170.600006,173.820007,790600,168.383159
2013-06-25,174.75,177.740005,174.360001,175.779999,815400,170.281845
2013-06-26,176.740005,178.759995,176.279999,178.110001,405200,172.538967
2013-06-27,179.139999,180.110001,176.869995,179.179993,700300,173.575492
2013-06-28,178.710007,179.139999,176.570007,176.600006,646800,171.076203
2013-07-01,177.550003,180.25,177.160004,178.580002,322900,172.994268
2013-07-02,178.309998,180.839996,178.309998,179.630005,527200,174.011428
2013-07-03,178.199997,181.009995,178.199997,179.839996,224700,174.214851
2013-07-05,180.610001,182.509995,178.619995,182.479996,300200,176.772275
2013-07-08,182.600006,183.710007,181.309998,182.300003,501800,176.597912
2013-07-09,183.240005,184.699997,182.520004,183.710007,487800,177.963813
2013-07-10,184.309998,185.339996,182.360001,184.850006,752000,179.068155
2013-07-11,188.720001,188.720001,186.110001,186.880005,775200,181.034658
2013-07-12,186.399994,189.910004,185.970001,187.360001,655400,181.49964
2013-07-15,187.360001,190.679993,184.119995,184.399994,748200,178.632218
2013-07-16,184.399994,185.270004,182.350006,182.759995,858100,177.043516
2013-07-17,180.570007,184.949997,180.570007,183.190002,722400,177.460074
2013-07-18,164.75,172.820007,163.630005,167.940002,5804000,162.687073
2013-07-19,168.350006,173.289993,168.050003,172.860001,1483700,167.45318
2013-07-22,172.020004,173.479996,170.300003,171.550003,914900,166.184157
2013-07-23,171.539993,172.710007,169.149994,171.800003,1141100,166.426338
2013-07-24,172.029999,173.550003,170.380005,172.059998,1113300,166.6782
2013-07-25,171.259995,174.399994,170.809998,172.940002,1365300,167.53068
