Date,Open_MHK,High_MHK,Low_MHK,Close_MHK,Volume_MHK,AdjClose_MHK
2013-06-14,111.029999,113.5,110.199997,111.080002,452900,111.080002
2013-06-17,111.779999,115.410004,111.470001,113.230003,662700,113.230003
2013-06-18,113.599998,114.940002,112.809998,114.709999,375300,114.709999
2013-06-19,114.57,117.480003,114.57,114.629997,1275600,114.629997
2013-06-20,112.900002,113.349998,108.889999,109.889999,937300,109.889999
2013-06-21,109.849998,110.690002,106.25,108.949997,1339400,108.949997
2013-06-24,106.459999,108.199997,103.970001,106.360001,754100,106.360001
2013-06-25,108.349998,111.440002,108.18,110.230003,833500,110.230003
2013-06-26,111.489998,112.309998,109.529999,110.120003,481900,110.120003
2013-06-27,111.730003,114.010002,110.610001,113.669998,486500,113.669998
2013-06-28,113.239998,113.529999,111.040001,112.489998,755700,112.489998
2013-07-01,112.849998,114.019997,111.949997,112.099998,615500,112.099998
2013-07-02,112.080002,112.779999,110.209999,110.599998,520300,110.599998
2013-07-03,110.18,112.269997,110.0,111.580002,265000,111.580002
2013-07-05,112.25,112.339996,109.050003,111.580002,454800,111.580002
2013-07-08,112.389999,112.389999,108.889999,109.029999,531000,109.029999
2013-07-09,109.82,113.550003,109.290001,113.419998,832400,113.419998
2013-07-10,113.419998,114.699997,111.790001,112.769997,595400,112.769997
2013-07-11,116.419998,117.239998,114.519997,116.459999,655600,116.459999
2013-07-12,116.309998,117.75,115.620003,117.029999,590500,117.029999
2013-07-15,116.980003,118.0,116.589996,117.519997,685900,117.519997
2013-07-16,117.419998,117.980003,115.220001,117.040001,783000,117.040001
2013-07-17,117.279999,118.040001,115.290001,117.639999,713700,117.639999
2013-07-18,117.75,119.190002,116.830002,117.599998,1096100,117.599998
2013-07-19,117.510002,119.0,116.82,117.760002,678800,117.760002
2013-07-22,117.790001,118.559998,115.260002,115.790001,991600,115.790001
2013-07-23,116.080002,117.379997,115.589996,117.25,953500,117.25
2013-07-24,117.730003,118.599998,115.650002,116.5,969200,116.5
2013-07-25,114.199997,115.839996,112.580002,115.019997,926300,115.019997
2013-07-26,114.300003,115.540001,114.0,114.419998,687800,114.419998
2013-07-29,114.379997,116.330002,113.940002,114.599998,558100,114.599998
2013-07-30,116.550003,117.980003,114.919998,117.559998,822700,117.559998
