Date,Open_LEN,High_LEN,Low_LEN,Close_LEN,Volume_LEN,AdjClose_LEN
2013-06-14,38.599998,39.639999,38.599998,39.029999,4846400,38.577957
2013-06-17,39.41,39.970001,38.93,39.32,4971700,38.864599
2013-06-18,39.25,39.41,38.360001,39.32,5006200,38.864599
2013-06-19,39.34,39.52,37.77,37.849998,5669700,37.411624
2013-06-20,37.299999,37.299999,34.459999,34.939999,17668800,34.535327
2013-06-21,35.27,35.68,33.360001,35.25,15996500,34.841738
2013-06-24,34.68,35.540001,33.799999,34.990002,13371100,34.584751
2013-06-25,36.59,36.939999,34.799999,35.23,21750900,34.821969
2013-06-26,35.650002,36.25,35.310001,36.009998,7880400,35.592934
2013-06-27,36.630001,37.5,36.360001,37.380001,8617700,36.94707
2013-06-28,37.060001,37.080002,36.0,36.040001,8860800,35.622589
2013-07-01,36.299999,36.91,35.389999,35.470001,6721400,35.059191
2013-07-02,35.389999,35.799999,34.720001,34.990002,5649500,34.584751
2013-07-03,34.810001,35.549999,34.709999,35.349998,2410700,34.940578
2013-07-05,35.360001,35.360001,33.099998,33.93,8843500,33.537027
2013-07-08,34.119999,34.349998,33.0,33.049999,7537600,32.705773
2013-07-09,33.299999,35.189999,33.290001,35.009998,12173700,34.645358
2013-07-10,35.0,35.290001,34.18,34.560001,5667400,34.200048
2013-07-11,35.779999,37.57,35.720001,37.439999,10996400,37.050049
2013-07-12,37.25,37.869999,36.68,37.049999,6326600,36.664112
2013-07-15,37.09,37.18,35.029999,35.549999,7432000,35.179735
2013-07-16,35.57,36.450001,34.959999,35.48,8191900,35.110464
2013-07-17,35.369999,36.09,34.880001,35.650002,5355600,35.278696
2013-07-18,35.990002,36.279999,35.040001,35.169998,4262500,34.803692
2013-07-19,35.0,35.740002,34.990002,35.529999,3141000,35.159943
2013-07-22,35.52,35.880001,34.610001,34.799999,4295100,34.437546
2013-07-23,34.73,35.459999,34.509998,35.27,4388200,34.902652
2013-07-24,34.919998,35.080002,33.450001,33.919998,8735000,33.566711
2013-07-25,33.290001,33.43,31.950001,33.369999,12194400,33.02244
2013-07-26,33.200001,33.639999,33.150002,33.560001,6198200,33.210463
2013-07-29,33.48,33.779999,33.099998,33.32,4570500,32.972961
2013-07-30,33.48,33.700001,32.98,33.119999,4576400,32.775044
2013-07-31,33.110001,34.549999,32.830002,33.869999,7066700,33.517232
2013-08-01,34.32,35.049999,33.57,34.0,8223200,33.645879
2013-08-02,34.310001,35.060001,34.23,34.709999,3915200,34.348483
2013-08-05,34.529999,34.66,33.810001,34.0,4354400,33.645879
2013-08-06,33.77,33.959999,33.240002,33.299999,4523700,32.953169
2013-08-07,33.16,33.299999,32.099998,32.25,5596700,31.914106
2013-08-08,32.5,32.950001,32.16,32.34,4362700,32.003169
2013-08-09,32.23,33.110001,32.060001,32.93,6216400,32.587024
2013-08-12,32.720001,33.849998,32.700001,33.029999,4713800,32.685981
2013-08-13,33.099998,33.110001,31.879999,32.16,5443700,31.825043
2013-08-14,32.02,32.119999,31.35,31.66,8290200,31.330251
2013-08-15,31.280001,33.419998,30.9,33.279999,9597800,32.933377
2013-08-16,33.299999,34.610001,33.299999,33.880001,9660400,33.52713
2013-08-19,33.73,33.860001,32.299999,32.389999,4794500,32.052647
2013-08-20,32.580002,33.52,32.080002,33.41,4568200,33.062024
2013-08-21,33.18,33.77,32.889999,33.009998,4545000,32.666189
2013-08-22,33.049999,33.93,33.009998,33.560001,3343000,33.210463
2013-08-23,33.650002,33.75,32.18,32.599998,5141000,32.260459
2013-08-26,32.599998,33.16,32.290001,32.799999,2757500,32.458377
2013-08-27,32.32,32.57,32.009998,32.27,3062600,31.933898
2013-08-28,32.150002,32.200001,31.52,31.620001,4998000,31.290669
2013-08-29,31.559999,33.07,31.5,32.619999,4673400,32.280251
2013-08-30,32.630001,32.650002,31.74,31.809999,3906600,31.478688
2013-09-03,32.139999,32.189999,31.469999,31.59,4089900,31.26098
2013-09-04,31.58,32.209999,31.52,31.82,4385200,31.488584
2013-09-05,31.790001,31.85,31.09,31.530001,4410500,31.201606
2013-09-06,32.130001,32.959999,31.809999,32.25,5532000,31.914106
2013-09-09,32.259998,34.09,32.240002,33.990002,6530200,33.635985
2013-09-10,34.150002,34.25,33.240002,33.48,5955700,33.131295
2013-09-11,33.450001,35.23,33.419998,34.610001,6035100,34.249527
2013-09-12,34.580002,35.950001,34.470001,34.900002,7206600,34.536507
2013-09-13,34.98,35.169998,33.830002,34.48,4364200,34.120879
2013-09-16,35.599998,36.200001,34.669998,34.77,6906300,34.40786
2013-09-17,34.720001,35.57,34.720001,35.040001,3615800,34.675048
2013-09-18,34.990002,37.549999,34.369999,37.330002,10730400,36.941198
2013-09-19,37.619999,37.84,36.220001,36.27,6560400,35.892237
2013-09-20,36.299999,36.459999,34.799999,35.150002,7953700,34.783903
2013-09-23,35.0,35.009998,34.09,34.540001,6199300,34.180256
2013-09-24,35.52,36.93,35.09,36.009998,12851000,35.634943
2013-09-25,36.299999,36.919998,35.619999,36.389999,5821000,36.010986
2013-09-26,36.619999,36.650002,35.759998,36.490002,4320600,36.109947
2013-09-27,36.290001,36.5,35.669998,35.860001,4177600,35.486507
2013-09-30,35.240002,35.779999,35.02,35.400002,4351100,35.031299
2013-10-01,35.34,35.82,35.220001,35.720001,3598300,35.347966
2013-10-02,35.5,36.389999,35.380001,36.099998,3703100,35.724006
2013-10-03,36.07,36.490002,35.380001,35.720001,4569300,35.347966
2013-10-04,35.669998,35.720001,34.470001,34.689999,6049400,34.328691
2013-10-07,34.32,35.209999,34.27,34.700001,3046300,34.338589
2013-10-08,34.68,35.07,33.560001,33.73,4709900,33.378691
2013-10-09,33.82,33.900002,32.66,33.380001,9062200,33.032338
2013-10-10,33.84,34.529999,33.66,33.799999,4832200,33.447962
2013-10-11,33.880001,34.990002,33.880001,34.82,4768500,34.457338
2013-10-14,34.330002,34.59,33.759998,34.310001,4459600,33.952652
2013-10-15,33.889999,34.049999,33.119999,33.34,6685600,32.992754
2013-10-16,33.52,34.150002,33.0,33.860001,5201400,33.547587
2013-10-17,33.650002,35.470001,33.5,35.360001,6116900,35.033747
2013-10-18,35.560001,35.619999,34.860001,35.040001,2900000,34.7167
2013-10-21,35.150002,35.299999,33.869999,34.709999,4426300,34.389743
2013-10-22,34.830002,36.5,34.810001,36.169998,6600600,35.836271
2013-10-23,35.860001,37.540001,35.84,36.549999,5759200,36.212766
2013-10-24,36.68,37.77,36.610001,37.209999,5643900,36.866677
2013-10-25,37.299999,37.41,36.580002,36.990002,3211600,36.648709
2013-10-28,37.0,37.790001,36.299999,36.830002,6098900,36.490185
2013-10-29,36.93,37.389999,36.419998,37.380001,3611400,37.03511
2013-10-30,37.349998,37.380001,36.299999,36.639999,4694600,36.301936
2013-10-31,36.639999,36.639999,35.529999,35.549999,5921100,35.221993
2013-11-01,35.66,35.73,34.369999,34.98,6271100,34.657252
2013-11-04,34.950001,35.779999,34.950001,35.130001,3192100,34.80587
2013-11-05,34.990002,35.130001,33.970001,34.310001,5036000,33.993436
2013-11-06,34.439999,34.889999,34.029999,34.52,3814600,34.201498
2013-11-07,34.919998,35.700001,34.209999,34.240002,6177100,33.924082
2013-11-08,33.900002,33.900002,32.380001,32.790001,12457300,32.48746
2013-11-11,32.66,32.849998,32.150002,32.580002,4655100,32.279399
2013-11-12,32.57,33.290001,32.25,32.91,7002400,32.606352
2013-11-13,32.639999,33.580002,32.639999,33.330002,5927800,33.022479
2013-11-14,33.369999,34.900002,33.209999,34.220001,8970400,33.904266
2013-11-15,34.34,34.889999,33.880001,34.169998,5513400,33.854725
2013-11-18,34.439999,35.150002,34.290001,34.52,5907300,34.201498
2013-11-19,34.369999,34.68,33.959999,34.209999,3469300,33.894356
2013-11-20,35.189999,35.599998,34.400002,34.549999,7030000,34.23122
2013-11-21,34.740002,35.130001,33.84,34.919998,5429600,34.597805
2013-11-22,34.990002,35.0,34.360001,34.549999,3593600,34.23122
2013-11-25,34.560001,34.68,33.82,34.310001,3771400,33.993436
2013-11-26,34.529999,36.259998,34.5,36.049999,7241900,35.71738
2013-11-27,36.09,36.610001,35.77,35.950001,4238800,35.618304
2013-11-29,36.0,36.040001,35.27,35.759998,1541700,35.430054
2013-12-02,35.82,35.970001,35.080002,35.18,3561000,34.855408
2013-12-03,34.950001,35.459999,34.810001,35.310001,4688200,34.984209
